model_id,family,cancer_type,endpoint,outcome_type,n,positive,negative,ncomp,tier,file,sha256
driver_mutation__LGG__EGFR,driver_mutation,LGG,EGFR,binary,490,34,456,2,B,models/driver_mutation__LGG__EGFR.rds,0b023bb901522c84e162c4e1ff2c11661bb08bdbc6a80ab2ff7ee21b4932dd3c
driver_mutation__LGG__IDH1,driver_mutation,LGG,IDH1,binary,490,375,115,2,A,models/driver_mutation__LGG__IDH1.rds,4b9478c8df47b6c0936f48b7d786447183f66fd94505d46f08e430f094986a4e
driver_mutation__LGG__PTEN,driver_mutation,LGG,PTEN,binary,490,23,467,7,B,models/driver_mutation__LGG__PTEN.rds,c7fc1bd77a580468eb35f7bc67f790208ded784ce1f6b6d944e1ebb80e437958
driver_mutation__LGG__TP53,driver_mutation,LGG,TP53,binary,490,232,258,4,A,models/driver_mutation__LGG__TP53.rds,e014e84f1dba3282689c2ce90b5d9ec8c2ecbb51b4553e3b82c8f1265f7d11e9
driver_mutation__READ__APC,driver_mutation,READ,APC,binary,156,65,91,3,A,models/driver_mutation__READ__APC.rds,ef6d885ae07d73f558ea058cd78d690b2f5030a46d46ba2b79dbfdbc427acd76
driver_mutation__READ__KRAS,driver_mutation,READ,KRAS,binary,156,30,126,8,B,models/driver_mutation__READ__KRAS.rds,1104c41f2d0b19c8bc808a7698938604fee4e3711d903702ff7721b4f4d1e63d
driver_mutation__READ__TP53,driver_mutation,READ,TP53,binary,156,66,90,2,A,models/driver_mutation__READ__TP53.rds,7a202494b9ee139b3137c8e7114685bffb896f8bf29cad56d1d469d32e3ef58d
driver_mutation__SKCM__BRAF,driver_mutation,SKCM,BRAF,binary,292,52,240,3,A,models/driver_mutation__SKCM__BRAF.rds,802e6847e6d4e15efd0d8d85fc4037e8b9dc10f1394526561b189c84fbd6d1c2
driver_mutation__THCA__BRAF,driver_mutation,THCA,BRAF,binary,505,289,216,3,A,models/driver_mutation__THCA__BRAF.rds,ff7f59467bd63102abecb3fed60c80352ccda4e82be4aecf8b1b00ef8bd19635
driver_mutation__THCA__NRAS,driver_mutation,THCA,NRAS,binary,505,39,466,7,B,models/driver_mutation__THCA__NRAS.rds,121936b97cc823d4614672ad9d798388dfb77971439fdb27edd2593c9c909d2d
driver_mutation__THYM__GTF2I,driver_mutation,THYM,GTF2I,binary,121,59,62,6,A,models/driver_mutation__THYM__GTF2I.rds,ebeaa1eedd04d4be1c699292a4658fa6fc7ea9a07879534f15978a26db44a0e2
fusion__BLCA__Any_called_fusion,fusion,BLCA,Any called fusion,binary,381,288,93,10,B,models/fusion__BLCA__Any_called_fusion.rds,d8ce36d503e5c59384b20783eaff9c56138fcdf46ab7d26dd1a142ebf2b06587
fusion__BRCA__Fusion_burden,fusion,BRCA,Fusion burden,continuous,1051,,,3,B,models/fusion__BRCA__Fusion_burden.rds,b5860377df2ada9dc3e238a346e5c9b2bbea12660c2f91d4374572c618d19b8d
fusion__LGG__Any_called_fusion,fusion,LGG,Any called fusion,binary,487,236,251,1,B,models/fusion__LGG__Any_called_fusion.rds,4c24232435153da57951122d5a1067a0b1a6be2a5b91d8010712042eb108e148
fusion__LGG__Fusion_burden,fusion,LGG,Fusion burden,continuous,487,,,1,B,models/fusion__LGG__Fusion_burden.rds,c0369f262faa01c5fce6e6872d96432082a84c23da1c457decb5861fb30df0c5
fusion__LIHC__Any_called_fusion,fusion,LIHC,Any called fusion,binary,357,214,143,3,B,models/fusion__LIHC__Any_called_fusion.rds,f44b4dfb623e653274de85e5e1ac165e385d44ed67fc54fd98710e40cfdf36e2
fusion__PRAD__Fusion_pair_TMPRSS2--ERG,fusion,PRAD,Fusion pair: TMPRSS2--ERG,binary,400,159,241,9,B,models/fusion__PRAD__Fusion_pair_TMPRSS2--ERG.rds,8bd2cb990473c07cf17b6092bd8515b8ebfcaf875ee3a3cecfce3cd770d06f64
fusion__SARC__Any_called_fusion,fusion,SARC,Any called fusion,binary,252,216,36,7,B,models/fusion__SARC__Any_called_fusion.rds,b71c022e772955b9bf1b517386efd99e3075a99b22e2d07c28a1353feaba9d0f
fusion__THCA__Any_called_fusion,fusion,THCA,Any called fusion,binary,502,138,364,6,B,models/fusion__THCA__Any_called_fusion.rds,72ba4b6cff77a1d665997601b26b9beb53835eed3d2054f9240fda2cbc01b837
fusion__THCA__Fusion_pair_CCDC6--RET,fusion,THCA,Fusion pair: CCDC6--RET,binary,502,21,481,9,B,models/fusion__THCA__Fusion_pair_CCDC6--RET.rds,3597195ac3219f1123199a4140d36d8ee1e8b1eb29203ed714652423d05d7c03
fusion__UCEC__Any_called_fusion,fusion,UCEC,Any called fusion,binary,153,80,73,5,A,models/fusion__UCEC__Any_called_fusion.rds,3cf8c178b1fc4d31b1243464269550bb6b3bfcb5cb548e295953be8450344bce
fusion__UCEC__Fusion_burden,fusion,UCEC,Fusion burden,continuous,153,,,2,B,models/fusion__UCEC__Fusion_burden.rds,b94ceb1c42aac642e67992b2001b2d59e3ca22e65df2ed6a8c8ff4ee38a2d37b
microsatellite_instability__COAD__MANTIS_score,microsatellite_instability,COAD,MANTIS score,continuous,391,,,3,B,models/microsatellite_instability__COAD__MANTIS_score.rds,228e43260ce75fd1dd3b4dbf90a8f6c2ede5d8dd743c41810a1bd6fe4977b98f
microsatellite_instability__COAD__MSI-H_MANTIS_0.4_,microsatellite_instability,COAD,MSI-H (MANTIS >0.4),binary,391,74,317,7,A,models/microsatellite_instability__COAD__MSI-H_MANTIS_0.4_.rds,d69a5b63e2379f5941369994bee187ccc4178614328460178be424647d1d88a1
microsatellite_instability__COAD__MSIsensor_score,microsatellite_instability,COAD,MSIsensor score,continuous,411,,,3,B,models/microsatellite_instability__COAD__MSIsensor_score.rds,271de54b57b360837d324b85596cb6f2646d352e590f5b79f242538c9cb3e2c8
microsatellite_instability__STAD__MSI-H_MANTIS_0.4_,microsatellite_instability,STAD,MSI-H (MANTIS >0.4),binary,371,63,308,9,A,models/microsatellite_instability__STAD__MSI-H_MANTIS_0.4_.rds,ef9cd4dcfd669e0601ce918adb3fdf6e4a249650ff83dae2e248b275cd6f788f
microsatellite_instability__UCEC__MSI-H_MANTIS_0.4_,microsatellite_instability,UCEC,MSI-H (MANTIS >0.4),binary,487,155,332,9,B,models/microsatellite_instability__UCEC__MSI-H_MANTIS_0.4_.rds,137bb50c6102200abc9a1374b067641328e791f0cce386c019e26368814fa532
microsatellite_instability_sensitivity__COAD__MSI-H_strict_MANTIS_0.6_,microsatellite_instability_sensitivity,COAD,MSI-H strict (MANTIS >0.6),binary,374,57,317,7,A,models/microsatellite_instability_sensitivity__COAD__MSI-H_strict_MANTIS_0.6_.rds,63b8b15cf0d362de4f411c9519111fb1df5e2650709370ab71807ec601ad125c
microsatellite_instability_sensitivity__STAD__MSI-H_strict_MANTIS_0.6_,microsatellite_instability_sensitivity,STAD,MSI-H strict (MANTIS >0.6),binary,364,56,308,7,A,models/microsatellite_instability_sensitivity__STAD__MSI-H_strict_MANTIS_0.6_.rds,b80a72775494104f97ed8eef1a8c732e11b55c412a2a843c89571487f7d1ccda
microsatellite_instability_sensitivity__UCEC__MSI-H_strict_MANTIS_0.6_,microsatellite_instability_sensitivity,UCEC,MSI-H strict (MANTIS >0.6),binary,438,106,332,8,B,models/microsatellite_instability_sensitivity__UCEC__MSI-H_strict_MANTIS_0.6_.rds,708b53fd94bf8beadc922d16fc01ed2920407fafd9fb0a1a2dd528a42d9d50df
oncogenic_pathway__COAD__MYC,oncogenic_pathway,COAD,MYC,binary,323,79,244,6,B,models/oncogenic_pathway__COAD__MYC.rds,7d1e688ddb00a084cfa270fe1ec723d5aa508f34c694088faa10227975cb4f71
oncogenic_pathway__COAD__PI3K,oncogenic_pathway,COAD,PI3K,binary,323,148,175,3,B,models/oncogenic_pathway__COAD__PI3K.rds,d63d7c4189be9fac1c250105653906502ab0e7bbcd9afe9202d985d550e2db2c
oncogenic_pathway__COAD__TP53,oncogenic_pathway,COAD,TP53,binary,323,208,115,4,B,models/oncogenic_pathway__COAD__TP53.rds,039127c932a7f6eae8968f5c36638d9f25214a8aa410a380a78c714abed34a7a
oncogenic_pathway__GBM__TP53,oncogenic_pathway,GBM,TP53,binary,71,38,33,2,B,models/oncogenic_pathway__GBM__TP53.rds,3ef8468a0e41fe7763cdb3cb1279f3976c3950e156c19e2c76fee36ef98a0139
oncogenic_pathway__LGG__Cell_Cycle,oncogenic_pathway,LGG,Cell Cycle,binary,476,195,281,1,B,models/oncogenic_pathway__LGG__Cell_Cycle.rds,45b47382565f6f68c9ebb8ebc7948a5ee6d2324a65292a57813c0dac8f904f8d
