model_id,family,cancer_type,endpoint,outcome_type,n,positive,negative,ncomp,tier,file,sha256
thorsson__KIRC__Lymphocyte_Infiltration_Signature_Score,thorsson,KIRC,Lymphocyte Infiltration Signature Score,continuous,492,,,3,B,models/thorsson__KIRC__Lymphocyte_Infiltration_Signature_Score.rds,c44be6313d4ea79422d0c78c9418e649e79e374661005c47929a6adba66e1790
thorsson__KIRC__Macrophage_Regulation,thorsson,KIRC,Macrophage Regulation,continuous,492,,,4,B,models/thorsson__KIRC__Macrophage_Regulation.rds,dc86d80778d94fb66d209daccd9bb2b50a715458d6e14ce04700677b0dee37af
thorsson__KIRC__Proliferation,thorsson,KIRC,Proliferation,continuous,492,,,5,B,models/thorsson__KIRC__Proliferation.rds,fa6f41aae27ff984963a479762ae98061cc07db3bd7781b432e2206e80117d4f
thorsson__KIRC__TCR_Shannon,thorsson,KIRC,TCR Shannon,continuous,480,,,3,B,models/thorsson__KIRC__TCR_Shannon.rds,dbcd51c732ad396e83a28b75ecd1a76546148feeeabfebab0c0396648dfb2755
thorsson__KIRC__TGF-beta_Response,thorsson,KIRC,TGF-beta Response,continuous,492,,,5,B,models/thorsson__KIRC__TGF-beta_Response.rds,9a1aaba88dbb0e3bdaa889a9bc41ea2281cb01b085bc43c4cf88881d9e2f329e
thorsson__KIRC__Th1_Cells,thorsson,KIRC,Th1 Cells,continuous,492,,,6,B,models/thorsson__KIRC__Th1_Cells.rds,664cfa9f478ec8b9d85a0d1a84baf570947812662835066a71bad26faa738dda
thorsson__KIRC__Wound_Healing,thorsson,KIRC,Wound Healing,continuous,492,,,2,B,models/thorsson__KIRC__Wound_Healing.rds,ea3ccdb12c90b5396cb2d0e63325fc74dc129edc4b5e36b02b165d01f53aa96f
thorsson__LIHC__Homologous_Recombination_Defects,thorsson,LIHC,Homologous Recombination Defects,continuous,350,,,3,B,models/thorsson__LIHC__Homologous_Recombination_Defects.rds,4b4624d31ebb32c2468781c3fe9b8e15c122713264819f7daa450292da105cdd
thorsson__LIHC__Leukocyte_Fraction,thorsson,LIHC,Leukocyte Fraction,continuous,363,,,3,A,models/thorsson__LIHC__Leukocyte_Fraction.rds,899fa9dc905105d2c41dac75ed0bafc1156ed5dfa665f96fa326269a9253c455
thorsson__LIHC__Lymphocyte_Infiltration_Signature_Score,thorsson,LIHC,Lymphocyte Infiltration Signature Score,continuous,352,,,3,B,models/thorsson__LIHC__Lymphocyte_Infiltration_Signature_Score.rds,ef6af479e121724d02825273c42c45b63eabb33c64838d0581e66c2d9f5bc06d
thorsson__LIHC__Macrophage_Regulation,thorsson,LIHC,Macrophage Regulation,continuous,352,,,3,A,models/thorsson__LIHC__Macrophage_Regulation.rds,ff69c9dd5ddb38ffcb78f5c4db96e9ed76e4d58970e463c7d50fd44128fb9562
thorsson__LIHC__Proliferation,thorsson,LIHC,Proliferation,continuous,352,,,3,A,models/thorsson__LIHC__Proliferation.rds,b85981649542aec58af68e667bafd1eef64605556dcc0a393a2fe02a408c4421
thorsson__LIHC__Stromal_Fraction,thorsson,LIHC,Stromal Fraction,continuous,348,,,2,B,models/thorsson__LIHC__Stromal_Fraction.rds,8923bb3ae92942dfc1a7d89daea27415ea1b8ea255a9a9d9ba0a94e226e4375b
thorsson__LIHC__TCR_Shannon,thorsson,LIHC,TCR Shannon,continuous,299,,,3,B,models/thorsson__LIHC__TCR_Shannon.rds,33a39f4e1b7a6a9d4d38daaa9be4e82cf44abc51f4867ef2b8d10ba6feb43f01
thorsson__LIHC__TGF-beta_Response,thorsson,LIHC,TGF-beta Response,continuous,352,,,3,B,models/thorsson__LIHC__TGF-beta_Response.rds,92183f78d5cafdd68971144f6fad04594a53503c040976c2b90facad3460a85f
thorsson__LIHC__Th17_Cells,thorsson,LIHC,Th17 Cells,continuous,352,,,2,B,models/thorsson__LIHC__Th17_Cells.rds,b55d6175a917636f3993c2bf2930315f4c2acefa1a285682e9b522aa36283728
thorsson__LIHC__Th2_Cells,thorsson,LIHC,Th2 Cells,continuous,352,,,2,B,models/thorsson__LIHC__Th2_Cells.rds,9f7053495c7f55001d04725ae1ebc3532da74cb781ae81490fb2a945b43dfccd
thorsson__LIHC__Wound_Healing,thorsson,LIHC,Wound Healing,continuous,352,,,3,B,models/thorsson__LIHC__Wound_Healing.rds,a500326059a10fdd1cbc2d83ae71ca559fce735112234a03b35d082cbd5b0387
thorsson__LUAD__Fraction_Altered,thorsson,LUAD,Fraction Altered,continuous,459,,,4,B,models/thorsson__LUAD__Fraction_Altered.rds,55994dac5e5bfe7754217df16ec4e83ab2236955a0bf407f1d972f395c93628d
thorsson__LUAD__Homologous_Recombination_Defects,thorsson,LUAD,Homologous Recombination Defects,continuous,449,,,2,B,models/thorsson__LUAD__Homologous_Recombination_Defects.rds,7f12390e07b2e2850828620aa04f13c9f4d31687d62733565758014f519148c9
thorsson__LUAD__Leukocyte_Fraction,thorsson,LUAD,Leukocyte Fraction,continuous,460,,,6,A,models/thorsson__LUAD__Leukocyte_Fraction.rds,b84ece89f529de00dfa69bfd7f03b76ca53ca2dd384a598d3e7698c026307bcc
thorsson__LUAD__Lymphocyte_Infiltration_Signature_Score,thorsson,LUAD,Lymphocyte Infiltration Signature Score,continuous,410,,,4,B,models/thorsson__LUAD__Lymphocyte_Infiltration_Signature_Score.rds,cdd2594a9c4b5b6e05337daba32eed3a6740deeb37f23f828c922a7e3e3334a9
thorsson__LUAD__Macrophage_Regulation,thorsson,LUAD,Macrophage Regulation,continuous,410,,,4,B,models/thorsson__LUAD__Macrophage_Regulation.rds,8a8bfb3e0924a956f62acb9596f646854742f6bc7b178fecc562968012105756
thorsson__LUAD__Nonsilent_Mutation_Rate,thorsson,LUAD,Nonsilent Mutation Rate,continuous,460,,,4,B,models/thorsson__LUAD__Nonsilent_Mutation_Rate.rds,38b97d621aa28958705ba727f385690a599b49f9b828956cb2f81667b7a4b386
thorsson__LUAD__Number_of_Segments,thorsson,LUAD,Number of Segments,continuous,459,,,3,B,models/thorsson__LUAD__Number_of_Segments.rds,89840c4e2230d451769988c0279851a4d9d9439eeb3a3a98a6b76d4ff5cd5e4c
thorsson__LUAD__Proliferation,thorsson,LUAD,Proliferation,continuous,410,,,2,A,models/thorsson__LUAD__Proliferation.rds,62d4bd9250c6d726fcc95cb03caad94b2d12b699519fdc86d15eb0f72d75c99e
thorsson__LUAD__SNV_Neoantigens,thorsson,LUAD,SNV Neoantigens,continuous,450,,,5,B,models/thorsson__LUAD__SNV_Neoantigens.rds,3e53c9290491732a6195267062dae801188eb015d6a7664ee4e131631bc88c53
thorsson__LUAD__Stromal_Fraction,thorsson,LUAD,Stromal Fraction,continuous,442,,,4,B,models/thorsson__LUAD__Stromal_Fraction.rds,155585f7de327d196058208a5ee3b11fc52be2629b0095be966a7a7bc84cad7a
thorsson__LUAD__TCR_Shannon,thorsson,LUAD,TCR Shannon,continuous,408,,,4,B,models/thorsson__LUAD__TCR_Shannon.rds,df0cb56a26a2fe0b6df7ac16dfd3679f3d11bfd623e21a22a94ef19b0c09e3ce
thorsson__LUAD__TGF-beta_Response,thorsson,LUAD,TGF-beta Response,continuous,410,,,4,B,models/thorsson__LUAD__TGF-beta_Response.rds,5c27f4f629e4dfbdf04c6328d663d8329267f39c70ddcfdc9bb925f8944f156d
thorsson__LUAD__TIL_Regional_Fraction,thorsson,LUAD,TIL Regional Fraction,continuous,460,,,5,A,models/thorsson__LUAD__TIL_Regional_Fraction.rds,a25dcffeb53846a04e3166f27b7b86ade66d033e9cdf07679d1b2a27db9addde
thorsson__LUAD__Th2_Cells,thorsson,LUAD,Th2 Cells,continuous,410,,,2,B,models/thorsson__LUAD__Th2_Cells.rds,33ea22507e29e225eadf0fc54e67fd0e3ed70cbdc2228eb9797f689814d7c389
thorsson__LUAD__Wound_Healing,thorsson,LUAD,Wound Healing,continuous,410,,,2,B,models/thorsson__LUAD__Wound_Healing.rds,ec4e65f94e50a8eb7e2eb8f34f312ca8a652cc27ab738ee4ebb42a8e0e343e56
thorsson__SARC__Homologous_Recombination_Defects,thorsson,SARC,Homologous Recombination Defects,continuous,238,,,2,B,models/thorsson__SARC__Homologous_Recombination_Defects.rds,6de4f5e6462388d0c535b29bd373fd152d9e5ae386d4d01032703fb95385405d
thorsson__SARC__Leukocyte_Fraction,thorsson,SARC,Leukocyte Fraction,continuous,250,,,3,A,models/thorsson__SARC__Leukocyte_Fraction.rds,c4e98cb7f92f7fd358d9bd2f3c6b90c9c89f4d062b6a8081c894eb7ca9f7a249
thorsson__SARC__Lymphocyte_Infiltration_Signature_Score,thorsson,SARC,Lymphocyte Infiltration Signature Score,continuous,218,,,4,A,models/thorsson__SARC__Lymphocyte_Infiltration_Signature_Score.rds,2f805d4491141b465d544efc96208b34efb03e76980965ee1a764542815be46c
thorsson__SARC__Macrophage_Regulation,thorsson,SARC,Macrophage Regulation,continuous,218,,,3,A,models/thorsson__SARC__Macrophage_Regulation.rds,f19084ca928fbf2ba142503276fffbf0b6c5f0929b975eac55ee54b199e9dc6d
thorsson__SARC__Macrophages_M0,thorsson,SARC,Macrophages M0,continuous,218,,,2,B,models/thorsson__SARC__Macrophages_M0.rds,3d52bb7e2db65bd74bcd9641b8f3b859923cd1212e082757ee6b9dca7e6596c0
thorsson__SARC__Number_of_Segments,thorsson,SARC,Number of Segments,continuous,246,,,3,B,models/thorsson__SARC__Number_of_Segments.rds,ec129812f0224f7efee6764e34ad0c8b3f990c0f92827de3df8967fe19befc59
thorsson__SARC__Proliferation,thorsson,SARC,Proliferation,continuous,218,,,4,B,models/thorsson__SARC__Proliferation.rds,c3471cde0d579ed1c1966687df3725b8d4911eeddde389f32b7e99c0e00c7091
thorsson__SARC__Stromal_Fraction,thorsson,SARC,Stromal Fraction,continuous,238,,,2,B,models/thorsson__SARC__Stromal_Fraction.rds,392012eedfe1214595c49dbd3f0127a17831063d3d7d9eefcec6635814b0627b
thorsson__SARC__TCR_Shannon,thorsson,SARC,TCR Shannon,continuous,188,,,4,B,models/thorsson__SARC__TCR_Shannon.rds,8b136b66ba57a8bac7794a5cc7fd263e688fa23b6ba0be4844eee10767fed7f8
thorsson__SARC__TGF-beta_Response,thorsson,SARC,TGF-beta Response,continuous,218,,,3,B,models/thorsson__SARC__TGF-beta_Response.rds,a9411cd24d886a5be1eb857f1a425fbfa4d43482e85b226267ee12f6b5662e7e
thorsson__SARC__Th1_Cells,thorsson,SARC,Th1 Cells,continuous,218,,,3,B,models/thorsson__SARC__Th1_Cells.rds,65bc98db159a95b5e7f06d8fec3898b2ba74858be452067129228ca22165d690
thorsson__SARC__Wound_Healing,thorsson,SARC,Wound Healing,continuous,218,,,2,B,models/thorsson__SARC__Wound_Healing.rds,8411d08d8d6444c3f8e45feab22ca65dbc3db41080b05bf9ffda29e4c8a43e73
thorsson__STAD__Aneuploidy_Score,thorsson,STAD,Aneuploidy Score,continuous,360,,,5,B,models/thorsson__STAD__Aneuploidy_Score.rds,a0214aebefd4fb17b10fb0c9e02fa73c0dfdc3cbca14683785a63d9972c60294
thorsson__STAD__Fraction_Altered,thorsson,STAD,Fraction Altered,continuous,371,,,3,B,models/thorsson__STAD__Fraction_Altered.rds,148ff24332ba6ac6a48a7c4c7470477c4541645f6ecbfd5a7ff902e48596dc51
thorsson__STAD__Homologous_Recombination_Defects,thorsson,STAD,Homologous Recombination Defects,continuous,363,,,3,B,models/thorsson__STAD__Homologous_Recombination_Defects.rds,3d189d65696f1b811c33ae0a9d8bdb81f321754e14cb8e1b88aa425a49487723
thorsson__STAD__Lymphocyte_Infiltration_Signature_Score,thorsson,STAD,Lymphocyte Infiltration Signature Score,continuous,334,,,5,B,models/thorsson__STAD__Lymphocyte_Infiltration_Signature_Score.rds,324fdf6f02217f9797e651b8fed400c612d58b90ba0b5d6c14c63b91725b5ae3
thorsson__STAD__Macrophage_Regulation,thorsson,STAD,Macrophage Regulation,continuous,334,,,4,B,models/thorsson__STAD__Macrophage_Regulation.rds,e613b988344a6bf1ce29004dde731d9d7f8e5bdff3bfe1b7235ebcdeb2be0f82
thorsson__STAD__Nonsilent_Mutation_Rate,thorsson,STAD,Nonsilent Mutation Rate,continuous,372,,,7,B,models/thorsson__STAD__Nonsilent_Mutation_Rate.rds,2504a0442c880f07fb9e64e8a3653d5fc355d131e7ee413ccb734f5751045bda
thorsson__STAD__Number_of_Segments,thorsson,STAD,Number of Segments,continuous,371,,,3,B,models/thorsson__STAD__Number_of_Segments.rds,97a44c62d36ceb8c59e66576550554c3853b21639eb8b2a3358389c21aa5eb9e
thorsson__STAD__Proliferation,thorsson,STAD,Proliferation,continuous,334,,,3,A,models/thorsson__STAD__Proliferation.rds,ed0094900c38831c681c4c0b53c900b22e0fd878d8acb88d9e8539cc47fe361a
thorsson__STAD__Silent_Mutation_Rate,thorsson,STAD,Silent Mutation Rate,continuous,372,,,7,B,models/thorsson__STAD__Silent_Mutation_Rate.rds,c504ff549a61698c72a03d41e4bfb9c4eda7d6159b44ed033d406968400f4991
thorsson__STAD__T_Cells_CD4_Memory_Activated,thorsson,STAD,T Cells CD4 Memory Activated,continuous,334,,,3,B,models/thorsson__STAD__T_Cells_CD4_Memory_Activated.rds,548699835f532bdc2df4bf39a98baceda80e675cb0e67cad3b1f315e4f85e040
thorsson__STAD__TIL_Regional_Fraction,thorsson,STAD,TIL Regional Fraction,continuous,335,,,6,B,models/thorsson__STAD__TIL_Regional_Fraction.rds,3c58068e2f5a44151324210fea4ed89d16ea2ad2796f086334c02d5de6610baa
thorsson__STAD__Wound_Healing,thorsson,STAD,Wound Healing,continuous,334,,,3,B,models/thorsson__STAD__Wound_Healing.rds,9f435b36efc2ca22f1660f7bdc39504f6de09013f3bfa2481e0e775eb48abb3b
thorsson__TGCT__B_Cells_Naive,thorsson,TGCT,B Cells Naive,continuous,148,,,4,B,models/thorsson__TGCT__B_Cells_Naive.rds,3fca0b8498117182044c6563fe165a0649768f7a469193676d5a4f17360e70b4
thorsson__TGCT__IFN-gamma_Response,thorsson,TGCT,IFN-gamma Response,continuous,148,,,4,B,models/thorsson__TGCT__IFN-gamma_Response.rds,d0d247882624c8374e61114548f8ae739b2270e47a908f1809a36c5a2a6db363
thorsson__TGCT__Leukocyte_Fraction,thorsson,TGCT,Leukocyte Fraction,continuous,132,,,4,A,models/thorsson__TGCT__Leukocyte_Fraction.rds,58d83e9e21cf2210a09169a0d8d84531b6e96ff7a49ce8c008e4d92229248e82
thorsson__TGCT__Lymphocyte_Infiltration_Signature_Score,thorsson,TGCT,Lymphocyte Infiltration Signature Score,continuous,148,,,4,A,models/thorsson__TGCT__Lymphocyte_Infiltration_Signature_Score.rds,f65196893ed54a9654b94ce30bbeb1466f07d62c22084e8c4773578d8639c413
thorsson__TGCT__Macrophage_Regulation,thorsson,TGCT,Macrophage Regulation,continuous,148,,,4,A,models/thorsson__TGCT__Macrophage_Regulation.rds,257a65a85f36b8184cdc0afc3de558a6a8c77671a3833faf368035468ea43025
thorsson__TGCT__Macrophages_M2,thorsson,TGCT,Macrophages M2,continuous,148,,,2,A,models/thorsson__TGCT__Macrophages_M2.rds,e640df04540b1ce6c7dd1d24a2f992bd4e0544fdcddf3a1ad05ac0bcd50c8610
thorsson__TGCT__Proliferation,thorsson,TGCT,Proliferation,continuous,148,,,3,B,models/thorsson__TGCT__Proliferation.rds,4945b9455425324e1ce6f7e92c02a81ebb09dffa0d48848693ea23e29a21cf17
thorsson__TGCT__Stromal_Fraction,thorsson,TGCT,Stromal Fraction,continuous,148,,,3,A,models/thorsson__TGCT__Stromal_Fraction.rds,32072acb1d4bf7e7b2cfacf14041834316ad8eaab082fab8778e991742b3f9a8
thorsson__TGCT__TCR_Richness,thorsson,TGCT,TCR Richness,continuous,148,,,4,B,models/thorsson__TGCT__TCR_Richness.rds,4b9aaedc2fb7b77c570013262dc86840d0fa3d9941824beb5ab76ea714921b44
thorsson__TGCT__TCR_Shannon,thorsson,TGCT,TCR Shannon,continuous,144,,,4,B,models/thorsson__TGCT__TCR_Shannon.rds,240f94aa952a8b51049bbeb431bbcd65c3d02d43f8e762f241c64ba9aa40a285
thorsson__TGCT__TGF-beta_Response,thorsson,TGCT,TGF-beta Response,continuous,148,,,2,A,models/thorsson__TGCT__TGF-beta_Response.rds,88fe695ec94c393223dcdcfb0ef68eb27b3a5ff7adb17c225b6ec85b6116b50f
thorsson__TGCT__Wound_Healing,thorsson,TGCT,Wound Healing,continuous,148,,,2,A,models/thorsson__TGCT__Wound_Healing.rds,0ddccce0b0f5ee1e135af07c12adecf4b62d9904ca98a71490cbe712e243ec10
thorsson__THCA__BCR_Richness,thorsson,THCA,BCR Richness,continuous,239,,,3,B,models/thorsson__THCA__BCR_Richness.rds,37f4f37b77e533c665f7b169fd100e6a9ead960b56fe1ce7b4ad02ff0af89dea
thorsson__THCA__BCR_Shannon,thorsson,THCA,BCR Shannon,continuous,239,,,3,B,models/thorsson__THCA__BCR_Shannon.rds,ad77335e5650719db10e45deb8356fc6dcae9ec3195c18332e90ab179873b582
thorsson__THCA__IFN-gamma_Response,thorsson,THCA,IFN-gamma Response,continuous,498,,,3,B,models/thorsson__THCA__IFN-gamma_Response.rds,9bab08124231f9cfb1b7d57ca56497c0059ad8604ccfa5213a41b3c0ef9731f4
thorsson__THCA__Leukocyte_Fraction,thorsson,THCA,Leukocyte Fraction,continuous,501,,,4,B,models/thorsson__THCA__Leukocyte_Fraction.rds,436309856b3f086851cb8c322ed9735edf193249c8b31e731b0588e2d7ccc275
thorsson__THCA__Lymphocyte_Infiltration_Signature_Score,thorsson,THCA,Lymphocyte Infiltration Signature Score,continuous,498,,,4,A,models/thorsson__THCA__Lymphocyte_Infiltration_Signature_Score.rds,9e835589c084b5be58cf9c24d05e8b761ed4e2de0742c5b9f1d26272a4f39af5
thorsson__THCA__Macrophage_Regulation,thorsson,THCA,Macrophage Regulation,continuous,498,,,4,A,models/thorsson__THCA__Macrophage_Regulation.rds,92f5ccd5d2d70d1a1f6aa0487428f443403b3c50f4c6032fd853a113c8bd48f9
thorsson__THCA__Macrophages_M1,thorsson,THCA,Macrophages M1,continuous,498,,,4,B,models/thorsson__THCA__Macrophages_M1.rds,03c81eace1a4cec7509eb68a3e2b3c7f88a1d6a8a0c0f05b1dce6aa54520d392
thorsson__THCA__Plasma_Cells,thorsson,THCA,Plasma Cells,continuous,498,,,4,B,models/thorsson__THCA__Plasma_Cells.rds,9567c523d36e3634cc621db93ba656f752c9387c52c2ec4e05c85b740a92dc60
thorsson__THCA__Proliferation,thorsson,THCA,Proliferation,continuous,498,,,4,B,models/thorsson__THCA__Proliferation.rds,222e7c9f94c9159c4d0bb62cac146f515b51b8cf3ef6d884749a3e35c4f4f550
thorsson__THCA__TCR_Richness,thorsson,THCA,TCR Richness,continuous,498,,,4,B,models/thorsson__THCA__TCR_Richness.rds,63177e78362454c79c86ab2bf351af42a55baaa157f9b0b6083e6d0a692517d7
thorsson__THCA__TCR_Shannon,thorsson,THCA,TCR Shannon,continuous,458,,,4,A,models/thorsson__THCA__TCR_Shannon.rds,dc0b441e09fe34b252e6f6006d2a8fe058551f58523a57a3e236539bae7cedfa
thorsson__THCA__TGF-beta_Response,thorsson,THCA,TGF-beta Response,continuous,498,,,3,A,models/thorsson__THCA__TGF-beta_Response.rds,b8d0017aa6eaf538749f865e5aabb9e944c9aa936074d1b00556199b222e6a7c
thorsson__THCA__Th1_Cells,thorsson,THCA,Th1 Cells,continuous,498,,,4,A,models/thorsson__THCA__Th1_Cells.rds,9b70b9ce7103dd7008ae980dd589a5a1ab52fced9420f202d6e140ec42a30770
thorsson__THYM__Homologous_Recombination_Defects,thorsson,THYM,Homologous Recombination Defects,continuous,104,,,1,B,models/thorsson__THYM__Homologous_Recombination_Defects.rds,dad7db6dacd8660a4444a747c4d66fab8be752449fdc314b9288c2817a00a0e8
thorsson__THYM__Intratumor_Heterogeneity,thorsson,THYM,Intratumor Heterogeneity,continuous,104,,,1,B,models/thorsson__THYM__Intratumor_Heterogeneity.rds,bfbe8e225dcdddff024e7a7dc07fc533b6bc9b230104c22e2f2537bbc0fa02d9
thorsson__THYM__Lymphocyte_Infiltration_Signature_Score,thorsson,THYM,Lymphocyte Infiltration Signature Score,continuous,117,,,2,A,models/thorsson__THYM__Lymphocyte_Infiltration_Signature_Score.rds,f6982b41e55d524ee51dccc34573a33bcbe6d1d0a2dc8497693c819a59033c97
thorsson__THYM__Macrophages_M1,thorsson,THYM,Macrophages M1,continuous,117,,,1,B,models/thorsson__THYM__Macrophages_M1.rds,b96e365629429a542253ee6888dc27953c3274ac7fdf545dac5f7a4c1bfb689e
thorsson__THYM__Nonsilent_Mutation_Rate,thorsson,THYM,Nonsilent Mutation Rate,continuous,120,,,2,B,models/thorsson__THYM__Nonsilent_Mutation_Rate.rds,e2f0839cec895e92214d0fc2a1c11374220dc30c1eea23f59bf52c43da338a42
thorsson__THYM__Proliferation,thorsson,THYM,Proliferation,continuous,117,,,3,A,models/thorsson__THYM__Proliferation.rds,9fc7df2c1ef964421f716485ca648c98ffb5c0061f26577f872131787d74bedb
thorsson__THYM__SNV_Neoantigens,thorsson,THYM,SNV Neoantigens,continuous,113,,,3,B,models/thorsson__THYM__SNV_Neoantigens.rds,aa6798d40030061f3926caa2bf17da653003310168a465e242354a1bde50661b
thorsson__THYM__Stromal_Fraction,thorsson,THYM,Stromal Fraction,continuous,104,,,1,B,models/thorsson__THYM__Stromal_Fraction.rds,08a13309cc349590ad2c9feedcb461e5374797139b9121fe9886f12bbe952d67
thorsson__THYM__T_Cells_CD4_Memory_Resting,thorsson,THYM,T Cells CD4 Memory Resting,continuous,117,,,2,B,models/thorsson__THYM__T_Cells_CD4_Memory_Resting.rds,accbaa992131715bbc22b172ea69587212979f46386399b94a0c1d363f4db456
thorsson__THYM__T_Cells_CD4_Naive,thorsson,THYM,T Cells CD4 Naive,continuous,117,,,1,B,models/thorsson__THYM__T_Cells_CD4_Naive.rds,82bba161f1ccbb9e712a522d39894fd5955b20a89a343dc57bfa03b08102a7f0
thorsson__THYM__T_Cells_Follicular_Helper,thorsson,THYM,T Cells Follicular Helper,continuous,117,,,1,B,models/thorsson__THYM__T_Cells_Follicular_Helper.rds,1b6533accb6c2d2861c1a8ca96cb58bd626b5b11f71834c02d21abd7bb975978
thorsson__THYM__TCR_Richness,thorsson,THYM,TCR Richness,continuous,117,,,3,B,models/thorsson__THYM__TCR_Richness.rds,25e89285776d94112f6da645d7cb8d2bb577d26fcc4b5219ead5e0957a92db79
thorsson__THYM__TCR_Shannon,thorsson,THYM,TCR Shannon,continuous,117,,,1,A,models/thorsson__THYM__TCR_Shannon.rds,f666afce277efe1753528a4d58552e10de13c8e2f3d4a88e470c654189e660af
thorsson__THYM__TGF-beta_Response,thorsson,THYM,TGF-beta Response,continuous,117,,,1,A,models/thorsson__THYM__TGF-beta_Response.rds,b6a1f0a28d9ec900f73b172ec49fc2ce92722b210ebd0e3d8b7abd4940620108
thorsson__THYM__Th17_Cells,thorsson,THYM,Th17 Cells,continuous,117,,,3,A,models/thorsson__THYM__Th17_Cells.rds,e5ed01ae34ec4489fa5df2d7449ef42073bdb293608b9ab33b78811f12454e6c
thorsson__THYM__Th2_Cells,thorsson,THYM,Th2 Cells,continuous,117,,,2,B,models/thorsson__THYM__Th2_Cells.rds,ab500aabc968d3db999aafa02185a6174ef0d2cb528cbdef2723aa87d98fea32
thorsson__THYM__Wound_Healing,thorsson,THYM,Wound Healing,continuous,117,,,4,B,models/thorsson__THYM__Wound_Healing.rds,af6fc5297e7a8c39a3002aecb68109cf8bf638a79f5c10c71e1935b6f7b2a6d2
thorsson__UCEC__Aneuploidy_Score,thorsson,UCEC,Aneuploidy Score,continuous,477,,,3,B,models/thorsson__UCEC__Aneuploidy_Score.rds,828e909a03f5147a0a870cb83ac2d3ce060214a68df15b2e531006245d830739
thorsson__UCEC__Fraction_Altered,thorsson,UCEC,Fraction Altered,continuous,484,,,3,B,models/thorsson__UCEC__Fraction_Altered.rds,9719375cd808485d7df37bf59219bc5896e0add293fb33d38e1021b381187744
thorsson__UCEC__Homologous_Recombination_Defects,thorsson,UCEC,Homologous Recombination Defects,continuous,477,,,3,A,models/thorsson__UCEC__Homologous_Recombination_Defects.rds,4d5a1ca3588a860c9fe2bcc1bfab53e098e16f5962b680e19670160de7a43dbb
thorsson__UCEC__Intratumor_Heterogeneity,thorsson,UCEC,Intratumor Heterogeneity,continuous,455,,,2,B,models/thorsson__UCEC__Intratumor_Heterogeneity.rds,a13ca7db6196ef78c59f2d6c234a2275cd5f2f6f74e1272c58e509a4990c80cb
thorsson__UCEC__Leukocyte_Fraction,thorsson,UCEC,Leukocyte Fraction,continuous,492,,,4,B,models/thorsson__UCEC__Leukocyte_Fraction.rds,13410f4e27a002edb9cabe17f36f1d6883befbf55082797e0aaddd238754cf4b
thorsson__UCEC__Lymphocyte_Infiltration_Signature_Score,thorsson,UCEC,Lymphocyte Infiltration Signature Score,continuous,489,,,4,B,models/thorsson__UCEC__Lymphocyte_Infiltration_Signature_Score.rds,b09954cdb11a8345bc9a071e48471423eeef62397eb7ee509cd0df9733b9d194
thorsson__UCEC__Macrophage_Regulation,thorsson,UCEC,Macrophage Regulation,continuous,489,,,3,B,models/thorsson__UCEC__Macrophage_Regulation.rds,415b1135873a6825570c4695a048473d69133e9c379055bd2abb65b5d0e40088
thorsson__UCEC__Number_of_Segments,thorsson,UCEC,Number of Segments,continuous,484,,,3,A,models/thorsson__UCEC__Number_of_Segments.rds,4aee4cd5d931602b6832e44b146208f21499cba5b48fd65539f542b7e9db4722
thorsson__UCEC__Proliferation,thorsson,UCEC,Proliferation,continuous,489,,,2,B,models/thorsson__UCEC__Proliferation.rds,fffa663b37cee3123f731e3b12d8bfe6f96e1b40407c67bfaba07bf9d90e9b7a
thorsson__UCEC__Silent_Mutation_Rate,thorsson,UCEC,Silent Mutation Rate,continuous,488,,,5,B,models/thorsson__UCEC__Silent_Mutation_Rate.rds,bd0a8552009fd7c09b2123bcea19af5bf0eadcd527e7bfb44f2180a1efcea8d8
thorsson__UCEC__TIL_Regional_Fraction,thorsson,UCEC,TIL Regional Fraction,continuous,446,,,5,B,models/thorsson__UCEC__TIL_Regional_Fraction.rds,a078ba7a7d42167102bf63798232fcaf6d32b884e91381b3f99c5a86b8aaf9ed
thorsson__UCEC__Th2_Cells,thorsson,UCEC,Th2 Cells,continuous,489,,,2,B,models/thorsson__UCEC__Th2_Cells.rds,41ff82e3de09d202a98a7ca29c7eb410274d883186586fdad9f33aba7a123d92
thorsson__UCEC__Wound_Healing,thorsson,UCEC,Wound Healing,continuous,489,,,5,B,models/thorsson__UCEC__Wound_Healing.rds,47de2a3dca474131e24d970741124b7f7b95f4e48f27bd70458a59ba48e295c6
