family,subfamily,tumor_type,endpoint,source,n,positive,negative,balanced_accuracy,adjusted_balanced_accuracy,p_permutation,permutations,permutation_exceedances,ncomp,seed,fastPLS_version,permutation_attempted,permutation_stopped_early,q_value,q_value_global,tier
driver_mutation,Bailey_tissue_specific_driver,COAD,APC,TCGA_MC3_Bailey2018,433,196,237,0.792323258417291,0.584646516834582,0.01,99,0,1,20261094,0.99.20,101,FALSE,0.0433333333333333,0.07,A
driver_mutation,Bailey_tissue_specific_driver,LGG,ATRX,TCGA_MC3_Bailey2018,490,181,309,0.783734735110587,0.567469470221173,0.01,99,0,2,20261136,0.99.20,101,FALSE,0.0216666666666667,0.07,A
driver_mutation,Bailey_tissue_specific_driver,COAD,TP53,TCGA_MC3_Bailey2018,433,161,272,0.777082572159299,0.554165144318597,0.01,99,0,2,20261097,0.99.20,101,FALSE,0.0433333333333333,0.07,A
driver_mutation,Bailey_tissue_specific_driver,LGG,IDH1,TCGA_MC3_Bailey2018,490,375,115,0.771652173913044,0.543304347826087,0.01,99,0,7,20261135,0.99.20,101,FALSE,0.0216666666666667,0.07,A
driver_mutation,Bailey_tissue_specific_driver,LGG,CIC,TCGA_MC3_Bailey2018,490,105,385,0.77012987012987,0.54025974025974,0.01,99,0,3,20261141,0.99.20,101,FALSE,0.0216666666666667,0.07,A
driver_mutation,Bailey_tissue_specific_driver,SKCM,BRAF,TCGA_MC3_Bailey2018,292,52,240,0.765224358974359,0.530448717948718,0.01,99,0,1,20261201,0.99.20,99,FALSE,0.01,0.07,A
driver_mutation,Bailey_tissue_specific_driver,UCEC,TP53,TCGA_MC3_Bailey2018,505,155,350,0.738571428571429,0.477142857142857,0.01,99,0,3,20261225,0.99.20,99,FALSE,0.0685714285714286,0.07,C
driver_mutation,Bailey_tissue_specific_driver,UCEC,PTEN,TCGA_MC3_Bailey2018,505,261,244,0.737830538282771,0.475661076565543,0.01,99,0,2,20261228,0.99.20,99,FALSE,0.0685714285714286,0.07,C
driver_mutation,Bailey_tissue_specific_driver,BRCA,TP53,TCGA_MC3_Bailey2018,1054,259,795,0.717352662635682,0.434705325271363,0.01,99,0,7,20261067,0.99.20,101,FALSE,0.1,0.07,C
driver_mutation,Bailey_tissue_specific_driver,LUAD,TP53,TCGA_MC3_Bailey2018,468,234,234,0.709401709401709,0.418803418803419,0.01,99,0,6,20261158,0.99.20,99,FALSE,0.15,0.07,C
driver_mutation,Bailey_tissue_specific_driver,COAD,KRAS,TCGA_MC3_Bailey2018,433,126,307,0.702859211002534,0.405718422005067,0.01,99,0,3,20261096,0.99.20,99,FALSE,0.0433333333333333,0.07,A
driver_mutation,Bailey_tissue_specific_driver,BLCA,FGFR3,TCGA_MC3_Bailey2018,386,54,332,0.679830432842481,0.359660865684962,0.01,99,0,2,20261047,0.99.20,99,FALSE,0.15,0.07,C
driver_mutation,Bailey_tissue_specific_driver,THCA,NRAS,TCGA_MC3_Bailey2018,505,39,466,0.670848464839881,0.341696929679762,0.01,99,0,7,20261222,0.99.20,99,FALSE,0.01,0.07,B
driver_mutation,Bailey_tissue_specific_driver,LGG,EGFR,TCGA_MC3_Bailey2018,490,34,456,0.654540763673891,0.309081527347781,0.01,99,0,2,20261146,0.99.20,99,FALSE,0.0216666666666667,0.07,B
