outcome_type,family,tumor_type,endpoint,n,n_sites,original_metric,site_grouped_metric,delta,retention_threshold,retained_effect,near_chance_or_worse,feasible,outer_site_overlap,seed,backend,svd_method,rsvd_oversample,rsvd_power,retention_definition
continuous,rna_pathway_activity,BRCA,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,1052,39,0.205436717961213,0.150875229669539,-0.0545614882916741,0.2,FALSE,FALSE,TRUE,FALSE,20261351,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,rna_pathway_activity,COAD,HALLMARK_MYOGENESIS,424,24,0.21978778888848,0.151935213444831,-0.0678525754436495,0.2,FALSE,FALSE,TRUE,FALSE,20261296,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,rna_pathway_activity,KIRC,HALLMARK_WNT_BETA_CATENIN_SIGNALING,510,18,0.201921974474908,0.152207289161723,-0.0497146853131852,0.2,FALSE,FALSE,TRUE,FALSE,20261360,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,rna_pathway_activity,STAD,HALLMARK_DNA_REPAIR,354,22,0.258036166270448,0.1550897503841,-0.102946415886348,0.2,FALSE,FALSE,TRUE,FALSE,20261193,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,rna_pathway_activity,KIRP,REACTOME_GLUTATHIONE_SYNTHESIS_AND_RECYCLING,272,31,0.253841036957362,0.155377723728126,-0.0984633132292359,0.2,FALSE,FALSE,TRUE,FALSE,20261207,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,rna_pathway_activity,ACC,HALLMARK_PI3K_AKT_MTOR_SIGNALING,55,5,0.230387803150591,0.155382149574142,-0.0750056535764489,0.2,FALSE,FALSE,TRUE,FALSE,20261262,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,thorsson,STAD,Mast Cells Resting,334,21,0.207717431895814,0.155820366615233,-0.0518970652805805,0.2,FALSE,FALSE,TRUE,FALSE,20261573,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,rna_pathway_activity,KIRP,HALLMARK_PI3K_AKT_MTOR_SIGNALING,272,31,0.201593066263535,0.156365521726343,-0.0452275445371916,0.2,FALSE,FALSE,TRUE,FALSE,20261361,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,rna_pathway_activity,LGG,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,490,25,0.214058340084772,0.156624711118445,-0.0574336289663272,0.2,FALSE,FALSE,TRUE,FALSE,20261314,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,rna_pathway_activity,KIRP,HALLMARK_COAGULATION,272,31,0.250783841345544,0.156860422622857,-0.0939234187226865,0.2,FALSE,FALSE,TRUE,FALSE,20261213,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,rna_pathway_activity,LUSC,HALLMARK_MTORC1_SIGNALING,475,35,0.209708254320861,0.157105730362926,-0.0526025239579354,0.2,FALSE,FALSE,TRUE,FALSE,20261332,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,thorsson,PCPG,Leukocyte Fraction,175,17,0.263184371254075,0.157337943824074,-0.105846427430001,0.2,FALSE,FALSE,TRUE,FALSE,20261512,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,rna_pathway_activity,TGCT,HALLMARK_PI3K_AKT_MTOR_SIGNALING,149,15,0.276423847236508,0.157704124244935,-0.118719722991573,0.2,FALSE,FALSE,TRUE,FALSE,20261152,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,rna_pathway_activity,LIHC,HALLMARK_INTERFERON_GAMMA_RESPONSE,358,34,0.227068289627931,0.158176937195715,-0.0688913524322162,0.2,FALSE,FALSE,TRUE,FALSE,20261271,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,rna_pathway_activity,ACC,HALLMARK_MYC_TARGETS_V2,55,5,0.260414312652413,0.158690818662586,-0.101723493989828,0.2,FALSE,FALSE,TRUE,FALSE,20261189,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,thorsson,LUSC,TGF-beta Response,462,35,0.225563051732084,0.158877743779279,-0.0666853079528047,0.2,FALSE,FALSE,TRUE,FALSE,20261555,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,rna_pathway_activity,BRCA,HALLMARK_UV_RESPONSE_UP,1052,39,0.260586039611741,0.159475622973876,-0.101110416637865,0.2,FALSE,FALSE,TRUE,FALSE,20261188,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,rna_pathway_activity,CESC,HALLMARK_INTERFERON_ALPHA_RESPONSE,267,29,0.294008246725396,0.159491698163971,-0.134516548561425,0.2,FALSE,FALSE,TRUE,FALSE,20261119,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,rna_pathway_activity,PRAD,HALLMARK_APOPTOSIS,400,27,0.20747905984612,0.159754332470507,-0.0477247273756132,0.2,FALSE,FALSE,TRUE,FALSE,20261342,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,thorsson,KIRC,Stromal Fraction,316,18,0.201695430840412,0.160448160826395,-0.0412472700140168,0.2,FALSE,FALSE,TRUE,FALSE,20261582,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,rna_pathway_activity,LUSC,HALLMARK_IL6_JAK_STAT3_SIGNALING,475,35,0.25706226975803,0.161417431918758,-0.0956448378392716,0.2,FALSE,FALSE,TRUE,FALSE,20261198,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,thorsson,BRCA,BCR Shannon,757,34,0.208999265099118,0.16229545737088,-0.0467038077282381,0.2,FALSE,FALSE,TRUE,FALSE,20261572,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,thorsson,LUSC,Wound Healing,462,35,0.209501018487495,0.163134409628787,-0.046366608858708,0.2,FALSE,FALSE,TRUE,FALSE,20261571,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,rna_pathway_activity,LIHC,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,358,34,0.206903457525192,0.163794000077073,-0.0431094574481193,0.2,FALSE,FALSE,TRUE,FALSE,20261345,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,thorsson,HNSC,Number of Segments,440,26,0.204235997901286,0.164041935414754,-0.0401940624865324,0.2,FALSE,FALSE,TRUE,FALSE,20261580,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,rna_pathway_activity,PRAD,HALLMARK_INTERFERON_GAMMA_RESPONSE,400,27,0.211072728120375,0.164534401764195,-0.0465383263561804,0.2,FALSE,FALSE,TRUE,FALSE,20261326,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,rna_pathway_activity,SARC,HALLMARK_P53_PATHWAY,252,34,0.237766732142109,0.164968022277643,-0.0727987098644658,0.2,FALSE,FALSE,TRUE,FALSE,20261241,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,rna_pathway_activity,LIHC,HALLMARK_OXIDATIVE_PHOSPHORYLATION,358,34,0.21560453971091,0.165367832690999,-0.0502367070199112,0.2,FALSE,FALSE,TRUE,FALSE,20261307,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,rna_pathway_activity,BRCA,HALLMARK_WNT_BETA_CATENIN_SIGNALING,1052,39,0.234089816059577,0.165457180224516,-0.0686326358350607,0.2,FALSE,FALSE,TRUE,FALSE,20261253,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,thorsson,STAD,Wound Healing,334,21,0.345669543497821,0.165570109987722,-0.180099433510099,0.2,FALSE,FALSE,TRUE,FALSE,20261433,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,rna_pathway_activity,LUSC,HALLMARK_COAGULATION,475,35,0.227266897736048,0.16569186564578,-0.0615750320902677,0.2,FALSE,FALSE,TRUE,FALSE,20261270,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,rna_pathway_activity,TGCT,HALLMARK_E2F_TARGETS,149,15,0.382203909590275,0.165783060026047,-0.216420849564228,0.2,FALSE,FALSE,TRUE,FALSE,20260958,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,aneuploidy,THYM,Aneuploidy score,103,17,0.211201479319608,0.166747102109629,-0.0444543772099792,0.2,FALSE,FALSE,TRUE,FALSE,20260823,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,rna_pathway_activity,LUSC,HALLMARK_MYC_TARGETS_V1,475,35,0.300893050320708,0.167074853076077,-0.133818197244632,0.2,FALSE,FALSE,TRUE,FALSE,20261101,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,rna_pathway_activity,CESC,HALLMARK_IL6_JAK_STAT3_SIGNALING,267,29,0.299506584215518,0.167721893385036,-0.131784690830482,0.2,FALSE,FALSE,TRUE,FALSE,20261104,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,rna_pathway_activity,LUSC,HALLMARK_APICAL_JUNCTION,475,35,0.215015881943767,0.167864973261373,-0.0471509086823943,0.2,FALSE,FALSE,TRUE,FALSE,20261310,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,thorsson,KIRC,IFN-gamma Response,492,18,0.206872376219186,0.170886472923855,-0.0359859032953312,0.2,FALSE,FALSE,TRUE,FALSE,20261576,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,thorsson,SARC,Wound Healing,218,33,0.359898721453232,0.170941639782957,-0.188957081670275,0.2,FALSE,FALSE,TRUE,FALSE,20261425,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,rna_pathway_activity,LIHC,HALLMARK_HYPOXIA,358,34,0.207824292720398,0.171050185271116,-0.0367741074492821,0.2,FALSE,FALSE,TRUE,FALSE,20261340,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,thorsson,PRAD,TIL Regional Fraction,332,24,0.413921112607982,0.171520868518977,-0.242400244089005,0.2,FALSE,FALSE,TRUE,FALSE,20261401,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,aneuploidy,STAD,Aneuploidy score,360,22,0.204007788286404,0.172554948638309,-0.0314528396480946,0.2,FALSE,FALSE,TRUE,FALSE,20260824,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,rna_pathway_activity,UCS,HALLMARK_P53_PATHWAY,53,10,0.279495926003822,0.17374017009597,-0.105755755907852,0.2,FALSE,FALSE,TRUE,FALSE,20261145,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,rna_pathway_activity,LUAD,HALLMARK_NOTCH_SIGNALING,462,33,0.235208283676246,0.174062790490101,-0.0611454931861455,0.2,FALSE,FALSE,TRUE,FALSE,20261251,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,rna_pathway_activity,STAD,HALLMARK_APICAL_JUNCTION,354,22,0.225198668558233,0.175026243460795,-0.0501724250974382,0.2,FALSE,FALSE,TRUE,FALSE,20261278,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,thorsson,SARC,Homologous Recombination Defects,238,33,0.321790269211111,0.175124171621777,-0.146666097589334,0.2,FALSE,FALSE,TRUE,FALSE,20261454,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,rna_pathway_activity,THCA,HALLMARK_TGF_BETA_SIGNALING,503,22,0.206536024609887,0.1751826118297,-0.0313534127801875,0.2,FALSE,FALSE,TRUE,FALSE,20261346,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,thorsson,THYM,Nonsilent Mutation Rate,120,19,0.253726215202291,0.175231896363428,-0.0784943188388629,0.2,FALSE,FALSE,TRUE,FALSE,20261522,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,thorsson,LUSC,Th1 Cells,462,35,0.214621792825703,0.176595086734819,-0.0380267060908843,0.2,FALSE,FALSE,TRUE,FALSE,20261565,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,thorsson,LIHC,Homologous Recombination Defects,350,33,0.216402009225197,0.176632458291252,-0.0397695509339451,0.2,FALSE,FALSE,TRUE,FALSE,20261562,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,rna_pathway_activity,COAD,HALLMARK_INTERFERON_GAMMA_RESPONSE,424,24,0.251065828376775,0.17672236555579,-0.074343462820985,0.2,FALSE,FALSE,TRUE,FALSE,20261212,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,thorsson,BLCA,IFN-gamma Response,373,33,0.232677364970389,0.176744394030712,-0.0559329709396773,0.2,FALSE,FALSE,TRUE,FALSE,20261545,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,thorsson,THYM,Stromal Fraction,104,17,0.242116102432495,0.176831859527009,-0.0652842429054857,0.2,FALSE,FALSE,TRUE,FALSE,20261530,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,thorsson,SARC,Th2 Cells,218,33,0.233621246201047,0.176857564711466,-0.056763681489581,0.2,FALSE,FALSE,TRUE,FALSE,20261543,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
