stability_repeat,consensus_class,N,outcome_type,threshold,selected_tasks,proportion,mean_tasks,min_tasks,max_tasks,mean_proportion
2,exactly two,161,continuous,0.13,978,0.164621676891616,163.8,150,172,0.167484662576687
3,exactly two,170,continuous,0.13,978,0.173824130879346,163.8,150,172,0.167484662576687
4,representation specific,223,continuous,0.13,978,0.2280163599182,210,195,223,0.214723926380368
5,exactly two,172,continuous,0.13,978,0.175869120654397,163.8,150,172,0.167484662576687
1,representation specific,195,continuous,0.13,978,0.199386503067485,210,195,223,0.214723926380368
2,representation specific,219,continuous,0.13,978,0.223926380368098,210,195,223,0.214723926380368
3,representation specific,199,continuous,0.13,978,0.203476482617587,210,195,223,0.214723926380368
4,none,49,continuous,0.13,978,0.0501022494887526,53.6,49,62,0.0548057259713701
5,representation specific,214,continuous,0.13,978,0.21881390593047,210,195,223,0.214723926380368
1,none,62,continuous,0.13,978,0.0633946830265849,53.6,49,62,0.0548057259713701
2,none,52,continuous,0.13,978,0.0531697341513292,53.6,49,62,0.0548057259713701
3,none,56,continuous,0.13,978,0.0572597137014315,53.6,49,62,0.0548057259713701
1,exactly two,166,continuous,0.13,978,0.169734151329243,163.8,150,172,0.167484662576687
4,exactly two,150,continuous,0.13,978,0.153374233128834,163.8,150,172,0.167484662576687
5,none,49,continuous,0.13,978,0.0501022494887526,53.6,49,62,0.0548057259713701
1,all three,517,continuous,0.14,978,0.528629856850716,512.2,501,521,0.523721881390593
2,all three,504,continuous,0.14,978,0.515337423312884,512.2,501,521,0.523721881390593
3,all three,521,continuous,0.14,978,0.532719836400818,512.2,501,521,0.523721881390593
4,all three,518,continuous,0.14,978,0.529652351738241,512.2,501,521,0.523721881390593
5,all three,501,continuous,0.14,978,0.512269938650307,512.2,501,521,0.523721881390593
1,exactly two,175,continuous,0.14,978,0.178936605316973,169,159,180,0.17280163599182
2,representation specific,247,continuous,0.14,978,0.252556237218814,228,210,247,0.233128834355828
3,representation specific,225,continuous,0.14,978,0.230061349693252,228,210,247,0.233128834355828
4,representation specific,233,continuous,0.14,978,0.238241308793456,228,210,247,0.233128834355828
5,exactly two,180,continuous,0.14,978,0.184049079754601,169,159,180,0.17280163599182
1,representation specific,210,continuous,0.14,978,0.214723926380368,228,210,247,0.233128834355828
4,none,68,continuous,0.14,978,0.0695296523517382,68.8,62,76,0.0703476482617587
5,representation specific,225,continuous,0.14,978,0.230061349693252,228,210,247,0.233128834355828
1,none,76,continuous,0.14,978,0.0777096114519427,68.8,62,76,0.0703476482617587
2,none,62,continuous,0.14,978,0.0633946830265849,68.8,62,76,0.0703476482617587
3,none,66,continuous,0.14,978,0.0674846625766871,68.8,62,76,0.0703476482617587
2,exactly two,165,continuous,0.14,978,0.168711656441718,169,159,180,0.17280163599182
3,exactly two,166,continuous,0.14,978,0.169734151329243,169,159,180,0.17280163599182
4,exactly two,159,continuous,0.14,978,0.162576687116564,169,159,180,0.17280163599182
5,none,72,continuous,0.14,978,0.0736196319018405,68.8,62,76,0.0703476482617587
1,all three,473,continuous,0.15,978,0.483640081799591,472.8,462,478,0.483435582822086
2,all three,474,continuous,0.15,978,0.484662576687117,472.8,462,478,0.483435582822086
3,all three,478,continuous,0.15,978,0.488752556237219,472.8,462,478,0.483435582822086
4,all three,477,continuous,0.15,978,0.487730061349693,472.8,462,478,0.483435582822086
5,all three,462,continuous,0.15,978,0.47239263803681,472.8,462,478,0.483435582822086
1,exactly two,177,continuous,0.15,978,0.180981595092025,168.2,150,187,0.1719836400818
2,representation specific,268,continuous,0.15,978,0.274028629856851,248.4,235,268,0.25398773006135
3,representation specific,248,continuous,0.15,978,0.253578732106339,248.4,235,268,0.25398773006135
4,representation specific,255,continuous,0.15,978,0.260736196319018,248.4,235,268,0.25398773006135
5,representation specific,236,continuous,0.15,978,0.241308793456033,248.4,235,268,0.25398773006135
1,representation specific,235,continuous,0.15,978,0.240286298568507,248.4,235,268,0.25398773006135
4,none,90,continuous,0.15,978,0.0920245398773006,88.6,81,93,0.0905930470347648
2,none,86,continuous,0.15,978,0.0879345603271984,88.6,81,93,0.0905930470347648
1,none,93,continuous,0.15,978,0.0950920245398773,88.6,81,93,0.0905930470347648
3,none,81,continuous,0.15,978,0.0828220858895705,88.6,81,93,0.0905930470347648
5,none,93,continuous,0.15,978,0.0950920245398773,88.6,81,93,0.0905930470347648
2,exactly two,150,continuous,0.15,978,0.153374233128834,168.2,150,187,0.1719836400818
3,exactly two,171,continuous,0.15,978,0.174846625766871,168.2,150,187,0.1719836400818
4,exactly two,156,continuous,0.15,978,0.159509202453988,168.2,150,187,0.1719836400818
5,exactly two,187,continuous,0.15,978,0.19120654396728,168.2,150,187,0.1719836400818
1,all three,445,continuous,0.16,978,0.455010224948875,438.2,425,445,0.448057259713701
2,all three,443,continuous,0.16,978,0.452965235173824,438.2,425,445,0.448057259713701
3,all three,437,continuous,0.16,978,0.446830265848671,438.2,425,445,0.448057259713701
4,all three,441,continuous,0.16,978,0.450920245398773,438.2,425,445,0.448057259713701
5,all three,425,continuous,0.16,978,0.434560327198364,438.2,425,445,0.448057259713701
1,representation specific,248,continuous,0.16,978,0.253578732106339,256.4,247,264,0.262167689161554
2,representation specific,263,continuous,0.16,978,0.268916155419223,256.4,247,264,0.262167689161554
3,representation specific,247,continuous,0.16,978,0.252556237218814,256.4,247,264,0.262167689161554
4,representation specific,264,continuous,0.16,978,0.269938650306748,256.4,247,264,0.262167689161554
5,representation specific,260,continuous,0.16,978,0.265848670756646,256.4,247,264,0.262167689161554
3,none,118,continuous,0.16,978,0.120654396728016,119.6,114,125,0.122290388548057
4,none,114,continuous,0.16,978,0.116564417177914,119.6,114,125,0.122290388548057
5,none,125,continuous,0.16,978,0.127811860940695,119.6,114,125,0.122290388548057
2,none,122,continuous,0.16,978,0.124744376278119,119.6,114,125,0.122290388548057
1,none,119,continuous,0.16,978,0.121676891615542,119.6,114,125,0.122290388548057
1,exactly two,166,continuous,0.16,978,0.169734151329243,163.8,150,176,0.167484662576687
2,exactly two,150,continuous,0.16,978,0.153374233128834,163.8,150,176,0.167484662576687
3,exactly two,176,continuous,0.16,978,0.179959100204499,163.8,150,176,0.167484662576687
4,exactly two,159,continuous,0.16,978,0.162576687116564,163.8,150,176,0.167484662576687
5,exactly two,168,continuous,0.16,978,0.171779141104294,163.8,150,176,0.167484662576687
1,all three,392,continuous,0.17,978,0.40081799591002,399,392,409,0.407975460122699
2,all three,399,continuous,0.17,978,0.407975460122699,399,392,409,0.407975460122699
3,all three,394,continuous,0.17,978,0.402862985685072,399,392,409,0.407975460122699
4,all three,409,continuous,0.17,978,0.418200408997955,399,392,409,0.407975460122699
5,all three,401,continuous,0.17,978,0.410020449897751,399,392,409,0.407975460122699
1,exactly two,177,continuous,0.17,978,0.180981595092025,164.4,154,177,0.168098159509202
2,exactly two,159,continuous,0.17,978,0.162576687116564,164.4,154,177,0.168098159509202
4,exactly two,157,continuous,0.17,978,0.160531697341513,164.4,154,177,0.168098159509202
1,representation specific,263,continuous,0.17,978,0.268916155419223,263.8,256,268,0.269734151329243
2,representation specific,267,continuous,0.17,978,0.273006134969325,263.8,256,268,0.269734151329243
3,representation specific,256,continuous,0.17,978,0.261758691206544,263.8,256,268,0.269734151329243
4,representation specific,268,continuous,0.17,978,0.274028629856851,263.8,256,268,0.269734151329243
5,representation specific,265,continuous,0.17,978,0.270961145194274,263.8,256,268,0.269734151329243
3,none,153,continuous,0.17,978,0.156441717791411,150.8,144,158,0.154192229038855
4,none,144,continuous,0.17,978,0.147239263803681,150.8,144,158,0.154192229038855
5,none,158,continuous,0.17,978,0.161554192229039,150.8,144,158,0.154192229038855
2,none,153,continuous,0.17,978,0.156441717791411,150.8,144,158,0.154192229038855
1,none,146,continuous,0.17,978,0.149284253578732,150.8,144,158,0.154192229038855
3,exactly two,175,continuous,0.17,978,0.178936605316973,164.4,154,177,0.168098159509202
5,exactly two,154,continuous,0.17,978,0.157464212678937,164.4,154,177,0.168098159509202
1,all three,363,continuous,0.18,978,0.371165644171779,362.4,360,368,0.370552147239264
2,all three,360,continuous,0.18,978,0.368098159509202,362.4,360,368,0.370552147239264
3,all three,360,continuous,0.18,978,0.368098159509202,362.4,360,368,0.370552147239264
4,all three,368,continuous,0.18,978,0.376278118609407,362.4,360,368,0.370552147239264
5,all three,361,continuous,0.18,978,0.369120654396728,362.4,360,368,0.370552147239264
1,exactly two,157,continuous,0.18,978,0.160531697341513,160,157,165,0.16359918200409
2,exactly two,165,continuous,0.18,978,0.168711656441718,160,157,165,0.16359918200409
3,exactly two,160,continuous,0.18,978,0.16359918200409,160,157,165,0.16359918200409
4,exactly two,158,continuous,0.18,978,0.161554192229039,160,157,165,0.16359918200409
1,representation specific,271,continuous,0.18,978,0.277096114519427,265.2,255,272,0.271165644171779
2,representation specific,255,continuous,0.18,978,0.260736196319018,265.2,255,272,0.271165644171779
3,representation specific,272,continuous,0.18,978,0.278118609406953,265.2,255,272,0.271165644171779
4,representation specific,270,continuous,0.18,978,0.276073619631902,265.2,255,272,0.271165644171779
5,representation specific,258,continuous,0.18,978,0.263803680981595,265.2,255,272,0.271165644171779
2,none,198,continuous,0.18,978,0.202453987730061,190.4,182,199,0.194683026584867
3,none,186,continuous,0.18,978,0.190184049079755,190.4,182,199,0.194683026584867
4,none,182,continuous,0.18,978,0.186094069529652,190.4,182,199,0.194683026584867
5,none,199,continuous,0.18,978,0.203476482617587,190.4,182,199,0.194683026584867
1,none,187,continuous,0.18,978,0.19120654396728,190.4,182,199,0.194683026584867
5,exactly two,160,continuous,0.18,978,0.16359918200409,160,157,165,0.16359918200409
1,all three,331,continuous,0.19,978,0.338445807770961,329.6,326,333,0.337014314928425
2,all three,333,continuous,0.19,978,0.340490797546012,329.6,326,333,0.337014314928425
