outcome_type,family,tumor_type,endpoint,outer_folds,minimum_test_patients,maximum_test_patients,minimum_test_sites,maximum_test_sites,minimum_test_positive,maximum_test_positive,minimum_test_negative,maximum_test_negative,minimum_training_patients,maximum_training_patients,minimum_training_sites,maximum_training_sites,inner_site_grouped,maximum_inner_folds_per_site,minimum_sites_per_inner_fold
continuous,thorsson,TGCT,Leukocyte Fraction,5,6,70,3,3,,,,,62,126,12,12,TRUE,1,2
continuous,thorsson,TGCT,Lymphocyte Infiltration Signature Score,5,7,83,3,3,,,,,65,141,12,12,TRUE,1,2
continuous,thorsson,TGCT,Macrophage Regulation,5,5,93,3,3,,,,,55,143,12,12,TRUE,1,2
continuous,thorsson,TGCT,Macrophages M2,5,9,84,3,3,,,,,64,139,12,12,TRUE,1,2
continuous,thorsson,TGCT,Proliferation,5,9,91,3,3,,,,,57,139,12,12,TRUE,1,2
continuous,thorsson,TGCT,Stromal Fraction,5,10,84,3,3,,,,,64,138,12,12,TRUE,1,2
continuous,thorsson,TGCT,TCR Richness,5,8,97,3,3,,,,,51,140,12,12,TRUE,1,2
continuous,thorsson,TGCT,TGF-beta Response,5,7,89,3,3,,,,,59,141,12,12,TRUE,1,2
continuous,thorsson,TGCT,Wound Healing,5,7,97,3,3,,,,,51,141,12,12,TRUE,1,2
continuous,thorsson,THCA,BCR Richness,5,14,80,4,5,,,,,159,225,17,18,TRUE,1,3
continuous,thorsson,THCA,BCR Shannon,5,13,88,4,5,,,,,151,226,17,18,TRUE,1,3
continuous,thorsson,THCA,IFN-gamma Response,5,20,186,4,5,,,,,312,478,17,18,TRUE,1,3
continuous,thorsson,THCA,Leukocyte Fraction,5,37,147,4,5,,,,,354,464,17,18,TRUE,1,3
continuous,thorsson,THCA,Lymphocyte Infiltration Signature Score,5,25,161,4,5,,,,,337,473,17,18,TRUE,1,3
continuous,thorsson,THCA,Macrophage Regulation,5,22,212,4,5,,,,,286,476,17,18,TRUE,1,3
continuous,thorsson,THCA,Macrophages M1,5,30,156,4,5,,,,,342,468,17,18,TRUE,1,3
continuous,thorsson,THCA,Plasma Cells,5,39,186,4,5,,,,,312,459,17,18,TRUE,1,3
continuous,thorsson,THCA,Proliferation,5,25,246,4,5,,,,,252,473,17,18,TRUE,1,3
continuous,thorsson,THCA,TCR Richness,5,39,134,4,5,,,,,364,459,17,18,TRUE,1,3
continuous,thorsson,THCA,TCR Shannon,5,27,180,4,5,,,,,278,431,17,18,TRUE,1,3
continuous,thorsson,THCA,TGF-beta Response,5,13,223,4,5,,,,,275,485,17,18,TRUE,1,3
continuous,thorsson,THCA,Th1 Cells,5,24,161,4,5,,,,,337,474,17,18,TRUE,1,3
continuous,thorsson,THYM,Homologous Recombination Defects,5,5,36,3,4,,,,,68,99,13,14,TRUE,1,2
continuous,thorsson,THYM,Lymphocyte Infiltration Signature Score,5,12,41,3,4,,,,,76,105,15,16,TRUE,1,3
continuous,thorsson,THYM,Macrophages M1,5,4,44,3,4,,,,,73,113,15,16,TRUE,1,3
continuous,thorsson,THYM,Macrophages M2,5,9,37,3,4,,,,,80,108,15,16,TRUE,1,3
continuous,thorsson,THYM,Nonsilent Mutation Rate,5,6,48,3,4,,,,,72,114,15,16,TRUE,1,3
continuous,thorsson,THYM,Proliferation,5,6,56,3,4,,,,,61,111,15,16,TRUE,1,3
continuous,thorsson,THYM,SNV Neoantigens,5,10,35,3,4,,,,,78,103,15,16,TRUE,1,3
continuous,thorsson,THYM,Stromal Fraction,5,5,45,3,4,,,,,59,99,13,14,TRUE,1,2
continuous,thorsson,THYM,T Cells CD4 Memory Resting,5,9,45,3,4,,,,,72,108,15,16,TRUE,1,3
continuous,thorsson,THYM,T Cells Regulatory Tregs,5,11,37,3,4,,,,,80,106,15,16,TRUE,1,3
continuous,thorsson,THYM,TCR Richness,5,7,43,3,4,,,,,74,110,15,16,TRUE,1,3
continuous,thorsson,THYM,TCR Shannon,5,9,37,3,4,,,,,80,108,15,16,TRUE,1,3
continuous,thorsson,THYM,TGF-beta Response,5,7,34,3,4,,,,,83,110,15,16,TRUE,1,3
continuous,thorsson,THYM,Th17 Cells,5,4,57,3,4,,,,,60,113,15,16,TRUE,1,3
continuous,thorsson,THYM,Th2 Cells,5,7,39,3,4,,,,,78,110,15,16,TRUE,1,3
continuous,thorsson,THYM,Wound Healing,5,6,42,3,4,,,,,75,111,15,16,TRUE,1,3
continuous,thorsson,UCEC,Aneuploidy Score,5,49,124,5,6,,,,,353,428,23,24,TRUE,1,4
continuous,thorsson,UCEC,Fraction Altered,5,26,142,5,6,,,,,342,458,23,24,TRUE,1,4
continuous,thorsson,UCEC,Homologous Recombination Defects,5,29,156,5,6,,,,,321,448,23,24,TRUE,1,4
continuous,thorsson,UCEC,Leukocyte Fraction,5,32,254,5,6,,,,,238,460,23,24,TRUE,1,4
continuous,thorsson,UCEC,Lymphocyte Infiltration Signature Score,5,59,207,5,6,,,,,282,430,23,24,TRUE,1,4
continuous,thorsson,UCEC,Macrophage Regulation,5,46,151,5,6,,,,,338,443,23,24,TRUE,1,4
continuous,thorsson,UCEC,Number of Segments,5,62,177,5,6,,,,,307,422,23,24,TRUE,1,4
continuous,thorsson,UCEC,Proliferation,5,40,210,5,6,,,,,279,449,23,24,TRUE,1,4
continuous,thorsson,UCEC,SNV Neoantigens,5,11,156,5,6,,,,,316,461,23,24,TRUE,1,4
continuous,thorsson,UCEC,TIL Regional Fraction,5,43,159,5,5,,,,,287,403,20,20,TRUE,1,4
continuous,thorsson,UCEC,Th2 Cells,5,66,146,5,6,,,,,343,423,23,24,TRUE,1,4
continuous,thorsson,UCEC,Wound Healing,5,43,162,5,6,,,,,327,446,23,24,TRUE,1,4
continuous,thorsson,UVM,Dendritic Cells Activated,5,1,33,1,2,,,,,47,79,4,5,TRUE,1,1
continuous,thorsson,UVM,Lymphocyte Infiltration Signature Score,5,1,35,1,2,,,,,45,79,4,5,TRUE,1,1
continuous,thorsson,UVM,Macrophage Regulation,5,3,33,1,2,,,,,47,77,4,5,TRUE,1,1
continuous,thorsson,UVM,Th1 Cells,5,2,33,1,2,,,,,47,78,4,5,TRUE,1,1
