family,tumor_type,endpoint,n,multi_slide_patients,mean_pool_q2,first_slide_q2,delta_first_minus_mean,seed,backend,svd_method,rsvd_oversample,rsvd_power
rna_pathway_activity,ACC,HALLMARK_TNFA_SIGNALING_VIA_NFKB,55,44,0.390546381008773,0.282767901301061,-0.107778479707712,20260903,cpu,rsvd,32,5
rna_pathway_activity,GBM,HALLMARK_APOPTOSIS,96,45,0.38887299775076,0.350621480118547,-0.038251517632213,20261507,cpu,rsvd,32,5
rna_pathway_activity,THYM,HALLMARK_P53_PATHWAY,117,7,0.388389066980427,0.349409738593713,-0.038979328386714,20263660,cpu,rsvd,32,5
rna_pathway_activity,PAAD,HALLMARK_P53_PATHWAY,176,8,0.388235862395819,0.383357102466682,-0.00487875992913711,20262702,cpu,rsvd,32,5
rna_pathway_activity,ACC,HALLMARK_ADIPOGENESIS,55,44,0.384502832616004,0.297304268562432,-0.0871985640535721,20260859,cpu,rsvd,32,5
rna_pathway_activity,PAAD,HALLMARK_TNFA_SIGNALING_VIA_NFKB,176,8,0.383372032183867,0.366198474530046,-0.0171735576538214,20262710,cpu,rsvd,32,5
rna_pathway_activity,GBM,HALLMARK_XENOBIOTIC_METABOLISM,96,45,0.383045362314369,0.327433843545675,-0.0556115187686938,20261550,cpu,rsvd,32,5
rna_pathway_activity,LUAD,HALLMARK_INTERFERON_GAMMA_RESPONSE,462,20,0.382479314503022,0.38017243945688,-0.0023068750461423,20262268,cpu,rsvd,32,5
rna_pathway_activity,TGCT,HALLMARK_E2F_TARGETS,149,63,0.382203909590275,0.339718056956578,-0.0424858526336966,20263425,cpu,rsvd,32,5
rna_pathway_activity,UVM,HALLMARK_IL6_JAK_STAT3_SIGNALING,80,0,0.382036929982342,0.382036929982342,3.88578058618805e-16,20263956,cpu,rsvd,32,5
rna_pathway_activity,LUAD,HALLMARK_ALLOGRAFT_REJECTION,462,20,0.38099318470266,0.381051826262285,5.8641559625372e-05,20262243,cpu,rsvd,32,5
rna_pathway_activity,THCA,HALLMARK_ADIPOGENESIS,503,12,0.380583308188976,0.379937875204628,-0.000645432984347716,20263520,cpu,rsvd,32,5
rna_pathway_activity,KIRC,HALLMARK_INFLAMMATORY_RESPONSE,510,4,0.380319334183741,0.382633902524685,0.00231456834094357,20261840,cpu,rsvd,32,5
rna_pathway_activity,LGG,HALLMARK_COAGULATION,490,108,0.380084992673081,0.358229771993247,-0.0218552206798344,20262036,cpu,rsvd,32,5
rna_pathway_activity,KIRC,HALLMARK_INTERFERON_GAMMA_RESPONSE,510,4,0.378601645738349,0.379764439754039,0.00116279401569031,20261842,cpu,rsvd,32,5
rna_pathway_activity,SARC,HALLMARK_MTORC1_SIGNALING,252,98,0.378575654694206,0.362554575063893,-0.0160210796303132,20263121,cpu,rsvd,32,5
rna_pathway_activity,TGCT,HALLMARK_IL2_STAT5_SIGNALING,149,63,0.378533823193134,0.355224663458728,-0.0233091597344063,20263435,cpu,rsvd,32,5
rna_pathway_activity,OV,HALLMARK_ADIPOGENESIS,69,1,0.377242249930472,0.381076919232187,0.00383466930171489,20262558,cpu,rsvd,32,5
rna_pathway_activity,PAAD,HALLMARK_APICAL_SURFACE,176,8,0.376496597074421,0.37303135022943,-0.00346524684499155,20262671,cpu,rsvd,32,5
rna_pathway_activity,KIRC,HALLMARK_IL2_STAT5_SIGNALING,510,4,0.375957607603136,0.373294852698635,-0.00266275490450096,20261838,cpu,rsvd,32,5
rna_pathway_activity,THCA,HALLMARK_OXIDATIVE_PHOSPHORYLATION,503,12,0.375807970597116,0.376454567489259,0.000646596892143192,20263555,cpu,rsvd,32,5
rna_pathway_activity,LGG,HALLMARK_ALLOGRAFT_REJECTION,490,108,0.375292925263694,0.376135154634858,0.000842229371163794,20262028,cpu,rsvd,32,5
rna_pathway_activity,KIRP,HALLMARK_OXIDATIVE_PHOSPHORYLATION,272,11,0.37495846478639,0.374918344560976,-4.01202254138311e-05,20261958,cpu,rsvd,32,5
rna_pathway_activity,ACC,HALLMARK_ALLOGRAFT_REJECTION,55,44,0.373941036547767,0.34188446746373,-0.0320565690840369,20260860,cpu,rsvd,32,5
rna_pathway_activity,BLCA,HALLMARK_IL2_STAT5_SIGNALING,382,26,0.372286543670825,0.36736760500264,-0.00491893866818488,20260989,cpu,rsvd,32,5
rna_pathway_activity,LUAD,HALLMARK_SPERMATOGENESIS,462,20,0.371732689784008,0.372913534121745,0.0011808443377368,20262284,cpu,rsvd,32,5
rna_pathway_activity,BLCA,HALLMARK_G2M_CHECKPOINT,382,26,0.371692093024025,0.373524512460997,0.00183241943697171,20260984,cpu,rsvd,32,5
rna_pathway_activity,GBM,HALLMARK_IL6_JAK_STAT3_SIGNALING,96,45,0.371296321706209,0.321669762907107,-0.0496265587991022,20261524,cpu,rsvd,32,5
rna_pathway_activity,LIHC,HALLMARK_APICAL_JUNCTION,358,8,0.371218323331094,0.372159688139138,0.000941364808043577,20262138,cpu,rsvd,32,5
rna_pathway_activity,BLCA,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,382,26,0.370599029186299,0.327767694470442,-0.0428313347158574,20260980,cpu,rsvd,32,5
rna_pathway_activity,LIHC,HALLMARK_ANGIOGENESIS,358,8,0.368827757424777,0.369940123971967,0.00111236654719016,20262137,cpu,rsvd,32,5
rna_pathway_activity,KIRP,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,272,11,0.368048863678463,0.365490717372803,-0.00255814630566043,20261968,cpu,rsvd,32,5
