stability_repeat,selected_tasks,crossings,crossing_proportion,outcome_type,threshold,foundation_model,mean_crossings,min_crossings,max_crossings,mean_crossing_proportion
1,356,173,0.485955056179775,binary,0.6,GigaSSL,167.2,156,173,0.469662921348315
2,356,169,0.474719101123596,binary,0.6,GigaSSL,167.2,156,173,0.469662921348315
3,356,169,0.474719101123596,binary,0.6,GigaSSL,167.2,156,173,0.469662921348315
4,356,169,0.474719101123596,binary,0.6,GigaSSL,167.2,156,173,0.469662921348315
5,356,156,0.438202247191011,binary,0.6,GigaSSL,167.2,156,173,0.469662921348315
1,356,174,0.48876404494382,binary,0.6,ProvGigaPath,179.6,172,188,0.504494382022472
2,356,172,0.48314606741573,binary,0.6,ProvGigaPath,179.6,172,188,0.504494382022472
3,356,188,0.528089887640449,binary,0.6,ProvGigaPath,179.6,172,188,0.504494382022472
4,356,182,0.51123595505618,binary,0.6,ProvGigaPath,179.6,172,188,0.504494382022472
5,356,182,0.51123595505618,binary,0.6,ProvGigaPath,179.6,172,188,0.504494382022472
1,356,221,0.620786516853933,binary,0.61,TITAN,216,212,221,0.606741573033708
2,356,215,0.603932584269663,binary,0.61,TITAN,216,212,221,0.606741573033708
3,356,212,0.595505617977528,binary,0.61,TITAN,216,212,221,0.606741573033708
4,356,216,0.606741573033708,binary,0.61,TITAN,216,212,221,0.606741573033708
5,356,216,0.606741573033708,binary,0.61,TITAN,216,212,221,0.606741573033708
1,356,148,0.415730337078652,binary,0.61,GigaSSL,146.8,138,153,0.412359550561798
2,356,153,0.429775280898876,binary,0.61,GigaSSL,146.8,138,153,0.412359550561798
3,356,152,0.426966292134831,binary,0.61,GigaSSL,146.8,138,153,0.412359550561798
4,356,143,0.401685393258427,binary,0.61,GigaSSL,146.8,138,153,0.412359550561798
5,356,138,0.387640449438202,binary,0.61,GigaSSL,146.8,138,153,0.412359550561798
1,356,154,0.432584269662921,binary,0.61,ProvGigaPath,160.4,154,166,0.450561797752809
2,356,157,0.441011235955056,binary,0.61,ProvGigaPath,160.4,154,166,0.450561797752809
3,356,162,0.455056179775281,binary,0.61,ProvGigaPath,160.4,154,166,0.450561797752809
4,356,166,0.466292134831461,binary,0.61,ProvGigaPath,160.4,154,166,0.450561797752809
5,356,163,0.457865168539326,binary,0.61,ProvGigaPath,160.4,154,166,0.450561797752809
1,356,199,0.558988764044944,binary,0.62,TITAN,201.2,198,206,0.565168539325843
2,356,202,0.567415730337079,binary,0.62,TITAN,201.2,198,206,0.565168539325843
3,356,198,0.556179775280899,binary,0.62,TITAN,201.2,198,206,0.565168539325843
4,356,201,0.564606741573034,binary,0.62,TITAN,201.2,198,206,0.565168539325843
5,356,206,0.578651685393258,binary,0.62,TITAN,201.2,198,206,0.565168539325843
1,356,131,0.367977528089888,binary,0.62,GigaSSL,131.8,123,138,0.370224719101124
2,356,138,0.387640449438202,binary,0.62,GigaSSL,131.8,123,138,0.370224719101124
3,356,133,0.373595505617978,binary,0.62,GigaSSL,131.8,123,138,0.370224719101124
4,356,134,0.376404494382022,binary,0.62,GigaSSL,131.8,123,138,0.370224719101124
5,356,123,0.345505617977528,binary,0.62,GigaSSL,131.8,123,138,0.370224719101124
1,356,147,0.412921348314607,binary,0.62,ProvGigaPath,145.8,142,151,0.409550561797753
2,356,144,0.404494382022472,binary,0.62,ProvGigaPath,145.8,142,151,0.409550561797753
3,356,142,0.398876404494382,binary,0.62,ProvGigaPath,145.8,142,151,0.409550561797753
4,356,151,0.424157303370787,binary,0.62,ProvGigaPath,145.8,142,151,0.409550561797753
5,356,145,0.407303370786517,binary,0.62,ProvGigaPath,145.8,142,151,0.409550561797753
1,356,183,0.514044943820225,binary,0.63,TITAN,185,183,191,0.519662921348315
2,356,185,0.519662921348315,binary,0.63,TITAN,185,183,191,0.519662921348315
3,356,183,0.514044943820225,binary,0.63,TITAN,185,183,191,0.519662921348315
4,356,183,0.514044943820225,binary,0.63,TITAN,185,183,191,0.519662921348315
5,356,191,0.536516853932584,binary,0.63,TITAN,185,183,191,0.519662921348315
1,356,119,0.334269662921348,binary,0.63,GigaSSL,120,111,124,0.337078651685393
2,356,122,0.342696629213483,binary,0.63,GigaSSL,120,111,124,0.337078651685393
3,356,124,0.348314606741573,binary,0.63,GigaSSL,120,111,124,0.337078651685393
4,356,124,0.348314606741573,binary,0.63,GigaSSL,120,111,124,0.337078651685393
5,356,111,0.311797752808989,binary,0.63,GigaSSL,120,111,124,0.337078651685393
1,356,130,0.365168539325843,binary,0.63,ProvGigaPath,130.2,127,136,0.365730337078652
2,356,130,0.365168539325843,binary,0.63,ProvGigaPath,130.2,127,136,0.365730337078652
3,356,128,0.359550561797753,binary,0.63,ProvGigaPath,130.2,127,136,0.365730337078652
4,356,136,0.382022471910112,binary,0.63,ProvGigaPath,130.2,127,136,0.365730337078652
5,356,127,0.356741573033708,binary,0.63,ProvGigaPath,130.2,127,136,0.365730337078652
1,356,166,0.466292134831461,binary,0.64,TITAN,171.6,166,177,0.482022471910112
2,356,171,0.480337078651685,binary,0.64,TITAN,171.6,166,177,0.482022471910112
3,356,171,0.480337078651685,binary,0.64,TITAN,171.6,166,177,0.482022471910112
4,356,173,0.485955056179775,binary,0.64,TITAN,171.6,166,177,0.482022471910112
5,356,177,0.497191011235955,binary,0.64,TITAN,171.6,166,177,0.482022471910112
1,356,104,0.292134831460674,binary,0.64,GigaSSL,104.6,99,109,0.293820224719101
2,356,107,0.300561797752809,binary,0.64,GigaSSL,104.6,99,109,0.293820224719101
3,356,109,0.306179775280899,binary,0.64,GigaSSL,104.6,99,109,0.293820224719101
4,356,104,0.292134831460674,binary,0.64,GigaSSL,104.6,99,109,0.293820224719101
5,356,99,0.278089887640449,binary,0.64,GigaSSL,104.6,99,109,0.293820224719101
1,356,116,0.325842696629214,binary,0.64,ProvGigaPath,114.4,109,119,0.321348314606742
2,356,117,0.328651685393258,binary,0.64,ProvGigaPath,114.4,109,119,0.321348314606742
3,356,109,0.306179775280899,binary,0.64,ProvGigaPath,114.4,109,119,0.321348314606742
4,356,119,0.334269662921348,binary,0.64,ProvGigaPath,114.4,109,119,0.321348314606742
5,356,111,0.311797752808989,binary,0.64,ProvGigaPath,114.4,109,119,0.321348314606742
1,356,152,0.426966292134831,binary,0.65,TITAN,157.4,152,163,0.442134831460674
2,356,156,0.438202247191011,binary,0.65,TITAN,157.4,152,163,0.442134831460674
3,356,160,0.449438202247191,binary,0.65,TITAN,157.4,152,163,0.442134831460674
4,356,156,0.438202247191011,binary,0.65,TITAN,157.4,152,163,0.442134831460674
5,356,163,0.457865168539326,binary,0.65,TITAN,157.4,152,163,0.442134831460674
1,356,98,0.275280898876405,binary,0.65,GigaSSL,92.6,86,98,0.260112359550562
2,356,91,0.25561797752809,binary,0.65,GigaSSL,92.6,86,98,0.260112359550562
3,356,91,0.25561797752809,binary,0.65,GigaSSL,92.6,86,98,0.260112359550562
4,356,97,0.27247191011236,binary,0.65,GigaSSL,92.6,86,98,0.260112359550562
5,356,86,0.241573033707865,binary,0.65,GigaSSL,92.6,86,98,0.260112359550562
1,356,102,0.286516853932584,binary,0.65,ProvGigaPath,100.4,96,104,0.282022471910112
2,356,104,0.292134831460674,binary,0.65,ProvGigaPath,100.4,96,104,0.282022471910112
3,356,96,0.269662921348315,binary,0.65,ProvGigaPath,100.4,96,104,0.282022471910112
4,356,100,0.280898876404494,binary,0.65,ProvGigaPath,100.4,96,104,0.282022471910112
5,356,100,0.280898876404494,binary,0.65,ProvGigaPath,100.4,96,104,0.282022471910112
