outcome_type,family,tumor_type,endpoint,selection_reason,n,observed_metric,observed_value,primary_p_999,primary_exceedances_999,refined_p_9999,refined_exceedances_9999,refined_permutations,refinement_stopped_early,refined_mc_lower_95,refined_mc_upper_95,zero_exceedances,full_nested_process_repeated,scaling_relearned_within_folds,inner_component_selection_repeated,outer_predictions_regenerated,refinement_use,backend,parallel_workers,fastPLS_version,fastPLS_remote_sha,pls_method,scaling,classifier,target_registry_git_commit,svd_method,rsvd_oversample,rsvd_power,seed_rule
binary,driver_mutation,COAD,APC,binary example reported in the abstract and main table,382,balanced accuracy (higher is more extreme),0.793339916611806,0.001,0,1e-04,0,9999,FALSE,0,0.000368856793495189,TRUE,TRUE,TRUE,TRUE,TRUE,targeted Monte Carlo precision sensitivity only; not substituted into the prespecified 999-permutation FDR screen,cpu,4,0.99.20,dcf45cccee8a1cb1a3ae8b3353a410ab0902162f,simpls,centering,LDA,ac30ccb,rsvd,10,2,primary seed + 500000 + permutation index; fit seed = primary seed + 3000 + permutation index
binary,driver_mutation,THYM,GTF2I,leading mutation-discrimination example,120,balanced accuracy (higher is more extreme),0.883300916921367,0.001,0,1e-04,0,9999,FALSE,0,0.000368856793495189,TRUE,TRUE,TRUE,TRUE,TRUE,targeted Monte Carlo precision sensitivity only; not substituted into the prespecified 999-permutation FDR screen,cpu,4,0.99.20,dcf45cccee8a1cb1a3ae8b3353a410ab0902162f,simpls,centering,LDA,ac30ccb,rsvd,10,2,primary seed + 500000 + permutation index; fit seed = primary seed + 3000 + permutation index
binary,fusion,UCEC,Any called fusion,leading fusion example,153,balanced accuracy (higher is more extreme),0.792208904109589,0.001,0,1e-04,0,9999,FALSE,0,0.000368856793495189,TRUE,TRUE,TRUE,TRUE,TRUE,targeted Monte Carlo precision sensitivity only; not substituted into the prespecified 999-permutation FDR screen,cpu,4,0.99.20,dcf45cccee8a1cb1a3ae8b3353a410ab0902162f,simpls,centering,LDA,ac30ccb,rsvd,10,2,primary seed + 500000 + permutation index; fit seed = primary seed + 3000 + permutation index
binary,microsatellite_instability_sensitivity,COAD,MSI-H strict (MANTIS >0.6),leading strict-MSI example,374,balanced accuracy (higher is more extreme),0.784050030438873,0.001,0,1e-04,0,9999,FALSE,0,0.000368856793495189,TRUE,TRUE,TRUE,TRUE,TRUE,targeted Monte Carlo precision sensitivity only; not substituted into the prespecified 999-permutation FDR screen,cpu,4,0.99.20,dcf45cccee8a1cb1a3ae8b3353a410ab0902162f,simpls,centering,LDA,ac30ccb,rsvd,10,2,primary seed + 500000 + permutation index; fit seed = primary seed + 3000 + permutation index
continuous,thorsson,BRCA,Wound Healing,leading common-cancer continuous immune-programme example,1039,RMSE (lower is more extreme),0.110993065602254,0.001,0,1e-04,0,9999,FALSE,0,0.000368856793495189,TRUE,TRUE,TRUE,TRUE,TRUE,targeted Monte Carlo precision sensitivity only; not substituted into the prespecified 999-permutation FDR screen,cpu,4,0.99.20,dcf45cccee8a1cb1a3ae8b3353a410ab0902162f,simpls,centering,not applicable,ac30ccb,rsvd,10,2,primary seed + 500000 + permutation index; fit seed = primary seed + 3000 + permutation index
continuous,thorsson,TGCT,TGF-beta Response,highest-Q2 continuous screen result and main Figure 4 example,148,RMSE (lower is more extreme),0.30269309097859,0.001,0,1e-04,0,9999,FALSE,0,0.000368856793495189,TRUE,TRUE,TRUE,TRUE,TRUE,targeted Monte Carlo precision sensitivity only; not substituted into the prespecified 999-permutation FDR screen,cpu,4,0.99.20,dcf45cccee8a1cb1a3ae8b3353a410ab0902162f,simpls,centering,not applicable,ac30ccb,rsvd,10,2,primary seed + 500000 + permutation index; fit seed = primary seed + 3000 + permutation index
continuous,thorsson,THCA,Lymphocyte Infiltration Signature Score,leading lymphocyte-infiltration example,498,RMSE (lower is more extreme),0.77828065101072,0.001,0,1e-04,0,9999,FALSE,0,0.000368856793495189,TRUE,TRUE,TRUE,TRUE,TRUE,targeted Monte Carlo precision sensitivity only; not substituted into the prespecified 999-permutation FDR screen,cpu,4,0.99.20,dcf45cccee8a1cb1a3ae8b3353a410ab0902162f,simpls,centering,not applicable,ac30ccb,rsvd,10,2,primary seed + 500000 + permutation index; fit seed = primary seed + 3000 + permutation index
continuous,thorsson,THYM,Th17 Cells,leading continuous immune-cell example,117,RMSE (lower is more extreme),1646.23940481325,0.001,0,1e-04,0,9999,FALSE,0,0.000368856793495189,TRUE,TRUE,TRUE,TRUE,TRUE,targeted Monte Carlo precision sensitivity only; not substituted into the prespecified 999-permutation FDR screen,cpu,4,0.99.20,dcf45cccee8a1cb1a3ae8b3353a410ab0902162f,simpls,centering,not applicable,ac30ccb,rsvd,10,2,primary seed + 500000 + permutation index; fit seed = primary seed + 3000 + permutation index
