source,tumor_type,cohort_patients,covered_patients,missing_patients,covered_primary_aliquots,patients_with_multiple_primary_aliquots,maximum_primary_aliquots,aggregation_rule
Gao2018_TableS1,LIHC,364,357,7,357,0,1,study sample list defines assay coverage; no call within covered samples is zero; calls collapsed by unique fusion
Gao2018_TableS1,LUAD,468,461,7,461,0,1,study sample list defines assay coverage; no call within covered samples is zero; calls collapsed by unique fusion
Gao2018_TableS1,LUSC,477,475,2,475,0,1,study sample list defines assay coverage; no call within covered samples is zero; calls collapsed by unique fusion
Gao2018_TableS1,MESO,75,75,0,75,0,1,study sample list defines assay coverage; no call within covered samples is zero; calls collapsed by unique fusion
Gao2018_TableS1,OV,106,83,23,83,0,1,study sample list defines assay coverage; no call within covered samples is zero; calls collapsed by unique fusion
Gao2018_TableS1,PAAD,183,176,7,176,0,1,study sample list defines assay coverage; no call within covered samples is zero; calls collapsed by unique fusion
Gao2018_TableS1,PCPG,176,176,0,176,0,1,study sample list defines assay coverage; no call within covered samples is zero; calls collapsed by unique fusion
Gao2018_TableS1,PRAD,402,400,2,400,0,1,study sample list defines assay coverage; no call within covered samples is zero; calls collapsed by unique fusion
Gao2018_TableS1,READ,156,81,75,81,0,1,study sample list defines assay coverage; no call within covered samples is zero; calls collapsed by unique fusion
Gao2018_TableS1,SARC,254,252,2,252,0,1,study sample list defines assay coverage; no call within covered samples is zero; calls collapsed by unique fusion
Gao2018_TableS1,SKCM,292,97,195,97,0,1,study sample list defines assay coverage; no call within covered samples is zero; calls collapsed by unique fusion
Gao2018_TableS1,STAD,374,280,94,280,0,1,study sample list defines assay coverage; no call within covered samples is zero; calls collapsed by unique fusion
Gao2018_TableS1,TGCT,149,149,0,149,0,1,study sample list defines assay coverage; no call within covered samples is zero; calls collapsed by unique fusion
Gao2018_TableS1,THCA,505,502,3,502,0,1,study sample list defines assay coverage; no call within covered samples is zero; calls collapsed by unique fusion
Gao2018_TableS1,THYM,121,117,4,117,0,1,study sample list defines assay coverage; no call within covered samples is zero; calls collapsed by unique fusion
Gao2018_TableS1,UCEC,505,153,352,153,0,1,study sample list defines assay coverage; no call within covered samples is zero; calls collapsed by unique fusion
Gao2018_TableS1,UCS,53,53,0,53,0,1,study sample list defines assay coverage; no call within covered samples is zero; calls collapsed by unique fusion
Gao2018_TableS1,UVM,80,80,0,80,0,1,study sample list defines assay coverage; no call within covered samples is zero; calls collapsed by unique fusion
SanchezVega2018_TableS4,,9,0,9,0,0,0,any altered primary aliquot defines patient-level pathway alteration
SanchezVega2018_TableS4,ACC,56,53,3,53,0,1,any altered primary aliquot defines patient-level pathway alteration
SanchezVega2018_TableS4,BLCA,386,373,13,373,0,1,any altered primary aliquot defines patient-level pathway alteration
SanchezVega2018_TableS4,BRCA,1054,942,112,942,0,1,any altered primary aliquot defines patient-level pathway alteration
SanchezVega2018_TableS4,CESC,269,238,31,238,0,1,any altered primary aliquot defines patient-level pathway alteration
SanchezVega2018_TableS4,CHOL,39,36,3,36,0,1,any altered primary aliquot defines patient-level pathway alteration
SanchezVega2018_TableS4,COAD,433,323,110,323,0,1,any altered primary aliquot defines patient-level pathway alteration
SanchezVega2018_TableS4,DLBC,44,33,11,33,0,1,any altered primary aliquot defines patient-level pathway alteration
SanchezVega2018_TableS4,ESCA,156,143,13,143,0,1,any altered primary aliquot defines patient-level pathway alteration
SanchezVega2018_TableS4,GBM,384,71,313,71,0,1,any altered primary aliquot defines patient-level pathway alteration
SanchezVega2018_TableS4,HNSC,450,412,38,412,0,1,any altered primary aliquot defines patient-level pathway alteration
SanchezVega2018_TableS4,KICH,108,65,43,65,0,1,any altered primary aliquot defines patient-level pathway alteration
