foundation_model,outcome_type,family,subfamily,tumor_type,endpoint,source,n_primary,positive_primary,negative_primary,metric_primary,screen_positive_primary,n_exact,positive_exact,negative_exact,metric_exact,screen_positive_exact,delta_exact_minus_primary,threshold_change
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,ERCC2,TCGA_MC3_Bailey2018,384,35,349,0.537617683176423,FALSE,384,35,349,0.537617683176423,FALSE,0,retained negative
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,FAT1,TCGA_MC3_Bailey2018,384,46,338,0.557756624646257,FALSE,384,46,338,0.557756624646257,FALSE,0,retained negative
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,FBXW7,TCGA_MC3_Bailey2018,384,30,354,0.564030131826742,FALSE,384,30,354,0.564030131826742,FALSE,0,retained negative
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,FGFR3,TCGA_MC3_Bailey2018,384,54,330,0.819921436588103,TRUE,384,54,330,0.819921436588103,TRUE,0,retained positive
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,KANSL1,TCGA_MC3_Bailey2018,384,24,360,0.481134259259259,FALSE,384,24,360,0.481134259259259,FALSE,0,retained negative
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,KDM6A,TCGA_MC3_Bailey2018,384,96,288,0.515118634259259,FALSE,384,96,288,0.515118634259259,FALSE,0,retained negative
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,KLF5,TCGA_MC3_Bailey2018,384,21,363,0.453233635051817,FALSE,384,21,363,0.453233635051817,FALSE,0,retained negative
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,KMT2C,TCGA_MC3_Bailey2018,384,71,313,0.501507447239347,FALSE,384,71,313,0.501507447239347,FALSE,0,retained negative
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,KMT2D,TCGA_MC3_Bailey2018,384,110,274,0.454346383543464,FALSE,384,110,274,0.454346383543464,FALSE,0,retained negative
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,NFE2L2,TCGA_MC3_Bailey2018,384,24,360,0.561805555555556,FALSE,384,24,360,0.561805555555556,FALSE,0,retained negative
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,PIK3CA,TCGA_MC3_Bailey2018,384,82,302,0.533476013568083,FALSE,384,82,302,0.533476013568083,FALSE,0,retained negative
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,RB1,TCGA_MC3_Bailey2018,384,73,311,0.648856979253843,TRUE,384,73,311,0.648856979253843,TRUE,0,retained positive
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,RHOB,TCGA_MC3_Bailey2018,384,24,360,0.569791666666667,FALSE,384,24,360,0.569791666666667,FALSE,0,retained negative
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,RXRA,TCGA_MC3_Bailey2018,384,21,363,0.561196379378198,FALSE,384,21,363,0.561196379378198,FALSE,0,retained negative
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,SF3B1,TCGA_MC3_Bailey2018,384,22,362,0.531140130587644,FALSE,384,22,362,0.531140130587644,FALSE,0,retained negative
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,SPTAN1,TCGA_MC3_Bailey2018,384,45,339,0.535299901671583,FALSE,384,45,339,0.535299901671583,FALSE,0,retained negative
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,STAG2,TCGA_MC3_Bailey2018,384,53,331,0.636721199338768,TRUE,384,53,331,0.636721199338768,TRUE,0,retained positive
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,TP53,TCGA_MC3_Bailey2018,384,185,199,0.622436506858617,TRUE,384,185,199,0.622436506858617,TRUE,0,retained positive
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,TSC1,TCGA_MC3_Bailey2018,384,34,350,0.530672268907563,FALSE,384,34,350,0.530672268907563,FALSE,0,retained negative
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,ZFP36L1,TCGA_MC3_Bailey2018,384,25,359,0.580724233983287,FALSE,384,25,359,0.580724233983287,FALSE,0,retained negative
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,CESC,EP300,TCGA_MC3_Bailey2018,251,30,221,0.624132730015083,TRUE,251,30,221,0.624132730015083,TRUE,0,retained positive
