family,tumor_type,endpoint,n,positive,negative,tier,balanced_accuracy,adjusted_balanced_accuracy,q_value,repeated_sensitivity_mean,repeated_specificity_mean,repeated_balanced_accuracy_mean,repeated_auc_mean,repeated_pr_auc_mean,repeated_pr_auc_sd,repeated_pr_auc_minimum,repeated_pr_auc_maximum,ppv_tcga_prevalence_mean,ppv_tcga_prevalence_sd,npv_tcga_prevalence_mean,npv_tcga_prevalence_sd,observed_tcga_prevalence,minimum_outer_training_positive,minimum_outer_training_negative,minimum_outer_test_positive,minimum_outer_test_negative,maximum_outer_test_positive,maximum_outer_test_negative,selected_components_median,selected_components_q1,selected_components_q3,selected_components_minimum,selected_components_maximum,selected_components_unique,minimum_inner_training_positive,minimum_inner_training_negative,minimum_inner_validation_positive,minimum_inner_validation_negative,repeat_score_spearman_mean,repeat_score_spearman_minimum,repeat_class_agreement_mean,patients_same_class_all_repeats,median_patient_score_z_sd,minimum_class_n,eligible_at_50_per_class,model_evidence_tier,default_inference,limited_evidence_reason,pr_auc_definition,predictive_value_scope
driver_mutation,BLCA,TP53,384,185,199,B,0.629526008420481,0.259052016840962,0.015,0.673513513513514,0.612060301507538,0.642786907510526,0.679663180768709,0.62869316611413,0.0323326955112544,0.585136624857396,0.66240968060274,0.617456861127499,0.0184204240138276,0.668773955575718,0.0232507218469718,0.481770833333333,148,159,37,39,37,40,2,1,11,1,20,9,118,127,29,31,0.618415957410736,0.593943279305551,0.7890625,0.567708333333333,0.452488244868639,185,TRUE,standard_internal_evidence,TRUE,"","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
driver_mutation,BRCA,CDH1,981,96,885,A,0.711334745762712,0.422669491525424,0.005,0.514583333333333,0.941468926553672,0.728026129943503,0.877893126177025,0.43964606420397,0.0147427012693579,0.419400283472379,0.45805534814089,0.488050022951013,0.0182122022202724,0.947047317038178,0.00356346641501997,0.0978593272171254,76,708,19,177,20,177,7,6,8,2,14,9,60,566,15,141,0.765374839859148,0.703522189906999,0.968399592252803,0.934760448521916,0.279019904621402,96,TRUE,standard_internal_evidence,TRUE,"","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
driver_mutation,BRCA,PIK3CA,981,266,715,B,0.639152952310847,0.278305904621694,0.005,0.395488721804511,0.853706293706294,0.624597507755403,0.712534833587465,0.457137395573682,0.0127652577111098,0.44219882212193,0.472900135292943,0.501780680800019,0.0187973414422417,0.791506558594365,0.00463234395723631,0.271151885830785,212,572,53,143,54,143,8,8,11,6,19,10,169,457,42,114,0.827093719529704,0.795390625466727,0.877675840978593,0.748216106014271,0.329573689128002,266,TRUE,standard_internal_evidence,TRUE,"","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
driver_mutation,BRCA,TP53,981,259,722,A,0.722149434753313,0.444298869506626,0.005,0.590733590733591,0.894736842105263,0.742735216419427,0.833974694916523,0.633413211039701,0.0205632822226777,0.618621451263644,0.668032160482306,0.66894543122631,0.0185726281115685,0.859161184464787,0.00775791020109894,0.26401630988787,207,577,51,144,52,145,8,8,8,2,12,8,165,461,41,115,0.895824744292605,0.858858733238994,0.933333333333333,0.864424057084608,0.244921882548976,259,TRUE,standard_internal_evidence,TRUE,"","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
driver_mutation,COAD,APC,382,196,186,A,0.776936581084047,0.553873162168093,0.00433333333333333,0.88265306122449,0.704301075268817,0.793477068246654,0.85139346061005,0.822311735386529,0.0130405295320902,0.800261656439998,0.830696238393723,0.759044116340054,0.0140097114802957,0.850741621770221,0.00735698871285778,0.513089005235602,156,148,39,37,40,38,2,2,2,1,5,4,124,118,31,29,0.943175747174701,0.917237854734619,0.942408376963351,0.884816753926702,0.138186024590547,186,TRUE,standard_internal_evidence,TRUE,"","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
driver_mutation,COAD,KRAS,382,126,256,B,0.676277281746032,0.352554563492064,0.00433333333333333,0.555555555555556,0.80078125,0.678168402777778,0.759108382936508,0.559234446192113,0.0513739515758553,0.477509200445569,0.605358902171377,0.579713158098931,0.0301499133994424,0.785497259738791,0.010556041108018,0.329842931937173,100,204,25,51,26,52,4,3,8,2,20,11,80,163,20,40,0.731922361836604,0.652908675603963,0.83717277486911,0.664921465968586,0.461376988492583,126,TRUE,standard_internal_evidence,TRUE,"","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
driver_mutation,COAD,TP53,382,161,221,A,0.767446108878334,0.534892217756668,0.00433333333333333,0.773913043478261,0.769230769230769,0.771571906354515,0.851600573339704,0.788537567184831,0.0325776759871384,0.73464376589853,0.819876923258562,0.709745019665949,0.0172220498404434,0.823573894956512,0.00895090395487077,0.421465968586387,128,176,32,44,33,45,2,2,3,2,7,6,102,140,25,35,0.929021635271819,0.904711848137078,0.922513089005236,0.835078534031414,0.198407156042426,161,TRUE,standard_internal_evidence,TRUE,"","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
driver_mutation,HNSC,NSD1,431,51,380,B,0.649432404540764,0.298864809081527,0.009,0.325490196078431,0.934210526315789,0.629850361197111,0.738823529411765,0.347194841413682,0.0393398241381171,0.306946714888666,0.402564449525671,0.408220395548139,0.0792288628848885,0.91164810037298,0.00294110634798472,0.118329466357309,40,304,10,76,11,76,9,7,10,5,15,10,32,243,8,60,0.735910522971037,0.668320473389809,0.940603248259861,0.870069605568446,0.413129880893688,51,TRUE,standard_internal_evidence,TRUE,"","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
driver_mutation,HNSC,TP53,431,320,111,B,0.658769707207207,0.317539414414414,0.009,0.890625,0.363963963963964,0.627294481981982,0.669318693693694,0.822823314904467,0.0200650875464043,0.794057090331235,0.844111690810032,0.801444834270057,0.00277871914382178,0.545299145299145,0.0644243912722133,0.74245939675174,256,88,64,22,64,23,5,3,8,2,19,12,204,70,51,17,0.619956054365486,0.530389035774025,0.873317865429234,0.737819025522042,0.463533972796246,111,TRUE,standard_internal_evidence,TRUE,"","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
driver_mutation,KIRC,VHL,353,161,192,B,0.600219979296066,0.200439958592133,0.005,0.577639751552795,0.567708333333333,0.572674042443064,0.587525879917184,0.507038345317569,0.0195397232615297,0.47680704427822,0.530252283779635,0.528192762921087,0.0102590825137618,0.616172085746302,0.014668900543365,0.456090651558074,128,153,32,38,33,39,1,1,1,1,14,4,102,122,25,30,0.689112444728652,0.560702180735671,0.808498583569405,0.589235127478754,0.326424923954649,161,TRUE,standard_internal_evidence,TRUE,"","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
driver_mutation,LGG,ATRX,485,181,304,A,0.769709581273626,0.539419162547252,0.00185714285714286,0.723756906077348,0.838815789473684,0.781286347775516,0.850290782204129,0.734954099950791,0.0222194114971864,0.700375031494536,0.758105963527663,0.728505592506771,0.0179228989667439,0.836254086843394,0.00816107965207976,0.37319587628866,144,243,36,60,37,61,4,3,6,2,11,8,115,194,28,48,0.877547420471507,0.839809529219089,0.902680412371134,0.8,0.283621874983972,181,TRUE,standard_internal_evidence,TRUE,"","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
driver_mutation,LGG,CIC,485,105,380,A,0.785964912280702,0.571929824561404,0.00185714285714286,0.63047619047619,0.889473684210526,0.759974937343358,0.874140350877193,0.614298404941656,0.0365373594134499,0.554687449894682,0.650176290752434,0.612267330486525,0.0213767778650602,0.897022122992943,0.00353487112676124,0.216494845360825,84,304,21,76,21,76,4,3,6,2,12,9,67,243,16,60,0.841572782916113,0.803907343769887,0.927422680412371,0.845360824742268,0.330362416624889,105,TRUE,standard_internal_evidence,TRUE,"","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
driver_mutation,LGG,IDH1,485,375,110,A,0.781636363636364,0.563272727272727,0.00185714285714286,0.930666666666667,0.623636363636364,0.777151515151515,0.849978181818182,0.935040218416764,0.00484847318217115,0.929959160475164,0.942283189896458,0.893978589092802,0.0055139541558149,0.725658395799094,0.0240377124029397,0.77319587628866,300,88,75,22,75,22,3,2,3,2,6,4,240,70,60,17,0.850485580579301,0.822383051592674,0.954639175257732,0.905154639175258,0.241372905211051,110,TRUE,standard_internal_evidence,TRUE,"","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
driver_mutation,LGG,TP53,485,232,253,A,0.854683453727682,0.709366907455363,0.00185714285714286,0.831896551724138,0.875098814229249,0.853497682976694,0.905758484394167,0.883439241795015,0.0113037927963142,0.869546268508974,0.897068007047285,0.85947311022311,0.0132745712207387,0.850377350736409,0.0121118024871101,0.478350515463918,185,202,46,50,47,51,4,3,6,3,10,7,148,161,37,40,0.929203426538634,0.906831198583776,0.921237113402062,0.839175257731959,0.227901715521259,232,TRUE,standard_internal_evidence,TRUE,"","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
driver_mutation,LIHC,CTNNB1,350,93,257,B,0.643173925777164,0.286347851554328,0.0035,0.490322580645161,0.820233463035019,0.655278021840091,0.73017865361282,0.49044666291615,0.042937711021436,0.441940744854742,0.533489707492101,0.502539140285136,0.0619035601561798,0.816234664774613,0.0116705405218315,0.265714285714286,74,205,18,51,19,52,8,6,10,2,20,12,59,164,14,41,0.691217173784509,0.627838268067495,0.818285714285714,0.625714285714286,0.453480699014394,93,TRUE,standard_internal_evidence,TRUE,"","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
driver_mutation,LIHC,TP53,350,107,243,B,0.623129879620015,0.246259759240029,0.0035,0.349532710280374,0.878189300411523,0.613861005345948,0.692834890965732,0.51378558888589,0.0311503498569422,0.483732589906999,0.551953451986472,0.559505940117267,0.0329467662550129,0.754074263861365,0.00538570150360933,0.305714285714286,85,194,21,48,22,49,3,3,4,2,8,7,68,155,17,38,0.774853448366342,0.74797499221568,0.867428571428571,0.722857142857143,0.361698574420132,107,TRUE,standard_internal_evidence,TRUE,"","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
driver_mutation,LUAD,TP53,463,234,229,B,0.690898742208786,0.381797484417572,0.015,0.742735042735043,0.665502183406114,0.704118613070578,0.760407569141194,0.720683131055292,0.0215633902164633,0.702213582327821,0.756174647692408,0.69443213524256,0.0106931325777289,0.71768581990558,0.018634390740846,0.505399568034557,187,183,46,45,47,46,3,2,4,2,13,7,149,146,37,36,0.798572318424109,0.720237934032899,0.844060475161987,0.67170626349892,0.376647284529377,229,TRUE,standard_internal_evidence,TRUE,"","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
driver_mutation,PAAD,TP53,175,106,69,B,0.613617719442166,0.227235438884331,0.032,0.764150943396226,0.408695652173913,0.58642329778507,0.628493300519552,0.6910393633139,0.0190867285040597,0.669852327885266,0.715595087569927,0.66448984112524,0.0195870545309049,0.534591418726097,0.063631955846067,0.605714285714286,84,55,21,13,22,14,3,2,7,1,17,10,67,44,16,11,0.5185,0.357924317062248,0.755428571428571,0.52,0.49596590598935,69,TRUE,standard_internal_evidence,TRUE,"","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
driver_mutation,READ,APC,135,65,70,A,0.862087912087912,0.724175824175824,0.0015,0.926153846153846,0.771428571428571,0.848791208791209,0.896395604395604,0.852587637990461,0.023698187456096,0.814649513072446,0.87258151772531,0.790390939469887,0.0171477940778279,0.919150138776089,0.0258090954597422,0.481481481481482,52,56,13,14,13,14,1,1,3,1,5,4,41,44,10,11,0.86562091503268,0.820841869085943,0.939259259259259,0.881481481481482,0.315979762495256,65,TRUE,standard_internal_evidence,TRUE,"","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
driver_mutation,READ,TP53,135,66,69,A,0.838603425559947,0.677206851119895,0.0015,0.921212121212121,0.794202898550725,0.857707509881423,0.927228809837505,0.899904734116166,0.0185859362896591,0.882007017076448,0.93047955961853,0.810744084317101,0.00688919843132465,0.914240785275603,0.0280181965743727,0.488888888888889,52,55,13,13,14,14,1,1,2,1,4,4,41,44,10,11,0.921942737293923,0.896556433518681,0.94962962962963,0.896296296296296,0.198122069771363,66,TRUE,standard_internal_evidence,TRUE,"","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
driver_mutation,STAD,ARID1A,371,91,280,B,0.60260989010989,0.20521978021978,0.006,0.314285714285714,0.845,0.579642857142857,0.607692307692308,0.361737824464104,0.0241200190799434,0.320658582061318,0.382039134018525,0.397054568238779,0.0261579933148773,0.791440446020019,0.00878564535530202,0.245283018867925,72,224,18,56,19,56,6,3,12,2,20,12,57,179,14,44,0.578673041357156,0.523838115134524,0.830188679245283,0.646900269541779,0.513059007945477,91,TRUE,standard_internal_evidence,TRUE,"","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
driver_mutation,STAD,PIK3CA,371,58,313,B,0.617467224854027,0.234934449708053,0.006,0.348275862068966,0.906709265175719,0.627492563622342,0.745257243582682,0.335399831214679,0.0404609073220992,0.304641584833091,0.40295344754973,0.412244947743287,0.0569429532365879,0.882436321228524,0.00507923043238426,0.15633423180593,46,250,11,62,12,63,5,3,11,2,13,9,36,200,9,50,0.693855081931771,0.650846812380592,0.907277628032345,0.805929919137466,0.44556423902285,58,TRUE,standard_internal_evidence,TRUE,"","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
driver_mutation,STAD,TP53,371,179,192,B,0.683019087523277,0.366038175046555,0.006,0.649162011173184,0.695833333333333,0.672497672253259,0.73546322160149,0.678717942368391,0.0139351229377708,0.662683424701779,0.700118841227408,0.665943358272205,0.0148638845552809,0.68040827774491,0.0101781287888376,0.482479784366577,143,153,35,38,36,39,3,3,3,1,5,5,114,122,28,30,0.889215602873546,0.852665455647805,0.863072776280323,0.716981132075472,0.251940013561986,179,TRUE,standard_internal_evidence,TRUE,"","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
driver_mutation,THCA,BRAF,490,289,201,A,0.844264834994577,0.688529669989155,0.001,0.924567474048443,0.745273631840796,0.83492055294462,0.893497908381966,0.898417867086742,0.00591545704885319,0.889352393131096,0.905210001989813,0.83923658173392,0.00677189394237355,0.873116789658415,0.0129441844849142,0.589795918367347,231,160,57,40,58,41,4,4,4,3,13,6,184,128,46,32,0.923004505539424,0.876275118146418,0.951020408163265,0.889795918367347,0.201797004349546,201,TRUE,standard_internal_evidence,TRUE,"","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
driver_mutation,THYM,GTF2I,120,59,61,A,0.90025006946374,0.80050013892748,0.001,0.891525423728814,0.836065573770492,0.863795498749653,0.901694915254237,0.867207641641278,0.0310318031736917,0.82910425706593,0.910582462111041,0.840586159719885,0.0268179906428597,0.889175827743917,0.0345788068367177,0.491666666666667,47,48,11,12,12,13,3,2,6,1,9,9,37,38,9,9,0.841037572053615,0.81025071185499,0.923333333333333,0.841666666666667,0.430925024893151,59,TRUE,standard_internal_evidence,TRUE,"","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
driver_mutation,UCEC,ARID1A,487,176,311,B,0.638318474130371,0.276636948260743,0.0096,0.501136363636364,0.783279742765273,0.642208053200818,0.719734726688103,0.578342908628648,0.021841008281915,0.548853372104642,0.605694381373697,0.567186477911828,0.0279459006184449,0.735025897990251,0.0116439292223456,0.361396303901437,140,248,35,62,36,63,6,4,8,3,10,8,112,198,28,49,0.814880352014136,0.792764580987895,0.861601642710472,0.718685831622177,0.342530858127717,176,TRUE,standard_internal_evidence,TRUE,"","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
driver_mutation,UCEC,ATM,487,74,413,B,0.604868791309469,0.209737582618939,0.0096,0.297297297297297,0.925423728813559,0.611360513055428,0.712996531640599,0.358493642383757,0.0446078256423879,0.294507191491263,0.409698717681189,0.416008462276451,0.0341284635557518,0.880266654749994,0.00554577349602385,0.151950718685832,59,330,14,82,15,83,5,4,8,4,18,10,47,264,11,66,0.706343352587223,0.605195100959287,0.926488706365503,0.84394250513347,0.396136495545757,74,TRUE,standard_internal_evidence,TRUE,"","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
driver_mutation,UCEC,CTNNB1,487,97,390,B,0.609925984668253,0.219851969336506,0.0096,0.364948453608247,0.852820512820513,0.60888448321438,0.670806238435104,0.337426461286841,0.0127530562564776,0.317996029955404,0.353391527536222,0.381396268184693,0.0294868427231163,0.843760464752742,0.00770780100452013,0.19917864476386,77,312,19,78,20,78,16,15,19,5,20,12,61,249,15,62,0.713619955723949,0.665281949176879,0.857084188911704,0.71047227926078,0.454295866520534,97,TRUE,standard_internal_evidence,TRUE,"","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
driver_mutation,UCEC,PTEN,487,261,226,A,0.735801715661343,0.471603431322687,0.0096,0.787739463601533,0.674336283185841,0.731037873393687,0.801135862747093,0.78831297872802,0.00881293293250313,0.773234627262491,0.793962521890234,0.736535252954026,0.0117181469008719,0.733436987411056,0.0107765482367579,0.535934291581109,208,180,52,45,53,46,4,4,7,2,7,5,166,144,41,36,0.886095090445075,0.843741883174228,0.876386036960986,0.741273100616017,0.272311786796751,226,TRUE,standard_internal_evidence,TRUE,"","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
driver_mutation,UCEC,TP53,487,155,332,A,0.750728721336961,0.501457442673921,0.0096,0.603870967741936,0.874698795180723,0.739284881461329,0.820680139914497,0.699076202295811,0.0246761650571265,0.670601220666199,0.72897478472108,0.692511289242275,0.0203185414852617,0.825518456711017,0.00855727370265726,0.318275154004107,124,265,31,66,31,67,4,3,6,2,14,9,99,212,24,53,0.838548122465213,0.802888769201423,0.915811088295688,0.833675564681725,0.310334846802728,155,TRUE,standard_internal_evidence,TRUE,"","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
fusion,LGG,Any called fusion,487,236,251,A,0.713358430684044,0.426716861368087,0.001,0.66864406779661,0.744223107569721,0.706433587683166,0.763171044635019,0.737936722304876,0.00871713071687189,0.724606448776161,0.744853356980906,0.711067258572672,0.0135609744655594,0.704898501356303,0.00574920098395451,0.484599589322382,188,200,47,50,48,51,1,1,2,1,4,4,150,160,37,40,0.946948031951566,0.935212717458204,0.918275154004107,0.833675564681725,0.172966417787316,236,TRUE,standard_internal_evidence,TRUE,"","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
fusion,PRAD,Fusion pair: TMPRSS2--ERG,400,159,241,B,0.618922727628592,0.237845455257183,0.002,0.563522012578616,0.721991701244813,0.642756856911715,0.693875101124768,0.557560395712119,0.0147698592777053,0.535971928471463,0.574358651040748,0.571223010595589,0.0419822568540261,0.71548351716986,0.0334944369608006,0.3975,127,192,31,48,32,49,11,9,13,5,20,12,101,153,25,38,0.725773686085538,0.680843567772299,0.805,0.6025,0.398699720868646,159,TRUE,standard_internal_evidence,TRUE,"","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
fusion,THCA,Any called fusion,502,138,364,B,0.631350533524447,0.262701067048893,0.001,0.428985507246377,0.847802197802198,0.638393852524287,0.673510909380475,0.461092288439014,0.0154121814832788,0.442057328806109,0.481674990279291,0.516593218312666,0.011227520392119,0.796640120168873,0.00548350018683596,0.274900398406375,110,291,27,72,28,73,9,5,18,3,20,11,88,232,22,58,0.606069307370701,0.540865075074282,0.839442231075697,0.663346613545817,0.500048307375412,138,TRUE,standard_internal_evidence,TRUE,"","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
fusion,UCEC,Any called fusion,153,80,73,A,0.783561643835617,0.567123287671233,0.001,0.7575,0.780821917808219,0.76916095890411,0.810787671232877,0.789907476377898,0.0303834573342695,0.748693821703098,0.830685189724177,0.79153189010862,0.0188652814529699,0.746135828135828,0.0106293019197982,0.522875816993464,64,58,16,14,16,15,2,2,4,2,15,8,51,46,12,11,0.750567595459236,0.669052309919183,0.875816993464052,0.725490196078431,0.495763444779648,73,TRUE,standard_internal_evidence,TRUE,"","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
microsatellite_instability,COAD,MSI-H (MANTIS >0.4),391,74,317,A,0.731967772188592,0.463935544377185,0.001,0.521621621621622,0.937539432176656,0.729580526899139,0.82411117742348,0.626029263609263,0.0373941359088686,0.574935859251295,0.667287054079297,0.662496396194381,0.0433113840683238,0.893570589416874,0.00526346769397011,0.18925831202046,59,253,14,63,15,64,6,5,7,4,13,7,47,202,11,50,0.801243018946709,0.728678427892896,0.919181585677749,0.828644501278772,0.361404729614826,74,TRUE,standard_internal_evidence,TRUE,"","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
microsatellite_instability,STAD,MSI-H (MANTIS >0.4),371,63,308,A,0.719877344877345,0.43975468975469,0.001,0.558730158730159,0.909090909090909,0.733910533910534,0.851195629767058,0.54363104813032,0.0379849321055959,0.49586366865057,0.587072156779326,0.5569994902754,0.0219768190071343,0.909716255374948,0.0064094728398027,0.169811320754717,50,246,12,61,13,62,8,6,11,3,20,11,40,196,10,49,0.654762758585035,0.58511527787243,0.902425876010782,0.800539083557952,0.482543737470106,63,TRUE,standard_internal_evidence,TRUE,"","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
microsatellite_instability,UCEC,MSI-H (MANTIS >0.4),487,155,332,B,0.648561989895064,0.297123979790128,0.001,0.48258064516129,0.824698795180723,0.653639720171007,0.719786241741158,0.538693900963788,0.0444859442621916,0.465949117579739,0.579144330819942,0.563364245691335,0.0395624886573438,0.773442562533222,0.0132160813864085,0.318275154004107,124,265,31,66,31,67,5,4,9,3,20,11,99,212,24,53,0.737237523932298,0.690123643801789,0.854209445585216,0.700205338809035,0.420092600658179,155,TRUE,standard_internal_evidence,TRUE,"","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
microsatellite_instability_sensitivity,COAD,MSI-H strict (MANTIS >0.6),374,57,317,A,0.783358237865958,0.566716475731917,0.001,0.592982456140351,0.956466876971609,0.77472466655598,0.901798660689579,0.714168928496412,0.0155631932618315,0.700664605902518,0.73848530227059,0.710240362811792,0.0195597494861231,0.928945793896149,0.00503603855876605,0.152406417112299,45,253,11,63,12,64,8,7,9,5,16,8,36,202,9,50,0.759190400137632,0.669386704133274,0.944919786096257,0.887700534759358,0.371434514749027,57,TRUE,standard_internal_evidence,TRUE,"","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
