family,tumor_type,endpoint,n,positive,negative,tier,balanced_accuracy,adjusted_balanced_accuracy,q_value,repeated_sensitivity_mean,repeated_specificity_mean,repeated_balanced_accuracy_mean,repeated_auc_mean,repeated_pr_auc_mean,repeated_pr_auc_sd,repeated_pr_auc_minimum,repeated_pr_auc_maximum,ppv_tcga_prevalence_mean,ppv_tcga_prevalence_sd,npv_tcga_prevalence_mean,npv_tcga_prevalence_sd,observed_tcga_prevalence,minimum_outer_training_positive,minimum_outer_training_negative,minimum_outer_test_positive,minimum_outer_test_negative,maximum_outer_test_positive,maximum_outer_test_negative,selected_components_median,selected_components_q1,selected_components_q3,selected_components_minimum,selected_components_maximum,selected_components_unique,minimum_inner_training_positive,minimum_inner_training_negative,minimum_inner_validation_positive,minimum_inner_validation_negative,repeat_score_spearman_mean,repeat_score_spearman_minimum,repeat_class_agreement_mean,patients_same_class_all_repeats,median_patient_score_z_sd,minimum_class_n,eligible_at_50_per_class,model_evidence_tier,default_inference,limited_evidence_reason,pr_auc_definition,predictive_value_scope
driver_mutation,SKCM,BRAF,98,52,46,B,0.635869565217391,0.271739130434783,0.015,0.738461538461539,0.508695652173913,0.623578595317726,0.655769230769231,0.644001162669397,0.0365068626307302,0.607791705396849,0.700105568381823,0.628916694181525,0.0131280333446967,0.63647254448338,0.0471778846432134,0.530612244897959,41,36,10,9,11,10,2,1,3,1,16,6,32,28,8,7,0.565255755535579,0.459658652589433,0.775510204081633,0.510204081632653,0.540213489371542,46,FALSE,exploratory_limited_evidence,FALSE,"Fewer than 50 TCGA participants in at least one development class (positive=52, negative=46); available only by explicit opt-in.","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
driver_mutation,THCA,NRAS,490,39,451,A,0.719199499687305,0.438398999374609,0.001,0.38974358974359,0.956541019955654,0.673142304849622,0.811825572801183,0.386390568320955,0.0456932983359745,0.3216111723177,0.426628683978978,0.438283168389031,0.0428607969537594,0.947716007106338,0.00283612624596027,0.0795918367346939,31,360,7,90,8,91,6,5,7,3,11,8,24,288,6,72,0.620696554508,0.548660973266895,0.962857142857143,0.920408163265306,0.445311229819487,39,FALSE,exploratory_limited_evidence,FALSE,"Fewer than 50 TCGA participants in at least one development class (positive=39, negative=451); available only by explicit opt-in.","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
driver_mutation,UVM,GNA11,80,36,44,B,0.63510101010101,0.27020202020202,0.048,0.55,0.663636363636364,0.606818181818182,0.610479797979798,0.57398860033762,0.0385328250560663,0.513315796085852,0.609678650950201,0.57203425229741,0.0228343787463693,0.643823953823954,0.0232032517552267,0.45,28,35,7,8,8,9,6,4,10,1,16,12,22,28,5,7,0.569946085325832,0.495710267229255,0.775,0.575,0.554020743128289,36,FALSE,exploratory_limited_evidence,FALSE,"Fewer than 50 TCGA participants in at least one development class (positive=36, negative=44); available only by explicit opt-in.","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
fusion,SARC,Any called fusion,252,216,36,B,0.62962962962963,0.259259259259259,0.001,0.877777777777778,0.3,0.588888888888889,0.643621399176955,0.907657258870456,0.0107142933004125,0.891873309128998,0.919599973513947,0.88284262523393,0.00940036156957206,0.29,0.0472058795249956,0.857142857142857,172,28,43,7,44,8,13,8,18,4,20,13,137,22,34,5,0.476806795029556,0.405958323678746,0.855555555555556,0.702380952380952,0.626037858816913,36,FALSE,exploratory_limited_evidence,FALSE,"Fewer than 50 TCGA participants in at least one development class (positive=216, negative=36); available only by explicit opt-in.","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
fusion,THCA,Fusion pair: CCDC6--RET,502,21,481,B,0.657311157311157,0.314622314622315,0.001,0.361904761904762,0.97962577962578,0.670765270765271,0.815246015246015,0.388769764025199,0.0950664975361369,0.298793238433066,0.49472503352796,0.439199346405229,0.109841214877641,0.97234873870242,0.00374198765330339,0.0418326693227092,16,384,4,96,5,97,8,7,9,4,11,7,12,307,3,76,0.691556574620555,0.614434110085296,0.977689243027888,0.952191235059761,0.420018972541143,21,FALSE,exploratory_limited_evidence,FALSE,"Fewer than 50 TCGA participants in at least one development class (positive=21, negative=481); available only by explicit opt-in.","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
oncogenic_pathway,ACC,WNT,53,20,33,B,0.638636363636364,0.277272727272727,0.042,0.5,0.696969696969697,0.598484848484849,0.665151515151515,0.558127960671029,0.070892577546289,0.447060769651907,0.620937957856955,0.501242236024845,0.0517993116373432,0.696946778711485,0.0330030954483765,0.377358490566038,16,26,4,6,4,7,4,1,6,1,16,9,12,20,3,5,0.580462828576036,0.50524109014675,0.807547169811321,0.60377358490566,0.470367059354247,20,FALSE,exploratory_limited_evidence,FALSE,"Fewer than 50 TCGA participants in at least one development class (positive=20, negative=33); available only by explicit opt-in.","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
oncogenic_pathway,GBM,TP53,71,38,33,A,0.734051036682616,0.468102073365231,0.002,0.668421052631579,0.660606060606061,0.66451355661882,0.70622009569378,0.735432053545552,0.0165976073142819,0.712083145635709,0.753908640121974,0.694727996461743,0.0602579510635163,0.633770133770134,0.0657341347775159,0.535211267605634,30,26,7,6,8,7,2,2,6,1,10,8,24,20,6,5,0.608869885982562,0.481086519114688,0.752112676056338,0.492957746478873,0.561681054221582,33,FALSE,exploratory_limited_evidence,FALSE,"Fewer than 50 TCGA participants in at least one development class (positive=38, negative=33); available only by explicit opt-in.","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
oncogenic_pathway,KIRP,Cell Cycle,243,31,212,B,0.688451004260499,0.376902008520998,0.006,0.529032258064516,0.940566037735849,0.734799147900183,0.832379793061473,0.554581272556643,0.060296966652169,0.461729291508631,0.629728183783161,0.568726971952778,0.0402098617473722,0.931818780441522,0.00447505446541116,0.127572016460905,24,169,6,42,7,43,3,2,4,2,15,8,19,135,4,33,0.642222021506671,0.512578174525517,0.925925925925926,0.851851851851852,0.508531432427215,31,FALSE,exploratory_limited_evidence,FALSE,"Fewer than 50 TCGA participants in at least one development class (positive=31, negative=212); available only by explicit opt-in.","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
oncogenic_pathway,PCPG,Cell Cycle,155,23,132,A,0.711627140974967,0.423254281949934,0.001,0.4,0.898484848484848,0.649242424242424,0.712977602108037,0.361059884039696,0.0184652393637132,0.343479636537694,0.390996967817621,0.407326121253099,0.0239757400327777,0.89609744421589,0.011643414005241,0.148387096774194,18,105,4,26,5,27,9,6,13,2,20,13,14,84,3,21,0.484837098385486,0.376968193097225,0.854193548387097,0.696774193548387,0.567252262877254,23,FALSE,exploratory_limited_evidence,FALSE,"Fewer than 50 TCGA participants in at least one development class (positive=23, negative=132); available only by explicit opt-in.","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
aneuploidy,BLCA,Genome doubling,376,228,148,A,0.708748221906117,0.417496443812234,0.001,0.78859649122807,0.572972972972973,0.680784732100522,0.73515884305358,0.777812670588353,0.0131062690408876,0.757847214700577,0.788458246368819,0.740051316072988,0.00955755835762717,0.637832124271477,0.0149401593721794,0.606382978723404,182,118,45,29,46,30,5,4,6,3,11,7,145,94,36,23,0.848143664992381,0.814101021502342,0.882446808510638,0.752659574468085,0.319542743703566,148,TRUE,standard_internal_evidence,TRUE,"","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
