foundation_model,family,tumor_type,endpoint,outcome_type,subfamily,source,n,positive,negative,q2,rmse,spearman,balanced_accuracy,auc,pr_auc,sensitivity,specificity,ppv,npv,prevalence,no_skill_pr_auc,operating_threshold_median,selected_components_median,selected_components_min,selected_components_max,selected_components_at_ceiling,selected_components_outer_fits,selected_components_ceiling_fraction,numerical_failure_or_fallback,seed,common_cohort,fastPLS_version,fastPLS_remote_sha,recomputed_primary_balanced_accuracy,primary_sensitivity,primary_specificity,primary_auc,primary_pr_auc,equal_prior_balanced_accuracy,equal_prior_sensitivity,equal_prior_specificity,equal_prior_auc,equal_prior_pr_auc,optimized_balanced_accuracy,optimized_sensitivity,optimized_specificity,optimized_auc,optimized_pr_auc,recomputed_primary_crossing,equal_prior_crossing,optimized_crossing,median_primary_component,median_equal_component,median_optimized_component,median_optimized_threshold,primary_components_at_ceiling,equal_components_at_ceiling,optimized_components_at_ceiling,equal_prior_delta_ba,optimized_delta_ba,optimized_membership_change,equal_prior_membership_change,fastPLS_version_current,fastPLS_remote_sha_current,primary_binary_decision_rule,decision_rule_sensitivity_scope,decision_rule_sensitivity_status,primary_binary_tuning_objective,primary_binary_metric,binary_crossing_rule,binary_operating_threshold_rule,effect_threshold_crossing,standard_evidence,evidence_maturity
GigaSSL,aneuploidy,LUAD,Genome doubling,binary,aneuploidy,Taylor2018_TableS2,449,264,185,,,,0.602774365274365,0.639004914004914,0.689518442351243,0.632575757575758,0.572972972972973,0.678861788617886,0.522167487684729,0.587973273942094,0.587973273942094,0.113856728433905,4,3,6,0,5,0,FALSE,20260826,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,0.625819000819001,0.765151515151515,0.486486486486487,0.656715806715807,0.694543402913849,0.607903357903358,0.621212121212121,0.594594594594595,0.649344799344799,0.698427503148783,0.602006552006552,0.712121212121212,0.491891891891892,0.643673218673219,0.69692537280563,TRUE,TRUE,TRUE,3,3,3,0.113856728433905,0,0,0,-0.0179156429156428,-0.0238124488124487,FALSE,FALSE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,PLS component selected by inner AUROC; binary operating threshold selected inside the outer training data,"empirical-prior, equal-prior and training-only threshold calls compared on identical AUROC-selected components and outer scores",reported as secondary operating-point sensitivity,pooled inner out-of-fold AUROC,outer out-of-fold AUROC,AUROC >= 0.60,balanced-accuracy optimum learned from pooled inner out-of-fold training scores; applied unchanged to the outer test fold,TRUE,TRUE,standard_evidence
GigaSSL,aneuploidy,LUSC,Genome doubling,binary,aneuploidy,Taylor2018_TableS2,458,248,210,,,,0.563959293394777,0.63097158218126,0.635363195288198,0.608870967741936,0.519047619047619,0.599206349206349,0.529126213592233,0.541484716157205,0.541484716157205,0.20163046885281,3,2,4,0,5,0,FALSE,20260827,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,0.595660522273426,0.653225806451613,0.538095238095238,0.626113671274962,0.634152576312376,0.587941628264209,0.580645161290323,0.595238095238095,0.638536866359447,0.643201891110374,0.596774193548387,0.693548387096774,0.5,0.64276113671275,0.653574061161206,FALSE,FALSE,FALSE,2,2,3,-0.139120462808684,0,0,0,-0.00771889400921655,0.00111367127496165,FALSE,FALSE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,PLS component selected by inner AUROC; binary operating threshold selected inside the outer training data,"empirical-prior, equal-prior and training-only threshold calls compared on identical AUROC-selected components and outer scores",reported as secondary operating-point sensitivity,pooled inner out-of-fold AUROC,outer out-of-fold AUROC,AUROC >= 0.60,balanced-accuracy optimum learned from pooled inner out-of-fold training scores; applied unchanged to the outer test fold,TRUE,TRUE,standard_evidence
GigaSSL,aneuploidy,OV,Genome doubling,binary,aneuploidy,Taylor2018_TableS2,94,65,29,,,,0.529442970822281,0.639257294429708,0.777419045366079,0.369230769230769,0.689655172413793,0.727272727272727,0.327868852459016,0.691489361702128,0.691489361702128,1.48484392024131,2,1,11,0,5,0,FALSE,20260828,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,0.583554376657825,0.615384615384615,0.551724137931035,0.63342175066313,0.790717076852248,0.575862068965517,0.6,0.551724137931035,0.580901856763926,0.776008061039554,0.562068965517241,0.4,0.724137931034483,0.613793103448276,0.758720272149721,FALSE,FALSE,FALSE,12,9,8,2.04730496281714,0,0,0,-0.00769230769230778,-0.0214854111405836,FALSE,FALSE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,PLS component selected by inner AUROC; binary operating threshold selected inside the outer training data,"empirical-prior, equal-prior and training-only threshold calls compared on identical AUROC-selected components and outer scores",reported as secondary operating-point sensitivity,pooled inner out-of-fold AUROC,outer out-of-fold AUROC,AUROC >= 0.60,balanced-accuracy optimum learned from pooled inner out-of-fold training scores; applied unchanged to the outer test fold,TRUE,FALSE,limited_evidence
GigaSSL,aneuploidy,PAAD,Genome doubling,binary,aneuploidy,Taylor2018_TableS2,163,40,123,,,,0.61890243902439,0.670121951219512,0.413264234714129,0.75,0.487804878048781,0.32258064516129,0.857142857142857,0.245398773006135,0.245398773006135,-4.06255512144222,8,7,8,0,5,0,FALSE,20260829,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,0.60619918699187,0.375,0.83739837398374,0.632317073170732,0.360500863083792,0.541158536585366,0.375,0.707317073170732,0.576829268292683,0.303489104622297,0.606707317073171,0.75,0.463414634146342,0.645121951219512,0.36665933447989,TRUE,FALSE,TRUE,6,7,8,-3.81096784003701,0,0,0,-0.0650406504065041,0.000508130081300795,FALSE,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,PLS component selected by inner AUROC; binary operating threshold selected inside the outer training data,"empirical-prior, equal-prior and training-only threshold calls compared on identical AUROC-selected components and outer scores",reported as secondary operating-point sensitivity,pooled inner out-of-fold AUROC,outer out-of-fold AUROC,AUROC >= 0.60,balanced-accuracy optimum learned from pooled inner out-of-fold training scores; applied unchanged to the outer test fold,TRUE,FALSE,limited_evidence
GigaSSL,aneuploidy,PCPG,Genome doubling,binary,aneuploidy,Taylor2018_TableS2,157,24,133,,,,0.56437969924812,0.530388471177945,0.184062898402431,0.625,0.503759398496241,0.185185185185185,0.881578947368421,0.152866242038217,0.152866242038217,-2.01470895064461,2,1,20,1,5,0.2,FALSE,20260830,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,0.50062656641604,0.166666666666667,0.834586466165414,0.636591478696742,0.216997377079176,0.599624060150376,0.5,0.699248120300752,0.630012531328321,0.208092527200956,0.645676691729323,0.75,0.541353383458647,0.600563909774436,0.195014977557379,FALSE,FALSE,TRUE,6,1,4,-2.10680791378616,1,0,0,0.0989974937343359,0.145050125313283,TRUE,FALSE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,PLS component selected by inner AUROC; binary operating threshold selected inside the outer training data,"empirical-prior, equal-prior and training-only threshold calls compared on identical AUROC-selected components and outer scores",reported as secondary operating-point sensitivity,pooled inner out-of-fold AUROC,outer out-of-fold AUROC,AUROC >= 0.60,balanced-accuracy optimum learned from pooled inner out-of-fold training scores; applied unchanged to the outer test fold,FALSE,FALSE,limited_evidence
GigaSSL,aneuploidy,PRAD,Genome doubling,binary,aneuploidy,Taylor2018_TableS2,352,28,324,,,,0.65652557319224,0.62907848324515,0.161047581576082,0.714285714285714,0.598765432098765,0.133333333333333,0.96039603960396,0.0795454545454545,0.0795454545454545,-4.80770834754179,5,1,7,0,5,0,FALSE,20260831,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,0.567680776014109,0.178571428571429,0.95679012345679,0.646715167548501,0.174919462629832,0.613095238095238,0.392857142857143,0.833333333333333,0.703593474426808,0.239090266187871,0.606481481481481,0.5,0.712962962962963,0.653549382716049,0.210454459810967,FALSE,TRUE,TRUE,6,6,6,-2.80855380512221,0,0,0,0.0454144620811288,0.038800705467372,TRUE,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,PLS component selected by inner AUROC; binary operating threshold selected inside the outer training data,"empirical-prior, equal-prior and training-only threshold calls compared on identical AUROC-selected components and outer scores",reported as secondary operating-point sensitivity,pooled inner out-of-fold AUROC,outer out-of-fold AUROC,AUROC >= 0.60,balanced-accuracy optimum learned from pooled inner out-of-fold training scores; applied unchanged to the outer test fold,TRUE,FALSE,limited_evidence
GigaSSL,aneuploidy,READ,Genome doubling,binary,aneuploidy,Taylor2018_TableS2,142,72,70,,,,0.620238095238095,0.70218253968254,0.681643584842889,0.583333333333333,0.657142857142857,0.636363636363636,0.605263157894737,0.507042253521127,0.507042253521127,0.480144044146656,4,3,4,0,5,0,FALSE,20260832,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,0.626587301587302,0.638888888888889,0.614285714285714,0.674206349206349,0.635948588043952,0.64781746031746,0.652777777777778,0.642857142857143,0.67202380952381,0.640119881565208,0.626984126984127,0.611111111111111,0.642857142857143,0.66468253968254,0.622605347294887,TRUE,TRUE,TRUE,4,4,4,0.0209088707229952,0,0,0,0.0212301587301588,0.000396825396825395,FALSE,FALSE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,PLS component selected by inner AUROC; binary operating threshold selected inside the outer training data,"empirical-prior, equal-prior and training-only threshold calls compared on identical AUROC-selected components and outer scores",reported as secondary operating-point sensitivity,pooled inner out-of-fold AUROC,outer out-of-fold AUROC,AUROC >= 0.60,balanced-accuracy optimum learned from pooled inner out-of-fold training scores; applied unchanged to the outer test fold,TRUE,TRUE,standard_evidence
GigaSSL,aneuploidy,SARC,Genome doubling,binary,aneuploidy,Taylor2018_TableS2,238,112,126,,,,0.674603174603175,0.727820294784581,0.717302802618168,0.642857142857143,0.706349206349206,0.660550458715596,0.689922480620155,0.470588235294118,0.470588235294118,-0.0376368605827655,1,1,1,0,5,0,FALSE,20260833,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,0.683035714285714,0.651785714285714,0.714285714285714,0.707979024943311,0.66760994287046,0.660218253968254,0.669642857142857,0.650793650793651,0.714923469387755,0.684926181248547,0.648313492063492,0.598214285714286,0.698412698412698,0.699971655328798,0.672248002219133,TRUE,TRUE,TRUE,1,1,2,0.304241223851334,0,0,0,-0.0228174603174603,-0.0347222222222222,FALSE,FALSE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,PLS component selected by inner AUROC; binary operating threshold selected inside the outer training data,"empirical-prior, equal-prior and training-only threshold calls compared on identical AUROC-selected components and outer scores",reported as secondary operating-point sensitivity,pooled inner out-of-fold AUROC,outer out-of-fold AUROC,AUROC >= 0.60,balanced-accuracy optimum learned from pooled inner out-of-fold training scores; applied unchanged to the outer test fold,TRUE,TRUE,standard_evidence
GigaSSL,aneuploidy,SKCM,Genome doubling,binary,aneuploidy,Taylor2018_TableS2,98,35,63,,,,0.612698412698413,0.568253968253968,0.424341407394155,0.685714285714286,0.53968253968254,0.452830188679245,0.755555555555556,0.357142857142857,0.357142857142857,-1.02719020922822,2,1,5,0,5,0,FALSE,20260834,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,0.565079365079365,0.4,0.73015873015873,0.536961451247166,0.407332083698223,0.573015873015873,0.542857142857143,0.603174603174603,0.58140589569161,0.44523813763139,0.534920634920635,0.514285714285714,0.555555555555556,0.534240362811791,0.411137024738043,FALSE,FALSE,FALSE,2,2,2,-1.74250627196674,0,0,0,0.00793650793650791,-0.0301587301587302,FALSE,FALSE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,PLS component selected by inner AUROC; binary operating threshold selected inside the outer training data,"empirical-prior, equal-prior and training-only threshold calls compared on identical AUROC-selected components and outer scores",reported as secondary operating-point sensitivity,pooled inner out-of-fold AUROC,outer out-of-fold AUROC,AUROC >= 0.60,balanced-accuracy optimum learned from pooled inner out-of-fold training scores; applied unchanged to the outer test fold,FALSE,FALSE,limited_evidence
GigaSSL,aneuploidy,STAD,Genome doubling,binary,aneuploidy,Taylor2018_TableS2,354,152,202,,,,0.66808884835852,0.742509119332986,0.671435661382633,0.638157894736842,0.698019801980198,0.613924050632912,0.719387755102041,0.429378531073446,0.429378531073446,-0.500239423631377,5,4,5,0,5,0,FALSE,20260835,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,0.678901771756123,0.585526315789474,0.772277227722772,0.743877019280876,0.680204630546133,0.676361386138614,0.625,0.727722772277228,0.728341584158416,0.658364364240499,0.652520844189682,0.572368421052632,0.732673267326733,0.714792860865034,0.621972794769115,TRUE,TRUE,TRUE,6,6,6,-0.361989956283749,0,0,0,-0.00254038561750913,-0.0263809275664408,FALSE,FALSE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,PLS component selected by inner AUROC; binary operating threshold selected inside the outer training data,"empirical-prior, equal-prior and training-only threshold calls compared on identical AUROC-selected components and outer scores",reported as secondary operating-point sensitivity,pooled inner out-of-fold AUROC,outer out-of-fold AUROC,AUROC >= 0.60,balanced-accuracy optimum learned from pooled inner out-of-fold training scores; applied unchanged to the outer test fold,TRUE,TRUE,standard_evidence
GigaSSL,aneuploidy,UCEC,Genome doubling,binary,aneuploidy,Taylor2018_TableS2,476,97,379,,,,0.729728259391236,0.761227320947692,0.46478071350502,0.762886597938144,0.696569920844327,0.391534391534392,0.9198606271777,0.203781512605042,0.203781512605042,-1.83867405616248,5,3,6,0,5,0,FALSE,20260836,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,0.649702146179583,0.391752577319588,0.907651715039578,0.738079046867775,0.425164563542048,0.714046731768354,0.639175257731959,0.788918205804749,0.762505780268205,0.458402066587028,0.711870630797269,0.711340206185567,0.712401055408971,0.752114898131273,0.44103324472737,TRUE,TRUE,TRUE,13,5,5,-1.68271980072565,0,0,0,0.0643445855887713,0.0621684846176863,FALSE,FALSE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,PLS component selected by inner AUROC; binary operating threshold selected inside the outer training data,"empirical-prior, equal-prior and training-only threshold calls compared on identical AUROC-selected components and outer scores",reported as secondary operating-point sensitivity,pooled inner out-of-fold AUROC,outer out-of-fold AUROC,AUROC >= 0.60,balanced-accuracy optimum learned from pooled inner out-of-fold training scores; applied unchanged to the outer test fold,TRUE,TRUE,standard_evidence
