outcome_type,models,primary_metric,secondary_metric,pls_better,ridge_better,difference_uncertain,median_delta_ridge_minus_pls,q1_delta,q3_delta,median_secondary_delta_ridge_minus_pls,q1_secondary_delta,q3_secondary_delta
binary,35,AUROC (threshold-independent),balanced accuracy (inner-CV thresholds for both),3,9,23,0.0230296212973378,0.0049703313723419,0.0358682003126448,0.0159259259259259,-0.00351775962471593,0.0295524198401897
continuous,15,Q2,Spearman correlation,0,9,6,0.0446644535045886,0.0214966135094733,0.0996594049186526,0.00553544674341564,-0.0144088064641909,0.0263699411042001
