family,subfamily,tumor_type,endpoint,source,n,q2,rmse,spearman,p_permutation,permutations,permutation_exceedances,ncomp,seed,fastPLS_version,backend,svd_method,rsvd_oversample,rsvd_power,permutation_attempted,permutation_stopped_early,q_value,q_value_global,tier
aneuploidy,aneuploidy,THCA,Aneuploidy score,Taylor2018_TableS2,462,0.0953460992079065,2.87414911623615,0.169578257470188,1,0,,3,20262219,0.99.20,cpu,rsvd,10,2,,,1,1,C
aneuploidy,aneuploidy,THYM,Deleted arm count,Taylor2018_TableS2,103,0.0868745715170391,4.89321239979517,0.495290589796782,1,0,,1,20262272,0.99.20,cpu,rsvd,10,2,,,1,1,C
aneuploidy,aneuploidy,UCEC,Amplified arm count,Taylor2018_TableS2,477,0.0801711762791341,3.70513801317953,0.35689943945326,1,0,,2,20262329,0.99.20,cpu,rsvd,10,2,,,1,1,C
aneuploidy,aneuploidy,ACC,Amplified arm count,Taylor2018_TableS2,54,0.067316957963973,6.31449441739743,0.393573324640189,1,0,,1,20260860,0.99.20,cpu,rsvd,10,2,,,1,1,C
aneuploidy,aneuploidy,HNSC,Aneuploidy score,Taylor2018_TableS2,435,0.0658529812342059,6.95954346445534,0.356153141080157,1,0,,3,20261243,0.99.20,cpu,rsvd,10,2,,,1,1,C
aneuploidy,aneuploidy,LIHC,Amplified arm count,Taylor2018_TableS2,350,0.0612971661438824,4.30354945899994,0.249979992380214,1,0,,1,20261511,0.99.20,cpu,rsvd,10,2,,,1,1,C
aneuploidy,aneuploidy,KIRC,Amplified arm count,Taylor2018_TableS2,464,0.0585416619488842,4.96115641891201,0.233874577873247,1,0,,1,20261349,0.99.20,cpu,rsvd,10,2,,,1,1,C
aneuploidy,aneuploidy,KIRP,Aneuploidy score,Taylor2018_TableS2,264,0.0584714824415109,5.37339046226132,0.294966145739842,1,0,,2,20261402,0.99.20,cpu,rsvd,10,2,,,1,1,C
aneuploidy,aneuploidy,LIHC,Deleted arm count,Taylor2018_TableS2,350,0.0581124831440264,5.28866272227079,0.317513142696681,1,0,,1,20261510,0.99.20,cpu,rsvd,10,2,,,1,1,C
aneuploidy,aneuploidy,PRAD,Amplified arm count,Taylor2018_TableS2,382,0.055634129492137,2.208234735159,0.358305214944583,1,0,,1,20261889,0.99.20,cpu,rsvd,10,2,,,1,1,C
aneuploidy,aneuploidy,BLCA,Deleted arm count,Taylor2018_TableS2,376,0.052557209895669,5.35916157349107,0.272342026829267,1,0,,1,20260915,0.99.20,cpu,rsvd,10,2,,,1,1,C
aneuploidy,aneuploidy,CESC,Aneuploidy score,Taylor2018_TableS2,259,0.0504066223562452,7.05077218303118,0.269263461405575,1,0,,1,20261026,0.99.20,cpu,rsvd,10,2,,,1,1,C
aneuploidy,aneuploidy,THCA,Deleted arm count,Taylor2018_TableS2,462,0.0432130748834805,1.6210483032409,0.140050447637594,1,0,,1,20262220,0.99.20,cpu,rsvd,10,2,,,1,1,C
aneuploidy,aneuploidy,HNSC,Deleted arm count,Taylor2018_TableS2,435,0.0413861330867592,5.3011027297922,0.320267464603438,1,0,,2,20261244,0.99.20,cpu,rsvd,10,2,,,1,1,C
aneuploidy,aneuploidy,LUAD,Amplified arm count,Taylor2018_TableS2,449,0.0390083661227387,4.27303037771423,0.271329649475251,1,0,,1,20261567,0.99.20,cpu,rsvd,10,2,,,1,1,C
aneuploidy,aneuploidy,SARC,Amplified arm count,Taylor2018_TableS2,238,0.0334993776430343,5.00930296765118,0.286283910336172,1,0,,1,20262000,0.99.20,cpu,rsvd,10,2,,,1,1,C
aneuploidy,aneuploidy,OV,Amplified arm count,Taylor2018_TableS2,96,0.0265283724575199,4.24088927314586,0.351906624349899,1,0,,2,20261727,0.99.20,cpu,rsvd,10,2,,,1,1,C
aneuploidy,aneuploidy,READ,Aneuploidy score,Taylor2018_TableS2,143,0.0261492681688059,7.46709863069043,0.224682952729643,1,0,,1,20261943,0.99.20,cpu,rsvd,10,2,,,1,1,C
aneuploidy,aneuploidy,LUSC,Aneuploidy score,Taylor2018_TableS2,459,0.0250227379378638,6.55417691499559,0.227839476391592,1,0,,1,20261621,0.99.20,cpu,rsvd,10,2,,,1,1,C
aneuploidy,aneuploidy,CESC,Deleted arm count,Taylor2018_TableS2,259,0.0244823619600777,5.17486403758604,0.176812710567524,1,0,,1,20261027,0.99.20,cpu,rsvd,10,2,,,1,1,C
aneuploidy,aneuploidy,STAD,Amplified arm count,Taylor2018_TableS2,360,0.0231380795882048,3.91166042019126,0.232422085236245,1,0,,1,20262111,0.99.20,cpu,rsvd,10,2,,,1,1,C
aneuploidy,aneuploidy,COAD,Amplified arm count,Taylor2018_TableS2,408,0.0218031087672781,4.18711445590577,0.306410550913657,1,0,,2,20261084,0.99.20,cpu,rsvd,10,2,,,1,1,C
aneuploidy,aneuploidy,TGCT,Deleted arm count,Taylor2018_TableS2,148,0.0199247710810441,5.66795748322453,0.237027501565651,1,0,,1,20262165,0.99.20,cpu,rsvd,10,2,,,1,1,C
aneuploidy,aneuploidy,READ,Amplified arm count,Taylor2018_TableS2,143,0.0131330723684649,3.75339004203994,0.220415257335695,1,0,,1,20261945,0.99.20,cpu,rsvd,10,2,,,1,1,C
aneuploidy,aneuploidy,BRCA,Amplified arm count,Taylor2018_TableS2,998,0.0131166775296775,4.60842837644807,0.245510883199778,1,0,,1,20260972,0.99.20,cpu,rsvd,10,2,,,1,1,C
aneuploidy,aneuploidy,CESC,Amplified arm count,Taylor2018_TableS2,259,0.00495935423225802,4.04978379711802,0.203379322202403,1,0,,1,20261028,0.99.20,cpu,rsvd,10,2,,,1,1,C
aneuploidy,aneuploidy,KICH,Deleted arm count,Taylor2018_TableS2,65,0.00218028588500019,5.77544414425175,0.246661466256432,1,0,,2,20261293,0.99.20,cpu,rsvd,10,2,,,1,1,C
aneuploidy,aneuploidy,BLCA,Amplified arm count,Taylor2018_TableS2,376,-0.00790467677953566,4.91664235067843,0.179860444805628,1,0,,1,20260916,0.99.20,cpu,rsvd,10,2,,,1,1,C
aneuploidy,aneuploidy,PAAD,Aneuploidy score,Taylor2018_TableS2,163,-0.00867347289204523,8.63776649272445,0.268418213096059,1,0,,1,20261781,0.99.20,cpu,rsvd,10,2,,,1,1,C
aneuploidy,aneuploidy,PCPG,Deleted arm count,Taylor2018_TableS2,157,-0.0108637421518969,3.1230574638114,0.17960783275142,1,0,,1,20261833,0.99.20,cpu,rsvd,10,2,,,1,1,C
aneuploidy,aneuploidy,ESCA,Amplified arm count,Taylor2018_TableS2,136,-0.0135349351011254,4.37506710965771,0.125016742891925,1,0,,1,20261138,0.99.20,cpu,rsvd,10,2,,,1,1,C
aneuploidy,aneuploidy,GBM,Deleted arm count,Taylor2018_TableS2,362,-0.0225797974630129,3.19334073669249,0.0903940632767309,1,0,,1,20261189,0.99.20,cpu,rsvd,10,2,,,1,1,C
aneuploidy,aneuploidy,MESO,Aneuploidy score,Taylor2018_TableS2,69,-0.024410739761827,7.59234524801004,0.00646670716791021,1,0,,1,20261672,0.99.20,cpu,rsvd,10,2,,,1,1,C
aneuploidy,aneuploidy,HNSC,Amplified arm count,Taylor2018_TableS2,435,-0.0301381421803766,4.26428677067862,0.151459321068183,1,0,,1,20261245,0.99.20,cpu,rsvd,10,2,,,1,1,C
aneuploidy,aneuploidy,LUSC,Deleted arm count,Taylor2018_TableS2,459,-0.0317108709617142,4.51563641332315,0.144910129870793,1,0,,2,20261622,0.99.20,cpu,rsvd,10,2,,,1,1,C
aneuploidy,aneuploidy,THCA,Amplified arm count,Taylor2018_TableS2,462,-0.0372345237962843,1.90572134074161,0.227902245624078,1,0,,3,20262221,0.99.20,cpu,rsvd,10,2,,,1,1,C
aneuploidy,aneuploidy,GBM,Amplified arm count,Taylor2018_TableS2,362,-0.0389828052204915,3.33764830261555,0.156068676955662,1,0,,1,20261190,0.99.20,cpu,rsvd,10,2,,,1,1,C
aneuploidy,aneuploidy,GBM,Aneuploidy score,Taylor2018_TableS2,362,-0.0449788788788235,4.89322709962602,0.0374440183415403,1,0,,1,20261188,0.99.20,cpu,rsvd,10,2,,,1,1,C
aneuploidy,aneuploidy,ACC,Aneuploidy score,Taylor2018_TableS2,54,-0.0456885294630183,10.229204712718,0.260476506103619,1,0,,1,20260858,0.99.20,cpu,rsvd,10,2,,,1,1,C
