outcome_type,family,tumor_type,endpoint,p_permutation,q_value,q_value_global,q_value_outcome_wide,q_value_atlas_wide,tier
continuous,aneuploidy,OV,Aneuploidy score,1,1,1,1,1,C
continuous,aneuploidy,UVM,Amplified arm count,1,1,1,1,1,C
continuous,aneuploidy,KICH,Amplified arm count,1,1,1,1,1,C
continuous,aneuploidy,SKCM,Deleted arm count,1,1,1,1,1,C
continuous,aneuploidy,UCS,Amplified arm count,1,1,1,1,1,C
continuous,aneuploidy,UCS,Deleted arm count,1,1,1,1,1,C
continuous,aneuploidy,MESO,Deleted arm count,1,1,1,1,1,C
continuous,aneuploidy,UCS,Aneuploidy score,1,1,1,1,1,C
continuous,fusion,UCEC,Fusion burden,0.001,0.001,0.01,0.00417631578947368,0.00428925619834711,B
continuous,fusion,BRCA,Fusion burden,0.001,0.001,0.01,0.00417631578947368,0.00428925619834711,B
continuous,fusion,LGG,Fusion burden,0.001,0.001,0.01,0.00417631578947368,0.00428925619834711,B
continuous,fusion,KICH,Fusion burden,1,1,1,1,1,C
continuous,fusion,SARC,Fusion burden,1,1,1,1,1,C
continuous,fusion,SKCM,Fusion burden,1,1,1,1,1,C
continuous,fusion,STAD,Fusion burden,1,1,1,1,1,C
continuous,fusion,LUAD,Fusion burden,1,1,1,1,1,C
continuous,fusion,BLCA,Fusion burden,1,1,1,1,1,C
continuous,fusion,THCA,Fusion burden,1,1,1,1,1,C
continuous,fusion,PRAD,Fusion burden,1,1,1,1,1,C
continuous,fusion,KIRP,Fusion burden,1,1,1,1,1,C
continuous,fusion,LUSC,Fusion burden,1,1,1,1,1,C
continuous,fusion,HNSC,Fusion burden,1,1,1,1,1,C
continuous,fusion,KIRC,Fusion burden,1,1,1,1,1,C
continuous,fusion,ESCA,Fusion burden,1,1,1,1,1,C
continuous,fusion,ACC,Fusion burden,1,1,1,1,1,C
continuous,fusion,COAD,Fusion burden,1,1,1,1,1,C
continuous,fusion,UVM,Fusion burden,1,1,1,1,1,C
continuous,fusion,PCPG,Fusion burden,1,1,1,1,1,C
continuous,fusion,LIHC,Fusion burden,1,1,1,1,1,C
continuous,fusion,PAAD,Fusion burden,1,1,1,1,1,C
continuous,fusion,CESC,Fusion burden,1,1,1,1,1,C
continuous,fusion,TGCT,Fusion burden,1,1,1,1,1,C
continuous,fusion,THYM,Fusion burden,1,1,1,1,1,C
continuous,fusion,OV,Fusion burden,1,1,1,1,1,C
