foundation_model,outcome_type,family,definition_group,eligible_cancers,retained_cancers,retained_cancer_percent,retained_cancer_codes
ProvGigaPath,continuous,thorsson,Genomic-context score,28,5,17.8571428571429,COAD;KICH;LUAD;STAD;UCEC
TITAN,continuous,thorsson,Genomic-context score,28,10,35.7142857142857,COAD;KIRP;LIHC;LUAD;PAAD;PRAD;SARC;STAD;THYM;UCEC
GigaSSL,continuous,thorsson,H&E-derived TIL regional fraction,11,11,100,BLCA;CESC;COAD;LUAD;LUSC;PAAD;PRAD;READ;SKCM;STAD;UCEC
ProvGigaPath,continuous,thorsson,H&E-derived TIL regional fraction,11,11,100,BLCA;CESC;COAD;LUAD;LUSC;PAAD;PRAD;READ;SKCM;STAD;UCEC
TITAN,continuous,thorsson,H&E-derived TIL regional fraction,11,10,90.9090909090909,BLCA;CESC;COAD;LUAD;LUSC;PRAD;READ;SKCM;STAD;UCEC
GigaSSL,continuous,thorsson,Immune-repertoire diversity,28,4,14.2857142857143,SKCM;TGCT;THCA;THYM
ProvGigaPath,continuous,thorsson,Immune-repertoire diversity,28,4,14.2857142857143,SKCM;TGCT;THCA;THYM
TITAN,continuous,thorsson,Immune-repertoire diversity,28,8,28.5714285714286,ACC;KIRC;LUAD;SARC;SKCM;TGCT;THCA;THYM
GigaSSL,continuous,thorsson,Intratumour-heterogeneity score,27,0,0,""
ProvGigaPath,continuous,thorsson,Intratumour-heterogeneity score,27,0,0,""
TITAN,continuous,thorsson,Intratumour-heterogeneity score,27,1,3.7037037037037,THYM
GigaSSL,continuous,thorsson,Methylation-derived leukocyte fraction,27,10,37.037037037037,BLCA;COAD;KIRC;KIRP;LIHC;LUAD;SARC;SKCM;TGCT;THCA
ProvGigaPath,continuous,thorsson,Methylation-derived leukocyte fraction,27,11,40.7407407407407,BLCA;CESC;COAD;KIRC;KIRP;LIHC;LUAD;SARC;SKCM;TGCT;THCA
TITAN,continuous,thorsson,Methylation-derived leukocyte fraction,27,14,51.8518518518519,BLCA;GBM;HNSC;KIRC;KIRP;LGG;LIHC;LUAD;LUSC;SARC;SKCM;TGCT;THCA;UCEC
GigaSSL,continuous,thorsson,Predicted neoantigen burden,27,2,7.40740740740741,COAD;THYM
ProvGigaPath,continuous,thorsson,Predicted neoantigen burden,27,2,7.40740740740741,COAD;LUAD
TITAN,continuous,thorsson,Predicted neoantigen burden,27,2,7.40740740740741,COAD;THYM
GigaSSL,continuous,thorsson,Purity-derived stromal fraction,27,8,29.6296296296296,BLCA;KIRP;LIHC;LUAD;LUSC;SKCM;TGCT;THYM
ProvGigaPath,continuous,thorsson,Purity-derived stromal fraction,27,8,29.6296296296296,BLCA;KIRP;LIHC;LUAD;LUSC;SKCM;TGCT;THYM
TITAN,continuous,thorsson,Purity-derived stromal fraction,27,11,40.7407407407407,BLCA;GBM;HNSC;KIRP;LIHC;LUAD;LUSC;SARC;SKCM;TGCT;THYM
GigaSSL,continuous,thorsson,RNA-expression signature,28,18,64.2857142857143,BLCA;COAD;HNSC;KICH;KIRC;KIRP;LGG;LIHC;LUAD;MESO;OV;PRAD;SARC;SKCM;STAD;TGCT;THCA;THYM
ProvGigaPath,continuous,thorsson,RNA-expression signature,28,21,75,ACC;BLCA;COAD;HNSC;KICH;KIRC;KIRP;LGG;LIHC;LUAD;LUSC;OV;PCPG;PRAD;READ;SARC;SKCM;STAD;TGCT;THCA;THYM
TITAN,continuous,thorsson,RNA-expression signature,28,23,82.1428571428571,BLCA;CESC;COAD;ESCA;GBM;HNSC;KICH;KIRC;KIRP;LGG;LIHC;LUAD;LUSC;MESO;OV;PRAD;SARC;SKCM;STAD;TGCT;THCA;THYM;UCEC
GigaSSL,continuous,thorsson,Somatic mutation rate,28,0,0,""
ProvGigaPath,continuous,thorsson,Somatic mutation rate,28,3,10.7142857142857,LUAD;STAD;THYM
TITAN,continuous,thorsson,Somatic mutation rate,28,5,17.8571428571429,COAD;LUAD;STAD;THYM;UCEC
