outcome_type,models,primary_metric,secondary_metric,pls_better,ridge_better,difference_uncertain,median_delta_ridge_minus_pls,q1_delta,q3_delta,median_secondary_delta_ridge_minus_pls,q1_secondary_delta,q3_secondary_delta
binary,12,AUROC (threshold-independent),balanced accuracy (inner-CV thresholds for both),0,1,11,0.00415113290151307,-0.0012471388261586,0.0095104128607965,0.00546851119894601,0.000687434093562506,0.0115074138190576
continuous,12,Q2,Spearman correlation,2,7,3,0.0137019098638479,0.00727900970518836,0.0169535348679688,0.00903599538362893,0.00446392629742718,0.0133119017446407
