foundation_model,rule,tasks,ba_crossings_for_sensitivity,median_balanced_accuracy,median_ba_delta_vs_empirical,q25_ba_delta_vs_empirical,q75_ba_delta_vs_empirical,median_sensitivity_delta_vs_empirical,median_specificity_delta_vs_empirical,median_ppv_delta_vs_empirical,median_npv_delta_vs_empirical,median_auroc,median_pr_auc,median_prevalence
GigaSSL,empirical training priors,426,60,0.519819821814725,0,0,0,0,0,0,0,0.576077350700022,0.254299411349935,0.181719049366108
ProvGigaPath,empirical training priors,426,80,0.528483286547803,0,0,0,0,0,0,0,0.582965066656269,0.260139022948091,0.181719049366108
TITAN,empirical training priors,426,88,0.530707347828433,0,0,0,0,0,0,0,0.614702849345431,0.273470695431726,0.181719049366108
GigaSSL,equal class priors,426,107,0.55375116479028,0.016455449921872,-0.00382784755897701,0.0477850699966107,0.19047619047619,-0.155758489531577,-0.00458489291356595,0.00653521514399452,0.576077350700022,0.254299411349935,0.181719049366108
ProvGigaPath,equal class priors,426,115,0.557882204002894,0.014606118975993,-0.00222645854568224,0.03786088408704,0.127783275606136,-0.100347222222223,-0.00274089017182899,0.00570566533733596,0.582965066656269,0.260139022948091,0.181719049366108
TITAN,equal class priors,426,180,0.58386821986398,0.0288792053717425,0.000260778066895784,0.061982635922654,0.202885391444714,-0.162098626406836,-0.00844091360476607,0.0117940513614925,0.614702849345431,0.273470695431726,0.181719049366108
GigaSSL,training-only optimized threshold,426,117,0.555186890704314,0.019584725949933,-0.00662572196369946,0.0561121154653788,0.380741677201855,-0.328961358739752,-0.012329336391348,0.011836987122285,0.576077350700022,0.254299411349935,0.181719049366108
ProvGigaPath,training-only optimized threshold,426,116,0.557539978064534,0.0142410968926726,-0.00953010723075598,0.0452709051049173,0.362230552952202,-0.329332449160036,-0.020972222222222,0.0109222076480681,0.582965066656269,0.260139022948091,0.181719049366108
TITAN,training-only optimized threshold,426,160,0.57914395546776,0.0285140736023975,-0.00240453847890204,0.0667207787162895,0.378213579433092,-0.299509803921569,-0.020161290322581,0.016465015906671,0.614702849345431,0.273470695431726,0.181719049366108
