outcome_type,family,tumor_type,endpoint,outer_fold,test_patients,test_sites,test_site_ids,test_positive,test_negative,training_patients,training_sites,training_positive,training_negative,inner_folds,minimum_sites_per_inner_fold,maximum_inner_folds_per_site,inner_site_overlap,outer_seed,inner_seed
binary,aneuploidy,LUSC,Genome doubling,5,46,7,18;46;70;79;L3;LA;NC,28,18,413,28,221,192,5,5,1,FALSE,20260824,20261829
binary,aneuploidy,OV,Genome doubling,1,74,3,23;25;5X,52,22,22,8,14,8,5,1,1,FALSE,20260820,20261821
binary,aneuploidy,OV,Genome doubling,2,5,3,13;OY;WR,4,1,91,8,62,29,5,1,1,FALSE,20260820,20261822
binary,aneuploidy,OV,Genome doubling,3,2,2,59;VG,1,1,94,9,65,29,5,1,1,FALSE,20260820,20261823
binary,aneuploidy,OV,Genome doubling,4,8,2,3P;42,3,5,88,9,63,25,5,1,1,FALSE,20260820,20261824
binary,aneuploidy,OV,Genome doubling,5,7,1,57,6,1,89,10,60,29,5,1,1,FALSE,20260820,20261825
binary,aneuploidy,PCPG,Genome doubling,1,63,4,QR;S7;SP;SR,13,50,94,13,11,83,5,2,1,FALSE,20260826,20261827
binary,aneuploidy,PCPG,Genome doubling,2,15,4,P8;SA;SQ;W2,2,13,142,13,22,120,5,2,1,FALSE,20260826,20261828
binary,aneuploidy,PCPG,Genome doubling,3,47,3,PR;QT;WB,4,43,110,14,20,90,5,2,1,FALSE,20260826,20261829
binary,aneuploidy,PCPG,Genome doubling,4,6,3,RM;RT;RX,1,5,151,14,23,128,5,2,1,FALSE,20260826,20261830
binary,aneuploidy,PCPG,Genome doubling,5,26,3,P7;RW;TT,4,22,131,14,20,111,5,2,1,FALSE,20260826,20261831
binary,aneuploidy,SARC,Genome doubling,1,143,8,DX;FX;JV;LI;MB;SI;UE;WK,65,78,95,25,47,48,5,4,1,FALSE,20260823,20261824
binary,aneuploidy,SARC,Genome doubling,2,18,7,3R;HS;IF;MJ;PC;QC;Z4,8,10,220,26,104,116,5,4,1,FALSE,20260823,20261825
binary,aneuploidy,SARC,Genome doubling,3,26,6,HB;IS;KF;MO;VT;X6,12,14,212,27,100,112,5,4,1,FALSE,20260823,20261826
binary,aneuploidy,SARC,Genome doubling,4,20,6,IW;K1;KD;N1;QQ;WP,10,10,218,27,102,116,5,4,1,FALSE,20260823,20261827
binary,aneuploidy,SARC,Genome doubling,5,31,6,3B;IE;RN;SG;X2;X9,17,14,207,27,95,112,5,4,1,FALSE,20260823,20261828
binary,aneuploidy,STAD,Genome doubling,1,163,5,BR;D7;EQ;IP;KB,61,102,197,17,93,104,5,3,1,FALSE,20260819,20261820
binary,aneuploidy,STAD,Genome doubling,2,7,5,3M;B7;HJ;SW;ZA,3,4,353,17,151,202,5,3,1,FALSE,20260819,20261821
binary,aneuploidy,STAD,Genome doubling,3,33,4,CG;F1;HF;ZQ,11,22,327,18,143,184,5,3,1,FALSE,20260819,20261822
binary,aneuploidy,STAD,Genome doubling,4,67,4,CD;HU;IN;R5,33,34,293,18,121,172,5,3,1,FALSE,20260819,20261823
binary,aneuploidy,STAD,Genome doubling,5,90,4,FP;MX;RD;VQ,46,44,270,18,108,162,5,3,1,FALSE,20260819,20261824
binary,aneuploidy,UCEC,Genome doubling,1,177,7,5B;AP;AX;B5;BG;E6;EC,27,150,300,22,70,230,5,4,1,FALSE,20260816,20261817
binary,aneuploidy,UCEC,Genome doubling,2,67,7,AW;BK;DI;EY;H5;QS;SL,19,48,410,22,78,332,5,4,1,FALSE,20260816,20261818
binary,aneuploidy,UCEC,Genome doubling,3,36,5,5S;BS;DF;K6;QF,7,29,441,24,90,351,5,4,1,FALSE,20260816,20261819
binary,aneuploidy,UCEC,Genome doubling,4,153,5,2E;A5;D1;EO;FI,31,122,324,24,66,258,5,4,1,FALSE,20260816,20261820
binary,aneuploidy,UCEC,Genome doubling,5,44,5,4E;AJ;JU;PG;SJ,13,31,433,24,84,349,5,4,1,FALSE,20260816,20261821
binary,driver_mutation,BLCA,FGFR3,1,31,7,E5;G2;GD;MV;S5;YC;YF,2,29,353,26,52,301,5,4,1,FALSE,20260844,20261845
binary,driver_mutation,BLCA,FGFR3,2,53,7,2F;4Z;C4;GC;GV;H4;LC,9,44,331,26,45,286,5,4,1,FALSE,20260844,20261846
binary,driver_mutation,BLCA,FGFR3,3,117,7,CU;E7;FD;GU;K4;PQ;UY,14,103,267,26,40,227,5,4,1,FALSE,20260844,20261847
binary,driver_mutation,BLCA,FGFR3,4,101,7,BL;BT;DK;FT;HQ;SY;ZF,12,89,283,26,42,241,5,4,1,FALSE,20260844,20261848
binary,driver_mutation,BLCA,FGFR3,5,82,5,5N;CF;FJ;LT;XF,17,65,302,28,37,265,5,4,1,FALSE,20260844,20261849
binary,driver_mutation,BLCA,TP53,1,66,7,5N;FT;G2;K4;PQ;S5;ZF,43,23,318,26,142,176,5,5,1,FALSE,20260860,20261861
binary,driver_mutation,BLCA,TP53,2,77,7,2F;BT;C4;CF;CU;LC;UY,30,47,307,26,155,152,5,5,1,FALSE,20260860,20261862
binary,driver_mutation,BLCA,TP53,3,171,7,DK;E7;FD;GU;MV;XF;YC,76,95,213,26,109,104,5,5,1,FALSE,20260860,20261863
binary,driver_mutation,BLCA,TP53,4,20,7,E5;FJ;H4;HQ;LT;SY;YF,11,9,364,26,174,190,5,5,1,FALSE,20260860,20261864
binary,driver_mutation,BLCA,TP53,5,50,5,4Z;BL;GC;GD;GV,25,25,334,28,160,174,5,5,1,FALSE,20260860,20261865
binary,driver_mutation,BRCA,CDH1,1,309,8,4H;5T;A8;BH;E2;HN;PL;W8,14,295,672,29,82,590,5,5,1,FALSE,20260842,20261843
binary,driver_mutation,BRCA,CDH1,2,122,8,3C;5L;C8;E9;LD;OK;PE;UL,14,108,859,29,82,777,5,5,1,FALSE,20260842,20261844
binary,driver_mutation,BRCA,CDH1,3,182,7,AC;AO;AQ;D8;GM;WT;XX,26,156,799,30,70,729,5,5,1,FALSE,20260842,20261845
binary,driver_mutation,BRCA,CDH1,4,205,7,A2;B6;EW;OL;S3;UU;Z7,26,179,776,30,70,706,5,5,1,FALSE,20260842,20261846
binary,driver_mutation,BRCA,CDH1,5,163,7,A1;A7;AN;AR;GI;JL;LL,16,147,818,30,80,738,5,5,1,FALSE,20260842,20261847
binary,driver_mutation,BRCA,FOXA1,1,89,8,5L;5T;A1;AC;GM;OL;PL;XX,6,83,892,29,22,870,5,5,1,FALSE,20260868,20261869
binary,driver_mutation,BRCA,FOXA1,2,123,8,A7;AQ;D8;HN;JL;LD;OK;W8,7,116,858,29,21,837,5,5,1,FALSE,20260868,20261870
binary,driver_mutation,BRCA,FOXA1,3,359,8,AN;BH;C8;E2;EW;GI;LL;PE,9,350,622,29,19,603,5,5,1,FALSE,20260868,20261871
binary,driver_mutation,BRCA,FOXA1,4,234,7,4H;A2;A8;E9;UL;UU;WT,2,232,747,30,26,721,5,5,1,FALSE,20260868,20261872
binary,driver_mutation,BRCA,FOXA1,5,176,6,3C;AO;AR;B6;S3;Z7,4,172,805,31,24,781,5,5,1,FALSE,20260868,20261873
binary,driver_mutation,BRCA,PIK3CA,1,150,8,5L;5T;B6;E2;PE;S3;UL;Z7,44,106,831,29,222,609,5,5,1,FALSE,20260852,20261853
binary,driver_mutation,BRCA,PIK3CA,2,257,8,A8;AC;AO;D8;HN;OL;UU;WT,56,201,724,29,210,514,5,5,1,FALSE,20260852,20261854
binary,driver_mutation,BRCA,PIK3CA,3,279,8,3C;A2;AQ;AR;E9;EW;GI;GM,82,197,702,29,184,518,5,5,1,FALSE,20260852,20261855
binary,driver_mutation,BRCA,PIK3CA,4,226,7,4H;A7;AN;BH;LD;LL;OK,63,163,755,30,203,552,5,5,1,FALSE,20260852,20261856
binary,driver_mutation,BRCA,PIK3CA,5,69,6,A1;C8;JL;PL;W8;XX,21,48,912,31,245,667,5,5,1,FALSE,20260852,20261857
binary,driver_mutation,BRCA,TP53,1,316,9,5T;AN;AQ;BH;D8;E9;HN;PE;UL,76,240,665,28,183,482,5,5,1,FALSE,20260840,20261841
binary,driver_mutation,BRCA,TP53,2,93,7,3C;C8;GM;JL;LD;LL;WT,41,52,888,30,218,670,5,5,1,FALSE,20260840,20261842
binary,driver_mutation,BRCA,TP53,3,192,7,5L;AO;B6;E2;OK;PL;S3,44,148,789,30,215,574,5,5,1,FALSE,20260840,20261843
binary,driver_mutation,BRCA,TP53,4,232,7,4H;A1;A7;A8;AC;AR;Z7,61,171,749,30,198,551,5,5,1,FALSE,20260840,20261844
binary,driver_mutation,BRCA,TP53,5,148,7,A2;EW;GI;OL;UU;W8;XX,37,111,833,30,222,611,5,5,1,FALSE,20260840,20261845
binary,driver_mutation,CESC,TP53,1,19,7,2W;GH;HM;LP;MU;PN;UC,3,16,233,22,18,215,5,4,1,FALSE,20260858,20261859
binary,driver_mutation,CESC,TP53,2,102,6,EA;EX;MA;Q1;VS;ZX,10,92,150,23,11,139,5,4,1,FALSE,20260858,20261860
binary,driver_mutation,CESC,TP53,3,44,6,BI;DR;DS;FU;WL;ZJ,2,42,208,23,19,189,5,4,1,FALSE,20260858,20261861
binary,driver_mutation,CESC,TP53,4,65,5,C5;HG;JX;RA;XS,3,62,187,24,18,169,5,4,1,FALSE,20260858,20261862
binary,driver_mutation,CESC,TP53,5,22,5,4J;DG;IR;JW;MY,3,19,230,24,18,212,5,4,1,FALSE,20260858,20261863
binary,driver_mutation,COAD,APC,1,76,6,4N;AD;CM;DM;QL;WS,59,17,306,18,137,169,5,3,1,FALSE,20260835,20261836
binary,driver_mutation,COAD,APC,2,52,6,4T;AM;F4;G4;QG;T9,36,16,330,18,160,170,5,3,1,FALSE,20260835,20261837
binary,driver_mutation,COAD,APC,3,135,4,AA;AU;CK;SS,18,117,247,20,178,69,5,3,1,FALSE,20260835,20261838
binary,driver_mutation,COAD,APC,4,59,4,3L;A6;CA;NH,41,18,323,20,155,168,5,3,1,FALSE,20260835,20261839
binary,driver_mutation,COAD,APC,5,60,4,5M;AY;AZ;D5,42,18,322,20,154,168,5,3,1,FALSE,20260835,20261840
binary,driver_mutation,COAD,KRAS,1,174,6,4T;AA;CA;CK;D5;T9,29,145,208,18,97,111,5,3,1,FALSE,20260846,20261847
binary,driver_mutation,COAD,KRAS,2,49,5,3L;5M;A6;QG;WS,20,29,333,19,106,227,5,3,1,FALSE,20260846,20261848
binary,driver_mutation,COAD,KRAS,3,66,5,4N;AM;AY;CM;F4,28,38,316,19,98,218,5,3,1,FALSE,20260846,20261849
binary,driver_mutation,COAD,KRAS,4,21,4,AU;AZ;QL;SS,10,11,361,20,116,245,5,3,1,FALSE,20260846,20261850
binary,driver_mutation,COAD,KRAS,5,72,4,AD;DM;G4;NH,39,33,310,20,87,223,5,3,1,FALSE,20260846,20261851
binary,driver_mutation,COAD,TP53,1,113,6,A6;AZ;CA;CM;NH;SS,68,45,269,18,93,176,5,3,1,FALSE,20260837,20261838
binary,driver_mutation,COAD,TP53,2,73,5,AD;AU;D5;DM;QG,49,24,309,19,112,197,5,3,1,FALSE,20260837,20261839
binary,driver_mutation,COAD,TP53,3,122,5,3L;4N;AA;QL;T9,4,118,260,19,157,103,5,3,1,FALSE,20260837,20261840
binary,driver_mutation,COAD,TP53,4,41,4,4T;5M;AY;G4,25,16,341,20,136,205,5,3,1,FALSE,20260837,20261841
binary,driver_mutation,COAD,TP53,5,33,4,AM;CK;F4;WS,15,18,349,20,146,203,5,3,1,FALSE,20260837,20261842
binary,driver_mutation,HNSC,NSD1,1,78,6,BA;F7;HD;IQ;T2;WA,6,72,353,19,45,308,5,3,1,FALSE,20260850,20261851
binary,driver_mutation,HNSC,NSD1,2,65,6,BB;DQ;KU;QK;T3;UF,10,55,366,19,41,325,5,3,1,FALSE,20260850,20261852
binary,driver_mutation,HNSC,NSD1,3,44,5,C9;CX;D6;MZ;P3,6,38,387,20,45,342,5,3,1,FALSE,20260850,20261853
binary,driver_mutation,HNSC,NSD1,4,138,4,4P;CV;H7;RS,18,120,293,21,33,260,5,3,1,FALSE,20260850,20261854
binary,driver_mutation,HNSC,NSD1,5,106,4,CN;CQ;MT;TN,11,95,325,21,40,285,5,3,1,FALSE,20260850,20261855
binary,driver_mutation,HNSC,TP53,1,167,6,4P;C9;CV;DQ;T2;UF,128,39,264,19,192,72,5,3,1,FALSE,20260848,20261849
binary,driver_mutation,HNSC,TP53,2,145,6,BA;CN;D6;HD;KU;P3,106,39,286,19,214,72,5,3,1,FALSE,20260848,20261850
binary,driver_mutation,HNSC,TP53,3,61,5,CQ;H7;IQ;MT;RS,44,17,370,20,276,94,5,3,1,FALSE,20260848,20261851
binary,driver_mutation,HNSC,TP53,4,9,4,MZ;T3;TN;WA,4,5,422,21,316,106,5,3,1,FALSE,20260848,20261852
binary,driver_mutation,HNSC,TP53,5,49,4,BB;CX;F7;QK,38,11,382,21,282,100,5,3,1,FALSE,20260848,20261853
binary,driver_mutation,KIRC,SETD2,1,170,5,AK;B0;B4;BP;T7,23,147,183,13,24,159,5,2,1,FALSE,20260859,20261860
binary,driver_mutation,KIRC,SETD2,2,78,4,A3;CZ;G6;MM,11,67,275,14,36,239,5,2,1,FALSE,20260859,20261861
binary,driver_mutation,KIRC,SETD2,3,48,3,6D;CJ;GK,8,40,305,15,39,266,5,2,1,FALSE,20260859,20261862
binary,driver_mutation,KIRC,SETD2,4,19,3,3Z;B2;DV,3,16,334,15,44,290,5,2,1,FALSE,20260859,20261863
binary,driver_mutation,KIRC,SETD2,5,38,3,AS;B8;EU,2,36,315,15,45,270,5,2,1,FALSE,20260859,20261864
binary,driver_mutation,KIRC,VHL,1,49,4,B4;CZ;DV;T7,20,29,304,14,141,163,5,2,1,FALSE,20260869,20261870
binary,driver_mutation,KIRC,VHL,2,30,4,3Z;AK;B2;EU,10,20,323,14,151,172,5,2,1,FALSE,20260869,20261871
binary,driver_mutation,KIRC,VHL,3,112,4,6D;A3;AS;B0,52,60,241,14,109,132,5,2,1,FALSE,20260869,20261872
binary,driver_mutation,KIRC,VHL,4,53,4,CJ;G6;GK;MM,26,27,300,14,135,165,5,2,1,FALSE,20260869,20261873
binary,driver_mutation,KIRC,VHL,5,109,2,B8;BP,53,56,244,16,108,136,5,2,1,FALSE,20260869,20261874
binary,driver_mutation,LGG,ATRX,1,180,6,CS;F6;FG;HT;P5;VV,69,111,305,19,112,193,5,3,1,FALSE,20260836,20261837
binary,driver_mutation,LGG,ATRX,2,78,5,DB;DH;HW;RY;VM,28,50,407,20,153,254,5,3,1,FALSE,20260836,20261838
binary,driver_mutation,LGG,ATRX,3,75,5,FN;QH;R8;S9;WH,23,52,410,20,158,252,5,3,1,FALSE,20260836,20261839
binary,driver_mutation,LGG,ATRX,4,111,5,DU;KT;TQ;W9;WY,44,67,374,20,137,237,5,3,1,FALSE,20260836,20261840
binary,driver_mutation,LGG,ATRX,5,41,4,E1;EZ;IK;TM,17,24,444,21,164,280,5,3,1,FALSE,20260836,20261841
binary,driver_mutation,LGG,CIC,1,56,5,DH;EZ;P5;TM;WY,12,44,429,20,93,336,5,3,1,FALSE,20260833,20261834
binary,driver_mutation,LGG,CIC,2,110,5,F6;HT;R8;W9;WH,19,91,375,20,86,289,5,3,1,FALSE,20260833,20261835
binary,driver_mutation,LGG,CIC,3,145,5,E1;FG;QH;S9;TQ,38,107,340,20,67,273,5,3,1,FALSE,20260833,20261836
binary,driver_mutation,LGG,CIC,4,65,5,DB;HW;IK;RY;VM,19,46,420,20,86,334,5,3,1,FALSE,20260833,20261837
binary,driver_mutation,LGG,CIC,5,109,5,CS;DU;FN;KT;VV,17,92,376,20,88,288,5,3,1,FALSE,20260833,20261838
binary,driver_mutation,LGG,EGFR,1,132,6,F6;FN;HT;TM;WH;WY,6,126,353,19,28,325,5,3,1,FALSE,20260849,20261850
binary,driver_mutation,LGG,EGFR,2,131,6,DB;E1;QH;S9;VM;W9,10,121,354,19,24,330,5,3,1,FALSE,20260849,20261851
binary,driver_mutation,LGG,EGFR,3,54,5,CS;EZ;HW;KT;TQ,2,52,431,20,32,399,5,3,1,FALSE,20260849,20261852
