outcome_type,family,subfamily,tumor_type,endpoint,source,primary_best_foundation_model,alternative_partitions,primary_winner_repeat_count,primary_winner_repeat_proportion,modal_repeat_winner,modal_repeat_winner_count,modal_repeat_winner_proportion,modal_repeat_winner_tied
binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,RHOB,TCGA_MC3_Bailey2018,GigaSSL,5,2,0.4,GigaSSL,2,0.4,TRUE
binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,RXRA,TCGA_MC3_Bailey2018,GigaSSL,5,5,1,GigaSSL,5,1,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,SF3B1,TCGA_MC3_Bailey2018,ProvGigaPath,5,3,0.6,ProvGigaPath,3,0.6,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,SPTAN1,TCGA_MC3_Bailey2018,ProvGigaPath,5,3,0.6,ProvGigaPath,3,0.6,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,STAG2,TCGA_MC3_Bailey2018,ProvGigaPath,5,1,0.2,GigaSSL,4,0.8,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,TP53,TCGA_MC3_Bailey2018,TITAN,5,4,0.8,TITAN,4,0.8,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,ZFP36L1,TCGA_MC3_Bailey2018,GigaSSL,5,5,1,GigaSSL,5,1,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,CESC,EP300,TCGA_MC3_Bailey2018,TITAN,5,5,1,TITAN,5,1,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,CESC,KMT2C,TCGA_MC3_Bailey2018,TITAN,5,5,1,TITAN,5,1,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,CESC,KMT2D,TCGA_MC3_Bailey2018,TITAN,5,5,1,TITAN,5,1,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,CESC,PIK3CA,TCGA_MC3_Bailey2018,GigaSSL,5,3,0.6,GigaSSL,3,0.6,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,CESC,TP53,TCGA_MC3_Bailey2018,TITAN,5,5,1,TITAN,5,1,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,COAD,ACVR2A,TCGA_MC3_Bailey2018,GigaSSL,5,3,0.6,GigaSSL,3,0.6,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,COAD,AMER1,TCGA_MC3_Bailey2018,ProvGigaPath,5,4,0.8,ProvGigaPath,4,0.8,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,COAD,APC,TCGA_MC3_Bailey2018,TITAN,5,3,0.6,TITAN,3,0.6,FALSE
