evidence_category,models,n_min,n_median,n_max,q2_median,q2_repeat_sd_median,prediction_repeat_spearman_median,selected_components_median,outer_fits_at_ceiling,outer_fits,outer_fit_ceiling_percent,models_with_any_ceiling
limited continuous evidence (<100 patients),91,53,69,96,0.216340098505346,0.0587877567727681,0.856821378340366,2,5,2275,0.21978021978022,3
standard continuous internal evidence (>=100 patients),679,103,358,1052,0.293975141894148,0.0178851737504967,0.934532064725131,3,1,16975,0.00589101620029455,1
