outcome_type,family,subfamily,tumor_type,endpoint,source,n,positive,negative,effect_GigaSSL,effect_ProvGigaPath,effect_TITAN,screening_positive_GigaSSL,screening_positive_ProvGigaPath,screening_positive_TITAN,q2_GigaSSL,q2_ProvGigaPath,q2_TITAN,rmse_GigaSSL,rmse_ProvGigaPath,rmse_TITAN,spearman_GigaSSL,spearman_ProvGigaPath,spearman_TITAN,balanced_accuracy_GigaSSL,balanced_accuracy_ProvGigaPath,balanced_accuracy_TITAN,auc_GigaSSL,auc_ProvGigaPath,auc_TITAN,pr_auc_GigaSSL,pr_auc_ProvGigaPath,pr_auc_TITAN,sensitivity_GigaSSL,sensitivity_ProvGigaPath,sensitivity_TITAN,specificity_GigaSSL,specificity_ProvGigaPath,specificity_TITAN,ppv_GigaSSL,ppv_ProvGigaPath,ppv_TITAN,npv_GigaSSL,npv_ProvGigaPath,npv_TITAN,prevalence_GigaSSL,prevalence_ProvGigaPath,prevalence_TITAN,no_skill_pr_auc_GigaSSL,no_skill_pr_auc_ProvGigaPath,no_skill_pr_auc_TITAN,supported_by_n,support_pattern,best_foundation_model,effect_range,discordance_rank
continuous,rna_pathway_activity,MSigDB Hallmark,MESO,HALLMARK_CHOLESTEROL_HOMEOSTASIS,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,75,,,-0.0163639583535198,-0.0735880767298129,0.202733509901587,FALSE,FALSE,TRUE,-0.0163639583535198,-0.0735880767298129,0.202733509901587,0.267858602532278,0.275295942498957,0.237237165273949,0.335874822190612,0.162162162162162,0.506714082503556,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,TITAN,TITAN,0.2763215866314,285
continuous,thorsson,immune_inflammatory_and_genomic_context,STAD,TIL Regional Fraction,Thorsson2018_PanImmune_MS,329,,,0.515133364029901,0.602174926963168,0.326089746711725,TRUE,TRUE,TRUE,0.515133364029901,0.602174926963168,0.326089746711725,7.7949174960892,7.06067868013944,9.18970148928789,0.717846865122423,0.803686168527892,0.610546977672043,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,TITAN+GigaSSL+ProvGigaPath,ProvGigaPath,0.276085180251443,286
continuous,aneuploidy,aneuploidy,OV,Amplified arm count,Taylor2018_TableS2,94,,,-0.0822019152411293,-0.00867863800974411,0.193353971830796,FALSE,FALSE,FALSE,-0.0822019152411293,-0.00867863800974411,0.193353971830796,4.50775142656529,4.35193321537215,3.89177129316048,0.169116064657293,0.235264783674537,0.464782552708699,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,None,TITAN,0.275555887071925,287
continuous,fusion,fusion,STAD,Fusion burden,Gao2018_TableS1,274,,,0.0362043954568998,-0.202325796729985,0.0726420391360011,FALSE,FALSE,FALSE,0.0362043954568998,-0.202325796729985,0.0726420391360011,0.868729599858996,0.970293744032749,0.852149612566765,0.232244473665947,0.0884538784617736,0.293950196947127,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,None,TITAN,0.274967835865986,288
continuous,thorsson,immune_inflammatory_and_genomic_context,ACC,T Cells Regulatory Tregs,Thorsson2018_PanImmune_MS,52,,,-0.0478037179691211,-0.00691226422375002,-0.281608015142913,FALSE,FALSE,FALSE,-0.0478037179691211,-0.00691226422375002,-0.281608015142913,0.0191852034864391,0.018807118354184,0.0212179806838836,0.0952395006406749,0.191635522236306,-0.0508869220180898,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,None,ProvGigaPath,0.274695750919163,289
continuous,rna_pathway_activity,MSigDB Hallmark,UCS,HALLMARK_ANGIOGENESIS,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,53,,,-0.029231672031045,-0.0896287589766325,-0.303927237423655,FALSE,FALSE,FALSE,-0.029231672031045,-0.0896287589766325,-0.303927237423655,0.327317205257906,0.336784070701777,0.368416389374949,0.408079342041606,0.332527011772295,0.0115303983228512,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,None,GigaSSL,0.27469556539261,290
continuous,rna_pathway_activity,MSigDB Hallmark,SKCM,HALLMARK_COAGULATION,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,97,,,-0.171349387300435,-0.240551005062491,0.0322855585178967,FALSE,FALSE,FALSE,-0.171349387300435,-0.240551005062491,0.0322855585178967,0.283475050254726,0.291728545065242,0.257658945288043,0.0452082895013676,0.0498369450873133,0.227316957710919,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,None,TITAN,0.272836563580388,291
continuous,rna_pathway_activity,MSigDB Hallmark,GBM,HALLMARK_FATTY_ACID_METABOLISM,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,96,,,-0.00673412868069589,-0.0556608166677579,0.216635872601901,FALSE,FALSE,TRUE,-0.00673412868069589,-0.0556608166677579,0.216635872601901,0.277800096604909,0.284470474790764,0.245051201727817,0.223643516006511,0.191115029842648,0.428391209983722,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,TITAN,TITAN,0.272296689269659,292
continuous,thorsson,immune_inflammatory_and_genomic_context,PCPG,Plasma Cells,Thorsson2018_PanImmune_MS,175,,,-0.163128384025486,-0.34307650971957,-0.0709819535887695,FALSE,FALSE,FALSE,-0.163128384025486,-0.34307650971957,-0.0709819535887695,0.0451951837010971,0.0485655940844021,0.0433680011116391,-0.167218716880367,-0.233404202380009,-0.00946356001578254,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,None,TITAN,0.272094556130801,293
continuous,rna_pathway_activity,MSigDB Hallmark,KICH,HALLMARK_APICAL_JUNCTION,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,65,,,-0.219517658357479,-0.48746303627391,-0.491212434698461,FALSE,FALSE,FALSE,-0.219517658357479,-0.48746303627391,-0.491212434698461,0.283021964206351,0.312571362050201,0.312965058211552,-0.0170017482517483,-0.00201048951048951,0.0715909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,None,GigaSSL,0.271694776340982,294
