study,cancer,gene,prior_metric,prior_evidence,current_status,n,positive,current_balanced_accuracy,current_q,current_tier,source_url
Loeffler2022,BRCA,ERBB2,AUROC >0.611,p<0.05,tested_not_supported,981,23,0.497912317327766,1,C,https://www.frontiersin.org/journals/genetics/articles/10.3389/fgene.2021.806386/full
Kather2020,BRCA,GATA3,AUROC 0.566 [0.517–0.599],FDR q=0.0471,tested_not_supported,981,92,0.550588105834597,1,C,https://www.nature.com/articles/s43018-020-0087-6
Kather2020,BRCA,MAP3K1,AUROC 0.663 [0.626–0.674],FDR q=0.00000393,tested_not_supported,981,62,0.534688827266664,1,C,https://www.nature.com/articles/s43018-020-0087-6
Loeffler2022,BRCA,MAP3K1,AUROC >0.611,p<0.05,tested_not_supported,981,62,0.534688827266664,1,C,https://www.frontiersin.org/journals/genetics/articles/10.3389/fgene.2021.806386/full
Kather2020,BRCA,RB1,AUROC 0.718 [0.635–0.765],FDR q=0.0164,tested_not_supported,981,20,0.49687825182102,1,C,https://www.nature.com/articles/s43018-020-0087-6
Kather2020,COAD,BRAF,AUROC 0.702 [0.672–0.755],FDR q=0.0000104,tested_not_supported,382,44,0.59642280796127,1,C,https://www.nature.com/articles/s43018-020-0087-6
Kather2020,COAD,PIK3CA,AUROC 0.621 [0.574–0.669],FDR q=0.000489,tested_not_supported,382,83,0.544566224765282,1,C,https://www.nature.com/articles/s43018-020-0087-6
Kather2020,HNSC,HRAS,AUROC 0.685 [0.617–0.776],FDR q=0.0336,tested_not_supported,431,27,0.539466446644665,1,C,https://www.nature.com/articles/s43018-020-0087-6
Kather2020,KIRC,PBRM1,AUROC 0.621 [0.572–0.657],FDR q=0.000261,tested_not_supported,353,144,0.584546119085593,1,C,https://www.nature.com/articles/s43018-020-0087-6
Coudray2018,LUAD,EGFR,AUROC 0.733–0.856 across six reported genes,held-out cohort,tested_not_supported,463,59,0.581137774794429,1,C,https://pubmed.ncbi.nlm.nih.gov/30224757/
