layer,foundation_model,family,subfamily,tumor_type,endpoint,source,n,positive,negative,seed,saved_current_balanced_accuracy,recomputed_primary_balanced_accuracy,primary_sensitivity,primary_specificity,primary_auc,primary_pr_auc,equal_prior_balanced_accuracy,equal_prior_sensitivity,equal_prior_specificity,equal_prior_auc,equal_prior_pr_auc,optimized_balanced_accuracy,optimized_sensitivity,optimized_specificity,optimized_auc,optimized_pr_auc,current_crossing,current_candidate,recomputed_primary_crossing,equal_prior_crossing,optimized_crossing,median_primary_component,median_equal_component,median_optimized_component,median_optimized_threshold,primary_components_at_ceiling,equal_components_at_ceiling,optimized_components_at_ceiling,equal_prior_delta_ba,optimized_delta_ba,primary_reproduction_delta,near_threshold,baseline_crossing,union_positive,optimized_membership_change,equal_prior_membership_change
TITAN permutation/FDR screen,TITAN,driver_mutation,Bailey_tissue_specific_driver,BLCA,RB1,TCGA_MC3_Bailey2018,384,73,311,20261058,0.578271594062459,0.578271594062459,0.246575342465753,0.909967845659164,0.673963793331278,0.319669863088398,0.61075628771528,0.520547945205479,0.70096463022508,0.666343655023565,0.316563662065358,0.620953177994098,0.643835616438356,0.598070739549839,0.691979033607893,0.340487174158064,FALSE,FALSE,FALSE,TRUE,TRUE,5,4,4,-1.90067168324436,0,0,0,0.0324846936528211,0.042681583931639,-2.22044604925031e-16,TRUE,FALSE,TRUE,TRUE,TRUE
TITAN permutation/FDR screen,TITAN,driver_mutation,Bailey_tissue_specific_driver,BRCA,ERBB2,TCGA_MC3_Bailey2018,981,23,958,20261072,0.497912317327766,0.497912317327766,0,0.995824634655532,0.690387582826541,0.0622209425201734,0.604316057002814,0.391304347826087,0.817327766179541,0.704910592720341,0.0675219340831727,0.639761278024871,0.652173913043478,0.627348643006263,0.660433874920577,0.054772792158458,FALSE,FALSE,FALSE,TRUE,TRUE,4,3,3,-5.01670236396529,0,0,0,0.106403739675048,0.141848960697105,2.22044604925031e-16,FALSE,FALSE,TRUE,TRUE,TRUE
TITAN permutation/FDR screen,TITAN,driver_mutation,Bailey_tissue_specific_driver,BRCA,GATA3,TCGA_MC3_Bailey2018,981,92,889,20261074,0.550588105834597,0.550588105834597,0.16304347826087,0.938132733408324,0.628551865799384,0.140492770620706,0.627188585122512,0.576086956521739,0.678290213723285,0.671051988066709,0.171272831387874,0.629976280138896,0.706521739130435,0.553430821147357,0.666760404949381,0.156476009796351,FALSE,FALSE,FALSE,TRUE,TRUE,18,2,4,-2.84646012955496,1,0,0,0.0766004792879151,0.079388174304299,-3.33066907387547e-16,TRUE,FALSE,TRUE,TRUE,TRUE
TITAN permutation/FDR screen,TITAN,driver_mutation,Bailey_tissue_specific_driver,BRCA,MAP3K1,TCGA_MC3_Bailey2018,981,62,919,20261077,0.534688827266664,0.534688827266664,0.112903225806452,0.956474428726877,0.619870827336867,0.148379948472051,0.672031310330303,0.709677419354839,0.634385201305767,0.703640001404051,0.146157837998716,0.646688195443856,0.580645161290323,0.712731229597388,0.709572115553372,0.15349104775028,FALSE,FALSE,FALSE,TRUE,TRUE,17,1,2,-2.58973832013795,0,0,0,0.137342483063639,0.111999368177191,3.33066907387547e-16,FALSE,FALSE,TRUE,TRUE,TRUE
TITAN permutation/FDR screen,TITAN,driver_mutation,Bailey_tissue_specific_driver,BRCA,NF1,TCGA_MC3_Bailey2018,981,30,951,20261079,0.494742376445846,0.494742376445846,0,0.989484752891693,0.586119873817035,0.0469601699270572,0.649421661409043,0.533333333333333,0.765509989484753,0.607956536978619,0.0742950597405215,0.63049421661409,0.533333333333333,0.727655099894848,0.628040658955485,0.0783843678467509,FALSE,FALSE,FALSE,TRUE,TRUE,17,1,2,-3.68370248670963,1,0,0,0.154679284963197,0.135751840168244,4.44089209850063e-16,FALSE,FALSE,TRUE,TRUE,TRUE
TITAN permutation/FDR screen,TITAN,driver_mutation,Bailey_tissue_specific_driver,CESC,EP300,TCGA_MC3_Bailey2018,252,30,222,20261087,0.507207207207207,0.507207207207207,0.1,0.914414414414414,0.604354354354354,0.178863092961177,0.595945945945946,0.466666666666667,0.725225225225225,0.652552552552553,0.188594952533507,0.607657657657658,0.733333333333333,0.481981981981982,0.620720720720721,0.182980489097892,FALSE,FALSE,FALSE,FALSE,TRUE,9,2,3,-3.56852545942128,1,0,0,0.0887387387387388,0.100450450450451,1.11022302462516e-16,FALSE,FALSE,TRUE,TRUE,FALSE
TITAN permutation/FDR screen,TITAN,driver_mutation,Bailey_tissue_specific_driver,COAD,ACVR2A,TCGA_MC3_Bailey2018,382,21,361,20261093,0.484764542936288,0.484764542936288,0,0.969529085872576,0.52684342435035,0.0602540669328309,0.64279118849756,0.523809523809524,0.761772853185596,0.672866376467485,0.100591988563392,0.577694235588973,0.523809523809524,0.631578947368421,0.55454425537528,0.0724334550941348,FALSE,FALSE,FALSE,TRUE,FALSE,8,2,3,-3.85364990953214,0,0,0,0.158026645561272,0.0929296926526844,5.55111512312578e-17,FALSE,FALSE,TRUE,FALSE,TRUE
TITAN permutation/FDR screen,TITAN,driver_mutation,Bailey_tissue_specific_driver,COAD,ARID1A,TCGA_MC3_Bailey2018,382,34,348,20261096,0.532961460446248,0.532961460446248,0.117647058823529,0.948275862068965,0.62525354969574,0.161374059469075,0.697853279242732,0.588235294117647,0.807471264367816,0.751859364435429,0.209378672290967,0.619844489519946,0.676470588235294,0.563218390804598,0.646551724137931,0.172504652534887,FALSE,FALSE,FALSE,TRUE,TRUE,6,3,3,-3.88467539086052,0,0,0,0.164891818796484,0.0868830290736985,-5.55111512312578e-16,FALSE,FALSE,TRUE,TRUE,TRUE
TITAN permutation/FDR screen,TITAN,driver_mutation,Bailey_tissue_specific_driver,COAD,BRAF,TCGA_MC3_Bailey2018,382,44,338,20261097,0.59642280796127,0.59642280796127,0.272727272727273,0.920118343195266,0.694862829478214,0.300024967022377,0.666218396987628,0.545454545454545,0.78698224852071,0.747444862829478,0.293319922503791,0.71221086605702,0.681818181818182,0.742603550295858,0.768423883808499,0.327093953033788,FALSE,FALSE,FALSE,TRUE,TRUE,9,3,3,-2.58126079508269,1,0,0,0.0697955890263583,0.11578805809575,-5.55111512312578e-16,TRUE,FALSE,TRUE,TRUE,TRUE
TITAN permutation/FDR screen,TITAN,driver_mutation,Bailey_tissue_specific_driver,COAD,CTNNB1,TCGA_MC3_Bailey2018,382,21,361,20261098,0.52684342435035,0.52684342435035,0.0952380952380952,0.958448753462604,0.592929692652684,0.110811528053195,0.593523281888933,0.380952380952381,0.806094182825485,0.70254583827991,0.161356275706885,0.660466956865849,0.714285714285714,0.606648199445983,0.745679989447303,0.146318352124358,FALSE,FALSE,FALSE,FALSE,TRUE,10,1,1,-3.39551050562013,1,0,0,0.0666798575385834,0.133623532515499,-5.55111512312578e-16,FALSE,FALSE,TRUE,TRUE,FALSE
