outcome_type,family,tumor_type,endpoint,repeat_id,pls_primary,ridge_primary,pls_secondary,ridge_secondary,delta_ridge_minus_pls,delta_secondary_ridge_minus_pls
binary,driver_mutation,COAD,APC,1,0.849407504937459,0.85261685319289,0.777896642527979,0.782312925170068,0.00320934825543118,0.00441628264208904
binary,driver_mutation,COAD,APC,2,0.86243691024797,0.852589422865921,0.79857910906298,0.800581522931753,-0.00984748738204966,0.0020024138687732
binary,driver_mutation,COAD,APC,3,0.845786701777485,0.852534562211982,0.790651744568795,0.789965986394558,0.00674786043449638,-0.000685758174237439
binary,driver_mutation,COAD,APC,4,0.856374807987711,0.842577353522054,0.794025674786044,0.788375027430327,-0.0137974544656573,-0.00565064735571652
binary,driver_mutation,COAD,APC,5,0.845951283739302,0.84444261575598,0.78272438007461,0.785138248847926,-0.00150866798332239,0.00241386877331584
binary,driver_mutation,COAD,TP53,1,0.838059638571148,0.861864478232765,0.768247098170372,0.762035918046148,0.0238048396616172,-0.00621118012422361
binary,driver_mutation,COAD,TP53,2,0.861695848908125,0.860374919198449,0.794244119052303,0.786346645681684,-0.00132092970967646,-0.00789747337061919
binary,driver_mutation,COAD,TP53,3,0.865546218487395,0.864843596301397,0.787189792304882,0.782664905427054,-0.000702622185998147,-0.00452488687782804
binary,driver_mutation,COAD,TP53,4,0.850903572131194,0.859053989488772,0.776186728872151,0.78807509625924,0.00815041735757849,0.0118883673870887
binary,driver_mutation,COAD,TP53,5,0.854472892836064,0.866698518872432,0.758087181360839,0.777339029257188,0.0122256260363677,0.0192518478963492
binary,driver_mutation,LGG,IDH1,1,0.843151515151515,0.83689696969697,0.783878787878788,0.785393939393939,-0.0062545454545454,0.00151515151515158
binary,driver_mutation,LGG,IDH1,2,0.851830303030303,0.856678787878788,0.780909090909091,0.795878787878788,0.00484848484848488,0.014969696969697
binary,driver_mutation,LGG,IDH1,3,0.849575757575758,0.852727272727273,0.768121212121212,0.794242424242424,0.00315151515151524,0.026121212121212
binary,driver_mutation,LGG,IDH1,4,0.830230303030303,0.837309090909091,0.769454545454545,0.771272727272727,0.00707878787878791,0.00181818181818194
binary,driver_mutation,LGG,IDH1,5,0.85769696969697,0.838545454545455,0.782787878787879,0.776909090909091,-0.0191515151515151,-0.00587878787878793
binary,driver_mutation,LGG,TP53,1,0.908596837944664,0.905189450729181,0.858448616600791,0.857733065285539,-0.00340738721548317,-0.000715551315251473
binary,driver_mutation,LGG,TP53,2,0.908562764072509,0.910607196401799,0.860246013356958,0.852707169142701,0.00204443232928986,-0.00753884421425655
binary,driver_mutation,LGG,TP53,3,0.903145018399891,0.903162055335968,0.862946367725228,0.851088660215347,1.70369360774636e-05,-0.0118577075098814
binary,driver_mutation,LGG,TP53,4,0.903025759847349,0.908716096497206,0.863125255554041,0.85522011721412,0.00569033664985696,-0.0079051383399209
binary,driver_mutation,LGG,TP53,5,0.902259097723865,0.906211666893826,0.834562832220253,0.859351574212894,0.00395256916996045,0.02478874199264
binary,driver_mutation,READ,APC,1,0.903956043956044,0.872087912087912,0.854945054945055,0.870879120879121,-0.0318681318681319,0.0159340659340659
binary,driver_mutation,READ,APC,2,0.880659340659341,0.90989010989011,0.84010989010989,0.863736263736264,0.0292307692307692,0.0236263736263737
binary,driver_mutation,READ,APC,3,0.865934065934066,0.910549450549451,0.847252747252747,0.848351648351649,0.0446153846153846,0.0010989010989011
binary,driver_mutation,READ,APC,4,0.866373626373626,0.872307692307692,0.847802197802198,0.863736263736264,0.00593406593406598,0.015934065934066
binary,driver_mutation,READ,APC,5,0.88989010989011,0.905714285714286,0.841208791208791,0.863736263736264,0.0158241758241758,0.0225274725274726
binary,driver_mutation,READ,TP53,1,0.909749670619236,0.919191919191919,0.860671936758893,0.853425559947299,0.00944224857268339,-0.00724637681159424
binary,driver_mutation,READ,TP53,2,0.914580588493632,0.923583662714097,0.882081686429513,0.846508563899868,0.00900307422046554,-0.0355731225296442
binary,driver_mutation,READ,TP53,3,0.924462011418533,0.907334211682038,0.852108036890646,0.852766798418972,-0.0171277997364954,0.00065876152832689
binary,driver_mutation,READ,TP53,4,0.922705314009662,0.911725955204216,0.854084321475626,0.882740447957839,-0.0109793588054458,0.0286561264822135
binary,driver_mutation,READ,TP53,5,0.825647782169521,0.926657883179622,0.838603425559947,0.868247694334651,0.101010101010101,0.0296442687747036
binary,driver_mutation,THCA,BRAF,1,0.8878961593417,0.888877412246725,0.83053590180585,0.829993630463599,0.000981252905025043,-0.000542271342250711
binary,driver_mutation,THCA,BRAF,2,0.890357899085885,0.893284442837715,0.847948837129233,0.821558298473033,0.0029265437518291,-0.0263905386562
binary,driver_mutation,THCA,BRAF,3,0.895246948647765,0.895281378574257,0.843188899791699,0.82501850608549,3.44299264920522e-05,-0.0181703937062094
binary,driver_mutation,THCA,BRAF,4,0.889617655666305,0.891631806366094,0.843188899791699,0.839401607877567,0.00201415069978828,-0.00378729191413174
binary,driver_mutation,THCA,BRAF,5,0.901977999276972,0.891149787395204,0.851081960440014,0.816910258396598,-0.0108282118817676,-0.034171702043416
binary,driver_mutation,THYM,GTF2I,1,0.937482634065018,0.93803834398444,0.875937760489025,0.883856626840789,0.000555709919421998,0.00791886635176431
binary,driver_mutation,THYM,GTF2I,2,0.902750764101139,0.942761878299528,0.852181161433732,0.851347596554598,0.0400111141983884,-0.000833564879133109
binary,driver_mutation,THYM,GTF2I,3,0.915809947207558,0.940539038621839,0.859544317866074,0.875937760489025,0.0247290914142817,0.0163934426229508
binary,driver_mutation,THYM,GTF2I,4,0.911919977771603,0.944151153098083,0.867463184217838,0.900805779383162,0.0322311753264796,0.0333425951653237
