outcome_type,models,models_with_four_outer_folds,models_with_outer_test_n_below_10,models_with_single_class_outer_test_fold,models_with_single_class_inner_validation_fold,models_with_single_class_inner_training_fold,models_with_sparse_grouped_folds,minimum_outer_test_n,maximum_outer_test_n,minimum_outer_training_n,minimum_outer_training_positive,minimum_outer_training_negative,minimum_inner_training_positive,minimum_inner_training_negative
binary,99,1,16,9,21,0,36,1,359,5,2,3,1,1
continuous,770,9,200,0,0,0,200,1,442,6,,,,
