tumor_type,block,endpoint,repeat_id,n,metric,pls1,pls2,median_ncomp_pls1,median_ncomp_pls2,delta_pls2_minus_pls1
ACC,inferred_cell_fractions,Plasma Cells,2,54,Q2,-0.538340645038976,-0.0273089584703323,1,1,0.511031686568644
ACC,inferred_cell_fractions,Plasma Cells,3,54,Q2,-0.480283450472572,-0.0279465553292639,1,1,0.452336895143308
ACC,inferred_cell_fractions,T Cells CD4 Memory Activated,1,54,Q2,-0.450702176898066,-0.0866104892140795,1,1,0.364091687683987
ACC,inferred_cell_fractions,T Cells CD4 Memory Activated,2,54,Q2,-0.387637555434957,-0.107177178190848,2,1,0.280460377244109
ACC,inferred_cell_fractions,T Cells CD4 Memory Resting,1,54,Q2,-0.570627876979053,-0.0201162691834191,1,1,0.550511607795633
ACC,inferred_cell_fractions,T Cells CD4 Memory Resting,2,54,Q2,-0.162008032471905,-0.0110149638702322,1,1,0.150993068601673
ACC,inferred_cell_fractions,T Cells CD4 Memory Resting,3,54,Q2,-0.131165340438931,-0.048514646799473,1,1,0.0826506936394582
ACC,inferred_cell_fractions,T Cells CD4 Naive,1,54,Q2,-0.27653248988186,-0.0669472009170917,1,1,0.209585288964768
ACC,inferred_cell_fractions,T Cells CD4 Naive,2,54,Q2,-0.369363215902433,-0.046159404244434,1,1,0.323203811657999
ACC,inferred_cell_fractions,T Cells CD4 Naive,3,54,Q2,-0.349806844671055,-0.0442870833845088,1,1,0.305519761286546
ACC,inferred_cell_fractions,T Cells CD8,1,54,Q2,-0.567351011121693,-0.0871503444240349,1,1,0.480200666697658
ACC,inferred_cell_fractions,T Cells CD8,2,54,Q2,-0.358922019951689,-0.0719587666756847,1,1,0.286963253276004
ACC,inferred_cell_fractions,T Cells CD8,3,54,Q2,-0.211358823049252,0.0139352987947994,1,1,0.225294121844052
ACC,inferred_cell_fractions,T Cells Follicular Helper,1,54,Q2,-0.0629681289319537,0.016000455751939,1,1,0.0789685846838927
ACC,inferred_cell_fractions,T Cells Follicular Helper,2,54,Q2,0.0344105596777257,-0.00394044740540878,5,1,-0.0383510070831344
ACC,inferred_cell_fractions,T Cells Follicular Helper,3,54,Q2,0.072641555213698,0.0277553396690091,1,1,-0.0448862155446889
ACC,inferred_cell_fractions,T Cells Regulatory Tregs,1,54,Q2,-0.79980209355032,-0.058876678141903,4,1,0.740925415408417
ACC,inferred_cell_fractions,T Cells Regulatory Tregs,2,54,Q2,-0.452354178632301,-0.0464757783181757,1,1,0.405878400314126
ACC,inferred_cell_fractions,T Cells Regulatory Tregs,3,54,Q2,-0.402332767877603,-0.026167597899434,1,1,0.376165169978169
ACC,inferred_cell_fractions,Th1 Cells,1,54,Q2,-0.723762078644417,-0.00452317693406057,1,1,0.719238901710356
ACC,inferred_cell_fractions,Th1 Cells,2,54,Q2,-0.670525564035192,-0.206022084493388,1,1,0.464503479541803
ACC,inferred_cell_fractions,Th1 Cells,3,54,Q2,-0.537889980121523,-0.108929692673823,1,1,0.4289602874477
ACC,inferred_cell_fractions,Th17 Cells,1,54,Q2,-0.0412197273730115,-0.0771179142983558,1,1,-0.0358981869253443
ACC,inferred_cell_fractions,Th17 Cells,2,54,Q2,0.0546831299632203,0.0612574457578315,1,1,0.00657431579461121
ACC,inferred_cell_fractions,Th17 Cells,3,54,Q2,-0.039457922549645,-0.0180635416141386,1,1,0.0213943809355064
ACC,inferred_cell_fractions,Th2 Cells,1,54,Q2,0.195051147938527,0.112412400166358,1,1,-0.0826387477721686
ACC,inferred_cell_fractions,Th2 Cells,2,54,Q2,0.115192361951997,0.110712277416842,1,1,-0.00448008453515547
ACC,inferred_cell_fractions,Th2 Cells,3,54,Q2,-0.179025697290501,0.110398297803734,1,1,0.289423995094235
ACC,infiltration_signatures,IFN-gamma Response,1,53,Q2,-0.122148454019557,-0.0872455924727962,1,2,0.0349028615467604
ACC,infiltration_signatures,IFN-gamma Response,2,53,Q2,-0.203363154727081,-0.191801514794146,2,2,0.011561639932935
ACC,infiltration_signatures,IFN-gamma Response,3,53,Q2,-0.0075490360846755,-0.121219726752487,2,2,-0.113670690667812
ACC,infiltration_signatures,Leukocyte Fraction,1,53,Q2,0.256194784679811,0.2376836760159,1,2,-0.0185111086639108
ACC,infiltration_signatures,Leukocyte Fraction,2,53,Q2,0.143833956167734,0.195883454899227,1,2,0.0520494987314929
ACC,infiltration_signatures,Leukocyte Fraction,3,53,Q2,-0.0158609598756949,0.154398871442417,1,2,0.170259831318112
ACC,infiltration_signatures,Lymphocyte Infiltration Signature Score,1,53,Q2,-0.262223648456571,0.101203801344024,5,2,0.363427449800596
ACC,infiltration_signatures,Lymphocyte Infiltration Signature Score,2,53,Q2,0.181365066939133,0.165650265099371,1,2,-0.015714801839762
ACC,infiltration_signatures,Lymphocyte Infiltration Signature Score,3,53,Q2,0.212414565426689,0.129003185410354,1,2,-0.0834113800163351
ACC,infiltration_signatures,Macrophage Regulation,1,53,Q2,0.162625787505452,0.156731336611654,1,2,-0.00589445089379781
ACC,infiltration_signatures,Macrophage Regulation,2,53,Q2,0.133378113852021,0.145611651093395,1,2,0.0122335372413737
ACC,infiltration_signatures,Macrophage Regulation,3,53,Q2,-0.19612169285075,0.0533053504961805,1,2,0.249427043346931
ACC,infiltration_signatures,Stromal Fraction,1,53,Q2,0.0572145945972202,0.151578368068662,1,2,0.0943637734714419
ACC,infiltration_signatures,Stromal Fraction,2,53,Q2,0.078759165165121,0.139242674099454,1,2,0.0604835089343326
ACC,infiltration_signatures,Stromal Fraction,3,53,Q2,-0.0341168466661086,0.0630774191068289,1,2,0.0971942657729374
ACC,infiltration_signatures,TGF-beta Response,1,53,Q2,0.0542145825388756,-0.0716378236893365,1,2,-0.125852406228212
ACC,infiltration_signatures,TGF-beta Response,2,53,Q2,0.167425742205635,-0.0130155428503518,1,2,-0.180441285055987
ACC,infiltration_signatures,TGF-beta Response,3,53,Q2,0.090277982807892,-0.137693449447395,1,2,-0.227971432255287
ACC,infiltration_signatures,Wound Healing,1,53,Q2,0.145166600588298,0.175812526596365,1,2,0.0306459260080674
ACC,infiltration_signatures,Wound Healing,2,53,Q2,0.102229382487341,0.179311310166469,1,2,0.0770819276791285
ACC,infiltration_signatures,Wound Healing,3,53,Q2,0.0802837627941703,0.0543770756048065,1,2,-0.0259066871893637
BLCA,immune_repertoire,BCR Evenness,1,198,Q2,-0.206594757648716,-0.0328420771378573,1,1,0.173752680510858
BLCA,immune_repertoire,BCR Evenness,2,198,Q2,-0.173740809542063,-0.0244908613896837,1,1,0.149249948152379
BLCA,immune_repertoire,BCR Evenness,3,198,Q2,-0.111330601357652,-3.17338005078049e-05,1,1,0.111298867557145
BLCA,immune_repertoire,BCR Richness,1,198,Q2,-0.0681436929611192,-0.0603781206882372,1,1,0.00776557227288199
BLCA,immune_repertoire,BCR Richness,2,198,Q2,-0.00104755885020325,-0.0253179182757983,1,1,-0.0242703594255951
BLCA,immune_repertoire,BCR Richness,3,198,Q2,-0.0913681569771088,9.71000167349079e-06,1,1,0.0913778669787822
BLCA,immune_repertoire,BCR Shannon,1,198,Q2,-0.0785409810420983,-0.0343585148695631,1,1,0.0441824661725352
BLCA,immune_repertoire,BCR Shannon,2,198,Q2,-0.0829178237075614,-0.0548208235039143,1,1,0.0280970002036471
BLCA,immune_repertoire,BCR Shannon,3,198,Q2,-0.0732275446695432,-0.0313837619481825,1,1,0.0418437827213607
BLCA,immune_repertoire,TCR Evenness,1,198,Q2,0.00268651153838584,0.026713360325657,1,1,0.0240268487872711
BLCA,immune_repertoire,TCR Evenness,2,198,Q2,0.00727196369193894,0.00514121064529427,1,1,-0.00213075304664467
BLCA,immune_repertoire,TCR Evenness,3,198,Q2,-0.0185792985631092,-0.023066123347451,1,1,-0.0044868247843417
BLCA,immune_repertoire,TCR Richness,1,198,Q2,0.00560087009734123,-0.0116584175283445,1,1,-0.0172592876256857
BLCA,immune_repertoire,TCR Richness,2,198,Q2,0.00751099626336871,-0.0197851665033153,1,1,-0.027296162766684
BLCA,immune_repertoire,TCR Richness,3,198,Q2,-0.00388293837112075,0.0135342341389689,1,1,0.0174171725100897
BLCA,immune_repertoire,TCR Shannon,1,198,Q2,-0.0314472369688774,0.0110736927277041,1,1,0.0425209296965815
BLCA,immune_repertoire,TCR Shannon,2,198,Q2,-0.0567169612677376,-0.0297750978237632,1,1,0.0269418634439744
BLCA,immune_repertoire,TCR Shannon,3,198,Q2,0.023567092519416,0.0327681908799419,1,1,0.00920109836052585
BLCA,inferred_cell_fractions,B Cells Memory,1,373,Q2,0.0855806905515294,0.0883098676521057,1,5,0.0027291771005763
BLCA,inferred_cell_fractions,B Cells Memory,2,373,Q2,0.0849442925543322,0.0888985859716722,1,5,0.00395429341733999
BLCA,inferred_cell_fractions,B Cells Memory,3,373,Q2,0.0457603042035045,0.0943417861351107,1,5,0.0485814819316062
BLCA,inferred_cell_fractions,B Cells Naive,1,373,Q2,0.0956373908616913,0.0953932639054195,1,5,-0.000244126956271851
BLCA,inferred_cell_fractions,B Cells Naive,2,373,Q2,0.0816177824072161,0.0786564738460798,1,5,-0.0029613085611363
BLCA,inferred_cell_fractions,B Cells Naive,3,373,Q2,0.0725064244998082,0.0524619761017666,1,5,-0.0200444483980415
BLCA,inferred_cell_fractions,Dendritic Cells Activated,1,373,Q2,0.0327627986968055,-0.00100344724361801,1,5,-0.0337662459404235
BLCA,inferred_cell_fractions,Dendritic Cells Activated,2,373,Q2,0.0258043833639336,0.0085964696991061,1,5,-0.0172079136648275
