stability_job_id,stability_repeat,seed,fold_assignment_sha256,outer_fold_n,outer_fold_positive,outer_fold_negative,identical_across_representations
7,3,20790822,cb154071415b077e18a69b6d431d0c35bd154b420c3a22ccbe40f6aaebf1bb76,88;87;87;87;86,36;35;35;35;35,52;52;52;52;51,TRUE
7,4,20800822,3f2741c99ba6824fe4cd875f8b66a77c3f3c2af2ac44020be6df55390f3e2fc9,88;87;87;87;86,36;35;35;35;35,52;52;52;52;51,TRUE
7,5,20810822,8e7b4d3c8b2d935ea884c9b8b9b3ae7980e3044909f87ad3a6c25cbb844c23c0,88;87;87;87;86,36;35;35;35;35,52;52;52;52;51,TRUE
8,1,20770823,e3475b6e0e6b7a055fb1f1862a4c692ad475f3b0b33d926d15be19752b6b6938,93;93;92;92;91,18;18;18;18;17,75;75;74;74;74,TRUE
8,2,20780823,f685027d5284926d5422a0c35060e3c9858ca652c533e5e01173c100da850328,93;93;92;92;91,18;18;18;18;17,75;75;74;74;74,TRUE
8,3,20790823,b258d95cd2c9ac334b8bc0d994f8f7cd562de47d200a71756d9c959ad5570c8b,93;93;92;92;91,18;18;18;18;17,75;75;74;74;74,TRUE
8,4,20800823,89fcbe61138a5097a5c0a8bd9240a66f9271281be8d03b6814df536817fe985c,93;93;92;92;91,18;18;18;18;17,75;75;74;74;74,TRUE
8,5,20810823,6faee0ff923ea9e2a4ffe3e6ba576c920ee5a21cdda0d3a08a2bb8c320626a4e,93;93;92;92;91,18;18;18;18;17,75;75;74;74;74,TRUE
9,1,20770824,dc54a651f88c2c86baeac897ade66f57f448f484a75cba68d615cd5e46d93a74,97;97;96;96;95,32;32;31;31;31,65;65;65;65;64,TRUE
9,2,20780824,017c3790eee146954f33e0645ee45700734905556622fe7124f6a2af3f2593e4,97;97;96;96;95,32;32;31;31;31,65;65;65;65;64,TRUE
9,3,20790824,025c49a5dd5761e22a929a18f58b8deadc45b20163015e472f5a18a87cb54132,97;97;96;96;95,32;32;31;31;31,65;65;65;65;64,TRUE
9,4,20800824,cedd8424a713e9411c3043e24ec661021c54477cb821cf016bd15d6e24346b2b,97;97;96;96;95,32;32;31;31;31,65;65;65;65;64,TRUE
9,5,20810824,f1f460cdb80cf5bf0c70b74e26cbb2de904d02712caed7d16acb9675c316cece,97;97;96;96;95,32;32;31;31;31,65;65;65;65;64,TRUE
10,1,20770825,09764f93ac42b05c50e36f8cb6cabab25df1a0aa3e096070c95d483c5b205491,70;69;69;69;69,23;23;23;23;23,47;46;46;46;46,TRUE
10,2,20780825,2fe13750d5985e92dc061156740a1228fc7ca3ef7217a6eb6da6a28adabc9b9a,70;69;69;69;69,23;23;23;23;23,47;46;46;46;46,TRUE
10,3,20790825,3600c1275fd4c259fbe18ef4b110f4542014c072aac52da4f022beccf8aafd98,70;69;69;69;69,23;23;23;23;23,47;46;46;46;46,TRUE
10,4,20800825,6e975385ed37bef06e5b28e282ac921a95f59a510a93968e673090ae6a63c550,70;69;69;69;69,23;23;23;23;23,47;46;46;46;46,TRUE
10,5,20810825,b33540f3c73c7dbf144cd950034a51caceee91e17f8d0dcd5ee6516b9cd27186,70;69;69;69;69,23;23;23;23;23,47;46;46;46;46,TRUE
11,1,20770826,1f365e64440e4ba48f803ce0441fe933af06e926af9e042e35cbd00842fafdcf,90;90;90;90;89,53;53;53;53;52,37;37;37;37;37,TRUE
11,2,20780826,11efa8853fb86d3f03f0eced597468e5d48a9066bc5a87e5696d37c24dd5df79,90;90;90;90;89,53;53;53;53;52,37;37;37;37;37,TRUE
11,3,20790826,08ab35bd9fb65acd95891c19a103d79d6fb3cdaa7d770a45205092402923280f,90;90;90;90;89,53;53;53;53;52,37;37;37;37;37,TRUE
11,4,20800826,89a5b633f1890237de9e976932b7cc06a75f32db437f248ac88bcf0254c3edda,90;90;90;90;89,53;53;53;53;52,37;37;37;37;37,TRUE
