outcome_type,models,affected_cancers,highlighted_models,median_delta,q05_delta,q95_delta,threshold_retained,threshold_not_retained,material_change_flags,highlighted_material_change_flags
binary,15,4,0,0.000667626335565497,-0.0370109195715738,0.0368525777635739,13,2,2,0
continuous,152,4,0,-0.00473989540175047,-0.050682864676,0.0372606099163822,144,8,19,0
