family,tumor_type,endpoint,training_fraction,balanced_accuracy_mean,balanced_accuracy_sd,auc_mean,auc_sd,pr_auc_mean,pr_auc_sd,ppv_tcga_prevalence_mean,npv_tcga_prevalence_mean,training_patients_mean,training_positive_minimum,training_negative_minimum,selected_components_median,selected_components_minimum,selected_components_maximum
driver_mutation,THCA,NRAS,0.5,0.697953266245949,0.029945671444063,0.794178179544033,0.0332821183721221,0.320566913335384,0.047498162344234,0.38140725327383,0.952565321958329,195.2,15,180,6,1,10
driver_mutation,THCA,NRAS,0.75,0.669816362499289,0.0370869264248794,0.810881801125704,0.0237484100922927,0.380773438306925,0.0433131388506616,0.402751322751323,0.94742967328394,293.2,23,270,6,2,10
driver_mutation,THCA,NRAS,1,0.699351867644551,0.0295641670702682,0.827733242367389,0.015802571755463,0.404289005269755,0.0217751334396822,0.449067599067599,0.95214673313598,392,31,360,7,3,10
fusion,SARC,Any called fusion,0.5,0.516666666666667,0.0270149897423984,0.599974279835391,0.0470367596949868,0.895789516891529,0.0168542103863401,0.861762073397418,0.179160308470653,100,86,14,6,2,10
fusion,SARC,Any called fusion,0.75,0.566203703703704,0.0443031608548238,0.619753086419753,0.04572463705979,0.896991234627891,0.0105090433591985,0.875701320580322,0.272951745574466,150,129,21,7,2,10
fusion,SARC,Any called fusion,1,0.58287037037037,0.0354627816454121,0.646990740740741,0.0242290571694455,0.905164900507823,0.00718514988629304,0.87995574868435,0.330535980148883,201.6,172,28,7,2,10
fusion,THCA,Fusion pair: CCDC6--RET,0.5,0.586090486090486,0.0246699874065827,0.753925353925354,0.0435303671714797,0.24067578970402,0.0713755425628823,0.338611111111111,0.965249234357497,200,8,192,4,1,9
fusion,THCA,Fusion pair: CCDC6--RET,0.75,0.641174141174141,0.0303962751334955,0.798712998712999,0.0389484180892758,0.386069610445689,0.0583392735867344,0.515606060606061,0.969779048794008,300,12,288,8,2,10
fusion,THCA,Fusion pair: CCDC6--RET,1,0.648411048411048,0.0415868679015195,0.811464211464211,0.0371236906992751,0.388554320972382,0.0675122140877033,0.440595238095238,0.970431156088109,401.6,16,384,9,4,10
oncogenic_pathway,GBM,TP53,0.5,0.607097288676236,0.0639157316668644,0.646411483253589,0.0566738282098987,0.6945691867582,0.048035621825854,0.640750169914162,0.573890202934321,28,15,13,5,1,9
oncogenic_pathway,GBM,TP53,0.75,0.672169059011164,0.0595184348184649,0.717384370015949,0.0538575734033954,0.738200623341351,0.0607827396265155,0.71331541218638,0.63200204813108,41.8,22,19,4,1,10
oncogenic_pathway,GBM,TP53,1,0.657416267942584,0.0204487541972498,0.698405103668262,0.0262092473784252,0.718817178179532,0.0402434853317015,0.694642752882791,0.622149894932153,56.8,30,26,3,1,10
oncogenic_pathway,KIRC,WNT,0.5,0.550076399499931,0.0321036462405314,0.602194749270732,0.044688232285218,0.15454793687143,0.03955469341584,0.209579831932773,0.938255839871851,134,9,125,2,1,10
oncogenic_pathway,KIRC,WNT,0.75,0.581150159744409,0.0145878889715485,0.603250451451591,0.0435183393755942,0.198285402450543,0.0265342395038622,0.28515406162465,0.942422256548468,200.8,13,187,4,1,10
oncogenic_pathway,KIRC,WNT,1,0.575968884567301,0.00928900105583706,0.587887206556466,0.0263770873153179,0.193689263732717,0.0412654390824561,0.3125,0.941652156989951,268.8,18,250,4,1,8
oncogenic_pathway,KIRP,Cell Cycle,0.5,0.680584297017651,0.0219665170105856,0.81412051125989,0.0440008334366018,0.4909527247317,0.0499907740205585,0.569414126004515,0.916720758456448,96.6,12,84,2,1,9
oncogenic_pathway,KIRP,Cell Cycle,0.75,0.710407790626902,0.0569446892181001,0.799878271454656,0.0504212837574626,0.499893157164832,0.107565262600021,0.548860544638075,0.925214633052055,144.6,18,126,3,1,10
oncogenic_pathway,KIRP,Cell Cycle,1,0.708125380401704,0.019567487991555,0.839866098600122,0.0201259753408997,0.547312790451994,0.0555817662718229,0.5601966873706,0.924365026499464,194.4,24,169,3,2,10
oncogenic_pathway,PCPG,Cell Cycle,0.5,0.602931488801054,0.0411781946127,0.638405797101449,0.00951049526152907,0.292758327060383,0.033779432089105,0.359818130150611,0.881372050466558,61.6,9,52,5,1,10
oncogenic_pathway,PCPG,Cell Cycle,0.75,0.640184453227931,0.022228443349713,0.729841897233202,0.0567101472385505,0.401433392751405,0.0616327958785793,0.428888888888889,0.892176263855096,92,13,78,6,1,10
oncogenic_pathway,PCPG,Cell Cycle,1,0.68138998682477,0.0309126084561862,0.73768115942029,0.0309026921728415,0.446097268477081,0.0708401153228188,0.476450496556233,0.905154897780008,124,18,105,8,4,10
