family,tumor_type,endpoint,repeat,outer_fold,n,positive,negative,training_patients,training_positive,training_negative,test_patients,test_positive,test_negative,limited_evidence
aneuploidy,CESC,Genome doubling,2,5,259,85,174,208,68,140,51,17,34,FALSE
aneuploidy,CESC,Genome doubling,3,1,259,85,174,207,68,139,52,17,35,FALSE
aneuploidy,CESC,Genome doubling,3,2,259,85,174,207,68,139,52,17,35,FALSE
aneuploidy,CESC,Genome doubling,3,3,259,85,174,207,68,139,52,17,35,FALSE
aneuploidy,CESC,Genome doubling,3,4,259,85,174,207,68,139,52,17,35,FALSE
aneuploidy,CESC,Genome doubling,3,5,259,85,174,208,68,140,51,17,34,FALSE
aneuploidy,CESC,Genome doubling,4,1,259,85,174,207,68,139,52,17,35,FALSE
aneuploidy,CESC,Genome doubling,4,2,259,85,174,207,68,139,52,17,35,FALSE
aneuploidy,CESC,Genome doubling,4,3,259,85,174,207,68,139,52,17,35,FALSE
aneuploidy,CESC,Genome doubling,4,4,259,85,174,207,68,139,52,17,35,FALSE
aneuploidy,CESC,Genome doubling,4,5,259,85,174,208,68,140,51,17,34,FALSE
aneuploidy,CESC,Genome doubling,5,1,259,85,174,207,68,139,52,17,35,FALSE
aneuploidy,CESC,Genome doubling,5,2,259,85,174,207,68,139,52,17,35,FALSE
aneuploidy,CESC,Genome doubling,5,3,259,85,174,207,68,139,52,17,35,FALSE
aneuploidy,CESC,Genome doubling,5,4,259,85,174,207,68,139,52,17,35,FALSE
aneuploidy,CESC,Genome doubling,5,5,259,85,174,208,68,140,51,17,34,FALSE
aneuploidy,COAD,Genome doubling,1,1,408,165,243,326,132,194,82,33,49,FALSE
aneuploidy,COAD,Genome doubling,1,2,408,165,243,326,132,194,82,33,49,FALSE
aneuploidy,COAD,Genome doubling,1,3,408,165,243,326,132,194,82,33,49,FALSE
aneuploidy,COAD,Genome doubling,1,4,408,165,243,327,132,195,81,33,48,FALSE
aneuploidy,COAD,Genome doubling,1,5,408,165,243,327,132,195,81,33,48,FALSE
aneuploidy,COAD,Genome doubling,2,1,408,165,243,326,132,194,82,33,49,FALSE
aneuploidy,COAD,Genome doubling,2,2,408,165,243,326,132,194,82,33,49,FALSE
aneuploidy,COAD,Genome doubling,2,3,408,165,243,326,132,194,82,33,49,FALSE
aneuploidy,COAD,Genome doubling,2,4,408,165,243,327,132,195,81,33,48,FALSE
aneuploidy,COAD,Genome doubling,2,5,408,165,243,327,132,195,81,33,48,FALSE
aneuploidy,COAD,Genome doubling,3,1,408,165,243,326,132,194,82,33,49,FALSE
aneuploidy,COAD,Genome doubling,3,2,408,165,243,326,132,194,82,33,49,FALSE
aneuploidy,COAD,Genome doubling,3,3,408,165,243,326,132,194,82,33,49,FALSE
aneuploidy,COAD,Genome doubling,3,4,408,165,243,327,132,195,81,33,48,FALSE
aneuploidy,COAD,Genome doubling,3,5,408,165,243,327,132,195,81,33,48,FALSE
aneuploidy,COAD,Genome doubling,4,1,408,165,243,326,132,194,82,33,49,FALSE
aneuploidy,COAD,Genome doubling,4,2,408,165,243,326,132,194,82,33,49,FALSE
aneuploidy,COAD,Genome doubling,4,3,408,165,243,326,132,194,82,33,49,FALSE
aneuploidy,COAD,Genome doubling,4,4,408,165,243,327,132,195,81,33,48,FALSE
aneuploidy,COAD,Genome doubling,4,5,408,165,243,327,132,195,81,33,48,FALSE
aneuploidy,COAD,Genome doubling,5,1,408,165,243,326,132,194,82,33,49,FALSE
aneuploidy,COAD,Genome doubling,5,2,408,165,243,326,132,194,82,33,49,FALSE
aneuploidy,COAD,Genome doubling,5,3,408,165,243,326,132,194,82,33,49,FALSE
aneuploidy,COAD,Genome doubling,5,4,408,165,243,327,132,195,81,33,48,FALSE
aneuploidy,COAD,Genome doubling,5,5,408,165,243,327,132,195,81,33,48,FALSE
aneuploidy,HNSC,Genome doubling,1,1,435,176,259,347,140,207,88,36,52,FALSE
aneuploidy,HNSC,Genome doubling,1,2,435,176,259,348,141,207,87,35,52,FALSE
aneuploidy,HNSC,Genome doubling,1,3,435,176,259,348,141,207,87,35,52,FALSE
aneuploidy,HNSC,Genome doubling,1,4,435,176,259,348,141,207,87,35,52,FALSE
aneuploidy,HNSC,Genome doubling,1,5,435,176,259,349,141,208,86,35,51,FALSE
aneuploidy,HNSC,Genome doubling,2,1,435,176,259,347,140,207,88,36,52,FALSE
aneuploidy,HNSC,Genome doubling,2,2,435,176,259,348,141,207,87,35,52,FALSE
aneuploidy,HNSC,Genome doubling,2,3,435,176,259,348,141,207,87,35,52,FALSE
aneuploidy,HNSC,Genome doubling,2,4,435,176,259,348,141,207,87,35,52,FALSE
aneuploidy,HNSC,Genome doubling,2,5,435,176,259,349,141,208,86,35,51,FALSE
aneuploidy,HNSC,Genome doubling,3,1,435,176,259,347,140,207,88,36,52,FALSE
aneuploidy,HNSC,Genome doubling,3,2,435,176,259,348,141,207,87,35,52,FALSE
aneuploidy,HNSC,Genome doubling,3,3,435,176,259,348,141,207,87,35,52,FALSE
aneuploidy,HNSC,Genome doubling,3,4,435,176,259,348,141,207,87,35,52,FALSE
aneuploidy,HNSC,Genome doubling,3,5,435,176,259,349,141,208,86,35,51,FALSE
aneuploidy,HNSC,Genome doubling,4,1,435,176,259,347,140,207,88,36,52,FALSE
aneuploidy,HNSC,Genome doubling,4,2,435,176,259,348,141,207,87,35,52,FALSE
aneuploidy,HNSC,Genome doubling,4,3,435,176,259,348,141,207,87,35,52,FALSE
aneuploidy,HNSC,Genome doubling,4,4,435,176,259,348,141,207,87,35,52,FALSE
aneuploidy,HNSC,Genome doubling,4,5,435,176,259,349,141,208,86,35,51,FALSE
aneuploidy,HNSC,Genome doubling,5,1,435,176,259,347,140,207,88,36,52,FALSE
aneuploidy,HNSC,Genome doubling,5,2,435,176,259,348,141,207,87,35,52,FALSE
