family,tumor_type,endpoint,repeat,outer_fold,n,positive,negative,training_patients,training_positive,training_negative,test_patients,test_positive,test_negative,limited_evidence
aneuploidy,UCEC,Genome doubling,5,4,477,97,380,382,78,304,95,19,76,FALSE
aneuploidy,UCEC,Genome doubling,5,5,477,97,380,382,78,304,95,19,76,FALSE
driver_mutation,BLCA,FGFR3,1,1,384,54,330,307,43,264,77,11,66,FALSE
driver_mutation,BLCA,FGFR3,1,2,384,54,330,307,43,264,77,11,66,FALSE
driver_mutation,BLCA,FGFR3,1,3,384,54,330,307,43,264,77,11,66,FALSE
driver_mutation,BLCA,FGFR3,1,4,384,54,330,307,43,264,77,11,66,FALSE
driver_mutation,BLCA,FGFR3,1,5,384,54,330,308,44,264,76,10,66,FALSE
driver_mutation,BLCA,FGFR3,2,1,384,54,330,307,43,264,77,11,66,FALSE
driver_mutation,BLCA,FGFR3,2,2,384,54,330,307,43,264,77,11,66,FALSE
driver_mutation,BLCA,FGFR3,2,3,384,54,330,307,43,264,77,11,66,FALSE
driver_mutation,BLCA,FGFR3,2,4,384,54,330,307,43,264,77,11,66,FALSE
driver_mutation,BLCA,FGFR3,2,5,384,54,330,308,44,264,76,10,66,FALSE
driver_mutation,BLCA,FGFR3,3,1,384,54,330,307,43,264,77,11,66,FALSE
driver_mutation,BLCA,FGFR3,3,2,384,54,330,307,43,264,77,11,66,FALSE
driver_mutation,BLCA,FGFR3,3,3,384,54,330,307,43,264,77,11,66,FALSE
driver_mutation,BLCA,FGFR3,3,4,384,54,330,307,43,264,77,11,66,FALSE
driver_mutation,BLCA,FGFR3,3,5,384,54,330,308,44,264,76,10,66,FALSE
driver_mutation,BLCA,FGFR3,4,1,384,54,330,307,43,264,77,11,66,FALSE
driver_mutation,BLCA,FGFR3,4,2,384,54,330,307,43,264,77,11,66,FALSE
driver_mutation,BLCA,FGFR3,4,3,384,54,330,307,43,264,77,11,66,FALSE
driver_mutation,BLCA,FGFR3,4,4,384,54,330,307,43,264,77,11,66,FALSE
driver_mutation,BLCA,FGFR3,4,5,384,54,330,308,44,264,76,10,66,FALSE
driver_mutation,BLCA,FGFR3,5,1,384,54,330,307,43,264,77,11,66,FALSE
driver_mutation,BLCA,FGFR3,5,2,384,54,330,307,43,264,77,11,66,FALSE
driver_mutation,BLCA,FGFR3,5,3,384,54,330,307,43,264,77,11,66,FALSE
driver_mutation,BLCA,FGFR3,5,4,384,54,330,307,43,264,77,11,66,FALSE
driver_mutation,BLCA,FGFR3,5,5,384,54,330,308,44,264,76,10,66,FALSE
driver_mutation,BLCA,TP53,1,1,384,185,199,307,148,159,77,37,40,FALSE
driver_mutation,BLCA,TP53,1,2,384,185,199,307,148,159,77,37,40,FALSE
driver_mutation,BLCA,TP53,1,3,384,185,199,307,148,159,77,37,40,FALSE
driver_mutation,BLCA,TP53,1,4,384,185,199,307,148,159,77,37,40,FALSE
driver_mutation,BLCA,TP53,1,5,384,185,199,308,148,160,76,37,39,FALSE
driver_mutation,BLCA,TP53,2,1,384,185,199,307,148,159,77,37,40,FALSE
driver_mutation,BLCA,TP53,2,2,384,185,199,307,148,159,77,37,40,FALSE
driver_mutation,BLCA,TP53,2,3,384,185,199,307,148,159,77,37,40,FALSE
driver_mutation,BLCA,TP53,2,4,384,185,199,307,148,159,77,37,40,FALSE
driver_mutation,BLCA,TP53,2,5,384,185,199,308,148,160,76,37,39,FALSE
driver_mutation,BLCA,TP53,3,1,384,185,199,307,148,159,77,37,40,FALSE
driver_mutation,BLCA,TP53,3,2,384,185,199,307,148,159,77,37,40,FALSE
driver_mutation,BLCA,TP53,3,3,384,185,199,307,148,159,77,37,40,FALSE
driver_mutation,BLCA,TP53,3,4,384,185,199,307,148,159,77,37,40,FALSE
driver_mutation,BLCA,TP53,3,5,384,185,199,308,148,160,76,37,39,FALSE
driver_mutation,BLCA,TP53,4,1,384,185,199,307,148,159,77,37,40,FALSE
driver_mutation,BLCA,TP53,4,2,384,185,199,307,148,159,77,37,40,FALSE
driver_mutation,BLCA,TP53,4,3,384,185,199,307,148,159,77,37,40,FALSE
driver_mutation,BLCA,TP53,4,4,384,185,199,307,148,159,77,37,40,FALSE
driver_mutation,BLCA,TP53,4,5,384,185,199,308,148,160,76,37,39,FALSE
driver_mutation,BLCA,TP53,5,1,384,185,199,307,148,159,77,37,40,FALSE
driver_mutation,BLCA,TP53,5,2,384,185,199,307,148,159,77,37,40,FALSE
driver_mutation,BLCA,TP53,5,3,384,185,199,307,148,159,77,37,40,FALSE
driver_mutation,BLCA,TP53,5,4,384,185,199,307,148,159,77,37,40,FALSE
driver_mutation,BLCA,TP53,5,5,384,185,199,308,148,160,76,37,39,FALSE
driver_mutation,BRCA,CDH1,1,1,981,96,885,784,76,708,197,20,177,FALSE
driver_mutation,BRCA,CDH1,1,2,981,96,885,785,77,708,196,19,177,FALSE
driver_mutation,BRCA,CDH1,1,3,981,96,885,785,77,708,196,19,177,FALSE
driver_mutation,BRCA,CDH1,1,4,981,96,885,785,77,708,196,19,177,FALSE
driver_mutation,BRCA,CDH1,1,5,981,96,885,785,77,708,196,19,177,FALSE
driver_mutation,BRCA,CDH1,2,1,981,96,885,784,76,708,197,20,177,FALSE
driver_mutation,BRCA,CDH1,2,2,981,96,885,785,77,708,196,19,177,FALSE
driver_mutation,BRCA,CDH1,2,3,981,96,885,785,77,708,196,19,177,FALSE
driver_mutation,BRCA,CDH1,2,4,981,96,885,785,77,708,196,19,177,FALSE
driver_mutation,BRCA,CDH1,2,5,981,96,885,785,77,708,196,19,177,FALSE
driver_mutation,BRCA,CDH1,3,1,981,96,885,784,76,708,197,20,177,FALSE
driver_mutation,BRCA,CDH1,3,2,981,96,885,785,77,708,196,19,177,FALSE
driver_mutation,BRCA,CDH1,3,3,981,96,885,785,77,708,196,19,177,FALSE
driver_mutation,BRCA,CDH1,3,4,981,96,885,785,77,708,196,19,177,FALSE
driver_mutation,BRCA,CDH1,3,5,981,96,885,785,77,708,196,19,177,FALSE
driver_mutation,BRCA,CDH1,4,1,981,96,885,784,76,708,197,20,177,FALSE
driver_mutation,BRCA,CDH1,4,2,981,96,885,785,77,708,196,19,177,FALSE
driver_mutation,BRCA,CDH1,4,3,981,96,885,785,77,708,196,19,177,FALSE
driver_mutation,BRCA,CDH1,4,4,981,96,885,785,77,708,196,19,177,FALSE
driver_mutation,BRCA,CDH1,4,5,981,96,885,785,77,708,196,19,177,FALSE
driver_mutation,BRCA,CDH1,5,1,981,96,885,784,76,708,197,20,177,FALSE
driver_mutation,BRCA,CDH1,5,2,981,96,885,785,77,708,196,19,177,FALSE
driver_mutation,BRCA,CDH1,5,3,981,96,885,785,77,708,196,19,177,FALSE
driver_mutation,BRCA,CDH1,5,4,981,96,885,785,77,708,196,19,177,FALSE
driver_mutation,BRCA,CDH1,5,5,981,96,885,785,77,708,196,19,177,FALSE
driver_mutation,BRCA,FOXA1,1,1,981,28,953,784,22,762,197,6,191,TRUE
driver_mutation,BRCA,FOXA1,1,2,981,28,953,784,22,762,197,6,191,TRUE
driver_mutation,BRCA,FOXA1,1,3,981,28,953,784,22,762,197,6,191,TRUE
driver_mutation,BRCA,FOXA1,1,4,981,28,953,786,23,763,195,5,190,TRUE
driver_mutation,BRCA,FOXA1,1,5,981,28,953,786,23,763,195,5,190,TRUE
driver_mutation,BRCA,FOXA1,2,1,981,28,953,784,22,762,197,6,191,TRUE
driver_mutation,BRCA,FOXA1,2,2,981,28,953,784,22,762,197,6,191,TRUE
driver_mutation,BRCA,FOXA1,2,3,981,28,953,784,22,762,197,6,191,TRUE
driver_mutation,BRCA,FOXA1,2,4,981,28,953,786,23,763,195,5,190,TRUE
driver_mutation,BRCA,FOXA1,2,5,981,28,953,786,23,763,195,5,190,TRUE
driver_mutation,BRCA,FOXA1,3,1,981,28,953,784,22,762,197,6,191,TRUE
driver_mutation,BRCA,FOXA1,3,2,981,28,953,784,22,762,197,6,191,TRUE
driver_mutation,BRCA,FOXA1,3,3,981,28,953,784,22,762,197,6,191,TRUE
driver_mutation,BRCA,FOXA1,3,4,981,28,953,786,23,763,195,5,190,TRUE
driver_mutation,BRCA,FOXA1,3,5,981,28,953,786,23,763,195,5,190,TRUE
driver_mutation,BRCA,FOXA1,4,1,981,28,953,784,22,762,197,6,191,TRUE
driver_mutation,BRCA,FOXA1,4,2,981,28,953,784,22,762,197,6,191,TRUE
driver_mutation,BRCA,FOXA1,4,3,981,28,953,784,22,762,197,6,191,TRUE
driver_mutation,BRCA,FOXA1,4,4,981,28,953,786,23,763,195,5,190,TRUE
driver_mutation,BRCA,FOXA1,4,5,981,28,953,786,23,763,195,5,190,TRUE
driver_mutation,BRCA,FOXA1,5,1,981,28,953,784,22,762,197,6,191,TRUE
driver_mutation,BRCA,FOXA1,5,2,981,28,953,784,22,762,197,6,191,TRUE
driver_mutation,BRCA,FOXA1,5,3,981,28,953,784,22,762,197,6,191,TRUE
driver_mutation,BRCA,FOXA1,5,4,981,28,953,786,23,763,195,5,190,TRUE
driver_mutation,BRCA,FOXA1,5,5,981,28,953,786,23,763,195,5,190,TRUE
driver_mutation,BRCA,PIK3CA,1,1,981,266,715,784,212,572,197,54,143,FALSE
driver_mutation,BRCA,PIK3CA,1,2,981,266,715,785,213,572,196,53,143,FALSE
driver_mutation,BRCA,PIK3CA,1,3,981,266,715,785,213,572,196,53,143,FALSE
driver_mutation,BRCA,PIK3CA,1,4,981,266,715,785,213,572,196,53,143,FALSE
driver_mutation,BRCA,PIK3CA,1,5,981,266,715,785,213,572,196,53,143,FALSE
driver_mutation,BRCA,PIK3CA,2,1,981,266,715,784,212,572,197,54,143,FALSE
driver_mutation,BRCA,PIK3CA,2,2,981,266,715,785,213,572,196,53,143,FALSE
driver_mutation,BRCA,PIK3CA,2,3,981,266,715,785,213,572,196,53,143,FALSE
driver_mutation,BRCA,PIK3CA,2,4,981,266,715,785,213,572,196,53,143,FALSE
driver_mutation,BRCA,PIK3CA,2,5,981,266,715,785,213,572,196,53,143,FALSE
driver_mutation,BRCA,PIK3CA,3,1,981,266,715,784,212,572,197,54,143,FALSE
driver_mutation,BRCA,PIK3CA,3,2,981,266,715,785,213,572,196,53,143,FALSE
driver_mutation,BRCA,PIK3CA,3,3,981,266,715,785,213,572,196,53,143,FALSE
driver_mutation,BRCA,PIK3CA,3,4,981,266,715,785,213,572,196,53,143,FALSE
driver_mutation,BRCA,PIK3CA,3,5,981,266,715,785,213,572,196,53,143,FALSE
driver_mutation,BRCA,PIK3CA,4,1,981,266,715,784,212,572,197,54,143,FALSE
driver_mutation,BRCA,PIK3CA,4,2,981,266,715,785,213,572,196,53,143,FALSE
driver_mutation,BRCA,PIK3CA,4,3,981,266,715,785,213,572,196,53,143,FALSE
driver_mutation,BRCA,PIK3CA,4,4,981,266,715,785,213,572,196,53,143,FALSE
driver_mutation,BRCA,PIK3CA,4,5,981,266,715,785,213,572,196,53,143,FALSE
driver_mutation,BRCA,PIK3CA,5,1,981,266,715,784,212,572,197,54,143,FALSE
driver_mutation,BRCA,PIK3CA,5,2,981,266,715,785,213,572,196,53,143,FALSE
driver_mutation,BRCA,PIK3CA,5,3,981,266,715,785,213,572,196,53,143,FALSE
driver_mutation,BRCA,PIK3CA,5,4,981,266,715,785,213,572,196,53,143,FALSE
driver_mutation,BRCA,PIK3CA,5,5,981,266,715,785,213,572,196,53,143,FALSE
driver_mutation,BRCA,TP53,1,1,981,259,722,784,207,577,197,52,145,FALSE
driver_mutation,BRCA,TP53,1,2,981,259,722,784,207,577,197,52,145,FALSE
driver_mutation,BRCA,TP53,1,3,981,259,722,785,207,578,196,52,144,FALSE
driver_mutation,BRCA,TP53,1,4,981,259,722,785,207,578,196,52,144,FALSE
driver_mutation,BRCA,TP53,1,5,981,259,722,786,208,578,195,51,144,FALSE
driver_mutation,BRCA,TP53,2,1,981,259,722,784,207,577,197,52,145,FALSE
driver_mutation,BRCA,TP53,2,2,981,259,722,784,207,577,197,52,145,FALSE
driver_mutation,BRCA,TP53,2,3,981,259,722,785,207,578,196,52,144,FALSE
driver_mutation,BRCA,TP53,2,4,981,259,722,785,207,578,196,52,144,FALSE
driver_mutation,BRCA,TP53,2,5,981,259,722,786,208,578,195,51,144,FALSE
driver_mutation,BRCA,TP53,3,1,981,259,722,784,207,577,197,52,145,FALSE
driver_mutation,BRCA,TP53,3,2,981,259,722,784,207,577,197,52,145,FALSE
driver_mutation,BRCA,TP53,3,3,981,259,722,785,207,578,196,52,144,FALSE
driver_mutation,BRCA,TP53,3,4,981,259,722,785,207,578,196,52,144,FALSE
driver_mutation,BRCA,TP53,3,5,981,259,722,786,208,578,195,51,144,FALSE
driver_mutation,BRCA,TP53,4,1,981,259,722,784,207,577,197,52,145,FALSE
driver_mutation,BRCA,TP53,4,2,981,259,722,784,207,577,197,52,145,FALSE
driver_mutation,BRCA,TP53,4,3,981,259,722,785,207,578,196,52,144,FALSE
driver_mutation,BRCA,TP53,4,4,981,259,722,785,207,578,196,52,144,FALSE
driver_mutation,BRCA,TP53,4,5,981,259,722,786,208,578,195,51,144,FALSE
driver_mutation,BRCA,TP53,5,1,981,259,722,784,207,577,197,52,145,FALSE
driver_mutation,BRCA,TP53,5,2,981,259,722,784,207,577,197,52,145,FALSE
driver_mutation,BRCA,TP53,5,3,981,259,722,785,207,578,196,52,144,FALSE
driver_mutation,BRCA,TP53,5,4,981,259,722,785,207,578,196,52,144,FALSE
driver_mutation,BRCA,TP53,5,5,981,259,722,786,208,578,195,51,144,FALSE
driver_mutation,CESC,TP53,1,1,252,21,231,200,16,184,52,5,47,TRUE
driver_mutation,CESC,TP53,1,2,252,21,231,202,17,185,50,4,46,TRUE
driver_mutation,CESC,TP53,1,3,252,21,231,202,17,185,50,4,46,TRUE
driver_mutation,CESC,TP53,1,4,252,21,231,202,17,185,50,4,46,TRUE
driver_mutation,CESC,TP53,1,5,252,21,231,202,17,185,50,4,46,TRUE
driver_mutation,CESC,TP53,2,1,252,21,231,200,16,184,52,5,47,TRUE
driver_mutation,CESC,TP53,2,2,252,21,231,202,17,185,50,4,46,TRUE
driver_mutation,CESC,TP53,2,3,252,21,231,202,17,185,50,4,46,TRUE
driver_mutation,CESC,TP53,2,4,252,21,231,202,17,185,50,4,46,TRUE
driver_mutation,CESC,TP53,2,5,252,21,231,202,17,185,50,4,46,TRUE
driver_mutation,CESC,TP53,3,1,252,21,231,200,16,184,52,5,47,TRUE
driver_mutation,CESC,TP53,3,2,252,21,231,202,17,185,50,4,46,TRUE
driver_mutation,CESC,TP53,3,3,252,21,231,202,17,185,50,4,46,TRUE
driver_mutation,CESC,TP53,3,4,252,21,231,202,17,185,50,4,46,TRUE
driver_mutation,CESC,TP53,3,5,252,21,231,202,17,185,50,4,46,TRUE
driver_mutation,CESC,TP53,4,1,252,21,231,200,16,184,52,5,47,TRUE
driver_mutation,CESC,TP53,4,2,252,21,231,202,17,185,50,4,46,TRUE
driver_mutation,CESC,TP53,4,3,252,21,231,202,17,185,50,4,46,TRUE
driver_mutation,CESC,TP53,4,4,252,21,231,202,17,185,50,4,46,TRUE
driver_mutation,CESC,TP53,4,5,252,21,231,202,17,185,50,4,46,TRUE
driver_mutation,CESC,TP53,5,1,252,21,231,200,16,184,52,5,47,TRUE
driver_mutation,CESC,TP53,5,2,252,21,231,202,17,185,50,4,46,TRUE
driver_mutation,CESC,TP53,5,3,252,21,231,202,17,185,50,4,46,TRUE
driver_mutation,CESC,TP53,5,4,252,21,231,202,17,185,50,4,46,TRUE
driver_mutation,CESC,TP53,5,5,252,21,231,202,17,185,50,4,46,TRUE
driver_mutation,COAD,APC,1,1,382,196,186,304,156,148,78,40,38,FALSE
driver_mutation,COAD,APC,1,2,382,196,186,306,157,149,76,39,37,FALSE
driver_mutation,COAD,APC,1,3,382,196,186,306,157,149,76,39,37,FALSE
driver_mutation,COAD,APC,1,4,382,196,186,306,157,149,76,39,37,FALSE
driver_mutation,COAD,APC,1,5,382,196,186,306,157,149,76,39,37,FALSE
driver_mutation,COAD,APC,2,1,382,196,186,304,156,148,78,40,38,FALSE
driver_mutation,COAD,APC,2,2,382,196,186,306,157,149,76,39,37,FALSE
driver_mutation,COAD,APC,2,3,382,196,186,306,157,149,76,39,37,FALSE
driver_mutation,COAD,APC,2,4,382,196,186,306,157,149,76,39,37,FALSE
driver_mutation,COAD,APC,2,5,382,196,186,306,157,149,76,39,37,FALSE
driver_mutation,COAD,APC,3,1,382,196,186,304,156,148,78,40,38,FALSE
driver_mutation,COAD,APC,3,2,382,196,186,306,157,149,76,39,37,FALSE
driver_mutation,COAD,APC,3,3,382,196,186,306,157,149,76,39,37,FALSE
driver_mutation,COAD,APC,3,4,382,196,186,306,157,149,76,39,37,FALSE
driver_mutation,COAD,APC,3,5,382,196,186,306,157,149,76,39,37,FALSE
driver_mutation,COAD,APC,4,1,382,196,186,304,156,148,78,40,38,FALSE
driver_mutation,COAD,APC,4,2,382,196,186,306,157,149,76,39,37,FALSE
driver_mutation,COAD,APC,4,3,382,196,186,306,157,149,76,39,37,FALSE
driver_mutation,COAD,APC,4,4,382,196,186,306,157,149,76,39,37,FALSE
driver_mutation,COAD,APC,4,5,382,196,186,306,157,149,76,39,37,FALSE
driver_mutation,COAD,APC,5,1,382,196,186,304,156,148,78,40,38,FALSE
driver_mutation,COAD,APC,5,2,382,196,186,306,157,149,76,39,37,FALSE
driver_mutation,COAD,APC,5,3,382,196,186,306,157,149,76,39,37,FALSE
driver_mutation,COAD,APC,5,4,382,196,186,306,157,149,76,39,37,FALSE
driver_mutation,COAD,APC,5,5,382,196,186,306,157,149,76,39,37,FALSE
driver_mutation,COAD,KRAS,1,1,382,126,256,304,100,204,78,26,52,FALSE
driver_mutation,COAD,KRAS,1,2,382,126,256,306,101,205,76,25,51,FALSE
driver_mutation,COAD,KRAS,1,3,382,126,256,306,101,205,76,25,51,FALSE
driver_mutation,COAD,KRAS,1,4,382,126,256,306,101,205,76,25,51,FALSE
driver_mutation,COAD,KRAS,1,5,382,126,256,306,101,205,76,25,51,FALSE
driver_mutation,COAD,KRAS,2,1,382,126,256,304,100,204,78,26,52,FALSE
driver_mutation,COAD,KRAS,2,2,382,126,256,306,101,205,76,25,51,FALSE
driver_mutation,COAD,KRAS,2,3,382,126,256,306,101,205,76,25,51,FALSE
driver_mutation,COAD,KRAS,2,4,382,126,256,306,101,205,76,25,51,FALSE
driver_mutation,COAD,KRAS,2,5,382,126,256,306,101,205,76,25,51,FALSE
driver_mutation,COAD,KRAS,3,1,382,126,256,304,100,204,78,26,52,FALSE
driver_mutation,COAD,KRAS,3,2,382,126,256,306,101,205,76,25,51,FALSE
driver_mutation,COAD,KRAS,3,3,382,126,256,306,101,205,76,25,51,FALSE
driver_mutation,COAD,KRAS,3,4,382,126,256,306,101,205,76,25,51,FALSE
driver_mutation,COAD,KRAS,3,5,382,126,256,306,101,205,76,25,51,FALSE
driver_mutation,COAD,KRAS,4,1,382,126,256,304,100,204,78,26,52,FALSE
driver_mutation,COAD,KRAS,4,2,382,126,256,306,101,205,76,25,51,FALSE
driver_mutation,COAD,KRAS,4,3,382,126,256,306,101,205,76,25,51,FALSE
driver_mutation,COAD,KRAS,4,4,382,126,256,306,101,205,76,25,51,FALSE
driver_mutation,COAD,KRAS,4,5,382,126,256,306,101,205,76,25,51,FALSE
driver_mutation,COAD,KRAS,5,1,382,126,256,304,100,204,78,26,52,FALSE
driver_mutation,COAD,KRAS,5,2,382,126,256,306,101,205,76,25,51,FALSE
driver_mutation,COAD,KRAS,5,3,382,126,256,306,101,205,76,25,51,FALSE
driver_mutation,COAD,KRAS,5,4,382,126,256,306,101,205,76,25,51,FALSE
driver_mutation,COAD,KRAS,5,5,382,126,256,306,101,205,76,25,51,FALSE
driver_mutation,COAD,TP53,1,1,382,161,221,304,128,176,78,33,45,FALSE
driver_mutation,COAD,TP53,1,2,382,161,221,306,129,177,76,32,44,FALSE
driver_mutation,COAD,TP53,1,3,382,161,221,306,129,177,76,32,44,FALSE
driver_mutation,COAD,TP53,1,4,382,161,221,306,129,177,76,32,44,FALSE
driver_mutation,COAD,TP53,1,5,382,161,221,306,129,177,76,32,44,FALSE
driver_mutation,COAD,TP53,2,1,382,161,221,304,128,176,78,33,45,FALSE
driver_mutation,COAD,TP53,2,2,382,161,221,306,129,177,76,32,44,FALSE
driver_mutation,COAD,TP53,2,3,382,161,221,306,129,177,76,32,44,FALSE
driver_mutation,COAD,TP53,2,4,382,161,221,306,129,177,76,32,44,FALSE
driver_mutation,COAD,TP53,2,5,382,161,221,306,129,177,76,32,44,FALSE
driver_mutation,COAD,TP53,3,1,382,161,221,304,128,176,78,33,45,FALSE
driver_mutation,COAD,TP53,3,2,382,161,221,306,129,177,76,32,44,FALSE
driver_mutation,COAD,TP53,3,3,382,161,221,306,129,177,76,32,44,FALSE
driver_mutation,COAD,TP53,3,4,382,161,221,306,129,177,76,32,44,FALSE
driver_mutation,COAD,TP53,3,5,382,161,221,306,129,177,76,32,44,FALSE
driver_mutation,COAD,TP53,4,1,382,161,221,304,128,176,78,33,45,FALSE
driver_mutation,COAD,TP53,4,2,382,161,221,306,129,177,76,32,44,FALSE
driver_mutation,COAD,TP53,4,3,382,161,221,306,129,177,76,32,44,FALSE
driver_mutation,COAD,TP53,4,4,382,161,221,306,129,177,76,32,44,FALSE
driver_mutation,COAD,TP53,4,5,382,161,221,306,129,177,76,32,44,FALSE
driver_mutation,COAD,TP53,5,1,382,161,221,304,128,176,78,33,45,FALSE
driver_mutation,COAD,TP53,5,2,382,161,221,306,129,177,76,32,44,FALSE
driver_mutation,COAD,TP53,5,3,382,161,221,306,129,177,76,32,44,FALSE
driver_mutation,COAD,TP53,5,4,382,161,221,306,129,177,76,32,44,FALSE
driver_mutation,COAD,TP53,5,5,382,161,221,306,129,177,76,32,44,FALSE
driver_mutation,HNSC,NSD1,1,1,431,51,380,344,40,304,87,11,76,FALSE
driver_mutation,HNSC,NSD1,1,2,431,51,380,345,41,304,86,10,76,FALSE
driver_mutation,HNSC,NSD1,1,3,431,51,380,345,41,304,86,10,76,FALSE
driver_mutation,HNSC,NSD1,1,4,431,51,380,345,41,304,86,10,76,FALSE
driver_mutation,HNSC,NSD1,1,5,431,51,380,345,41,304,86,10,76,FALSE
driver_mutation,HNSC,NSD1,2,1,431,51,380,344,40,304,87,11,76,FALSE
driver_mutation,HNSC,NSD1,2,2,431,51,380,345,41,304,86,10,76,FALSE
driver_mutation,HNSC,NSD1,2,3,431,51,380,345,41,304,86,10,76,FALSE
driver_mutation,HNSC,NSD1,2,4,431,51,380,345,41,304,86,10,76,FALSE
driver_mutation,HNSC,NSD1,2,5,431,51,380,345,41,304,86,10,76,FALSE
driver_mutation,HNSC,NSD1,3,1,431,51,380,344,40,304,87,11,76,FALSE
driver_mutation,HNSC,NSD1,3,2,431,51,380,345,41,304,86,10,76,FALSE
driver_mutation,HNSC,NSD1,3,3,431,51,380,345,41,304,86,10,76,FALSE
driver_mutation,HNSC,NSD1,3,4,431,51,380,345,41,304,86,10,76,FALSE
driver_mutation,HNSC,NSD1,3,5,431,51,380,345,41,304,86,10,76,FALSE
driver_mutation,HNSC,NSD1,4,1,431,51,380,344,40,304,87,11,76,FALSE
driver_mutation,HNSC,NSD1,4,2,431,51,380,345,41,304,86,10,76,FALSE
driver_mutation,HNSC,NSD1,4,3,431,51,380,345,41,304,86,10,76,FALSE
driver_mutation,HNSC,NSD1,4,4,431,51,380,345,41,304,86,10,76,FALSE
driver_mutation,HNSC,NSD1,4,5,431,51,380,345,41,304,86,10,76,FALSE
driver_mutation,HNSC,NSD1,5,1,431,51,380,344,40,304,87,11,76,FALSE
driver_mutation,HNSC,NSD1,5,2,431,51,380,345,41,304,86,10,76,FALSE
driver_mutation,HNSC,NSD1,5,3,431,51,380,345,41,304,86,10,76,FALSE
driver_mutation,HNSC,NSD1,5,4,431,51,380,345,41,304,86,10,76,FALSE
driver_mutation,HNSC,NSD1,5,5,431,51,380,345,41,304,86,10,76,FALSE
driver_mutation,HNSC,TP53,1,1,431,320,111,344,256,88,87,64,23,FALSE
driver_mutation,HNSC,TP53,1,2,431,320,111,345,256,89,86,64,22,FALSE
driver_mutation,HNSC,TP53,1,3,431,320,111,345,256,89,86,64,22,FALSE
driver_mutation,HNSC,TP53,1,4,431,320,111,345,256,89,86,64,22,FALSE
driver_mutation,HNSC,TP53,1,5,431,320,111,345,256,89,86,64,22,FALSE
driver_mutation,HNSC,TP53,2,1,431,320,111,344,256,88,87,64,23,FALSE
driver_mutation,HNSC,TP53,2,2,431,320,111,345,256,89,86,64,22,FALSE
driver_mutation,HNSC,TP53,2,3,431,320,111,345,256,89,86,64,22,FALSE
driver_mutation,HNSC,TP53,2,4,431,320,111,345,256,89,86,64,22,FALSE
driver_mutation,HNSC,TP53,2,5,431,320,111,345,256,89,86,64,22,FALSE
driver_mutation,HNSC,TP53,3,1,431,320,111,344,256,88,87,64,23,FALSE
driver_mutation,HNSC,TP53,3,2,431,320,111,345,256,89,86,64,22,FALSE
driver_mutation,HNSC,TP53,3,3,431,320,111,345,256,89,86,64,22,FALSE
driver_mutation,HNSC,TP53,3,4,431,320,111,345,256,89,86,64,22,FALSE
driver_mutation,HNSC,TP53,3,5,431,320,111,345,256,89,86,64,22,FALSE
driver_mutation,HNSC,TP53,4,1,431,320,111,344,256,88,87,64,23,FALSE
driver_mutation,HNSC,TP53,4,2,431,320,111,345,256,89,86,64,22,FALSE
driver_mutation,HNSC,TP53,4,3,431,320,111,345,256,89,86,64,22,FALSE
driver_mutation,HNSC,TP53,4,4,431,320,111,345,256,89,86,64,22,FALSE
driver_mutation,HNSC,TP53,4,5,431,320,111,345,256,89,86,64,22,FALSE
driver_mutation,HNSC,TP53,5,1,431,320,111,344,256,88,87,64,23,FALSE
driver_mutation,HNSC,TP53,5,2,431,320,111,345,256,89,86,64,22,FALSE
driver_mutation,HNSC,TP53,5,3,431,320,111,345,256,89,86,64,22,FALSE
driver_mutation,HNSC,TP53,5,4,431,320,111,345,256,89,86,64,22,FALSE
driver_mutation,HNSC,TP53,5,5,431,320,111,345,256,89,86,64,22,FALSE
driver_mutation,KIRC,SETD2,1,1,353,47,306,281,37,244,72,10,62,TRUE
driver_mutation,KIRC,SETD2,1,2,353,47,306,282,37,245,71,10,61,TRUE
driver_mutation,KIRC,SETD2,1,3,353,47,306,283,38,245,70,9,61,TRUE
driver_mutation,KIRC,SETD2,1,4,353,47,306,283,38,245,70,9,61,TRUE
driver_mutation,KIRC,SETD2,1,5,353,47,306,283,38,245,70,9,61,TRUE
driver_mutation,KIRC,SETD2,2,1,353,47,306,281,37,244,72,10,62,TRUE
driver_mutation,KIRC,SETD2,2,2,353,47,306,282,37,245,71,10,61,TRUE
driver_mutation,KIRC,SETD2,2,3,353,47,306,283,38,245,70,9,61,TRUE
driver_mutation,KIRC,SETD2,2,4,353,47,306,283,38,245,70,9,61,TRUE
driver_mutation,KIRC,SETD2,2,5,353,47,306,283,38,245,70,9,61,TRUE
driver_mutation,KIRC,SETD2,3,1,353,47,306,281,37,244,72,10,62,TRUE
driver_mutation,KIRC,SETD2,3,2,353,47,306,282,37,245,71,10,61,TRUE
driver_mutation,KIRC,SETD2,3,3,353,47,306,283,38,245,70,9,61,TRUE
driver_mutation,KIRC,SETD2,3,4,353,47,306,283,38,245,70,9,61,TRUE
driver_mutation,KIRC,SETD2,3,5,353,47,306,283,38,245,70,9,61,TRUE
driver_mutation,KIRC,SETD2,4,1,353,47,306,281,37,244,72,10,62,TRUE
driver_mutation,KIRC,SETD2,4,2,353,47,306,282,37,245,71,10,61,TRUE
driver_mutation,KIRC,SETD2,4,3,353,47,306,283,38,245,70,9,61,TRUE
