foundation_model,outcome_type,family,endpoint,source,eligible_cancers,retained_cancers,retained_cancer_percent,retained_cancer_codes
GigaSSL,binary,driver_mutation,RNF43,TCGA_MC3_Bailey2018,1,0,0,""
ProvGigaPath,binary,driver_mutation,RNF43,TCGA_MC3_Bailey2018,1,1,100,STAD
TITAN,binary,driver_mutation,RNF43,TCGA_MC3_Bailey2018,1,0,0,""
GigaSSL,binary,driver_mutation,RPL22,TCGA_MC3_Bailey2018,1,0,0,""
ProvGigaPath,binary,driver_mutation,RPL22,TCGA_MC3_Bailey2018,1,0,0,""
TITAN,binary,driver_mutation,RPL22,TCGA_MC3_Bailey2018,1,1,100,UCEC
GigaSSL,binary,driver_mutation,RXRA,TCGA_MC3_Bailey2018,1,0,0,""
ProvGigaPath,binary,driver_mutation,RXRA,TCGA_MC3_Bailey2018,1,0,0,""
TITAN,binary,driver_mutation,RXRA,TCGA_MC3_Bailey2018,1,0,0,""
GigaSSL,binary,driver_mutation,SCAF4,TCGA_MC3_Bailey2018,1,1,100,UCEC
ProvGigaPath,binary,driver_mutation,SCAF4,TCGA_MC3_Bailey2018,1,1,100,UCEC
TITAN,binary,driver_mutation,SCAF4,TCGA_MC3_Bailey2018,1,1,100,UCEC
GigaSSL,binary,driver_mutation,SETD2,TCGA_MC3_Bailey2018,2,0,0,""
ProvGigaPath,binary,driver_mutation,SETD2,TCGA_MC3_Bailey2018,2,1,50,KIRC
TITAN,binary,driver_mutation,SETD2,TCGA_MC3_Bailey2018,2,1,50,KIRC
GigaSSL,binary,driver_mutation,SF3B1,TCGA_MC3_Bailey2018,1,0,0,""
ProvGigaPath,binary,driver_mutation,SF3B1,TCGA_MC3_Bailey2018,1,0,0,""
TITAN,binary,driver_mutation,SF3B1,TCGA_MC3_Bailey2018,1,0,0,""
GigaSSL,binary,driver_mutation,SIN3A,TCGA_MC3_Bailey2018,1,1,100,UCEC
ProvGigaPath,binary,driver_mutation,SIN3A,TCGA_MC3_Bailey2018,1,1,100,UCEC
TITAN,binary,driver_mutation,SIN3A,TCGA_MC3_Bailey2018,1,1,100,UCEC
GigaSSL,binary,driver_mutation,SMAD4,TCGA_MC3_Bailey2018,3,1,33.3333333333333,COAD
ProvGigaPath,binary,driver_mutation,SMAD4,TCGA_MC3_Bailey2018,3,1,33.3333333333333,COAD
TITAN,binary,driver_mutation,SMAD4,TCGA_MC3_Bailey2018,3,1,33.3333333333333,COAD
GigaSSL,binary,driver_mutation,SMARCA4,TCGA_MC3_Bailey2018,2,1,50,LUAD
ProvGigaPath,binary,driver_mutation,SMARCA4,TCGA_MC3_Bailey2018,2,0,0,""
TITAN,binary,driver_mutation,SMARCA4,TCGA_MC3_Bailey2018,2,1,50,LUAD
GigaSSL,binary,driver_mutation,SMC1A,TCGA_MC3_Bailey2018,1,0,0,""
ProvGigaPath,binary,driver_mutation,SMC1A,TCGA_MC3_Bailey2018,1,1,100,UCEC
TITAN,binary,driver_mutation,SMC1A,TCGA_MC3_Bailey2018,1,1,100,UCEC
GigaSSL,binary,driver_mutation,SOS1,TCGA_MC3_Bailey2018,1,0,0,""
ProvGigaPath,binary,driver_mutation,SOS1,TCGA_MC3_Bailey2018,1,1,100,UCEC
TITAN,binary,driver_mutation,SOS1,TCGA_MC3_Bailey2018,1,0,0,""
GigaSSL,binary,driver_mutation,SOX17,TCGA_MC3_Bailey2018,1,0,0,""
ProvGigaPath,binary,driver_mutation,SOX17,TCGA_MC3_Bailey2018,1,1,100,UCEC
TITAN,binary,driver_mutation,SOX17,TCGA_MC3_Bailey2018,1,1,100,UCEC
GigaSSL,binary,driver_mutation,SOX9,TCGA_MC3_Bailey2018,1,1,100,COAD
ProvGigaPath,binary,driver_mutation,SOX9,TCGA_MC3_Bailey2018,1,1,100,COAD
TITAN,binary,driver_mutation,SOX9,TCGA_MC3_Bailey2018,1,1,100,COAD
GigaSSL,binary,driver_mutation,SPOP,TCGA_MC3_Bailey2018,2,0,0,""
ProvGigaPath,binary,driver_mutation,SPOP,TCGA_MC3_Bailey2018,2,0,0,""
TITAN,binary,driver_mutation,SPOP,TCGA_MC3_Bailey2018,2,1,50,PRAD
GigaSSL,binary,driver_mutation,SPTAN1,TCGA_MC3_Bailey2018,1,0,0,""
ProvGigaPath,binary,driver_mutation,SPTAN1,TCGA_MC3_Bailey2018,1,0,0,""
TITAN,binary,driver_mutation,SPTAN1,TCGA_MC3_Bailey2018,1,0,0,""
GigaSSL,binary,driver_mutation,STAG2,TCGA_MC3_Bailey2018,1,1,100,BLCA
ProvGigaPath,binary,driver_mutation,STAG2,TCGA_MC3_Bailey2018,1,1,100,BLCA
TITAN,binary,driver_mutation,STAG2,TCGA_MC3_Bailey2018,1,0,0,""
GigaSSL,binary,driver_mutation,STK11,TCGA_MC3_Bailey2018,1,1,100,LUAD
ProvGigaPath,binary,driver_mutation,STK11,TCGA_MC3_Bailey2018,1,1,100,LUAD
TITAN,binary,driver_mutation,STK11,TCGA_MC3_Bailey2018,1,1,100,LUAD
GigaSSL,binary,driver_mutation,TAF1,TCGA_MC3_Bailey2018,1,0,0,""
ProvGigaPath,binary,driver_mutation,TAF1,TCGA_MC3_Bailey2018,1,1,100,UCEC
TITAN,binary,driver_mutation,TAF1,TCGA_MC3_Bailey2018,1,1,100,UCEC
GigaSSL,binary,driver_mutation,TCF7L2,TCGA_MC3_Bailey2018,1,0,0,""
ProvGigaPath,binary,driver_mutation,TCF7L2,TCGA_MC3_Bailey2018,1,0,0,""
TITAN,binary,driver_mutation,TCF7L2,TCGA_MC3_Bailey2018,1,0,0,""
GigaSSL,binary,driver_mutation,TGFBR2,TCGA_MC3_Bailey2018,1,0,0,""
ProvGigaPath,binary,driver_mutation,TGFBR2,TCGA_MC3_Bailey2018,1,1,100,HNSC
TITAN,binary,driver_mutation,TGFBR2,TCGA_MC3_Bailey2018,1,1,100,HNSC
GigaSSL,binary,driver_mutation,TP53,TCGA_MC3_Bailey2018,17,13,76.4705882352941,BLCA;COAD;GBM;HNSC;LGG;LIHC;LUAD;OV;PRAD;READ;SARC;STAD;UCEC
ProvGigaPath,binary,driver_mutation,TP53,TCGA_MC3_Bailey2018,17,13,76.4705882352941,BLCA;COAD;GBM;HNSC;LGG;LIHC;LUAD;OV;PAAD;READ;SARC;STAD;UCEC
TITAN,binary,driver_mutation,TP53,TCGA_MC3_Bailey2018,17,16,94.1176470588235,BLCA;CESC;COAD;GBM;HNSC;KICH;LGG;LIHC;LUAD;OV;PAAD;PRAD;READ;SARC;STAD;UCEC
GigaSSL,binary,driver_mutation,TSC1,TCGA_MC3_Bailey2018,1,0,0,""
ProvGigaPath,binary,driver_mutation,TSC1,TCGA_MC3_Bailey2018,1,0,0,""
TITAN,binary,driver_mutation,TSC1,TCGA_MC3_Bailey2018,1,0,0,""
GigaSSL,binary,driver_mutation,VHL,TCGA_MC3_Bailey2018,1,0,0,""
ProvGigaPath,binary,driver_mutation,VHL,TCGA_MC3_Bailey2018,1,0,0,""
TITAN,binary,driver_mutation,VHL,TCGA_MC3_Bailey2018,1,1,100,KIRC
GigaSSL,binary,driver_mutation,ZFHX3,TCGA_MC3_Bailey2018,1,0,0,""
ProvGigaPath,binary,driver_mutation,ZFHX3,TCGA_MC3_Bailey2018,1,0,0,""
TITAN,binary,driver_mutation,ZFHX3,TCGA_MC3_Bailey2018,1,1,100,UCEC
GigaSSL,binary,driver_mutation,ZFP36L1,TCGA_MC3_Bailey2018,1,0,0,""
ProvGigaPath,binary,driver_mutation,ZFP36L1,TCGA_MC3_Bailey2018,1,0,0,""
TITAN,binary,driver_mutation,ZFP36L1,TCGA_MC3_Bailey2018,1,0,0,""
GigaSSL,binary,driver_mutation,ZMYM2,TCGA_MC3_Bailey2018,1,1,100,UCEC
ProvGigaPath,binary,driver_mutation,ZMYM2,TCGA_MC3_Bailey2018,1,0,0,""
TITAN,binary,driver_mutation,ZMYM2,TCGA_MC3_Bailey2018,1,0,0,""
GigaSSL,binary,fusion,Any called fusion,Gao2018_TableS1,24,9,37.5,BLCA;DLBC;LGG;LIHC;MESO;SARC;THCA;THYM;UCEC
ProvGigaPath,binary,fusion,Any called fusion,Gao2018_TableS1,24,9,37.5,BLCA;DLBC;KIRP;LGG;LIHC;MESO;PRAD;THCA;UCEC
TITAN,binary,fusion,Any called fusion,Gao2018_TableS1,24,10,41.6666666666667,BLCA;COAD;KIRP;LGG;LIHC;LUAD;PAAD;READ;THCA;UCEC
GigaSSL,binary,fusion,Fusion pair: CCDC6--RET,Gao2018_TableS1,1,1,100,THCA
ProvGigaPath,binary,fusion,Fusion pair: CCDC6--RET,Gao2018_TableS1,1,0,0,""
TITAN,binary,fusion,Fusion pair: CCDC6--RET,Gao2018_TableS1,1,1,100,THCA
GigaSSL,binary,fusion,Fusion pair: TMPRSS2--ERG,Gao2018_TableS1,1,1,100,PRAD
ProvGigaPath,binary,fusion,Fusion pair: TMPRSS2--ERG,Gao2018_TableS1,1,1,100,PRAD
TITAN,binary,fusion,Fusion pair: TMPRSS2--ERG,Gao2018_TableS1,1,1,100,PRAD
GigaSSL,binary,microsatellite_instability,MSI-H (MANTIS >0.4),Bonneville2017_cBioPortal,3,3,100,COAD;STAD;UCEC
ProvGigaPath,binary,microsatellite_instability,MSI-H (MANTIS >0.4),Bonneville2017_cBioPortal,3,3,100,COAD;STAD;UCEC
TITAN,binary,microsatellite_instability,MSI-H (MANTIS >0.4),Bonneville2017_cBioPortal,3,3,100,COAD;STAD;UCEC
GigaSSL,binary,microsatellite_instability_sensitivity,MSI-H strict (MANTIS >0.6),cBioPortal_threshold_documentation,3,2,66.6666666666667,COAD;STAD
ProvGigaPath,binary,microsatellite_instability_sensitivity,MSI-H strict (MANTIS >0.6),cBioPortal_threshold_documentation,3,3,100,COAD;STAD;UCEC
TITAN,binary,microsatellite_instability_sensitivity,MSI-H strict (MANTIS >0.6),cBioPortal_threshold_documentation,3,3,100,COAD;STAD;UCEC
GigaSSL,binary,oncogenic_pathway,Cell Cycle,SanchezVega2018_TableS4,19,9,47.3684210526316,KIRP;LGG;LIHC;LUAD;MESO;PCPG;READ;STAD;UCEC
ProvGigaPath,binary,oncogenic_pathway,Cell Cycle,SanchezVega2018_TableS4,19,8,42.1052631578947,KIRP;LGG;LIHC;MESO;PCPG;READ;SARC;STAD
TITAN,binary,oncogenic_pathway,Cell Cycle,SanchezVega2018_TableS4,19,9,47.3684210526316,BLCA;COAD;HNSC;KIRP;LGG;LIHC;LUAD;PCPG;SARC
GigaSSL,binary,oncogenic_pathway,HIPPO,SanchezVega2018_TableS4,14,5,35.7142857142857,COAD;ESCA;LGG;STAD;UCEC
ProvGigaPath,binary,oncogenic_pathway,HIPPO,SanchezVega2018_TableS4,14,7,50,COAD;HNSC;KIRP;LGG;SARC;STAD;UCEC
TITAN,binary,oncogenic_pathway,HIPPO,SanchezVega2018_TableS4,14,7,50,COAD;HNSC;KIRP;LGG;SARC;STAD;UCEC
GigaSSL,binary,oncogenic_pathway,MYC,SanchezVega2018_TableS4,12,1,8.33333333333333,BLCA
ProvGigaPath,binary,oncogenic_pathway,MYC,SanchezVega2018_TableS4,12,2,16.6666666666667,BLCA;LIHC
TITAN,binary,oncogenic_pathway,MYC,SanchezVega2018_TableS4,12,3,25,BLCA;COAD;PRAD
GigaSSL,binary,oncogenic_pathway,NOTCH,SanchezVega2018_TableS4,18,4,22.2222222222222,COAD;READ;STAD;UCEC
ProvGigaPath,binary,oncogenic_pathway,NOTCH,SanchezVega2018_TableS4,18,4,22.2222222222222,COAD;READ;STAD;UCEC
TITAN,binary,oncogenic_pathway,NOTCH,SanchezVega2018_TableS4,18,6,33.3333333333333,CESC;COAD;PRAD;READ;STAD;UCEC
GigaSSL,binary,oncogenic_pathway,NRF2,SanchezVega2018_TableS4,8,4,50,ESCA;HNSC;LUAD;LUSC
ProvGigaPath,binary,oncogenic_pathway,NRF2,SanchezVega2018_TableS4,8,4,50,ESCA;HNSC;LUAD;LUSC
TITAN,binary,oncogenic_pathway,NRF2,SanchezVega2018_TableS4,8,3,37.5,ESCA;HNSC;LUSC
GigaSSL,binary,oncogenic_pathway,PI3K,SanchezVega2018_TableS4,19,2,10.5263157894737,COAD;KIRC
ProvGigaPath,binary,oncogenic_pathway,PI3K,SanchezVega2018_TableS4,19,2,10.5263157894737,COAD;STAD
TITAN,binary,oncogenic_pathway,PI3K,SanchezVega2018_TableS4,19,8,42.1052631578947,COAD;ESCA;HNSC;KIRC;LUSC;PRAD;STAD;UCEC
GigaSSL,binary,oncogenic_pathway,RTK RAS,SanchezVega2018_TableS4,21,10,47.6190476190476,COAD;KIRC;LGG;LUAD;PCPG;READ;SARC;TGCT;THCA;UCS
ProvGigaPath,binary,oncogenic_pathway,RTK RAS,SanchezVega2018_TableS4,21,9,42.8571428571429,COAD;KIRP;LGG;PCPG;SARC;STAD;TGCT;THCA;UCS
TITAN,binary,oncogenic_pathway,RTK RAS,SanchezVega2018_TableS4,21,10,47.6190476190476,BLCA;COAD;LGG;LIHC;PCPG;SARC;STAD;TGCT;THCA;UCS
GigaSSL,binary,oncogenic_pathway,TGF-Beta,SanchezVega2018_TableS4,14,3,21.4285714285714,LGG;READ;STAD
ProvGigaPath,binary,oncogenic_pathway,TGF-Beta,SanchezVega2018_TableS4,14,4,28.5714285714286,COAD;LGG;READ;STAD
TITAN,binary,oncogenic_pathway,TGF-Beta,SanchezVega2018_TableS4,14,6,42.8571428571429,COAD;ESCA;LGG;LUAD;READ;STAD
GigaSSL,binary,oncogenic_pathway,TP53,SanchezVega2018_TableS4,15,10,66.6666666666667,BLCA;COAD;GBM;HNSC;LGG;LIHC;LUAD;SARC;STAD;UCEC
ProvGigaPath,binary,oncogenic_pathway,TP53,SanchezVega2018_TableS4,15,9,60,BLCA;COAD;GBM;HNSC;LGG;LIHC;LUAD;STAD;UCEC
TITAN,binary,oncogenic_pathway,TP53,SanchezVega2018_TableS4,15,11,73.3333333333333,BLCA;COAD;GBM;HNSC;KICH;LGG;LIHC;LUAD;SARC;STAD;UCEC
GigaSSL,binary,oncogenic_pathway,WNT,SanchezVega2018_TableS4,16,5,31.25,ESCA;KIRP;LGG;STAD;THCA
ProvGigaPath,binary,oncogenic_pathway,WNT,SanchezVega2018_TableS4,16,6,37.5,KIRP;LGG;PRAD;STAD;THCA;UCEC
TITAN,binary,oncogenic_pathway,WNT,SanchezVega2018_TableS4,16,7,43.75,BLCA;LGG;LIHC;PRAD;STAD;THCA;UCEC
GigaSSL,continuous,aneuploidy,Amplified arm count,Taylor2018_TableS2,28,1,3.57142857142857,THYM
ProvGigaPath,continuous,aneuploidy,Amplified arm count,Taylor2018_TableS2,28,1,3.57142857142857,KIRP
TITAN,continuous,aneuploidy,Amplified arm count,Taylor2018_TableS2,28,0,0,""
GigaSSL,continuous,aneuploidy,Aneuploidy score,Taylor2018_TableS2,28,1,3.57142857142857,COAD
ProvGigaPath,continuous,aneuploidy,Aneuploidy score,Taylor2018_TableS2,28,3,10.7142857142857,COAD;STAD;UCEC
TITAN,continuous,aneuploidy,Aneuploidy score,Taylor2018_TableS2,28,5,17.8571428571429,COAD;LGG;LUAD;STAD;UCEC
GigaSSL,continuous,aneuploidy,Deleted arm count,Taylor2018_TableS2,28,1,3.57142857142857,COAD
ProvGigaPath,continuous,aneuploidy,Deleted arm count,Taylor2018_TableS2,28,1,3.57142857142857,COAD
TITAN,continuous,aneuploidy,Deleted arm count,Taylor2018_TableS2,28,1,3.57142857142857,UCEC
GigaSSL,continuous,fusion,Fusion burden,Gao2018_TableS1,28,0,0,""
ProvGigaPath,continuous,fusion,Fusion burden,Gao2018_TableS1,28,0,0,""
TITAN,continuous,fusion,Fusion burden,Gao2018_TableS1,28,2,7.14285714285714,LGG;UCEC
GigaSSL,continuous,microsatellite_instability,MANTIS score,cBioPortal_TCGA_PanCancer,28,1,3.57142857142857,COAD
ProvGigaPath,continuous,microsatellite_instability,MANTIS score,cBioPortal_TCGA_PanCancer,28,1,3.57142857142857,COAD
TITAN,continuous,microsatellite_instability,MANTIS score,cBioPortal_TCGA_PanCancer,28,1,3.57142857142857,COAD
GigaSSL,continuous,microsatellite_instability,MSIsensor score,cBioPortal_TCGA_PanCancer,28,0,0,""
ProvGigaPath,continuous,microsatellite_instability,MSIsensor score,cBioPortal_TCGA_PanCancer,28,2,7.14285714285714,COAD;STAD
TITAN,continuous,microsatellite_instability,MSIsensor score,cBioPortal_TCGA_PanCancer,28,1,3.57142857142857,COAD
GigaSSL,continuous,rna_pathway_activity,GOBP_VITAMIN_B6_METABOLIC_PROCESS,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,28,3,10.7142857142857,KIRP;LGG;THCA
ProvGigaPath,continuous,rna_pathway_activity,GOBP_VITAMIN_B6_METABOLIC_PROCESS,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,28,3,10.7142857142857,KIRP;SARC;THCA
TITAN,continuous,rna_pathway_activity,GOBP_VITAMIN_B6_METABOLIC_PROCESS,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,28,6,21.4285714285714,KIRP;LGG;LIHC;SARC;TGCT;THCA
GigaSSL,continuous,rna_pathway_activity,HALLMARK_ADIPOGENESIS,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,28,4,14.2857142857143,KIRP;LIHC;TGCT;THCA
ProvGigaPath,continuous,rna_pathway_activity,HALLMARK_ADIPOGENESIS,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,28,5,17.8571428571429,KIRP;LIHC;OV;TGCT;THCA
TITAN,continuous,rna_pathway_activity,HALLMARK_ADIPOGENESIS,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,28,8,28.5714285714286,ACC;KIRP;LGG;LIHC;OV;SARC;TGCT;THCA
GigaSSL,continuous,rna_pathway_activity,HALLMARK_ALLOGRAFT_REJECTION,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,28,11,39.2857142857143,BLCA;COAD;KIRC;KIRP;LGG;LIHC;LUAD;LUSC;SARC;TGCT;THCA
ProvGigaPath,continuous,rna_pathway_activity,HALLMARK_ALLOGRAFT_REJECTION,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,28,11,39.2857142857143,BLCA;COAD;KIRC;KIRP;LGG;LIHC;LUAD;LUSC;SARC;TGCT;THCA
TITAN,continuous,rna_pathway_activity,HALLMARK_ALLOGRAFT_REJECTION,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,28,20,71.4285714285714,ACC;BLCA;CESC;COAD;GBM;HNSC;KIRC;KIRP;LGG;LIHC;LUAD;LUSC;PAAD;PCPG;PRAD;SARC;STAD;TGCT;THCA;UCEC
GigaSSL,continuous,rna_pathway_activity,HALLMARK_ANDROGEN_RESPONSE,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,28,1,3.57142857142857,TGCT
ProvGigaPath,continuous,rna_pathway_activity,HALLMARK_ANDROGEN_RESPONSE,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,28,1,3.57142857142857,PAAD
TITAN,continuous,rna_pathway_activity,HALLMARK_ANDROGEN_RESPONSE,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,28,2,7.14285714285714,OV;PAAD
GigaSSL,continuous,rna_pathway_activity,HALLMARK_ANGIOGENESIS,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,28,7,25,BLCA;KIRC;LGG;LIHC;SARC;TGCT;THYM
ProvGigaPath,continuous,rna_pathway_activity,HALLMARK_ANGIOGENESIS,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,28,10,35.7142857142857,BLCA;KIRC;LGG;LIHC;LUAD;LUSC;MESO;SARC;TGCT;THYM
TITAN,continuous,rna_pathway_activity,HALLMARK_ANGIOGENESIS,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,28,12,42.8571428571429,BLCA;GBM;KIRC;LGG;LIHC;LUSC;PAAD;PCPG;SARC;TGCT;THCA;THYM
GigaSSL,continuous,rna_pathway_activity,HALLMARK_APICAL_JUNCTION,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,28,9,32.1428571428572,BLCA;LIHC;LUAD;LUSC;OV;PAAD;TGCT;THCA;UCS
ProvGigaPath,continuous,rna_pathway_activity,HALLMARK_APICAL_JUNCTION,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,28,11,39.2857142857143,BLCA;KIRC;LIHC;LUAD;LUSC;PAAD;STAD;TGCT;THCA;THYM;UCS
TITAN,continuous,rna_pathway_activity,HALLMARK_APICAL_JUNCTION,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,28,12,42.8571428571429,BLCA;KIRC;LIHC;LUAD;LUSC;OV;PAAD;PCPG;STAD;TGCT;THCA;THYM
GigaSSL,continuous,rna_pathway_activity,HALLMARK_APICAL_SURFACE,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,28,5,17.8571428571429,BLCA;LIHC;PAAD;TGCT;UCS
ProvGigaPath,continuous,rna_pathway_activity,HALLMARK_APICAL_SURFACE,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,28,6,21.4285714285714,BLCA;LIHC;PAAD;TGCT;THYM;UCS
TITAN,continuous,rna_pathway_activity,HALLMARK_APICAL_SURFACE,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,28,6,21.4285714285714,BLCA;ESCA;LIHC;PAAD;TGCT;THCA
GigaSSL,continuous,rna_pathway_activity,HALLMARK_APOPTOSIS,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,28,10,35.7142857142857,ACC;BLCA;LGG;LIHC;LUAD;MESO;OV;PAAD;TGCT;THCA
ProvGigaPath,continuous,rna_pathway_activity,HALLMARK_APOPTOSIS,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,28,11,39.2857142857143,ACC;BLCA;KIRC;KIRP;LGG;LIHC;LUAD;OV;SARC;TGCT;THCA
TITAN,continuous,rna_pathway_activity,HALLMARK_APOPTOSIS,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,28,13,46.4285714285714,ACC;BLCA;CESC;GBM;KIRC;LGG;LIHC;LUAD;PAAD;SARC;TGCT;THCA;THYM
GigaSSL,continuous,rna_pathway_activity,HALLMARK_BILE_ACID_METABOLISM,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,28,4,14.2857142857143,KIRP;LGG;LIHC;TGCT
ProvGigaPath,continuous,rna_pathway_activity,HALLMARK_BILE_ACID_METABOLISM,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,28,4,14.2857142857143,KIRP;LGG;LIHC;TGCT
TITAN,continuous,rna_pathway_activity,HALLMARK_BILE_ACID_METABOLISM,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,28,5,17.8571428571429,ACC;KIRP;LGG;LIHC;TGCT
GigaSSL,continuous,rna_pathway_activity,HALLMARK_CHOLESTEROL_HOMEOSTASIS,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,28,1,3.57142857142857,TGCT
ProvGigaPath,continuous,rna_pathway_activity,HALLMARK_CHOLESTEROL_HOMEOSTASIS,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,28,2,7.14285714285714,OV;TGCT
TITAN,continuous,rna_pathway_activity,HALLMARK_CHOLESTEROL_HOMEOSTASIS,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,28,5,17.8571428571429,MESO;OV;STAD;TGCT;THYM
GigaSSL,continuous,rna_pathway_activity,HALLMARK_COAGULATION,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,28,6,21.4285714285714,BLCA;LGG;LUSC;SARC;TGCT;THCA
ProvGigaPath,continuous,rna_pathway_activity,HALLMARK_COAGULATION,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,28,8,28.5714285714286,KIRC;LGG;LIHC;LUAD;LUSC;SARC;TGCT;THCA
TITAN,continuous,rna_pathway_activity,HALLMARK_COAGULATION,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,28,13,46.4285714285714,BLCA;GBM;KIRC;KIRP;LGG;LIHC;LUAD;LUSC;PAAD;PCPG;SARC;TGCT;THCA
GigaSSL,continuous,rna_pathway_activity,HALLMARK_COMPLEMENT,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,28,11,39.2857142857143,BLCA;COAD;KIRC;KIRP;LGG;LIHC;LUAD;PAAD;SARC;TGCT;THCA
ProvGigaPath,continuous,rna_pathway_activity,HALLMARK_COMPLEMENT,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,28,13,46.4285714285714,BLCA;COAD;KIRC;KIRP;LGG;LIHC;LUAD;LUSC;PAAD;PCPG;SARC;TGCT;THCA
TITAN,continuous,rna_pathway_activity,HALLMARK_COMPLEMENT,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,28,13,46.4285714285714,ACC;BLCA;CESC;GBM;KIRC;KIRP;LGG;LIHC;LUAD;PAAD;SARC;TGCT;THCA
GigaSSL,continuous,rna_pathway_activity,HALLMARK_DNA_REPAIR,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,28,1,3.57142857142857,STAD
ProvGigaPath,continuous,rna_pathway_activity,HALLMARK_DNA_REPAIR,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,28,1,3.57142857142857,THYM
TITAN,continuous,rna_pathway_activity,HALLMARK_DNA_REPAIR,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,28,5,17.8571428571429,LIHC;LUSC;STAD;TGCT;UCEC
GigaSSL,continuous,rna_pathway_activity,HALLMARK_E2F_TARGETS,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,28,8,28.5714285714286,BLCA;KICH;LIHC;LUAD;LUSC;PRAD;STAD;THYM
ProvGigaPath,continuous,rna_pathway_activity,HALLMARK_E2F_TARGETS,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,28,9,32.1428571428572,BLCA;HNSC;KIRP;LGG;LIHC;LUAD;PRAD;STAD;THYM
TITAN,continuous,rna_pathway_activity,HALLMARK_E2F_TARGETS,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,28,17,60.7142857142857,BLCA;HNSC;KICH;KIRC;KIRP;LGG;LIHC;LUAD;LUSC;PAAD;PRAD;SARC;STAD;TGCT;THCA;THYM;UCEC
GigaSSL,continuous,rna_pathway_activity,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,28,10,35.7142857142857,BLCA;KIRC;LGG;LIHC;PAAD;SARC;STAD;TGCT;THCA;THYM
