foundation_model,outcome_type,family,endpoint,source,eligible_cancers,retained_cancers,retained_cancer_percent,retained_cancer_codes
ProvGigaPath,binary,driver_mutation,BCOR,TCGA_MC3_Bailey2018,2,1,50,STAD
TITAN,binary,driver_mutation,BCOR,TCGA_MC3_Bailey2018,2,2,100,STAD;UCEC
GigaSSL,binary,driver_mutation,BRAF,TCGA_MC3_Bailey2018,4,3,75,COAD;SKCM;THCA
ProvGigaPath,binary,driver_mutation,BRAF,TCGA_MC3_Bailey2018,4,2,50,COAD;THCA
TITAN,binary,driver_mutation,BRAF,TCGA_MC3_Bailey2018,4,3,75,COAD;SKCM;THCA
GigaSSL,binary,driver_mutation,CASP8,TCGA_MC3_Bailey2018,1,1,100,HNSC
ProvGigaPath,binary,driver_mutation,CASP8,TCGA_MC3_Bailey2018,1,1,100,HNSC
TITAN,binary,driver_mutation,CASP8,TCGA_MC3_Bailey2018,1,1,100,HNSC
GigaSSL,binary,driver_mutation,CCND1,TCGA_MC3_Bailey2018,1,0,0,""
ProvGigaPath,binary,driver_mutation,CCND1,TCGA_MC3_Bailey2018,1,0,0,""
TITAN,binary,driver_mutation,CCND1,TCGA_MC3_Bailey2018,1,0,0,""
GigaSSL,binary,driver_mutation,CDH1,TCGA_MC3_Bailey2018,1,1,100,STAD
ProvGigaPath,binary,driver_mutation,CDH1,TCGA_MC3_Bailey2018,1,1,100,STAD
TITAN,binary,driver_mutation,CDH1,TCGA_MC3_Bailey2018,1,1,100,STAD
GigaSSL,binary,driver_mutation,CDKN1A,TCGA_MC3_Bailey2018,1,0,0,""
ProvGigaPath,binary,driver_mutation,CDKN1A,TCGA_MC3_Bailey2018,1,0,0,""
TITAN,binary,driver_mutation,CDKN1A,TCGA_MC3_Bailey2018,1,0,0,""
GigaSSL,binary,driver_mutation,CDKN2A,TCGA_MC3_Bailey2018,4,0,0,""
ProvGigaPath,binary,driver_mutation,CDKN2A,TCGA_MC3_Bailey2018,4,0,0,""
TITAN,binary,driver_mutation,CDKN2A,TCGA_MC3_Bailey2018,4,1,25,BLCA
GigaSSL,binary,driver_mutation,CHD3,TCGA_MC3_Bailey2018,1,1,100,UCEC
ProvGigaPath,binary,driver_mutation,CHD3,TCGA_MC3_Bailey2018,1,1,100,UCEC
TITAN,binary,driver_mutation,CHD3,TCGA_MC3_Bailey2018,1,1,100,UCEC
GigaSSL,binary,driver_mutation,CHD4,TCGA_MC3_Bailey2018,1,0,0,""
ProvGigaPath,binary,driver_mutation,CHD4,TCGA_MC3_Bailey2018,1,1,100,UCEC
TITAN,binary,driver_mutation,CHD4,TCGA_MC3_Bailey2018,1,0,0,""
GigaSSL,binary,driver_mutation,CIC,TCGA_MC3_Bailey2018,1,1,100,LGG
