family,size_stratum,outcome_type,tumor_type,endpoint,n,positive,negative,screen_tier,imbalance_stratum,minority_fraction,selection_hash,benchmark_index,selection_version,selection_uses_pls_performance
aneuploidy,large,binary,BRCA,Genome doubling,998,438,560,A,low,0.438877755511022,73307904b4ff86c6767d7d8b452a803f60ffc05b7ea83cea93c72bcae6d78d01,16,pathofmpred-representative-benchmark-v2-pathways,FALSE
microsatellite_instability,large,continuous,BRCA,MSIsensor score,1032,,,C,not applicable,,09a41c485e568b0911d25f980490fbb907ad6746c64841613e38598f7b6a7ba9,7,pathofmpred-representative-benchmark-v2-pathways,FALSE
