foundation_model,family,tumor_type,endpoint,n,positive,negative,prevalence,no_skill_pr_auc,rule,balanced_accuracy,sensitivity,specificity,ppv,npv,auroc,pr_auc,ba_crossing_sensitivity,empirical_balanced_accuracy,empirical_sensitivity,empirical_specificity,empirical_ppv,empirical_npv,balanced_accuracy_delta_vs_empirical,sensitivity_delta_vs_empirical,specificity_delta_vs_empirical,ppv_delta_vs_empirical,npv_delta_vs_empirical
ProvGigaPath,aneuploidy,COAD,Genome doubling,407,165,242,0.405405405405405,0.405405405405405,empirical training priors,0.680165289256198,0.6,0.760330578512397,0.630573248407643,0.736,0.76481342349111,0.701434427014478,TRUE,0.680165289256198,0.6,0.760330578512397,0.630573248407643,0.736,0,0,0,0,0
TITAN,aneuploidy,COAD,Genome doubling,407,165,242,0.405405405405405,0.405405405405405,empirical training priors,0.690495867768595,0.6,0.78099173553719,0.651315789473684,0.741176470588235,0.745679939894816,0.653107823347614,TRUE,0.690495867768595,0.6,0.78099173553719,0.651315789473684,0.741176470588235,0,0,0,0,0
GigaSSL,aneuploidy,ESCA,Genome doubling,132,76,56,0.575757575757576,0.575757575757576,empirical training priors,0.487312030075188,0.671052631578947,0.303571428571429,0.566666666666667,0.404761904761905,0.544172932330827,0.619406810861516,FALSE,0.487312030075188,0.671052631578947,0.303571428571429,0.566666666666667,0.404761904761905,0,0,0,0,0
ProvGigaPath,aneuploidy,ESCA,Genome doubling,132,76,56,0.575757575757576,0.575757575757576,empirical training priors,0.570488721804511,0.605263157894737,0.535714285714286,0.638888888888889,0.5,0.581766917293233,0.652576229281616,FALSE,0.570488721804511,0.605263157894737,0.535714285714286,0.638888888888889,0.5,0,0,0,0,0
TITAN,aneuploidy,ESCA,Genome doubling,132,76,56,0.575757575757576,0.575757575757576,empirical training priors,0.483552631578947,0.592105263157895,0.375,0.5625,0.403846153846154,0.512922932330827,0.616773724034894,FALSE,0.483552631578947,0.592105263157895,0.375,0.5625,0.403846153846154,0,0,0,0,0
GigaSSL,aneuploidy,GBM,Genome doubling,361,46,315,0.127423822714681,0.127423822714681,empirical training priors,0.493409247757074,0.0217391304347826,0.965079365079365,0.0833333333333333,0.871060171919771,0.580331262939959,0.160002725597754,FALSE,0.493409247757074,0.0217391304347826,0.965079365079365,0.0833333333333333,0.871060171919771,0,0,0,0,0
ProvGigaPath,aneuploidy,GBM,Genome doubling,361,46,315,0.127423822714681,0.127423822714681,empirical training priors,0.502449965493444,0.0652173913043478,0.93968253968254,0.136363636363636,0.873156342182891,0.625327812284334,0.174700168034541,FALSE,0.502449965493444,0.0652173913043478,0.93968253968254,0.136363636363636,0.873156342182891,0,0,0,0,0
TITAN,aneuploidy,GBM,Genome doubling,361,46,315,0.127423822714681,0.127423822714681,empirical training priors,0.523084886128364,0.0652173913043478,0.980952380952381,0.333333333333333,0.877840909090909,0.673706004140787,0.227573421246852,FALSE,0.523084886128364,0.0652173913043478,0.980952380952381,0.333333333333333,0.877840909090909,0,0,0,0,0
GigaSSL,aneuploidy,HNSC,Genome doubling,435,176,259,0.404597701149425,0.404597701149425,empirical training priors,0.608053264303264,0.505681818181818,0.71042471042471,0.542682926829268,0.678966789667897,0.648034398034398,0.552361469954749,TRUE,0.608053264303264,0.505681818181818,0.71042471042471,0.542682926829268,0.678966789667897,0,0,0,0,0
ProvGigaPath,aneuploidy,HNSC,Genome doubling,435,176,259,0.404597701149425,0.404597701149425,empirical training priors,0.567479817479818,0.409090909090909,0.725868725868726,0.503496503496504,0.643835616438356,0.608678483678484,0.504175021535347,FALSE,0.567479817479818,0.409090909090909,0.725868725868726,0.503496503496504,0.643835616438356,0,0,0,0,0
TITAN,aneuploidy,HNSC,Genome doubling,435,176,259,0.404597701149425,0.404597701149425,empirical training priors,0.628268690768691,0.511363636363636,0.745173745173745,0.576923076923077,0.691756272401434,0.646893646893647,0.532030784082593,TRUE,0.628268690768691,0.511363636363636,0.745173745173745,0.576923076923077,0.691756272401434,0,0,0,0,0
GigaSSL,aneuploidy,KIRC,Genome doubling,461,89,372,0.193058568329718,0.193058568329718,empirical training priors,0.514271475172164,0.101123595505618,0.92741935483871,0.25,0.811764705882353,0.641234746888969,0.281140337872475,FALSE,0.514271475172164,0.101123595505618,0.92741935483871,0.25,0.811764705882353,0,0,0,0,0
ProvGigaPath,aneuploidy,KIRC,Genome doubling,461,89,372,0.193058568329718,0.193058568329718,empirical training priors,0.594614594659901,0.337078651685393,0.852150537634409,0.352941176470588,0.843085106382979,0.636039627884499,0.325045634722257,FALSE,0.594614594659901,0.337078651685393,0.852150537634409,0.352941176470588,0.843085106382979,0,0,0,0,0
TITAN,aneuploidy,KIRC,Genome doubling,461,89,372,0.193058568329718,0.193058568329718,empirical training priors,0.551392412709919,0.202247191011236,0.900537634408602,0.327272727272727,0.82512315270936,0.6443457774556,0.291906687284238,FALSE,0.551392412709919,0.202247191011236,0.900537634408602,0.327272727272727,0.82512315270936,0,0,0,0,0
GigaSSL,aneuploidy,LGG,Genome doubling,481,157,324,0.326403326403326,0.326403326403326,empirical training priors,0.565296453566093,0.331210191082803,0.799382716049383,0.444444444444444,0.711538461538462,0.567154203035307,0.401105458925254,FALSE,0.565296453566093,0.331210191082803,0.799382716049383,0.444444444444444,0.711538461538462,0,0,0,0,0
ProvGigaPath,aneuploidy,LGG,Genome doubling,481,157,324,0.326403326403326,0.326403326403326,empirical training priors,0.532594165290556,0.312101910828025,0.753086419753086,0.37984496124031,0.693181818181818,0.550444287174648,0.364825936784718,FALSE,0.532594165290556,0.312101910828025,0.753086419753086,0.37984496124031,0.693181818181818,0,0,0,0,0
TITAN,aneuploidy,LGG,Genome doubling,481,157,324,0.326403326403326,0.326403326403326,empirical training priors,0.540310214673272,0.312101910828025,0.768518518518519,0.395161290322581,0.697478991596639,0.573641582134151,0.363109216399915,FALSE,0.540310214673272,0.312101910828025,0.768518518518519,0.395161290322581,0.697478991596639,0,0,0,0,0
GigaSSL,aneuploidy,LIHC,Genome doubling,346,115,231,0.332369942196532,0.332369942196532,empirical training priors,0.615584415584416,0.4,0.831168831168831,0.541176470588235,0.735632183908046,0.679126670431018,0.509866212706832,TRUE,0.615584415584416,0.4,0.831168831168831,0.541176470588235,0.735632183908046,0,0,0,0,0
ProvGigaPath,aneuploidy,LIHC,Genome doubling,346,115,231,0.332369942196532,0.332369942196532,empirical training priors,0.663372859025033,0.478260869565217,0.848484848484848,0.611111111111111,0.765625,0.724411820063994,0.59278833868024,TRUE,0.663372859025033,0.478260869565217,0.848484848484848,0.611111111111111,0.765625,0,0,0,0,0
TITAN,aneuploidy,LIHC,Genome doubling,346,115,231,0.332369942196532,0.332369942196532,empirical training priors,0.622021456804066,0.373913043478261,0.87012987012987,0.589041095890411,0.736263736263736,0.673329568981743,0.53327558876019,TRUE,0.622021456804066,0.373913043478261,0.87012987012987,0.589041095890411,0.736263736263736,0,0,0,0,0
