outcome_type,family,tumor_type,endpoint,source,subfamily,n,positive,negative,effect_GigaSSL,effect_ProvGigaPath,effect_TITAN,screening_positive_GigaSSL,screening_positive_ProvGigaPath,screening_positive_TITAN,q2_GigaSSL,q2_ProvGigaPath,q2_TITAN,rmse_GigaSSL,rmse_ProvGigaPath,rmse_TITAN,spearman_GigaSSL,spearman_ProvGigaPath,spearman_TITAN,balanced_accuracy_GigaSSL,balanced_accuracy_ProvGigaPath,balanced_accuracy_TITAN,auc_GigaSSL,auc_ProvGigaPath,auc_TITAN,pr_auc_GigaSSL,pr_auc_ProvGigaPath,pr_auc_TITAN,sensitivity_GigaSSL,sensitivity_ProvGigaPath,sensitivity_TITAN,specificity_GigaSSL,specificity_ProvGigaPath,specificity_TITAN,ppv_GigaSSL,ppv_ProvGigaPath,ppv_TITAN,npv_GigaSSL,npv_ProvGigaPath,npv_TITAN,prevalence_GigaSSL,prevalence_ProvGigaPath,prevalence_TITAN,no_skill_pr_auc_GigaSSL,no_skill_pr_auc_ProvGigaPath,no_skill_pr_auc_TITAN,supported_by_n,support_pattern,best_foundation_model,measurement_class,source_modality,direct_vs_inferred,same_histology_modality,definition_group,primary_consensus_class,sample_size_maturity,tss_retention_class,internal_robustness_class,grouped_effect_GigaSSL,grouped_effect_ProvGigaPath,grouped_effect_TITAN,minimum_primary_effect,mean_primary_effect,provenance_rank,interpretation_scope
binary,oncogenic_pathway,THCA,WNT,SanchezVega2018_TableS4,oncogenic_pathway,468,60,408,0.768831699346405,0.739624183006536,0.821854575163399,TRUE,TRUE,TRUE,,,,,,,,,,0.702205882352941,0.689950980392157,0.772794117647059,0.768831699346405,0.739624183006536,0.821854575163399,0.3364968402932,0.3308984024706,0.482477865305146,0.666666666666667,0.583333333333333,0.7,0.737745098039216,0.79656862745098,0.845588235294118,0.272108843537415,0.296610169491525,0.4,0.937694704049844,0.928571428571429,0.950413223140496,0.128205128205128,0.128205128205128,0.128205128205128,0.128205128205128,0.128205128205128,0.128205128205128,3,TITAN+GigaSSL+ProvGigaPath,TITAN,composite genomic-context score,Integrated somatic mutation and copy-number alteration data,Derived binary pathway composite,FALSE,Oncogenic-pathway alteration,all three,TRUE,complete retention,"R1: all-three, mature, complete grouped retention",0.732638888888889,0.742197712418301,0.815032679738562,0.739624183006536,0.776770152505447,11,agreement with a composite genomic-context phenotype
binary,oncogenic_pathway,COAD,TP53,SanchezVega2018_TableS4,oncogenic_pathway,323,208,115,0.749122073578595,0.724414715719064,0.750459866220736,TRUE,TRUE,TRUE,,,,,,,,,,0.685953177257525,0.657253344481605,0.689172240802676,0.749122073578595,0.724414715719064,0.750459866220736,0.842395164179546,0.808934008557118,0.823769302182651,0.615384615384615,0.697115384615385,0.682692307692308,0.756521739130435,0.617391304347826,0.695652173913044,0.82051282051282,0.767195767195767,0.80225988700565,0.520958083832335,0.529850746268657,0.547945205479452,0.643962848297214,0.643962848297214,0.643962848297214,0.643962848297214,0.643962848297214,0.643962848297214,3,TITAN+GigaSSL+ProvGigaPath,TITAN,composite genomic-context score,Integrated somatic mutation and copy-number alteration data,Derived binary pathway composite,FALSE,Oncogenic-pathway alteration,all three,TRUE,complete retention,"R1: all-three, mature, complete grouped retention",0.688085284280936,0.626714046822742,0.758319397993311,0.724414715719064,0.741332218506132,12,agreement with a composite genomic-context phenotype
binary,aneuploidy,BLCA,Genome doubling,Taylor2018_TableS2,aneuploidy,376,228,148,0.715623518255097,0.746028923660503,0.726084637268848,TRUE,TRUE,TRUE,,,,,,,,,,0.670637743006164,0.662695590327169,0.662339971550498,0.715623518255097,0.746028923660503,0.726084637268848,0.743198518775531,0.780962596734015,0.777415577531249,0.706140350877193,0.710526315789474,0.736842105263158,0.635135135135135,0.614864864864865,0.587837837837838,0.748837209302326,0.73972602739726,0.733624454148472,0.583850931677019,0.579617834394905,0.591836734693878,0.606382978723404,0.606382978723404,0.606382978723404,0.606382978723404,0.606382978723404,0.606382978723404,3,TITAN+GigaSSL+ProvGigaPath,ProvGigaPath,composite genomic-context score,Allele-specific copy-number profiles,Computationally inferred whole-genome-doubling status,FALSE,Genome-doubling call,all three,TRUE,complete retention,"R1: all-three, mature, complete grouped retention",0.69576813655761,0.685870080606923,0.719861308677098,0.715623518255097,0.729245693061483,13,agreement with a composite genomic-context phenotype
binary,aneuploidy,UCEC,Genome doubling,Taylor2018_TableS2,aneuploidy,476,97,379,0.761227320947692,0.714413948807225,0.856594946005495,TRUE,TRUE,TRUE,,,,,,,,,,0.729728259391236,0.684750972445122,0.770992574055436,0.761227320947692,0.714413948807225,0.856594946005495,0.46478071350502,0.407436691418273,0.565575363659478,0.762886597938144,0.77319587628866,0.731958762886598,0.696569920844327,0.596306068601583,0.810026385224274,0.391534391534392,0.328947368421053,0.496503496503497,0.9198606271777,0.911290322580645,0.921921921921922,0.203781512605042,0.203781512605042,0.203781512605042,0.203781512605042,0.203781512605042,0.203781512605042,3,TITAN+GigaSSL+ProvGigaPath,TITAN,composite genomic-context score,Allele-specific copy-number profiles,Computationally inferred whole-genome-doubling status,FALSE,Genome-doubling call,all three,TRUE,complete retention,"R1: all-three, mature, complete grouped retention",0.713897124826592,0.714985175312135,0.828931262410576,0.714413948807225,0.777412071920137,14,agreement with a composite genomic-context phenotype
binary,oncogenic_pathway,PCPG,RTK RAS,SanchezVega2018_TableS4,oncogenic_pathway,158,52,106,0.777576197387518,0.712808417997097,0.753084179970973,TRUE,TRUE,TRUE,,,,,,,,,,0.716074020319303,0.67688679245283,0.676161103047896,0.777576197387518,0.712808417997097,0.753084179970973,0.593198108176685,0.52403975150925,0.559077977686343,0.903846153846154,0.75,0.673076923076923,0.528301886792453,0.60377358490566,0.679245283018868,0.484536082474227,0.481481481481482,0.507246376811594,0.918032786885246,0.831168831168831,0.808988764044944,0.329113924050633,0.329113924050633,0.329113924050633,0.329113924050633,0.329113924050633,0.329113924050633,3,TITAN+GigaSSL+ProvGigaPath,GigaSSL,composite genomic-context score,Integrated somatic mutation and copy-number alteration data,Derived binary pathway composite,FALSE,Oncogenic-pathway alteration,all three,TRUE,complete retention,"R1: all-three, mature, complete grouped retention",0.765783744557329,0.767053701015965,0.74111030478955,0.712808417997097,0.747822931785196,15,agreement with a composite genomic-context phenotype
binary,oncogenic_pathway,UCEC,TP53,SanchezVega2018_TableS4,oncogenic_pathway,467,218,249,0.712059246158948,0.727589256106997,0.814008326885524,TRUE,TRUE,TRUE,,,,,,,,,,0.628615378946981,0.667044324085332,0.742207361556317,0.712059246158948,0.727589256106997,0.814008326885524,0.670224137247318,0.681822480075636,0.798773243538783,0.646788990825688,0.68348623853211,0.665137614678899,0.610441767068273,0.650602409638554,0.819277108433735,0.592436974789916,0.63135593220339,0.763157894736842,0.663755458515284,0.701298701298701,0.736462093862816,0.466809421841542,0.466809421841542,0.466809421841542,0.466809421841542,0.466809421841542,0.466809421841542,3,TITAN+GigaSSL+ProvGigaPath,TITAN,composite genomic-context score,Integrated somatic mutation and copy-number alteration data,Derived binary pathway composite,FALSE,Oncogenic-pathway alteration,all three,TRUE,complete retention,"R1: all-three, mature, complete grouped retention",0.687318079658082,0.714177812166096,0.810342286577503,0.712059246158948,0.75121894305049,16,agreement with a composite genomic-context phenotype
binary,oncogenic_pathway,LGG,RTK RAS,SanchezVega2018_TableS4,oncogenic_pathway,481,135,346,0.70458146007279,0.706807964033398,0.774009847998287,TRUE,TRUE,TRUE,,,,,,,,,,0.637690002140869,0.653682295011775,0.701370156283451,0.70458146007279,0.706807964033398,0.774009847998287,0.506153782581217,0.541104124979831,0.629234885156269,0.503703703703704,0.57037037037037,0.57037037037037,0.771676300578035,0.736994219653179,0.832369942196532,0.462585034013605,0.458333333333333,0.57037037037037,0.79940119760479,0.814696485623003,0.832369942196532,0.280665280665281,0.280665280665281,0.280665280665281,0.280665280665281,0.280665280665281,0.280665280665281,3,TITAN+GigaSSL+ProvGigaPath,TITAN,composite genomic-context score,Integrated somatic mutation and copy-number alteration data,Derived binary pathway composite,FALSE,Oncogenic-pathway alteration,all three,TRUE,complete retention,"R1: all-three, mature, complete grouped retention",0.68469278527082,0.703082851637765,0.770199100834939,0.70458146007279,0.728466424034825,17,agreement with a composite genomic-context phenotype
binary,oncogenic_pathway,LGG,TGF-Beta,SanchezVega2018_TableS4,oncogenic_pathway,481,130,351,0.713193074731536,0.683475783475784,0.733925049309665,TRUE,TRUE,TRUE,,,,,,,,,,0.643589743589744,0.636609686609687,0.661965811965812,0.713193074731536,0.683475783475784,0.733925049309665,0.464952851310663,0.457544609064033,0.481645012108049,0.723076923076923,0.669230769230769,0.623076923076923,0.564102564102564,0.603988603988604,0.700854700854701,0.380566801619433,0.384955752212389,0.435483870967742,0.846153846153846,0.831372549019608,0.833898305084746,0.27027027027027,0.27027027027027,0.27027027027027,0.27027027027027,0.27027027027027,0.27027027027027,3,TITAN+GigaSSL+ProvGigaPath,TITAN,composite genomic-context score,Integrated somatic mutation and copy-number alteration data,Derived binary pathway composite,FALSE,Oncogenic-pathway alteration,all three,TRUE,complete retention,"R1: all-three, mature, complete grouped retention",0.708897655051501,0.688121849660311,0.741595441595442,0.683475783475784,0.710197969172328,18,agreement with a composite genomic-context phenotype
binary,oncogenic_pathway,LUAD,TP53,SanchezVega2018_TableS4,oncogenic_pathway,451,274,177,0.679326982555982,0.714812981978638,0.729370283310652,TRUE,TRUE,TRUE,,,,,,,,,,0.648026722751454,0.676646459647821,0.680997154521836,0.679326982555982,0.714812981978638,0.729370283310652,0.733774986763783,0.749916606444946,0.763374990883096,0.635036496350365,0.788321167883212,0.751824817518248,0.661016949152542,0.564971751412429,0.610169491525424,0.743589743589744,0.737201365187713,0.749090909090909,0.539170506912442,0.632911392405063,0.613636363636364,0.607538802660754,0.607538802660754,0.607538802660754,0.607538802660754,0.607538802660754,0.607538802660754,3,TITAN+GigaSSL+ProvGigaPath,TITAN,composite genomic-context score,Integrated somatic mutation and copy-number alteration data,Derived binary pathway composite,FALSE,Oncogenic-pathway alteration,all three,TRUE,complete retention,"R1: all-three, mature, complete grouped retention",0.635675697966927,0.690069693595612,0.69470906016743,0.679326982555982,0.707836749281757,19,agreement with a composite genomic-context phenotype
binary,oncogenic_pathway,HNSC,TP53,SanchezVega2018_TableS4,oncogenic_pathway,412,312,100,0.694807692307692,0.69224358974359,0.67375,TRUE,TRUE,TRUE,,,,,,,,,,0.616153846153846,0.599679487179487,0.599423076923077,0.694807692307692,0.69224358974359,0.67375,0.853499760760547,0.84162054576315,0.851258633099162,0.692307692307692,0.599358974358974,0.778846153846154,0.54,0.6,0.42,0.824427480916031,0.823788546255507,0.807308970099668,0.36,0.324324324324324,0.378378378378378,0.757281553398058,0.757281553398058,0.757281553398058,0.757281553398058,0.757281553398058,0.757281553398058,3,TITAN+GigaSSL+ProvGigaPath,GigaSSL,composite genomic-context score,Integrated somatic mutation and copy-number alteration data,Derived binary pathway composite,FALSE,Oncogenic-pathway alteration,all three,TRUE,complete retention,"R1: all-three, mature, complete grouped retention",0.713076923076923,0.689102564102564,0.684070512820513,0.67375,0.686933760683761,20,agreement with a composite genomic-context phenotype
binary,aneuploidy,LIHC,Genome doubling,Taylor2018_TableS2,aneuploidy,346,115,231,0.679126670431018,0.724411820063994,0.673329568981743,TRUE,TRUE,TRUE,,,,,,,,,,0.624562394127612,0.668040654997177,0.618162996423866,0.679126670431018,0.724411820063994,0.673329568981743,0.509866212706832,0.59278833868024,0.53327558876019,0.547826086956522,0.634782608695652,0.591304347826087,0.701298701298701,0.701298701298701,0.645021645021645,0.477272727272727,0.514084507042254,0.453333333333333,0.757009345794393,0.794117647058824,0.760204081632653,0.332369942196532,0.332369942196532,0.332369942196532,0.332369942196532,0.332369942196532,0.332369942196532,3,TITAN+GigaSSL+ProvGigaPath,ProvGigaPath,composite genomic-context score,Allele-specific copy-number profiles,Computationally inferred whole-genome-doubling status,FALSE,Genome-doubling call,all three,TRUE,complete retention,"R1: all-three, mature, complete grouped retention",0.628834933182759,0.618671183888575,0.66583850931677,0.673329568981743,0.692289353158918,21,agreement with a composite genomic-context phenotype
binary,oncogenic_pathway,LIHC,TP53,SanchezVega2018_TableS4,oncogenic_pathway,333,126,207,0.670615750325895,0.664021164021164,0.671229200214707,TRUE,TRUE,TRUE,,,,,,,,,,0.631987577639752,0.625086266390614,0.620945479641132,0.670615750325895,0.664021164021164,0.671229200214707,0.539083273641035,0.498081596041433,0.537343242790805,0.674603174603175,0.738095238095238,0.531746031746032,0.589371980676329,0.51207729468599,0.710144927536232,0.5,0.479381443298969,0.52755905511811,0.748466257668712,0.762589928057554,0.713592233009709,0.378378378378378,0.378378378378378,0.378378378378378,0.378378378378378,0.378378378378378,0.378378378378378,3,TITAN+GigaSSL+ProvGigaPath,TITAN,composite genomic-context score,Integrated somatic mutation and copy-number alteration data,Derived binary pathway composite,FALSE,Oncogenic-pathway alteration,all three,TRUE,complete retention,"R1: all-three, mature, complete grouped retention",0.636377578406564,0.657656621424737,0.65980369603558,0.664021164021164,0.668622038187255,22,agreement with a composite genomic-context phenotype
binary,oncogenic_pathway,COAD,RTK RAS,SanchezVega2018_TableS4,oncogenic_pathway,323,242,81,0.658759310274462,0.69446995204571,0.697071727374758,TRUE,TRUE,TRUE,,,,,,,,,,0.618253239465361,0.639194980104071,0.649270482603816,0.658759310274462,0.69446995204571,0.697071727374758,0.840225248310097,0.863019973563866,0.863372110018714,0.471074380165289,0.648760330578512,0.545454545454545,0.765432098765432,0.62962962962963,0.753086419753086,0.857142857142857,0.839572192513369,0.868421052631579,0.326315789473684,0.375,0.35672514619883,0.74922600619195,0.74922600619195,0.74922600619195,0.74922600619195,0.74922600619195,0.74922600619195,3,TITAN+GigaSSL+ProvGigaPath,TITAN,composite genomic-context score,Integrated somatic mutation and copy-number alteration data,Derived binary pathway composite,FALSE,Oncogenic-pathway alteration,all three,TRUE,complete retention,"R1: all-three, mature, complete grouped retention",0.64702581369248,0.629986736047342,0.729007244158759,0.658759310274462,0.683433663231643,23,agreement with a composite genomic-context phenotype
binary,oncogenic_pathway,BLCA,MYC,SanchezVega2018_TableS4,oncogenic_pathway,373,67,306,0.687981660325822,0.66934933177251,0.642327577797288,TRUE,TRUE,TRUE,,,,,,,,,,0.645571163788899,0.615939908301629,0.580162910935519,0.687981660325822,0.66934933177251,0.642327577797288,0.324886488764877,0.29163880288887,0.290326736299998,0.686567164179104,0.656716417910448,0.791044776119403,0.604575163398693,0.57516339869281,0.369281045751634,0.275449101796407,0.252873563218391,0.215447154471545,0.898058252427185,0.884422110552764,0.889763779527559,0.179624664879357,0.179624664879357,0.179624664879357,0.179624664879357,0.179624664879357,0.179624664879357,3,TITAN+GigaSSL+ProvGigaPath,GigaSSL,composite genomic-context score,Integrated somatic mutation and copy-number alteration data,Derived binary pathway composite,FALSE,Oncogenic-pathway alteration,all three,TRUE,complete retention,"R1: all-three, mature, complete grouped retention",0.681055506779826,0.631694468832309,0.659545410203883,0.642327577797288,0.666552856631873,24,agreement with a composite genomic-context phenotype
