foundation_model,outcome_type,eligible_targets,screening_positive,screening_tier_A,median_effect,median_q2,median_balanced_accuracy,median_auc,median_pr_auc
GigaSSL,binary,426,66,16,0.054033461450121,,0.527016730725061,0.570607214777168,0.256632187713519
ProvGigaPath,binary,426,82,16,0.0650307321197869,,0.532515366059894,0.582752526884109,0.269110464551268
TITAN,binary,426,93,26,0.089803324883873,,0.544901662441937,0.603684329889126,0.282904930426466
GigaSSL,continuous,1507,105,17,-0.0189915160434722,-0.0189915160434722,,,
ProvGigaPath,continuous,1507,127,18,-0.0237489257104988,-0.0237489257104988,,,
TITAN,continuous,1507,208,35,0.00824598896111672,0.00824598896111672,,,
