foundation_model,patients,multi_slide_patients,median_pairwise_cosine_distance,q95_pairwise_cosine_distance,median_mean_vs_median_centroid_distance,q95_mean_vs_median_centroid_distance,median_maximum_loo_centroid_distance,q95_maximum_loo_centroid_distance
TITAN,9404,843,0.0803226629283758,0.324182514723937,2.22044604925031e-16,0.0104320656768078,0.0100998494578542,0.0851322692427734
GigaSSL,9378,845,0.102674923321313,0.371578813597599,1.11022302462516e-16,0.0188491539361938,0.0118240876511313,0.0906583464624601
ProvGigaPath,8393,778,0.0517207421246524,0.162910204771035,0.000151838818930994,0.00608338959328202,0.00581198189720272,0.038445209165574
