"outcome_type","family","subfamily","tumor_type","endpoint","source","foundation_model","n","positive","negative","primary_effect","primary_operating_metric","alternative_partitions","repeat_effect_median","repeat_effect_q25","repeat_effect_q75","crossing_proportion","grouped_effect","matched_random_effect","grouped_minus_matched_effect","primary_best_foundation_model","primary_winner_repeat_proportion","modal_repeat_winner","modal_repeat_winner_proportion","sample_size_stratum","representation"
"binary","aneuploidy","aneuploidy","SKCM","Genome doubling","Taylor2018_TableS2","GigaSSL",98,35,63,0.568253968253968,0.568253968253968,5,0.594104308390023,0.541496598639456,0.598185941043084,0.2,0.53968253968254,0.559183673469388,-0.0195011337868481,"TITAN",0.6,"TITAN",0.6,"smaller-sample","Giga-SSL"
"binary","aneuploidy","aneuploidy","STAD","Genome doubling","Taylor2018_TableS2","GigaSSL",354,152,202,0.742509119332986,0.742509119332986,5,0.73951276706618,0.724498436685774,0.743388483585201,1,0.65431214174049,0.747003647733194,-0.0926915059927046,"ProvGigaPath",0.2,"TITAN",0.8,"larger-sample","Giga-SSL"
"binary","aneuploidy","aneuploidy","UCEC","Genome doubling","Taylor2018_TableS2","GigaSSL",476,97,379,0.761227320947692,0.761227320947692,5,0.742567255120638,0.726491309196747,0.765361912792754,1,0.713897124826592,0.736066153469521,-0.022169028642929,"TITAN",1,"TITAN",1,"larger-sample","Giga-SSL"
"binary","driver_mutation","Bailey_tissue_specific_driver","BLCA","ARID1A","TCGA_MC3_Bailey2018","GigaSSL",384,98,286,0.554516911659769,0.554516911659769,5,0.499429142286285,0.485443128300271,0.512202083630655,0,,,,"GigaSSL",0.2,"TITAN",0.6,"larger-sample","Giga-SSL"
"binary","driver_mutation","Bailey_tissue_specific_driver","BLCA","ATM","TCGA_MC3_Bailey2018","GigaSSL",384,53,331,0.589921906173403,0.589921906173403,5,0.562560565467708,0.542096562731574,0.565866727469646,0,0.532577096277718,0.582796557031295,-0.0502194607535769,"TITAN",0.4,"ProvGigaPath",0.6,"larger-sample","Giga-SSL"
"binary","driver_mutation","Bailey_tissue_specific_driver","BLCA","CDKN2A","TCGA_MC3_Bailey2018","GigaSSL",384,24,360,0.547800925925926,0.547800925925926,5,0.533217592592593,0.525694444444445,0.537384259259259,0,0.471412037037037,0.569907407407407,-0.0984953703703704,"TITAN",1,"TITAN",1,"smaller-sample","Giga-SSL"
"binary","driver_mutation","Bailey_tissue_specific_driver","BLCA","CREBBP","TCGA_MC3_Bailey2018","GigaSSL",384,48,336,0.561197916666667,0.561197916666667,5,0.572730654761905,0.566840277777778,0.591951884920635,0.2,,,,"ProvGigaPath",0,"GigaSSL",1,"smaller-sample","Giga-SSL"
"binary","driver_mutation","Bailey_tissue_specific_driver","BLCA","ERBB2","TCGA_MC3_Bailey2018","GigaSSL",384,46,338,0.517043992796501,0.517043992796501,5,0.583354772317983,0.562966297916131,0.587535374324672,0.2,0.40821970671469,0.467519938255724,-0.0593002315410342,"ProvGigaPath",1,"ProvGigaPath",1,"smaller-sample","Giga-SSL"
"binary","driver_mutation","Bailey_tissue_specific_driver","BLCA","ERBB3","TCGA_MC3_Bailey2018","GigaSSL",384,40,344,0.562572674418605,0.562572674418605,5,0.598619186046512,0.567441860465116,0.607848837209302,0.4,,,,"GigaSSL",0.8,"GigaSSL",0.8,"smaller-sample","Giga-SSL"
"binary","driver_mutation","Bailey_tissue_specific_driver","BLCA","ERCC2","TCGA_MC3_Bailey2018","GigaSSL",384,35,349,0.537617683176423,0.537617683176423,5,0.570609905853459,0.564306180925092,0.599099467867376,0.2,0.563896848137536,0.583954154727794,-0.0200573065902578,"TITAN",0.4,"GigaSSL",0.4,"smaller-sample","Giga-SSL"
"binary","driver_mutation","Bailey_tissue_specific_driver","BLCA","FAT1","TCGA_MC3_Bailey2018","GigaSSL",384,46,338,0.557756624646257,0.557756624646257,5,0.514021095960895,0.486557756624646,0.522060715204528,0,,,,"ProvGigaPath",0.4,"TITAN",0.6,"smaller-sample","Giga-SSL"
"binary","driver_mutation","Bailey_tissue_specific_driver","BLCA","FBXW7","TCGA_MC3_Bailey2018","GigaSSL",384,30,354,0.564030131826742,0.564030131826742,5,0.515913370998117,0.489265536723164,0.573352165725047,0.2,,,,"TITAN",0.2,"GigaSSL",0.4,"smaller-sample","Giga-SSL"
"binary","driver_mutation","Bailey_tissue_specific_driver","BLCA","FGFR3","TCGA_MC3_Bailey2018","GigaSSL",384,54,330,0.819921436588103,0.819921436588103,5,0.803030303030303,0.794612794612795,0.80662177328844,1,0.773120089786757,0.821324354657688,-0.0482042648709314,"GigaSSL",0.2,"TITAN",0.8,"larger-sample","Giga-SSL"
"binary","driver_mutation","Bailey_tissue_specific_driver","BLCA","KANSL1","TCGA_MC3_Bailey2018","GigaSSL",384,24,360,0.481134259259259,0.481134259259259,5,0.506712962962963,0.496527777777778,0.508564814814815,0,,,,"TITAN",0.6,"TITAN",0.6,"smaller-sample","Giga-SSL"
"binary","driver_mutation","Bailey_tissue_specific_driver","BLCA","NFE2L2","TCGA_MC3_Bailey2018","GigaSSL",384,24,360,0.561805555555556,0.561805555555556,5,0.544560185185185,0.544097222222222,0.580671296296296,0.2,0.553703703703704,0.533796296296296,0.0199074074074074,"TITAN",0.8,"TITAN",0.8,"smaller-sample","Giga-SSL"
"binary","driver_mutation","Bailey_tissue_specific_driver","BLCA","PIK3CA","TCGA_MC3_Bailey2018","GigaSSL",384,82,302,0.533476013568083,0.533476013568083,5,0.56953642384106,0.550032304958811,0.587909869164917,0.2,0.595864965272169,0.589888547892102,0.00597641738006782,"TITAN",0.6,"TITAN",0.6,"larger-sample","Giga-SSL"
"binary","driver_mutation","Bailey_tissue_specific_driver","BLCA","RB1","TCGA_MC3_Bailey2018","GigaSSL",384,73,311,0.648856979253843,0.648856979253843,5,0.646654627141787,0.630841738977228,0.670572171078712,1,0.561952164912126,0.61392767475664,-0.0519755098445139,"TITAN",0.8,"TITAN",0.8,"larger-sample","Giga-SSL"
"binary","driver_mutation","Bailey_tissue_specific_driver","BLCA","RHOB","TCGA_MC3_Bailey2018","GigaSSL",384,24,360,0.569791666666667,0.569791666666667,5,0.503356481481482,0.499884259259259,0.515277777777778,0,,,,"GigaSSL",0.4,"GigaSSL",0.4,"smaller-sample","Giga-SSL"
