outcome_type,eligible_tests,local_bh_families,local_bh_denominator_min,local_bh_denominator_max,across_cancer_bh_families,across_cancer_family_bh_denominator_min,across_cancer_family_bh_denominator_max,outcome_wide_bh_denominator,atlas_wide_bh_denominator
continuous,3174,150,1,52,5,30,1560,3174,3633
binary,459,104,1,48,6,3,238,459,3633
