foundation_model,outcome_type,family,subfamily,tumor_type,endpoint,source,n,positive,negative,q2,rmse,spearman,balanced_accuracy,auc,pr_auc,sensitivity,specificity,ppv,npv,prevalence,no_skill_pr_auc,operating_threshold_median,selected_components_median,selected_components_min,selected_components_max,selected_components_at_ceiling,selected_components_outer_fits,selected_components_ceiling_fraction,numerical_failure_or_fallback,seed,common_cohort,fastPLS_version,fastPLS_remote_sha
GigaSSL,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_INTERFERON_ALPHA_RESPONSE,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,0.233459522482844,0.541805944979785,0.479337610924617,,,,,,,,,,,3,2,3,0,5,0,FALSE,20261488,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_INTERFERON_ALPHA_RESPONSE,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,0.222056152329168,0.545821130813153,0.505317029963411,,,,,,,,,,,3,3,4,0,5,0,FALSE,20261488,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_INTERFERON_ALPHA_RESPONSE,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,0.321387632105324,0.509785061350366,0.558729406633557,,,,,,,,,,,4,3,5,0,5,0,FALSE,20261488,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
GigaSSL,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_INTERFERON_GAMMA_RESPONSE,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,0.364991807017272,0.422469264727379,0.592054448281248,,,,,,,,,,,3,2,3,0,5,0,FALSE,20261489,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_INTERFERON_GAMMA_RESPONSE,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,0.342447096579531,0.429903325295712,0.5927738982185,,,,,,,,,,,4,3,5,0,5,0,FALSE,20261489,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_INTERFERON_GAMMA_RESPONSE,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,0.427867511484157,0.401008667301357,0.644213707631002,,,,,,,,,,,5,4,6,0,5,0,FALSE,20261489,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
GigaSSL,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_KRAS_SIGNALING_DN,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,-2.870765173002e-05,0.203605588949394,0.21802314661182,,,,,,,,,,,3,1,3,0,5,0,FALSE,20261490,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_KRAS_SIGNALING_DN,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,0.0178898894187111,0.201773232882223,0.247668057596036,,,,,,,,,,,1,1,3,0,5,0,FALSE,20261490,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_KRAS_SIGNALING_DN,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,0.0711257570663818,0.19622842661528,0.297395567546866,,,,,,,,,,,3,2,4,0,5,0,FALSE,20261490,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
GigaSSL,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_KRAS_SIGNALING_UP,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,0.264046684505986,0.268726595517356,0.52055356742868,,,,,,,,,,,3,2,3,0,5,0,FALSE,20261491,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_KRAS_SIGNALING_UP,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,0.259395579088335,0.269574412328989,0.521361926050578,,,,,,,,,,,2,1,2,0,5,0,FALSE,20261491,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_KRAS_SIGNALING_UP,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,0.304323681062917,0.261269748415445,0.590798962932936,,,,,,,,,,,4,3,5,0,5,0,FALSE,20261491,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
GigaSSL,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_MITOTIC_SPINDLE,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,0.095254379417265,0.276943209891992,0.289090678354965,,,,,,,,,,,2,2,5,0,5,0,FALSE,20261492,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_MITOTIC_SPINDLE,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,0.13207394044545,0.271249434169448,0.302128609533831,,,,,,,,,,,2,1,2,0,5,0,FALSE,20261492,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_MITOTIC_SPINDLE,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,0.119341450061189,0.273231807235623,0.361923682550357,,,,,,,,,,,3,2,4,0,5,0,FALSE,20261492,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
GigaSSL,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_MTORC1_SIGNALING,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,0.19370822353827,0.261153769044429,0.38496050398523,,,,,,,,,,,3,2,4,0,5,0,FALSE,20261493,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_MTORC1_SIGNALING,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,0.297196782325601,0.243818723653478,0.51131115445559,,,,,,,,,,,3,2,3,0,5,0,FALSE,20261493,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_MTORC1_SIGNALING,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,0.300453985280359,0.243253067901792,0.517096892490779,,,,,,,,,,,1,1,2,0,5,0,FALSE,20261493,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
GigaSSL,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_MYC_TARGETS_V1,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,0.157101413604201,0.394986806867589,0.397183403008967,,,,,,,,,,,3,3,4,0,5,0,FALSE,20261494,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_MYC_TARGETS_V1,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,0.225070782776915,0.378726718386127,0.495723287757048,,,,,,,,,,,3,3,4,0,5,0,FALSE,20261494,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_MYC_TARGETS_V1,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,0.308935231894984,0.357646766738749,0.530744913772031,,,,,,,,,,,3,3,4,0,5,0,FALSE,20261494,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
GigaSSL,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_MYC_TARGETS_V2,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,0.0267287816071269,0.451799660566848,0.245733378785118,,,,,,,,,,,3,2,3,0,5,0,FALSE,20261495,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_MYC_TARGETS_V2,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,0.116588481813938,0.430437884937644,0.348627636328175,,,,,,,,,,,2,2,3,0,5,0,FALSE,20261495,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_MYC_TARGETS_V2,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,0.190705871364402,0.411985712202328,0.425967428206506,,,,,,,,,,,3,2,4,0,5,0,FALSE,20261495,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
GigaSSL,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_MYOGENESIS,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,0.181637759618162,0.298788465450303,0.46748089512747,,,,,,,,,,,2,2,3,0,5,0,FALSE,20261496,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_MYOGENESIS,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,0.218295069192066,0.292019909595601,0.493226955778478,,,,,,,,,,,2,2,2,0,5,0,FALSE,20261496,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_MYOGENESIS,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,0.204219288239158,0.294637309927438,0.494358873124401,,,,,,,,,,,2,2,6,0,5,0,FALSE,20261496,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
GigaSSL,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_NOTCH_SIGNALING,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,0.0322026337962628,0.207492827090124,0.253600182811755,,,,,,,,,,,1,1,3,0,5,0,FALSE,20261497,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_NOTCH_SIGNALING,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,0.0705810359490626,0.203337104469389,0.311243794825019,,,,,,,,,,,1,1,1,0,5,0,FALSE,20261497,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_NOTCH_SIGNALING,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,0.105958643267234,0.199429625873382,0.373697086819761,,,,,,,,,,,4,1,5,0,5,0,FALSE,20261497,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
GigaSSL,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_OXIDATIVE_PHOSPHORYLATION,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,0.00651046201195138,0.348375869776932,0.191433422195375,,,,,,,,,,,2,1,2,0,5,0,FALSE,20261498,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_OXIDATIVE_PHOSPHORYLATION,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,0.0188645101785631,0.346203065959086,0.219573343798582,,,,,,,,,,,1,1,1,0,5,0,FALSE,20261498,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_OXIDATIVE_PHOSPHORYLATION,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,0.0277245363829627,0.344636348320099,0.232801793587402,,,,,,,,,,,3,1,3,0,5,0,FALSE,20261498,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
GigaSSL,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_P53_PATHWAY,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,0.146062412629945,0.190897867772155,0.360584670399037,,,,,,,,,,,2,2,3,0,5,0,FALSE,20261499,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_P53_PATHWAY,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,0.0748704849814491,0.198696071647299,0.280223920720148,,,,,,,,,,,1,1,4,0,5,0,FALSE,20261499,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_P53_PATHWAY,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,0.258239093082914,0.177918038930188,0.461432090717858,,,,,,,,,,,2,2,5,0,5,0,FALSE,20261499,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
GigaSSL,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_PANCREAS_BETA_CELLS,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,0.0124828046445061,0.341008915272037,0.22561612050076,,,,,,,,,,,2,1,3,0,5,0,FALSE,20261500,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_PANCREAS_BETA_CELLS,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,-0.168707798080207,0.370976475518766,0.136768358755369,,,,,,,,,,,5,1,6,0,5,0,FALSE,20261500,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_PANCREAS_BETA_CELLS,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,-0.018861874675181,0.346378602495167,0.257913222755758,,,,,,,,,,,2,1,3,0,5,0,FALSE,20261500,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
GigaSSL,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_PEROXISOME,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,0.0750262632351169,0.183937337232843,0.364911487960031,,,,,,,,,,,3,3,4,0,5,0,FALSE,20261501,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_PEROXISOME,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,0.097315790561678,0.181707610346858,0.38187905383507,,,,,,,,,,,2,2,3,0,5,0,FALSE,20261501,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_PEROXISOME,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,0.145369509709561,0.176804936127833,0.435366131022339,,,,,,,,,,,2,1,3,0,5,0,FALSE,20261501,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
GigaSSL,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_PI3K_AKT_MTOR_SIGNALING,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,0.165574823505832,0.153967874836765,0.39454434352938,,,,,,,,,,,2,2,3,0,5,0,FALSE,20261502,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_PI3K_AKT_MTOR_SIGNALING,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,0.147637056761057,0.155614010647814,0.377000701043902,,,,,,,,,,,2,1,3,0,5,0,FALSE,20261502,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_PI3K_AKT_MTOR_SIGNALING,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,0.158607287161166,0.154609362321876,0.350237680038741,,,,,,,,,,,1,1,1,0,5,0,FALSE,20261502,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
GigaSSL,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_PROTEIN_SECRETION,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,0.0562072407546915,0.276561916225941,0.175626190001304,,,,,,,,,,,1,1,1,0,5,0,FALSE,20261503,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_PROTEIN_SECRETION,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,0.0745029964139867,0.273868172377427,0.15357511400709,,,,,,,,,,,1,1,1,0,5,0,FALSE,20261503,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_PROTEIN_SECRETION,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,0.0447328463963214,0.27823802221483,0.141245223176406,,,,,,,,,,,1,1,4,0,5,0,FALSE,20261503,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
GigaSSL,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,-0.0138897776824116,0.300344489829407,0.255318294705595,,,,,,,,,,,2,1,3,0,5,0,FALSE,20261504,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,0.00264157090380623,0.297885886784822,0.224604542028244,,,,,,,,,,,1,1,3,0,5,0,FALSE,20261504,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,0.0658679472758386,0.288289240250754,0.281824707594298,,,,,,,,,,,1,1,1,0,5,0,FALSE,20261504,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
GigaSSL,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_SPERMATOGENESIS,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,0.206198730862669,0.207816780270236,0.364076650480478,,,,,,,,,,,3,3,3,0,5,0,FALSE,20261505,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_SPERMATOGENESIS,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,0.213556299487831,0.2068514342516,0.368419613686383,,,,,,,,,,,4,3,4,0,5,0,FALSE,20261505,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_SPERMATOGENESIS,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,0.274002739110171,0.198743168142216,0.451903576916938,,,,,,,,,,,3,2,3,0,5,0,FALSE,20261505,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
GigaSSL,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_TGF_BETA_SIGNALING,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,0.0269396902711232,0.290659446638411,0.241937645304077,,,,,,,,,,,2,1,4,0,5,0,FALSE,20261506,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_TGF_BETA_SIGNALING,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,0.0052980931340022,0.293873914823168,0.252388828892868,,,,,,,,,,,1,1,3,0,5,0,FALSE,20261506,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_TGF_BETA_SIGNALING,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,0.0313756246086614,0.289996168619415,0.25623795063975,,,,,,,,,,,3,1,3,0,5,0,FALSE,20261506,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
GigaSSL,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_TNFA_SIGNALING_VIA_NFKB,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,0.323390601945875,0.353521041293839,0.57634430523191,,,,,,,,,,,3,3,4,0,5,0,FALSE,20261507,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_TNFA_SIGNALING_VIA_NFKB,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,0.283543323577475,0.363782013077343,0.558939945843202,,,,,,,,,,,4,2,5,0,5,0,FALSE,20261507,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_TNFA_SIGNALING_VIA_NFKB,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,0.31698979634032,0.355189280752718,0.560438046415715,,,,,,,,,,,3,3,7,0,5,0,FALSE,20261507,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
GigaSSL,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,0.192703628774893,0.213892320332656,0.358937599342808,,,,,,,,,,,3,2,4,0,5,0,FALSE,20261508,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,0.281268218794867,0.201819030775068,0.462533008425551,,,,,,,,,,,2,2,3,0,5,0,FALSE,20261508,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,0.272897919417982,0.202990814087458,0.461797843393918,,,,,,,,,,,2,1,2,0,5,0,FALSE,20261508,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
GigaSSL,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_UV_RESPONSE_DN,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,0.140977245817411,0.286273568437295,0.388384457082777,,,,,,,,,,,2,1,2,0,5,0,FALSE,20261509,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_UV_RESPONSE_DN,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,0.203421540787381,0.275672342596807,0.480183857993241,,,,,,,,,,,2,2,2,0,5,0,FALSE,20261509,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_UV_RESPONSE_DN,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,0.179531099603134,0.279775692674222,0.437406509988611,,,,,,,,,,,4,3,5,0,5,0,FALSE,20261509,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
GigaSSL,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_UV_RESPONSE_UP,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,0.302396977602668,0.14308509436165,0.517886091614049,,,,,,,,,,,3,2,3,0,5,0,FALSE,20261510,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_UV_RESPONSE_UP,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,0.269024102169233,0.146467660993925,0.498305945117078,,,,,,,,,,,2,2,4,0,5,0,FALSE,20261510,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_UV_RESPONSE_UP,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,0.267260649827355,0.146644228477317,0.431901921450146,,,,,,,,,,,1,1,1,0,5,0,FALSE,20261510,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
GigaSSL,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_WNT_BETA_CATENIN_SIGNALING,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,-0.0325386764654041,0.254471264365439,0.157134475246627,,,,,,,,,,,2,1,3,0,5,0,FALSE,20261511,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,continuous,rna_pathway_activity,MSigDB Hallmark,BLCA,HALLMARK_WNT_BETA_CATENIN_SIGNALING,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,382,,,-0.0491113607009173,0.256505320916186,0.14114490490269,,,,,,,,,,,1,1,2,0,5,0,FALSE,20261511,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
