sample_size_band,models,n_min,n_median,n_max,q2_median,q2_iqr_low,q2_iqr_high,q2_repeat_sd_median,prediction_repeat_spearman_median,prediction_repeat_spearman_iqr_low,prediction_repeat_spearman_iqr_high,selected_components_median,outer_fits_at_ceiling,outer_fits,outer_fit_ceiling_percent,models_with_any_ceiling
50-74,53,53,65,72,0.192728226591657,0.118129233166464,0.282015221276892,0.0691929049478646,0.823898601398602,0.779872122762149,0.852481962481962,2,5,1325,0.377358490566038,3
75-99,38,75,80,96,0.248531383968559,0.172498529327132,0.351667387950653,0.0518397232537979,0.90665611814346,0.880997715570334,0.934272585458492,2,0,950,0,0
100-199,158,103,149,188,0.323447569060206,0.235804591894637,0.434356177652907,0.0311172490244942,0.910217485942318,0.866904009406362,0.944294848539815,2,1,3950,0.0253164556962025,1
200-399,232,218,350,391,0.301044589649001,0.234187006637908,0.363166516209783,0.019914781105671,0.934923805791881,0.910503194317297,0.954272429530593,3,0,5800,0,0
>=400,289,400,490,1052,0.280277419254209,0.237301759435292,0.35576270270822,0.0123250767959044,0.940700390022473,0.918101978641461,0.965378781252733,3,0,7225,0,0
