family,subfamily,endpoint,tumor_type,source,n,positive,negative,prevalence
driver_mutation,Bailey_tissue_specific_driver,EP300,CESC,TCGA_MC3_Bailey2018,252,30,222,0.119047619047619
driver_mutation,Bailey_tissue_specific_driver,FBXW7,CESC,TCGA_MC3_Bailey2018,252,29,223,0.115079365079365
driver_mutation,Bailey_tissue_specific_driver,KMT2C,CESC,TCGA_MC3_Bailey2018,252,47,205,0.186507936507937
driver_mutation,Bailey_tissue_specific_driver,KMT2D,CESC,TCGA_MC3_Bailey2018,252,38,214,0.150793650793651
driver_mutation,Bailey_tissue_specific_driver,PIK3CA,CESC,TCGA_MC3_Bailey2018,252,71,181,0.281746031746032
driver_mutation,Bailey_tissue_specific_driver,TP53,CESC,TCGA_MC3_Bailey2018,252,21,231,0.0833333333333333
driver_mutation,Bailey_tissue_specific_driver,ACVR2A,COAD,TCGA_MC3_Bailey2018,382,21,361,0.0549738219895288
driver_mutation,Bailey_tissue_specific_driver,AMER1,COAD,TCGA_MC3_Bailey2018,382,37,345,0.0968586387434555
driver_mutation,Bailey_tissue_specific_driver,APC,COAD,TCGA_MC3_Bailey2018,382,196,186,0.513089005235602
driver_mutation,Bailey_tissue_specific_driver,ARID1A,COAD,TCGA_MC3_Bailey2018,382,34,348,0.0890052356020942
driver_mutation,Bailey_tissue_specific_driver,BRAF,COAD,TCGA_MC3_Bailey2018,382,44,338,0.115183246073298
driver_mutation,Bailey_tissue_specific_driver,CTNNB1,COAD,TCGA_MC3_Bailey2018,382,21,361,0.0549738219895288
driver_mutation,Bailey_tissue_specific_driver,FBXW7,COAD,TCGA_MC3_Bailey2018,382,43,339,0.112565445026178
driver_mutation,Bailey_tissue_specific_driver,KRAS,COAD,TCGA_MC3_Bailey2018,382,126,256,0.329842931937173
driver_mutation,Bailey_tissue_specific_driver,PIK3CA,COAD,TCGA_MC3_Bailey2018,382,83,299,0.217277486910995
driver_mutation,Bailey_tissue_specific_driver,SMAD4,COAD,TCGA_MC3_Bailey2018,382,36,346,0.0942408376963351
driver_mutation,Bailey_tissue_specific_driver,SOX9,COAD,TCGA_MC3_Bailey2018,382,42,340,0.109947643979058
driver_mutation,Bailey_tissue_specific_driver,TCF7L2,COAD,TCGA_MC3_Bailey2018,382,32,350,0.0837696335078534
driver_mutation,Bailey_tissue_specific_driver,TP53,COAD,TCGA_MC3_Bailey2018,382,161,221,0.421465968586387
driver_mutation,Bailey_tissue_specific_driver,EGFR,GBM,TCGA_MC3_Bailey2018,241,40,201,0.16597510373444
driver_mutation,Bailey_tissue_specific_driver,PIK3CA,GBM,TCGA_MC3_Bailey2018,241,22,219,0.0912863070539419
driver_mutation,Bailey_tissue_specific_driver,PTEN,GBM,TCGA_MC3_Bailey2018,241,53,188,0.219917012448133
driver_mutation,Bailey_tissue_specific_driver,TP53,GBM,TCGA_MC3_Bailey2018,241,52,189,0.215767634854772
driver_mutation,Bailey_tissue_specific_driver,AJUBA,HNSC,TCGA_MC3_Bailey2018,431,28,403,0.0649651972157773
driver_mutation,Bailey_tissue_specific_driver,CASP8,HNSC,TCGA_MC3_Bailey2018,431,47,384,0.109048723897912
driver_mutation,Bailey_tissue_specific_driver,CDKN2A,HNSC,TCGA_MC3_Bailey2018,431,92,339,0.213457076566125
driver_mutation,Bailey_tissue_specific_driver,EP300,HNSC,TCGA_MC3_Bailey2018,431,30,401,0.0696055684454756
driver_mutation,Bailey_tissue_specific_driver,EPHA2,HNSC,TCGA_MC3_Bailey2018,431,23,408,0.0533642691415313
driver_mutation,Bailey_tissue_specific_driver,FAT1,HNSC,TCGA_MC3_Bailey2018,431,96,335,0.222737819025522
driver_mutation,Bailey_tissue_specific_driver,FBXW7,HNSC,TCGA_MC3_Bailey2018,431,28,403,0.0649651972157773
driver_mutation,Bailey_tissue_specific_driver,HLA-B,HNSC,TCGA_MC3_Bailey2018,431,20,411,0.0464037122969838
driver_mutation,Bailey_tissue_specific_driver,HRAS,HNSC,TCGA_MC3_Bailey2018,431,27,404,0.0626450116009281
driver_mutation,Bailey_tissue_specific_driver,HUWE1,HNSC,TCGA_MC3_Bailey2018,431,40,391,0.0928074245939675
driver_mutation,Bailey_tissue_specific_driver,KEAP1,HNSC,TCGA_MC3_Bailey2018,431,20,411,0.0464037122969838
driver_mutation,Bailey_tissue_specific_driver,KMT2D,HNSC,TCGA_MC3_Bailey2018,431,66,365,0.153132250580046
driver_mutation,Bailey_tissue_specific_driver,NFE2L2,HNSC,TCGA_MC3_Bailey2018,431,26,405,0.0603248259860789
driver_mutation,Bailey_tissue_specific_driver,NOTCH1,HNSC,TCGA_MC3_Bailey2018,431,77,354,0.178654292343387
driver_mutation,Bailey_tissue_specific_driver,NSD1,HNSC,TCGA_MC3_Bailey2018,431,51,380,0.118329466357309
driver_mutation,Bailey_tissue_specific_driver,PIK3CA,HNSC,TCGA_MC3_Bailey2018,431,74,357,0.17169373549884
driver_mutation,Bailey_tissue_specific_driver,TGFBR2,HNSC,TCGA_MC3_Bailey2018,431,21,410,0.0487238979118329
driver_mutation,Bailey_tissue_specific_driver,TP53,HNSC,TCGA_MC3_Bailey2018,431,320,111,0.74245939675174
driver_mutation,Bailey_tissue_specific_driver,TP53,KICH,TCGA_MC3_Bailey2018,65,21,44,0.323076923076923
driver_mutation,Bailey_tissue_specific_driver,BAP1,KIRC,TCGA_MC3_Bailey2018,353,35,318,0.0991501416430595
driver_mutation,Bailey_tissue_specific_driver,MTOR,KIRC,TCGA_MC3_Bailey2018,353,27,326,0.0764872521246459
driver_mutation,Bailey_tissue_specific_driver,PBRM1,KIRC,TCGA_MC3_Bailey2018,353,144,209,0.407932011331445
driver_mutation,Bailey_tissue_specific_driver,SETD2,KIRC,TCGA_MC3_Bailey2018,353,47,306,0.13314447592068
driver_mutation,Bailey_tissue_specific_driver,VHL,KIRC,TCGA_MC3_Bailey2018,353,161,192,0.456090651558074
driver_mutation,Bailey_tissue_specific_driver,ATRX,LGG,TCGA_MC3_Bailey2018,485,181,304,0.37319587628866
driver_mutation,Bailey_tissue_specific_driver,CIC,LGG,TCGA_MC3_Bailey2018,485,105,380,0.216494845360825
driver_mutation,Bailey_tissue_specific_driver,EGFR,LGG,TCGA_MC3_Bailey2018,485,34,451,0.0701030927835052
driver_mutation,Bailey_tissue_specific_driver,FUBP1,LGG,TCGA_MC3_Bailey2018,485,44,441,0.0907216494845361
driver_mutation,Bailey_tissue_specific_driver,IDH1,LGG,TCGA_MC3_Bailey2018,485,375,110,0.77319587628866
driver_mutation,Bailey_tissue_specific_driver,IDH2,LGG,TCGA_MC3_Bailey2018,485,20,465,0.0412371134020619
driver_mutation,Bailey_tissue_specific_driver,NF1,LGG,TCGA_MC3_Bailey2018,485,31,454,0.0639175257731959
driver_mutation,Bailey_tissue_specific_driver,NOTCH1,LGG,TCGA_MC3_Bailey2018,485,32,453,0.065979381443299
driver_mutation,Bailey_tissue_specific_driver,PIK3CA,LGG,TCGA_MC3_Bailey2018,485,40,445,0.0824742268041237
driver_mutation,Bailey_tissue_specific_driver,PIK3R1,LGG,TCGA_MC3_Bailey2018,485,21,464,0.0432989690721649
driver_mutation,Bailey_tissue_specific_driver,PTEN,LGG,TCGA_MC3_Bailey2018,485,23,462,0.0474226804123711
driver_mutation,Bailey_tissue_specific_driver,SMARCA4,LGG,TCGA_MC3_Bailey2018,485,25,460,0.0515463917525773
driver_mutation,Bailey_tissue_specific_driver,TP53,LGG,TCGA_MC3_Bailey2018,485,232,253,0.478350515463918
driver_mutation,Bailey_tissue_specific_driver,ALB,LIHC,TCGA_MC3_Bailey2018,350,45,305,0.128571428571429
driver_mutation,Bailey_tissue_specific_driver,APOB,LIHC,TCGA_MC3_Bailey2018,350,34,316,0.0971428571428571
driver_mutation,Bailey_tissue_specific_driver,ARID1A,LIHC,TCGA_MC3_Bailey2018,350,26,324,0.0742857142857143
driver_mutation,Bailey_tissue_specific_driver,AXIN1,LIHC,TCGA_MC3_Bailey2018,350,25,325,0.0714285714285714
driver_mutation,Bailey_tissue_specific_driver,BAP1,LIHC,TCGA_MC3_Bailey2018,350,20,330,0.0571428571428571
driver_mutation,Bailey_tissue_specific_driver,CTNNB1,LIHC,TCGA_MC3_Bailey2018,350,93,257,0.265714285714286
driver_mutation,Bailey_tissue_specific_driver,TP53,LIHC,TCGA_MC3_Bailey2018,350,107,243,0.305714285714286
driver_mutation,Bailey_tissue_specific_driver,ARID1A,LUAD,TCGA_MC3_Bailey2018,463,25,438,0.0539956803455724
driver_mutation,Bailey_tissue_specific_driver,ATM,LUAD,TCGA_MC3_Bailey2018,463,37,426,0.0799136069114471
driver_mutation,Bailey_tissue_specific_driver,BRAF,LUAD,TCGA_MC3_Bailey2018,463,37,426,0.0799136069114471
driver_mutation,Bailey_tissue_specific_driver,EGFR,LUAD,TCGA_MC3_Bailey2018,463,59,404,0.127429805615551
driver_mutation,Bailey_tissue_specific_driver,KEAP1,LUAD,TCGA_MC3_Bailey2018,463,83,380,0.1792656587473
driver_mutation,Bailey_tissue_specific_driver,KRAS,LUAD,TCGA_MC3_Bailey2018,463,140,323,0.302375809935205
driver_mutation,Bailey_tissue_specific_driver,MGA,LUAD,TCGA_MC3_Bailey2018,463,36,427,0.0777537796976242
driver_mutation,Bailey_tissue_specific_driver,NF1,LUAD,TCGA_MC3_Bailey2018,463,57,406,0.123110151187905
driver_mutation,Bailey_tissue_specific_driver,PIK3CA,LUAD,TCGA_MC3_Bailey2018,463,26,437,0.0561555075593953
driver_mutation,Bailey_tissue_specific_driver,RB1,LUAD,TCGA_MC3_Bailey2018,463,25,438,0.0539956803455724
driver_mutation,Bailey_tissue_specific_driver,RBM10,LUAD,TCGA_MC3_Bailey2018,463,33,430,0.0712742980561555
driver_mutation,Bailey_tissue_specific_driver,SETD2,LUAD,TCGA_MC3_Bailey2018,463,30,433,0.0647948164146868
driver_mutation,Bailey_tissue_specific_driver,SMARCA4,LUAD,TCGA_MC3_Bailey2018,463,36,427,0.0777537796976242
driver_mutation,Bailey_tissue_specific_driver,STK11,LUAD,TCGA_MC3_Bailey2018,463,67,396,0.144708423326134
driver_mutation,Bailey_tissue_specific_driver,TP53,LUAD,TCGA_MC3_Bailey2018,463,234,229,0.505399568034557
driver_mutation,Bailey_tissue_specific_driver,ARHGAP35,LUSC,TCGA_MC3_Bailey2018,461,26,435,0.0563991323210412
driver_mutation,Bailey_tissue_specific_driver,ARID1A,LUSC,TCGA_MC3_Bailey2018,461,31,430,0.0672451193058568
driver_mutation,Bailey_tissue_specific_driver,CDKN2A,LUSC,TCGA_MC3_Bailey2018,461,68,393,0.147505422993492
driver_mutation,Bailey_tissue_specific_driver,CUL3,LUSC,TCGA_MC3_Bailey2018,461,25,436,0.0542299349240781
driver_mutation,Bailey_tissue_specific_driver,FAT1,LUSC,TCGA_MC3_Bailey2018,461,67,394,0.145336225596529
driver_mutation,Bailey_tissue_specific_driver,FBXW7,LUSC,TCGA_MC3_Bailey2018,461,25,436,0.0542299349240781
driver_mutation,Bailey_tissue_specific_driver,KDM6A,LUSC,TCGA_MC3_Bailey2018,461,21,440,0.0455531453362256
driver_mutation,Bailey_tissue_specific_driver,KEAP1,LUSC,TCGA_MC3_Bailey2018,461,51,410,0.110629067245119
driver_mutation,Bailey_tissue_specific_driver,KMT2D,LUSC,TCGA_MC3_Bailey2018,461,103,358,0.223427331887202
driver_mutation,Bailey_tissue_specific_driver,NF1,LUSC,TCGA_MC3_Bailey2018,461,49,412,0.106290672451193
driver_mutation,Bailey_tissue_specific_driver,NFE2L2,LUSC,TCGA_MC3_Bailey2018,461,66,395,0.143167028199566
driver_mutation,Bailey_tissue_specific_driver,NOTCH1,LUSC,TCGA_MC3_Bailey2018,461,36,425,0.0780911062906725
driver_mutation,Bailey_tissue_specific_driver,PIK3CA,LUSC,TCGA_MC3_Bailey2018,461,54,407,0.117136659436009
driver_mutation,Bailey_tissue_specific_driver,PTEN,LUSC,TCGA_MC3_Bailey2018,461,51,410,0.110629067245119
driver_mutation,Bailey_tissue_specific_driver,RASA1,LUSC,TCGA_MC3_Bailey2018,461,29,432,0.0629067245119306
driver_mutation,Bailey_tissue_specific_driver,RB1,LUSC,TCGA_MC3_Bailey2018,461,31,430,0.0672451193058568
driver_mutation,Bailey_tissue_specific_driver,TP53,LUSC,TCGA_MC3_Bailey2018,461,382,79,0.828633405639913
driver_mutation,Bailey_tissue_specific_driver,TP53,OV,TCGA_MC3_Bailey2018,72,22,50,0.305555555555556
driver_mutation,Bailey_tissue_specific_driver,CDKN2A,PAAD,TCGA_MC3_Bailey2018,175,34,141,0.194285714285714
driver_mutation,Bailey_tissue_specific_driver,KRAS,PAAD,TCGA_MC3_Bailey2018,175,116,59,0.662857142857143
driver_mutation,Bailey_tissue_specific_driver,SMAD4,PAAD,TCGA_MC3_Bailey2018,175,37,138,0.211428571428571
driver_mutation,Bailey_tissue_specific_driver,TP53,PAAD,TCGA_MC3_Bailey2018,175,106,69,0.605714285714286
driver_mutation,Bailey_tissue_specific_driver,FOXA1,PRAD,TCGA_MC3_Bailey2018,399,25,374,0.06265664160401
driver_mutation,Bailey_tissue_specific_driver,KMT2D,PRAD,TCGA_MC3_Bailey2018,399,21,378,0.0526315789473684
driver_mutation,Bailey_tissue_specific_driver,SPOP,PRAD,TCGA_MC3_Bailey2018,399,42,357,0.105263157894737
driver_mutation,Bailey_tissue_specific_driver,TP53,PRAD,TCGA_MC3_Bailey2018,399,46,353,0.115288220551378
driver_mutation,Bailey_tissue_specific_driver,APC,READ,TCGA_MC3_Bailey2018,135,65,70,0.481481481481482
driver_mutation,Bailey_tissue_specific_driver,KRAS,READ,TCGA_MC3_Bailey2018,135,30,105,0.222222222222222
driver_mutation,Bailey_tissue_specific_driver,TP53,READ,TCGA_MC3_Bailey2018,135,66,69,0.488888888888889
driver_mutation,Bailey_tissue_specific_driver,ATRX,SARC,TCGA_MC3_Bailey2018,229,35,194,0.152838427947598
driver_mutation,Bailey_tissue_specific_driver,RB1,SARC,TCGA_MC3_Bailey2018,229,24,205,0.104803493449782
driver_mutation,Bailey_tissue_specific_driver,TP53,SARC,TCGA_MC3_Bailey2018,229,81,148,0.353711790393013
driver_mutation,Bailey_tissue_specific_driver,BRAF,SKCM,TCGA_MC3_Bailey2018,98,52,46,0.530612244897959
driver_mutation,Bailey_tissue_specific_driver,APC,STAD,TCGA_MC3_Bailey2018,371,37,334,0.0997304582210243
driver_mutation,Bailey_tissue_specific_driver,ARID1A,STAD,TCGA_MC3_Bailey2018,371,91,280,0.245283018867925
driver_mutation,Bailey_tissue_specific_driver,ARID2,STAD,TCGA_MC3_Bailey2018,371,24,347,0.0646900269541779
driver_mutation,Bailey_tissue_specific_driver,BCOR,STAD,TCGA_MC3_Bailey2018,371,30,341,0.0808625336927224
driver_mutation,Bailey_tissue_specific_driver,CDH1,STAD,TCGA_MC3_Bailey2018,371,36,335,0.0970350404312669
driver_mutation,Bailey_tissue_specific_driver,CTNNB1,STAD,TCGA_MC3_Bailey2018,371,22,349,0.0592991913746631
driver_mutation,Bailey_tissue_specific_driver,DMD,STAD,TCGA_MC3_Bailey2018,371,48,323,0.129380053908356
