outer_fold,outer_test_positive,outer_test_negative,selected_component,inner_auroc,inner_balanced_accuracy_at_selected_threshold,selected_threshold,empirical_prior_threshold,equal_prior_threshold,inner_folds,component_at_ceiling,foundation_model,family,tumor_type,endpoint
1,17,35,3,0.643079566197788,0.632771394824439,-0.655037661842127,0,-0.729781313739726,5,FALSE,GigaSSL,aneuploidy,CESC,Genome doubling
2,17,35,3,0.668205733920327,0.647589391173628,-1.70701133216528,0,-0.729781313739726,5,FALSE,GigaSSL,aneuploidy,CESC,Genome doubling
3,17,35,3,0.676795876731451,0.656770106303017,-1.33633388492367,0,-0.729781313739726,5,FALSE,GigaSSL,aneuploidy,CESC,Genome doubling
4,17,35,3,0.668420487490605,0.640932030495007,-2.03883837293088,0,-0.729781313739726,5,FALSE,GigaSSL,aneuploidy,CESC,Genome doubling
5,16,34,2,0.689495798319328,0.654201680672269,-1.37920145206319,0,-0.722134717433198,5,FALSE,GigaSSL,aneuploidy,CESC,Genome doubling
1,17,35,6,0.637066466230001,0.631053366262214,-3.29974772620269,0,-0.729781313739726,5,FALSE,ProvGigaPath,aneuploidy,CESC,Genome doubling
2,17,35,2,0.59980672178675,0.612530870825728,-1.0912238203715,0,-0.729781313739726,5,FALSE,ProvGigaPath,aneuploidy,CESC,Genome doubling
3,17,35,6,0.621711585955117,0.609470632449265,-3.72214101656097,0,-0.729781313739726,5,FALSE,ProvGigaPath,aneuploidy,CESC,Genome doubling
4,17,35,3,0.637066466230001,0.619832492215183,-0.510969763814345,0,-0.729781313739726,5,FALSE,ProvGigaPath,aneuploidy,CESC,Genome doubling
5,16,34,3,0.655987394957983,0.652521008403361,-1.23488456032526,0,-0.722134717433198,5,FALSE,ProvGigaPath,aneuploidy,CESC,Genome doubling
1,33,49,10,0.767231904537604,0.708195949128592,-0.603455887132154,0,-0.379888266318515,5,FALSE,TITAN,aneuploidy,COAD,Genome doubling
2,33,49,11,0.752080389386089,0.709393154341341,-0.535291270156472,0,-0.379888266318515,5,FALSE,TITAN,aneuploidy,COAD,Genome doubling
3,33,48,7,0.763745704467354,0.716768197438301,0.491567442857652,0,-0.385056236476957,5,FALSE,TITAN,aneuploidy,COAD,Genome doubling
4,33,48,3,0.719111215245236,0.662644486098094,-0.171469093261791,0,-0.385056236476957,5,FALSE,TITAN,aneuploidy,COAD,Genome doubling
5,33,48,7,0.767728834739144,0.73250546704155,0.0093510186089103,0,-0.385056236476957,5,FALSE,TITAN,aneuploidy,COAD,Genome doubling
1,33,49,4,0.75993091537133,0.696066886481394,-1.05362058789532,0,-0.379888266318515,5,FALSE,GigaSSL,aneuploidy,COAD,Genome doubling
2,33,49,4,0.752629926205056,0.722935311665882,-0.107606965740043,0,-0.379888266318515,5,FALSE,GigaSSL,aneuploidy,COAD,Genome doubling
3,33,48,4,0.746563573883162,0.687636676038738,-0.278846360504905,0,-0.385056236476957,5,FALSE,GigaSSL,aneuploidy,COAD,Genome doubling
4,33,48,4,0.760426429240862,0.697321149640737,-0.487543928283052,0,-0.385056236476957,5,FALSE,GigaSSL,aneuploidy,COAD,Genome doubling
5,33,48,4,0.765971571383943,0.723094345517026,-0.330423899423872,0,-0.385056236476957,5,FALSE,GigaSSL,aneuploidy,COAD,Genome doubling
1,33,49,4,0.772452504317789,0.704996859789606,-0.507042638674461,0,-0.379888266318515,5,FALSE,ProvGigaPath,aneuploidy,COAD,Genome doubling
2,33,49,4,0.760637462710002,0.702013659915214,-0.641968640725256,0,-0.379888266318515,5,FALSE,ProvGigaPath,aneuploidy,COAD,Genome doubling
3,33,48,4,0.770930959075289,0.718720712277413,-0.232028005288636,0,-0.385056236476957,5,FALSE,ProvGigaPath,aneuploidy,COAD,Genome doubling
4,33,48,4,0.758434864104967,0.696110590440487,-0.800251160237838,0,-0.385056236476957,5,FALSE,ProvGigaPath,aneuploidy,COAD,Genome doubling
5,33,48,4,0.773156825991878,0.718252108716026,-0.456693187964615,0,-0.385056236476957,5,FALSE,ProvGigaPath,aneuploidy,COAD,Genome doubling
1,16,12,1,0.59469696969697,0.616666666666667,0.0696269983581693,0,0.310154928303839,5,FALSE,TITAN,aneuploidy,ESCA,Genome doubling
2,15,11,16,0.578142076502732,0.60327868852459,6.61756900556088,0,0.304211374402991,5,FALSE,TITAN,aneuploidy,ESCA,Genome doubling
3,15,11,3,0.622586520947177,0.622040072859745,0.091137965405861,0,0.304211374402991,5,FALSE,TITAN,aneuploidy,ESCA,Genome doubling
4,15,11,2,0.656466302367942,0.64608378870674,-0.239005663438956,0,0.304211374402991,5,FALSE,TITAN,aneuploidy,ESCA,Genome doubling
5,15,11,3,0.623315118397086,0.634426229508197,-0.675314227743831,0,0.304211374402991,5,FALSE,TITAN,aneuploidy,ESCA,Genome doubling
1,16,12,3,0.64469696969697,0.64469696969697,1.05121705212011,0,0.310154928303839,5,FALSE,GigaSSL,aneuploidy,ESCA,Genome doubling
2,15,11,1,0.540255009107468,0.575409836065574,-0.91361319578628,0,0.304211374402991,5,FALSE,GigaSSL,aneuploidy,ESCA,Genome doubling
3,15,11,2,0.669945355191257,0.675956284153005,-0.502316734358292,0,0.304211374402991,5,FALSE,GigaSSL,aneuploidy,ESCA,Genome doubling
4,15,11,3,0.634608378870674,0.624225865209472,1.29778259978066,0,0.304211374402991,5,FALSE,GigaSSL,aneuploidy,ESCA,Genome doubling
5,15,11,1,0.598907103825137,0.600910746812386,0.278969344719954,0,0.304211374402991,5,FALSE,GigaSSL,aneuploidy,ESCA,Genome doubling
1,16,12,3,0.657954545454546,0.660606060606061,0.918857641446694,0,0.310154928303839,5,FALSE,ProvGigaPath,aneuploidy,ESCA,Genome doubling
2,15,11,18,0.62367941712204,0.641347905282331,-173.142965459069,0,0.304211374402991,5,FALSE,ProvGigaPath,aneuploidy,ESCA,Genome doubling
3,15,11,14,0.672495446265938,0.685792349726776,51.5167927626342,0,0.304211374402991,5,FALSE,ProvGigaPath,aneuploidy,ESCA,Genome doubling
4,15,11,20,0.683424408014572,0.692167577413479,3369.00597172626,0,0.304211374402991,5,TRUE,ProvGigaPath,aneuploidy,ESCA,Genome doubling
5,15,11,18,0.591621129326047,0.610928961748634,83.1375110135229,0,0.304211374402991,5,FALSE,ProvGigaPath,aneuploidy,ESCA,Genome doubling
1,10,63,1,0.653218694885362,0.654761904761905,-2.4278509384167,0,-1.94591014905531,5,FALSE,TITAN,aneuploidy,GBM,Genome doubling
2,9,63,1,0.659159159159159,0.682325182325182,-2.29095804057735,0,-1.9185111748672,5,FALSE,TITAN,aneuploidy,GBM,Genome doubling
3,9,63,1,0.65969540969541,0.652295152295152,-2.64663795392888,0,-1.9185111748672,5,FALSE,TITAN,aneuploidy,GBM,Genome doubling
4,9,63,10,0.705812955812956,0.683183183183183,-6.57102851663092,0,-1.9185111748672,5,FALSE,TITAN,aneuploidy,GBM,Genome doubling
5,9,63,1,0.62012012012012,0.666934791934792,-2.58078559018022,0,-1.9185111748672,5,FALSE,TITAN,aneuploidy,GBM,Genome doubling
1,10,63,2,0.591710758377425,0.583333333333333,-2.92638640729094,0,-1.94591014905531,5,FALSE,GigaSSL,aneuploidy,GBM,Genome doubling
2,9,63,2,0.558344058344058,0.570195195195195,-3.70191193009466,0,-1.9185111748672,5,FALSE,GigaSSL,aneuploidy,GBM,Genome doubling
3,9,63,2,0.654976404976405,0.642910767910768,-1.98565830448569,0,-1.9185111748672,5,FALSE,GigaSSL,aneuploidy,GBM,Genome doubling
4,9,63,2,0.618296868296868,0.611754611754612,-3.04348817863961,0,-1.9185111748672,5,FALSE,GigaSSL,aneuploidy,GBM,Genome doubling
5,9,63,6,0.643715143715144,0.671063921063921,-2.73503220781334,0,-1.9185111748672,5,FALSE,GigaSSL,aneuploidy,GBM,Genome doubling
1,10,63,3,0.552248677248677,0.567460317460317,-2.6577546298338,0,-1.94591014905531,5,FALSE,ProvGigaPath,aneuploidy,GBM,Genome doubling
2,9,63,3,0.631059631059631,0.659373659373659,-3.71369078973266,0,-1.9185111748672,5,FALSE,ProvGigaPath,aneuploidy,GBM,Genome doubling
3,9,63,2,0.674603174603175,0.686293436293436,-2.40370535776356,0,-1.9185111748672,5,FALSE,ProvGigaPath,aneuploidy,GBM,Genome doubling
4,9,63,3,0.621407121407121,0.612129987129987,-4.11863046684905,0,-1.9185111748672,5,FALSE,ProvGigaPath,aneuploidy,GBM,Genome doubling
5,9,63,2,0.586014586014586,0.614006864006864,-2.6693052262673,0,-1.9185111748672,5,FALSE,ProvGigaPath,aneuploidy,GBM,Genome doubling
1,36,52,4,0.725638371290545,0.685628019323672,0.066270918628599,0,-0.391076370656065,5,FALSE,TITAN,aneuploidy,HNSC,Genome doubling
2,35,52,3,0.679343543358344,0.650375167026416,-0.223512180802784,0,-0.383958902887201,5,FALSE,TITAN,aneuploidy,HNSC,Genome doubling
3,35,52,11,0.677116524480077,0.644310823311748,-1.42995481406824,0,-0.383958902887201,5,FALSE,TITAN,aneuploidy,HNSC,Genome doubling
4,35,52,3,0.64381402679275,0.626734505087882,-0.57840297760447,0,-0.383958902887201,5,FALSE,TITAN,aneuploidy,HNSC,Genome doubling
5,35,51,4,0.700866066557556,0.666325695581015,-0.452848255206486,0,-0.38877818932315,5,FALSE,TITAN,aneuploidy,HNSC,Genome doubling
1,36,52,2,0.637025534851622,0.613474810213941,-0.235310704654628,0,-0.391076370656065,5,FALSE,GigaSSL,aneuploidy,HNSC,Genome doubling
2,35,52,4,0.633090074348169,0.62118408880666,-0.126510898182629,0,-0.383958902887201,5,FALSE,GigaSSL,aneuploidy,HNSC,Genome doubling
