current_cancer,gene,studies,prior_reports,current_status,n,positive,negative,current_balanced_accuracy,current_adjusted_balanced_accuracy,current_q,current_tier
COAD,PIK3CA,Kather2020,1,tested_not_supported,382,83,299,0.534190272796873,0.0683805455937461,1,C
HNSC,HRAS,Kather2020,1,tested_not_supported,431,27,404,0.581453978731206,0.162907957462413,1,C
KIRC,PBRM1,Kather2020,1,tested_not_supported,353,144,209,0.593185140882509,0.186370281765019,1,C
KIRC,SETD2,Kather2020,1,tested_not_supported,353,47,306,0.556528994576554,0.113057989153108,1,C
LUAD,KRAS,Coudray2018,1,tested_not_supported,463,140,323,0.560459973463069,0.120919946926139,1,C
LUAD,STK11,Coudray2018;Kather2020,2,tested_not_supported,463,67,396,0.506784260515604,0.0135685210312075,1,C
PAAD,KRAS,Kather2020,1,tested_not_supported,175,116,59,0.587594973699591,0.175189947399182,1,C
PRAD,FOXA1,Kather2020,1,tested_not_supported,399,25,374,0.509304812834225,0.0186096256684491,1,C
PRAD,TP53,Kather2020,1,tested_not_supported,399,46,353,0.562415322084001,0.124830644168001,1,C
READ,KRAS,Kather2020,1,tested_not_supported,135,30,105,0.542857142857143,0.0857142857142856,1,C
STAD,FBXW7,Kather2020,1,tested_not_supported,371,29,342,0.565739060294414,0.131478120588828,1,C
STAD,PTEN,Kather2020,1,tested_not_supported,371,24,347,0.500660422670509,0.00132084534101828,1,C
STAD,RNF43,Kather2020,1,tested_not_supported,371,30,341,0.53880742913001,0.0776148582600196,1,C
UCEC,KRAS,Loeffler2022,1,tested_not_supported,487,81,406,0.563066350422672,0.126132700845345,1,C
