foundation_model,outcome_type,family,subfamily,tumor_type,endpoint,source,n,positive,negative,q2,rmse,spearman,balanced_accuracy,auc,pr_auc,selected_components_median,selected_components_min,selected_components_max,seed,common_cohort
GigaSSL,binary,aneuploidy,aneuploidy,ACC,Genome doubling,Taylor2018_TableS2,52,27,25,,,,0.614814814814815,0.604444444444444,0.606079899982636,4,1,9,20260816,TRUE
ProvGigaPath,binary,aneuploidy,aneuploidy,ACC,Genome doubling,Taylor2018_TableS2,52,27,25,,,,0.674814814814815,0.724444444444444,0.721802056343181,4,2,6,20260816,TRUE
TITAN,binary,aneuploidy,aneuploidy,ACC,Genome doubling,Taylor2018_TableS2,52,27,25,,,,0.479259259259259,0.528888888888889,0.630002921029276,2,1,5,20260816,TRUE
GigaSSL,binary,aneuploidy,aneuploidy,BLCA,Genome doubling,Taylor2018_TableS2,376,228,148,,,,0.669748696064486,0.723121147463253,0.756382982319864,6,3,8,20260817,TRUE
ProvGigaPath,binary,aneuploidy,aneuploidy,BLCA,Genome doubling,Taylor2018_TableS2,376,228,148,,,,0.675142247510669,0.735271455666193,0.775346289323816,4,3,5,20260817,TRUE
TITAN,binary,aneuploidy,aneuploidy,BLCA,Genome doubling,Taylor2018_TableS2,376,228,148,,,,0.689485538169749,0.728603603603604,0.779218692207196,5,3,10,20260817,TRUE
GigaSSL,binary,aneuploidy,aneuploidy,CESC,Genome doubling,Taylor2018_TableS2,258,84,174,,,,0.652298850574713,0.719622331691297,0.538208377322821,5,4,8,20260818,TRUE
ProvGigaPath,binary,aneuploidy,aneuploidy,CESC,Genome doubling,Taylor2018_TableS2,258,84,174,,,,0.572454844006568,0.593938149972633,0.421998469821024,4,2,9,20260818,TRUE
TITAN,binary,aneuploidy,aneuploidy,CESC,Genome doubling,Taylor2018_TableS2,258,84,174,,,,0.577380952380953,0.612547892720307,0.411501756592712,4,1,8,20260818,TRUE
GigaSSL,binary,aneuploidy,aneuploidy,COAD,Genome doubling,Taylor2018_TableS2,407,165,242,,,,0.666391184573003,0.745103931880791,0.663884078940139,6,5,7,20260819,TRUE
ProvGigaPath,binary,aneuploidy,aneuploidy,COAD,Genome doubling,Taylor2018_TableS2,407,165,242,,,,0.644628099173554,0.735236664162284,0.662748775814406,4,3,6,20260819,TRUE
TITAN,binary,aneuploidy,aneuploidy,COAD,Genome doubling,Taylor2018_TableS2,407,165,242,,,,0.649449035812672,0.726070623591285,0.620781470358167,7,2,9,20260819,TRUE
GigaSSL,binary,aneuploidy,aneuploidy,ESCA,Genome doubling,Taylor2018_TableS2,132,76,56,,,,0.494360902255639,0.506109022556391,0.570337384010886,2,1,9,20260820,TRUE
ProvGigaPath,binary,aneuploidy,aneuploidy,ESCA,Genome doubling,Taylor2018_TableS2,132,76,56,,,,0.536654135338346,0.561795112781955,0.652877201669311,8,1,10,20260820,TRUE
TITAN,binary,aneuploidy,aneuploidy,ESCA,Genome doubling,Taylor2018_TableS2,132,76,56,,,,0.55921052631579,0.554981203007519,0.63299482186678,1,1,5,20260820,TRUE
GigaSSL,binary,aneuploidy,aneuploidy,GBM,Genome doubling,Taylor2018_TableS2,361,46,315,,,,0.510144927536232,0.548999309868875,0.153385631126123,4,3,10,20260821,TRUE
ProvGigaPath,binary,aneuploidy,aneuploidy,GBM,Genome doubling,Taylor2018_TableS2,361,46,315,,,,0.488405797101449,0.543685300207039,0.142782215372352,3,2,9,20260821,TRUE
TITAN,binary,aneuploidy,aneuploidy,GBM,Genome doubling,Taylor2018_TableS2,361,46,315,,,,0.587819185645273,0.675983436853002,0.26751478190728,7,7,10,20260821,TRUE
GigaSSL,binary,aneuploidy,aneuploidy,HNSC,Genome doubling,Taylor2018_TableS2,435,176,259,,,,0.612023955773956,0.662293787293787,0.559555134804445,6,4,8,20260822,TRUE
ProvGigaPath,binary,aneuploidy,aneuploidy,HNSC,Genome doubling,Taylor2018_TableS2,435,176,259,,,,0.566350035100035,0.60216303966304,0.49817871201929,5,4,6,20260822,TRUE
TITAN,binary,aneuploidy,aneuploidy,HNSC,Genome doubling,Taylor2018_TableS2,435,176,259,,,,0.593047999297999,0.637285012285012,0.520875881911665,6,1,6,20260822,TRUE
GigaSSL,binary,aneuploidy,aneuploidy,KIRC,Genome doubling,Taylor2018_TableS2,461,89,372,,,,0.578138214328863,0.648211912528694,0.295879974137431,8,6,9,20260823,TRUE
ProvGigaPath,binary,aneuploidy,aneuploidy,KIRC,Genome doubling,Taylor2018_TableS2,461,89,372,,,,0.568487978736257,0.640298417300954,0.288601971220125,8,3,10,20260823,TRUE
TITAN,binary,aneuploidy,aneuploidy,KIRC,Genome doubling,Taylor2018_TableS2,461,89,372,,,,0.592062341428054,0.669264226168902,0.304139383776432,8,1,10,20260823,TRUE
GigaSSL,binary,aneuploidy,aneuploidy,LGG,Genome doubling,Taylor2018_TableS2,481,157,324,,,,0.554002516316741,0.580797357867422,0.435674623010298,6,4,7,20260824,TRUE
ProvGigaPath,binary,aneuploidy,aneuploidy,LGG,Genome doubling,Taylor2018_TableS2,481,157,324,,,,0.511746087913816,0.513643154832115,0.34345940196503,8,1,10,20260824,TRUE
TITAN,binary,aneuploidy,aneuploidy,LGG,Genome doubling,Taylor2018_TableS2,481,157,324,,,,0.535483997798223,0.578340017299678,0.384648963154694,6,6,10,20260824,TRUE
GigaSSL,binary,aneuploidy,aneuploidy,LIHC,Genome doubling,Taylor2018_TableS2,346,115,231,,,,0.63081121776774,0.686580086580087,0.527883649579778,5,4,10,20260825,TRUE
ProvGigaPath,binary,aneuploidy,aneuploidy,LIHC,Genome doubling,Taylor2018_TableS2,346,115,231,,,,0.656841709015622,0.725014116318464,0.592897066384265,4,3,4,20260825,TRUE
TITAN,binary,aneuploidy,aneuploidy,LIHC,Genome doubling,Taylor2018_TableS2,346,115,231,,,,0.606907585168455,0.668398268398268,0.505098011828654,4,3,7,20260825,TRUE
GigaSSL,binary,aneuploidy,aneuploidy,LUAD,Genome doubling,Taylor2018_TableS2,449,264,185,,,,0.606623669123669,0.603542178542179,0.63665629893034,3,3,10,20260826,TRUE
ProvGigaPath,binary,aneuploidy,aneuploidy,LUAD,Genome doubling,Taylor2018_TableS2,449,264,185,,,,0.612561425061425,0.66455773955774,0.734537475052904,4,2,5,20260826,TRUE
TITAN,binary,aneuploidy,aneuploidy,LUAD,Genome doubling,Taylor2018_TableS2,449,264,185,,,,0.626904176904177,0.677518427518428,0.729926710195812,5,2,7,20260826,TRUE
GigaSSL,binary,aneuploidy,aneuploidy,LUSC,Genome doubling,Taylor2018_TableS2,458,248,210,,,,0.621121351766513,0.658736559139785,0.661335665693547,3,1,5,20260827,TRUE
ProvGigaPath,binary,aneuploidy,aneuploidy,LUSC,Genome doubling,Taylor2018_TableS2,458,248,210,,,,0.565610599078341,0.605645161290323,0.613563999466305,3,1,10,20260827,TRUE
TITAN,binary,aneuploidy,aneuploidy,LUSC,Genome doubling,Taylor2018_TableS2,458,248,210,,,,0.646601382488479,0.692127496159754,0.717622239732568,3,1,7,20260827,TRUE
GigaSSL,binary,aneuploidy,aneuploidy,OV,Genome doubling,Taylor2018_TableS2,94,65,29,,,,0.537665782493369,0.593633952254642,0.770326614595767,9,1,10,20260828,TRUE
ProvGigaPath,binary,aneuploidy,aneuploidy,OV,Genome doubling,Taylor2018_TableS2,94,65,29,,,,0.652785145888594,0.706631299734748,0.857845558294748,6,2,7,20260828,TRUE
TITAN,binary,aneuploidy,aneuploidy,OV,Genome doubling,Taylor2018_TableS2,94,65,29,,,,0.694960212201592,0.718832891246684,0.838617280971327,2,1,10,20260828,TRUE
GigaSSL,binary,aneuploidy,aneuploidy,PAAD,Genome doubling,Taylor2018_TableS2,163,40,123,,,,0.548069105691057,0.651829268292683,0.389215930243095,7,6,10,20260829,TRUE
ProvGigaPath,binary,aneuploidy,aneuploidy,PAAD,Genome doubling,Taylor2018_TableS2,163,40,123,,,,0.555894308943089,0.613414634146341,0.321413471635552,5,4,7,20260829,TRUE
TITAN,binary,aneuploidy,aneuploidy,PAAD,Genome doubling,Taylor2018_TableS2,163,40,123,,,,0.589634146341463,0.647967479674797,0.350565934139169,4,2,7,20260829,TRUE
GigaSSL,binary,aneuploidy,aneuploidy,PCPG,Genome doubling,Taylor2018_TableS2,157,24,133,,,,0.541979949874687,0.598370927318296,0.224150234868448,2,2,7,20260830,TRUE
ProvGigaPath,binary,aneuploidy,aneuploidy,PCPG,Genome doubling,Taylor2018_TableS2,157,24,133,,,,0.489035087719298,0.661967418546366,0.22181847641643,5,3,7,20260830,TRUE
TITAN,binary,aneuploidy,aneuploidy,PCPG,Genome doubling,Taylor2018_TableS2,157,24,133,,,,0.579887218045113,0.718984962406015,0.325823108502263,7,5,9,20260830,TRUE
GigaSSL,binary,aneuploidy,aneuploidy,PRAD,Genome doubling,Taylor2018_TableS2,352,28,324,,,,0.541225749559083,0.659391534391534,0.165952553577103,3,2,6,20260831,TRUE
ProvGigaPath,binary,aneuploidy,aneuploidy,PRAD,Genome doubling,Taylor2018_TableS2,352,28,324,,,,0.520282186948854,0.636022927689594,0.141932932897901,7,5,9,20260831,TRUE
TITAN,binary,aneuploidy,aneuploidy,PRAD,Genome doubling,Taylor2018_TableS2,352,28,324,,,,0.555996472663139,0.632936507936508,0.186166329809879,4,3,10,20260831,TRUE
GigaSSL,binary,aneuploidy,aneuploidy,READ,Genome doubling,Taylor2018_TableS2,142,72,70,,,,0.63452380952381,0.701190476190476,0.696991297279627,4,2,7,20260832,TRUE
ProvGigaPath,binary,aneuploidy,aneuploidy,READ,Genome doubling,Taylor2018_TableS2,142,72,70,,,,0.634126984126984,0.635912698412698,0.635470292400887,7,2,9,20260832,TRUE
TITAN,binary,aneuploidy,aneuploidy,READ,Genome doubling,Taylor2018_TableS2,142,72,70,,,,0.606349206349206,0.613293650793651,0.595989464717724,3,1,10,20260832,TRUE
GigaSSL,binary,aneuploidy,aneuploidy,SARC,Genome doubling,Taylor2018_TableS2,238,112,126,,,,0.663194444444445,0.691113945578231,0.654324369282164,3,1,5,20260833,TRUE
ProvGigaPath,binary,aneuploidy,aneuploidy,SARC,Genome doubling,Taylor2018_TableS2,238,112,126,,,,0.659722222222222,0.677083333333333,0.619826723700027,2,1,8,20260833,TRUE
TITAN,binary,aneuploidy,aneuploidy,SARC,Genome doubling,Taylor2018_TableS2,238,112,126,,,,0.655257936507937,0.721371882086168,0.658710675498555,3,1,7,20260833,TRUE
GigaSSL,binary,aneuploidy,aneuploidy,SKCM,Genome doubling,Taylor2018_TableS2,98,35,63,,,,0.542857142857143,0.549659863945578,0.417184580594717,4,1,10,20260834,TRUE
ProvGigaPath,binary,aneuploidy,aneuploidy,SKCM,Genome doubling,Taylor2018_TableS2,98,35,63,,,,0.638095238095238,0.676643990929705,0.535473692221964,7,2,10,20260834,TRUE
TITAN,binary,aneuploidy,aneuploidy,SKCM,Genome doubling,Taylor2018_TableS2,98,35,63,,,,0.674603174603175,0.713378684807256,0.565850306274809,5,4,9,20260834,TRUE
GigaSSL,binary,aneuploidy,aneuploidy,STAD,Genome doubling,Taylor2018_TableS2,354,152,202,,,,0.664082855653986,0.735018238665972,0.67268030545141,4,3,5,20260835,TRUE
ProvGigaPath,binary,aneuploidy,aneuploidy,STAD,Genome doubling,Taylor2018_TableS2,354,152,202,,,,0.697759249609172,0.763711568525274,0.70619144157149,6,3,8,20260835,TRUE
TITAN,binary,aneuploidy,aneuploidy,STAD,Genome doubling,Taylor2018_TableS2,354,152,202,,,,0.683787128712871,0.774491922876498,0.724081761723474,5,3,7,20260835,TRUE
GigaSSL,binary,aneuploidy,aneuploidy,UCEC,Genome doubling,Taylor2018_TableS2,476,97,379,,,,0.66792699181242,0.73835105948916,0.449947782134193,6,6,7,20260836,TRUE
ProvGigaPath,binary,aneuploidy,aneuploidy,UCEC,Genome doubling,Taylor2018_TableS2,476,97,379,,,,0.656176046568561,0.759812855316487,0.470459575069097,8,8,10,20260836,TRUE
TITAN,binary,aneuploidy,aneuploidy,UCEC,Genome doubling,Taylor2018_TableS2,476,97,379,,,,0.729660256235889,0.852351549111879,0.559501161321289,3,2,6,20260836,TRUE
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,ARID1A,TCGA_MC3_Bailey2018,384,98,286,,,,0.506743256743257,0.522548879691737,0.263727909294341,3,2,8,20260837,TRUE
ProvGigaPath,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,ARID1A,TCGA_MC3_Bailey2018,384,98,286,,,,0.529363493649208,0.548629941487084,0.288031773085443,10,3,10,20260837,TRUE
TITAN,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,ARID1A,TCGA_MC3_Bailey2018,384,98,286,,,,0.523084058798345,0.585093477950621,0.31515293326772,8,6,9,20260837,TRUE
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,ASXL2,TCGA_MC3_Bailey2018,384,35,349,,,,0.502783462955383,0.483995088006549,0.109149022231536,5,1,10,20260838,TRUE
ProvGigaPath,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,ASXL2,TCGA_MC3_Bailey2018,384,35,349,,,,0.487065083913222,0.422758902988129,0.0775247363559867,2,1,7,20260838,TRUE
TITAN,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,ASXL2,TCGA_MC3_Bailey2018,384,35,349,,,,0.504257060990585,0.503970528039296,0.108949201149232,3,1,5,20260838,TRUE
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,ATM,TCGA_MC3_Bailey2018,384,53,331,,,,0.49618081285983,0.585589693895001,0.172754575966229,7,5,9,20260839,TRUE
ProvGigaPath,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,ATM,TCGA_MC3_Bailey2018,384,53,331,,,,0.517699367268996,0.574588154819586,0.173067062443311,6,2,6,20260839,TRUE
TITAN,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,ATM,TCGA_MC3_Bailey2018,384,53,331,,,,0.524511201048851,0.615858177050676,0.21091330638431,4,3,5,20260839,TRUE
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,CDKN1A,TCGA_MC3_Bailey2018,384,37,347,,,,0.518926707687515,0.504400654256562,0.137737053762718,8,3,9,20260840,TRUE
ProvGigaPath,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,CDKN1A,TCGA_MC3_Bailey2018,384,37,347,,,,0.520367629877716,0.527844847729574,0.122913461256983,5,2,10,20260840,TRUE
TITAN,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,CDKN1A,TCGA_MC3_Bailey2018,384,37,347,,,,0.489913544668588,0.447620531194018,0.0889209746872216,4,1,8,20260840,TRUE
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,CDKN2A,TCGA_MC3_Bailey2018,384,24,360,,,,0.509722222222222,0.444907407407407,0.0645042347919469,4,1,6,20260841,TRUE
ProvGigaPath,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,CDKN2A,TCGA_MC3_Bailey2018,384,24,360,,,,0.488888888888889,0.428356481481482,0.0571409925312006,2,1,6,20260841,TRUE
TITAN,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,CDKN2A,TCGA_MC3_Bailey2018,384,24,360,,,,0.484722222222222,0.521875,0.0682231368101442,7,5,10,20260841,TRUE
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,CREBBP,TCGA_MC3_Bailey2018,384,48,336,,,,0.510416666666667,0.525793650793651,0.141735281337138,9,6,10,20260842,TRUE
ProvGigaPath,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,CREBBP,TCGA_MC3_Bailey2018,384,48,336,,,,0.514880952380953,0.517361111111111,0.163390186234457,5,4,10,20260842,TRUE
TITAN,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,CREBBP,TCGA_MC3_Bailey2018,384,48,336,,,,0.491071428571429,0.514942956349206,0.129986166808097,6,1,10,20260842,TRUE
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,ELF3,TCGA_MC3_Bailey2018,384,46,338,,,,0.488680216104965,0.537432467198354,0.133958092431919,4,1,10,20260843,TRUE
ProvGigaPath,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,ELF3,TCGA_MC3_Bailey2018,384,46,338,,,,0.4965912014407,0.488937483920762,0.134822804117526,2,1,10,20260843,TRUE
TITAN,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,ELF3,TCGA_MC3_Bailey2018,384,46,338,,,,0.501029071263185,0.501607923848727,0.122834385309752,4,3,8,20260843,TRUE
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,EP300,TCGA_MC3_Bailey2018,384,54,330,,,,0.494612794612795,0.494893378226712,0.142328009382307,8,3,10,20260844,TRUE
ProvGigaPath,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,EP300,TCGA_MC3_Bailey2018,384,54,330,,,,0.471212121212121,0.425645342312009,0.116437414175009,4,1,5,20260844,TRUE
TITAN,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,EP300,TCGA_MC3_Bailey2018,384,54,330,,,,0.511616161616162,0.476711560044893,0.14491982767314,9,2,10,20260844,TRUE
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,ERBB2,TCGA_MC3_Bailey2018,384,46,338,,,,0.481283766400823,0.504437869822485,0.144519405777807,6,1,8,20260845,TRUE
ProvGigaPath,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,ERBB2,TCGA_MC3_Bailey2018,384,46,338,,,,0.528235142783638,0.613390789812195,0.165815673426239,8,2,9,20260845,TRUE
TITAN,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,ERBB2,TCGA_MC3_Bailey2018,384,46,338,,,,0.491638795986622,0.477167481348083,0.131085902291149,4,1,10,20260845,TRUE
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,ERBB3,TCGA_MC3_Bailey2018,384,40,344,,,,0.530523255813954,0.567950581395349,0.146803510245137,8,5,9,20260846,TRUE
ProvGigaPath,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,ERBB3,TCGA_MC3_Bailey2018,384,40,344,,,,0.501162790697674,0.503924418604651,0.110590764349265,5,2,10,20260846,TRUE
TITAN,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,ERBB3,TCGA_MC3_Bailey2018,384,40,344,,,,0.512790697674419,0.539970930232558,0.139395371754314,5,3,9,20260846,TRUE
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,ERCC2,TCGA_MC3_Bailey2018,384,35,349,,,,0.508514121981171,0.574212034383954,0.117137510846434,3,1,7,20260847,TRUE
ProvGigaPath,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,ERCC2,TCGA_MC3_Bailey2018,384,35,349,,,,0.481375358166189,0.525010233319689,0.106411913654577,3,1,7,20260847,TRUE
TITAN,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,ERCC2,TCGA_MC3_Bailey2018,384,35,349,,,,0.565656979124028,0.586082685223086,0.176740732242277,5,3,5,20260847,TRUE
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,FAT1,TCGA_MC3_Bailey2018,384,46,338,,,,0.4965912014407,0.595960895291999,0.15936290612698,8,2,10,20260848,TRUE
ProvGigaPath,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,FAT1,TCGA_MC3_Bailey2018,384,46,338,,,,0.48424234628248,0.520259840493954,0.122875756672197,3,1,8,20260848,TRUE
TITAN,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,FAT1,TCGA_MC3_Bailey2018,384,46,338,,,,0.519809621816311,0.562516079238487,0.153841104273699,4,2,8,20260848,TRUE
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,FBXW7,TCGA_MC3_Bailey2018,384,30,354,,,,0.509322033898305,0.56045197740113,0.0953458257364094,6,4,9,20260849,TRUE
ProvGigaPath,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,FBXW7,TCGA_MC3_Bailey2018,384,30,354,,,,0.563559322033898,0.659887005649718,0.159602871916685,8,6,9,20260849,TRUE
TITAN,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,FBXW7,TCGA_MC3_Bailey2018,384,30,354,,,,0.499717514124294,0.536629001883239,0.0983041266963142,6,2,10,20260849,TRUE
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,FGFR3,TCGA_MC3_Bailey2018,384,54,330,,,,0.707239057239057,0.797250280583614,0.458490224194698,4,3,6,20260850,TRUE
ProvGigaPath,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,FGFR3,TCGA_MC3_Bailey2018,384,54,330,,,,0.665488215488216,0.770763187429854,0.44266752308006,3,3,5,20260850,TRUE
TITAN,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,FGFR3,TCGA_MC3_Bailey2018,384,54,330,,,,0.682659932659933,0.820258136924804,0.436146588913147,4,2,6,20260850,TRUE
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,KANSL1,TCGA_MC3_Bailey2018,384,24,360,,,,0.483333333333333,0.539583333333333,0.0753189376836426,4,1,10,20260851,TRUE
ProvGigaPath,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,KANSL1,TCGA_MC3_Bailey2018,384,24,360,,,,0.513888888888889,0.518171296296296,0.074909445196677,1,1,5,20260851,TRUE
TITAN,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,KANSL1,TCGA_MC3_Bailey2018,384,24,360,,,,0.483333333333333,0.508796296296296,0.0622614623290762,3,1,10,20260851,TRUE
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,KDM6A,TCGA_MC3_Bailey2018,384,96,288,,,,0.552083333333333,0.575303819444445,0.348000356409244,4,2,6,20260852,TRUE
ProvGigaPath,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,KDM6A,TCGA_MC3_Bailey2018,384,96,288,,,,0.585069444444445,0.611653645833333,0.345263907719957,4,1,9,20260852,TRUE
TITAN,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,KDM6A,TCGA_MC3_Bailey2018,384,96,288,,,,0.503472222222222,0.485279224537037,0.249942342897642,5,4,10,20260852,TRUE
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,KLF5,TCGA_MC3_Bailey2018,384,21,363,,,,0.495867768595041,0.549258821986095,0.0632408545467894,3,1,3,20260853,TRUE
ProvGigaPath,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,KLF5,TCGA_MC3_Bailey2018,384,21,363,,,,0.537977174340811,0.502951593860685,0.0922724558331418,5,4,10,20260853,TRUE
TITAN,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,KLF5,TCGA_MC3_Bailey2018,384,21,363,,,,0.497245179063361,0.432638069001705,0.0478842467460653,2,1,9,20260853,TRUE
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,KMT2C,TCGA_MC3_Bailey2018,384,71,313,,,,0.496287629932952,0.485398011069613,0.181587283709635,9,1,10,20260854,TRUE
ProvGigaPath,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,KMT2C,TCGA_MC3_Bailey2018,384,71,313,,,,0.472910948116816,0.461098861539846,0.170185133966456,6,1,10,20260854,TRUE
TITAN,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,KMT2C,TCGA_MC3_Bailey2018,384,71,313,,,,0.514871979480718,0.502317418890339,0.189124796880778,10,6,10,20260854,TRUE
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,KMT2D,TCGA_MC3_Bailey2018,384,110,274,,,,0.503284671532847,0.501891174518912,0.290100782179523,6,4,8,20260855,TRUE
ProvGigaPath,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,KMT2D,TCGA_MC3_Bailey2018,384,110,274,,,,0.5178500331785,0.514034505640345,0.309111712765638,4,1,10,20260855,TRUE
TITAN,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,KMT2D,TCGA_MC3_Bailey2018,384,110,274,,,,0.501559389515594,0.508394160583942,0.30340371645452,2,2,10,20260855,TRUE
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,NFE2L2,TCGA_MC3_Bailey2018,384,24,360,,,,0.502777777777778,0.491782407407407,0.0827486869282537,6,4,7,20260856,TRUE
ProvGigaPath,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,NFE2L2,TCGA_MC3_Bailey2018,384,24,360,,,,0.484722222222222,0.537615740740741,0.0733978652277783,4,1,9,20260856,TRUE
TITAN,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,NFE2L2,TCGA_MC3_Bailey2018,384,24,360,,,,0.545833333333333,0.653125,0.154087180511204,4,3,8,20260856,TRUE
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,PIK3CA,TCGA_MC3_Bailey2018,384,82,302,,,,0.500848005168793,0.56263123889517,0.270370268641849,8,4,10,20260857,TRUE
ProvGigaPath,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,PIK3CA,TCGA_MC3_Bailey2018,384,82,302,,,,0.582377644968503,0.6066467452754,0.291627266231243,5,4,10,20260857,TRUE
TITAN,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,PIK3CA,TCGA_MC3_Bailey2018,384,82,302,,,,0.551728315296398,0.592997900177677,0.298635606057788,5,2,6,20260857,TRUE
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,RB1,TCGA_MC3_Bailey2018,384,73,311,,,,0.526274060696824,0.611328899264414,0.27242792421062,3,1,10,20260858,TRUE
ProvGigaPath,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,RB1,TCGA_MC3_Bailey2018,384,73,311,,,,0.566599127868564,0.65387834206933,0.301068942139026,10,2,10,20260858,TRUE
TITAN,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,RB1,TCGA_MC3_Bailey2018,384,73,311,,,,0.596022552085628,0.693476633044091,0.345031444138246,6,6,8,20260858,TRUE
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,RHOB,TCGA_MC3_Bailey2018,384,24,360,,,,0.483333333333333,0.443287037037037,0.054409495622089,6,1,10,20260859,TRUE
ProvGigaPath,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,RHOB,TCGA_MC3_Bailey2018,384,24,360,,,,0.475,0.481944444444445,0.0587475967883937,4,1,7,20260859,TRUE
TITAN,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,RHOB,TCGA_MC3_Bailey2018,384,24,360,,,,0.479166666666667,0.600694444444445,0.079638630207434,6,5,10,20260859,TRUE
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,RXRA,TCGA_MC3_Bailey2018,384,21,363,,,,0.490358126721763,0.53482880755608,0.0735960182153788,8,1,10,20260860,TRUE
ProvGigaPath,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,RXRA,TCGA_MC3_Bailey2018,384,21,363,,,,0.515545060999607,0.494162403253312,0.0595549229478409,5,1,10,20260860,TRUE
TITAN,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,RXRA,TCGA_MC3_Bailey2018,384,21,363,,,,0.5,0.354322445231536,0.041455200939947,1,1,1,20260860,TRUE
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,SF3B1,TCGA_MC3_Bailey2018,384,22,362,,,,0.487569060773481,0.55524861878453,0.0685830094336144,5,1,8,20260861,TRUE
