outcome_type,models,median_delta,q05_delta,q95_delta,correlation_with_mean,retained_original_effect_threshold
continuous,770,-4.44089209850063e-16,-0.00686048440696081,0.00552331532018982,0.991960488747969,766
binary,99,-1.11022302462516e-16,-0.0175404698885158,0.0155966456010319,0.978070500927644,98
