foundation_model,outcome_type,eligible_targets,screen_statistic_ge_tier_B,screen_statistic_ge_tier_A,median_q2,median_auc,median_balanced_accuracy,median_pr_auc
GigaSSL,binary,426,167,53,,0.576077350700021,0.554421558331398,0.254299411349935
ProvGigaPath,binary,426,176,57,,0.583281357721999,0.558653190441034,0.260139022948091
TITAN,binary,426,231,85,,0.61425862569977,0.580317916184769,0.273470695431725
GigaSSL,continuous,2963,364,45,0.0144698565066093,,,
ProvGigaPath,continuous,2963,444,54,0.0168048363238723,,,
TITAN,continuous,2963,648,131,0.0561787957772393,,,
