outer_fold,outer_test_positive,outer_test_negative,primary_component,primary_inner_ba,equal_component,equal_inner_ba,equal_threshold,optimized_component,optimized_inner_ba,optimized_threshold,outer_training_prior_positive,layer,foundation_model,family,tumor_type,endpoint
1,6,6,11,0.540909090909091,11,0.540909090909091,0.0953101798043249,10,0.575,77.6383246496634,0.523809523809524,TITAN permutation/FDR screen,TITAN,aneuploidy,ACC,Genome doubling
2,6,5,12,0.533549783549784,12,0.533549783549784,0.0465200156348929,5,0.634199134199134,7.47337950953606,0.511627906976744,TITAN permutation/FDR screen,TITAN,aneuploidy,ACC,Genome doubling
3,6,5,5,0.720779220779221,5,0.720779220779221,0.0465200156348929,5,0.747835497835498,5.98684839719262,0.511627906976744,TITAN permutation/FDR screen,TITAN,aneuploidy,ACC,Genome doubling
4,5,5,3,0.475155279503106,3,0.475155279503106,0.0909717782057266,4,0.628364389233954,9.5513818922535,0.522727272727273,TITAN permutation/FDR screen,TITAN,aneuploidy,ACC,Genome doubling
5,5,5,1,0.546583850931677,1,0.546583850931677,0.0909717782057266,1,0.629399585921325,-0.482266186419578,0.522727272727273,TITAN permutation/FDR screen,TITAN,aneuploidy,ACC,Genome doubling
1,46,30,5,0.698966287949339,5,0.680666790836282,0.433322062611131,6,0.708465263550009,-0.246699491114202,0.606666666666667,TITAN permutation/FDR screen,TITAN,aneuploidy,BLCA,Genome doubling
2,46,30,5,0.690491711678152,6,0.681924008195195,0.433322062611131,6,0.707766809461725,-0.470091529605872,0.606666666666667,TITAN permutation/FDR screen,TITAN,aneuploidy,BLCA,Genome doubling
3,46,30,3,0.676755447941889,5,0.665440491711678,0.433322062611131,6,0.706509592102812,-0.705440846413992,0.606666666666667,TITAN permutation/FDR screen,TITAN,aneuploidy,BLCA,Genome doubling
4,45,29,6,0.676218028194885,6,0.697846351655416,0.430362659729891,5,0.706869633099141,0.79808275785046,0.605960264900662,TITAN permutation/FDR screen,TITAN,aneuploidy,BLCA,Genome doubling
5,45,29,3,0.695756991321119,5,0.692588510814162,0.430362659729891,3,0.712150433944069,-0.214708077128146,0.605960264900662,TITAN permutation/FDR screen,TITAN,aneuploidy,BLCA,Genome doubling
1,88,112,6,0.705848214285714,8,0.7071875,-0.246860077931526,4,0.720758928571429,-0.712263217799984,0.43859649122807,TITAN permutation/FDR screen,TITAN,aneuploidy,BRCA,Genome doubling
2,88,112,6,0.706473214285714,4,0.7184375,-0.246860077931526,4,0.72,-0.291939315701782,0.43859649122807,TITAN permutation/FDR screen,TITAN,aneuploidy,BRCA,Genome doubling
3,88,112,2,0.710758928571429,5,0.712410714285714,-0.246860077931526,6,0.719375,-0.635792233932449,0.43859649122807,TITAN permutation/FDR screen,TITAN,aneuploidy,BRCA,Genome doubling
4,87,112,5,0.713369963369963,8,0.713532127594628,-0.244007008949119,8,0.726279507529508,-0.407464744926232,0.439299123904881,TITAN permutation/FDR screen,TITAN,aneuploidy,BRCA,Genome doubling
5,87,112,6,0.689388736263736,5,0.690476190476191,-0.244007008949119,4,0.704120243182743,-0.575486882123133,0.439299123904881,TITAN permutation/FDR screen,TITAN,aneuploidy,BRCA,Genome doubling
1,17,35,6,0.608918747355057,5,0.617065171392298,-0.714966227954585,5,0.689060516292848,-1.90261904402096,0.328502415458937,TITAN permutation/FDR screen,TITAN,aneuploidy,CESC,Genome doubling
2,17,35,1,0.604528142192129,2,0.64319720694033,-0.714966227954585,2,0.64319720694033,-0.68817863137108,0.328502415458937,TITAN permutation/FDR screen,TITAN,aneuploidy,CESC,Genome doubling
3,17,35,5,0.597492594159966,5,0.656950909860347,-0.714966227954585,2,0.669329242488362,-0.990373621974657,0.328502415458937,TITAN permutation/FDR screen,TITAN,aneuploidy,CESC,Genome doubling
4,17,35,17,0.587494710114262,3,0.621138383410918,-0.714966227954585,3,0.628173931443081,-0.502379612390615,0.328502415458937,TITAN permutation/FDR screen,TITAN,aneuploidy,CESC,Genome doubling
5,17,34,5,0.639285714285714,5,0.651470588235294,-0.722134717433198,5,0.674579831932773,-1.43261772375588,0.326923076923077,TITAN permutation/FDR screen,TITAN,aneuploidy,CESC,Genome doubling
1,33,49,10,0.695837238363012,10,0.683848797250859,-0.385056236476957,10,0.70204623555139,-0.104089054719256,0.404907975460123,TITAN permutation/FDR screen,TITAN,aneuploidy,COAD,Genome doubling
2,33,49,16,0.683848797250859,7,0.687636676038738,-0.385056236476957,7,0.692478912839738,-0.550246600168586,0.404907975460123,TITAN permutation/FDR screen,TITAN,aneuploidy,COAD,Genome doubling
3,33,49,3,0.714932833489535,4,0.725671665104655,-0.385056236476957,4,0.73355982505467,-0.145068335120754,0.404907975460123,TITAN permutation/FDR screen,TITAN,aneuploidy,COAD,Genome doubling
4,33,48,6,0.739685314685315,5,0.746678321678322,-0.390197635977376,5,0.762062937062937,-0.277552392094164,0.403669724770642,TITAN permutation/FDR screen,TITAN,aneuploidy,COAD,Genome doubling
5,33,48,6,0.702913752913753,6,0.71013986013986,-0.390197635977376,4,0.71958041958042,-0.817495067633647,0.403669724770642,TITAN permutation/FDR screen,TITAN,aneuploidy,COAD,Genome doubling
1,16,12,13,0.619047619047619,13,0.619047619047619,0.336472236621213,13,0.63015873015873,1.68036828950306,0.583333333333333,TITAN permutation/FDR screen,TITAN,aneuploidy,ESCA,Genome doubling
2,16,12,12,0.595238095238095,12,0.595238095238095,0.336472236621213,12,0.615873015873016,-2.07503689065963,0.583333333333333,TITAN permutation/FDR screen,TITAN,aneuploidy,ESCA,Genome doubling
3,16,11,2,0.605072463768116,3,0.618875086266391,0.314493329902438,2,0.665631469979296,-0.231705805854717,0.577981651376147,TITAN permutation/FDR screen,TITAN,aneuploidy,ESCA,Genome doubling
4,16,11,7,0.576259489302968,1,0.595928226363009,0.314493329902438,17,0.634057971014493,125.048879743784,0.577981651376147,TITAN permutation/FDR screen,TITAN,aneuploidy,ESCA,Genome doubling
5,15,11,2,0.576766304347826,2,0.602921195652174,0.330241686870577,2,0.602921195652174,0.368568225943792,0.581818181818182,TITAN permutation/FDR screen,TITAN,aneuploidy,ESCA,Genome doubling
1,10,64,11,0.589285714285714,2,0.638888888888889,-1.94591014905531,1,0.658730158730159,-2.09507682630986,0.125,TITAN permutation/FDR screen,TITAN,aneuploidy,GBM,Genome doubling
2,9,63,19,0.599241534024143,16,0.62626856105117,-1.9224715760833,10,0.711355624399103,-4.34666086209881,0.127586206896552,TITAN permutation/FDR screen,TITAN,aneuploidy,GBM,Genome doubling
3,9,63,11,0.620980664458925,16,0.647366734323256,-1.9224715760833,8,0.69981839547057,-3.67055672313801,0.127586206896552,TITAN permutation/FDR screen,TITAN,aneuploidy,GBM,Genome doubling
4,9,63,15,0.547163764555069,1,0.606879606879607,-1.9224715760833,1,0.663978207456468,-2.67207783871023,0.127586206896552,TITAN permutation/FDR screen,TITAN,aneuploidy,GBM,Genome doubling
5,9,63,12,0.585728020510629,2,0.624345689563081,-1.9224715760833,2,0.653081935690631,-2.60538530233424,0.127586206896552,TITAN permutation/FDR screen,TITAN,aneuploidy,GBM,Genome doubling
1,36,52,3,0.602864044168392,1,0.64635955831608,-0.391076370656065,1,0.653605935127674,-0.350551259285939,0.403458213256484,TITAN permutation/FDR screen,TITAN,aneuploidy,HNSC,Genome doubling
2,35,52,4,0.614400246685168,6,0.626528934114503,-0.383958902887201,4,0.644927536231884,-0.560527361046267,0.405172413793103,TITAN permutation/FDR screen,TITAN,aneuploidy,HNSC,Genome doubling
3,35,52,5,0.671600370027752,4,0.665690204543119,-0.383958902887201,4,0.678384212149244,-0.0663881760414418,0.405172413793103,TITAN permutation/FDR screen,TITAN,aneuploidy,HNSC,Genome doubling
4,35,52,4,0.62262308562031,5,0.631051495528831,-0.383958902887201,4,0.652996196936993,-0.682658901467134,0.405172413793103,TITAN permutation/FDR screen,TITAN,aneuploidy,HNSC,Genome doubling
5,35,51,3,0.636149754500818,3,0.659233496999454,-0.38877818932315,3,0.662898936170213,-0.346555103348785,0.404011461318052,TITAN permutation/FDR screen,TITAN,aneuploidy,HNSC,Genome doubling
1,18,75,10,0.604014084507042,8,0.627769953051643,-1.44110259761489,1,0.665070422535211,-1.67197938443031,0.191374663072776,TITAN permutation/FDR screen,TITAN,aneuploidy,KIRC,Genome doubling
2,18,75,17,0.574929577464789,12,0.627394366197183,-1.44110259761489,1,0.655070422535211,-1.66951352083712,0.191374663072776,TITAN permutation/FDR screen,TITAN,aneuploidy,KIRC,Genome doubling
3,18,75,15,0.645727699530517,5,0.672441314553991,-1.44110259761489,7,0.692323943661972,-2.57665301800732,0.191374663072776,TITAN permutation/FDR screen,TITAN,aneuploidy,KIRC,Genome doubling
4,18,75,15,0.608474178403756,1,0.652065727699531,-1.44110259761489,1,0.684319248826291,-1.55031196555734,0.191374663072776,TITAN permutation/FDR screen,TITAN,aneuploidy,KIRC,Genome doubling
5,17,75,9,0.563611111111111,1,0.642777777777778,-1.42711635564015,1,0.666666666666667,-1.82227316169942,0.193548387096774,TITAN permutation/FDR screen,TITAN,aneuploidy,KIRC,Genome doubling
1,32,65,15,0.586795366795367,3,0.612046332046332,-0.728514324397237,1,0.620339768339768,-0.893284013421376,0.325520833333333,TITAN permutation/FDR screen,TITAN,aneuploidy,LGG,Genome doubling
2,32,65,16,0.593142857142857,11,0.602254826254826,-0.728514324397237,8,0.613992277992278,-1.32013806215685,0.325520833333333,TITAN permutation/FDR screen,TITAN,aneuploidy,LGG,Genome doubling
3,31,65,11,0.614221364221364,10,0.640926640926641,-0.72054615474806,10,0.648112398112398,-1.34808237324254,0.327272727272727,TITAN permutation/FDR screen,TITAN,aneuploidy,LGG,Genome doubling
4,31,65,9,0.558987558987559,10,0.554697554697555,-0.72054615474806,2,0.571750321750322,-0.563700669950447,0.327272727272727,TITAN permutation/FDR screen,TITAN,aneuploidy,LGG,Genome doubling
5,31,64,9,0.583516483516484,2,0.605433455433455,-0.72439972406405,2,0.622496947496948,-0.638981243231455,0.326424870466321,TITAN permutation/FDR screen,TITAN,aneuploidy,LGG,Genome doubling
1,23,47,5,0.60777058279371,2,0.612280296022202,-0.714653385780909,5,0.661077705827937,-0.994826305546634,0.328571428571429,TITAN permutation/FDR screen,TITAN,aneuploidy,LIHC,Genome doubling
2,23,47,1,0.595744680851064,3,0.622918593894542,-0.714653385780909,3,0.638529139685477,-0.557135223211099,0.328571428571429,TITAN permutation/FDR screen,TITAN,aneuploidy,LIHC,Genome doubling
3,23,47,4,0.664662349676226,3,0.687673450508788,-0.714653385780909,3,0.692992599444958,-0.645396444512583,0.328571428571429,TITAN permutation/FDR screen,TITAN,aneuploidy,LIHC,Genome doubling
4,23,47,12,0.657377428307123,4,0.668825161887142,-0.714653385780909,4,0.674028677150786,-0.576859306169415,0.328571428571429,TITAN permutation/FDR screen,TITAN,aneuploidy,LIHC,Genome doubling
5,23,47,15,0.611586493987049,2,0.639569842738205,-0.714653385780909,7,0.664893617021277,-1.75152078469636,0.328571428571429,TITAN permutation/FDR screen,TITAN,aneuploidy,LIHC,Genome doubling
1,53,37,2,0.705232483668503,2,0.704832201870117,0.354645859711951,2,0.717032791084924,0.178025057359739,0.587743732590529,TITAN permutation/FDR screen,TITAN,aneuploidy,LUAD,Genome doubling
2,53,37,5,0.656526194440886,2,0.668982964006661,0.354645859711951,2,0.681135519405662,0.445516303932323,0.587743732590529,TITAN permutation/FDR screen,TITAN,aneuploidy,LUAD,Genome doubling
3,53,37,6,0.658543614704752,3,0.651690790316383,0.354645859711951,3,0.673578199052133,0.686313438236678,0.587743732590529,TITAN permutation/FDR screen,TITAN,aneuploidy,LUAD,Genome doubling
4,53,37,2,0.647752017420264,2,0.647303701806071,0.354645859711951,2,0.668886896375048,0.589216064750081,0.587743732590529,TITAN permutation/FDR screen,TITAN,aneuploidy,LUAD,Genome doubling
5,52,37,2,0.642146863844977,1,0.643039265680775,0.359374000907897,5,0.659676185619582,0.758621662146072,0.588888888888889,TITAN permutation/FDR screen,TITAN,aneuploidy,LUAD,Genome doubling
1,50,42,4,0.67226011007418,4,0.67001675041876,0.169340845321233,4,0.679797798516391,-0.0297473378960934,0.542234332425068,TITAN permutation/FDR screen,TITAN,aneuploidy,LUSC,Genome doubling
2,50,42,4,0.657109954534578,3,0.646865278774827,0.169340845321233,4,0.660086145010768,0.00895591441882304,0.542234332425068,TITAN permutation/FDR screen,TITAN,aneuploidy,LUSC,Genome doubling
3,50,42,4,0.628350083752094,2,0.634302464704475,0.169340845321233,2,0.654283321368748,0.327733595949839,0.542234332425068,TITAN permutation/FDR screen,TITAN,aneuploidy,LUSC,Genome doubling
4,50,42,3,0.642961832974396,3,0.636156975352955,0.169340845321233,4,0.657768006700167,-0.339595113841876,0.542234332425068,TITAN permutation/FDR screen,TITAN,aneuploidy,LUSC,Genome doubling
5,49,42,2,0.643214285714286,2,0.655476190476191,0.174353387144778,2,0.664404761904762,0.196898348656576,0.543478260869565,TITAN permutation/FDR screen,TITAN,aneuploidy,LUSC,Genome doubling
1,14,6,4,0.698717948717949,2,0.67948717948718,0.773189888233482,2,0.717948717948718,0.515686564295448,0.68421052631579,TITAN permutation/FDR screen,TITAN,aneuploidy,OV,Genome doubling
2,13,6,2,0.746462264150943,2,0.77122641509434,0.792238083204176,2,0.771619496855346,2.26176613606889,0.688311688311688,TITAN permutation/FDR screen,TITAN,aneuploidy,OV,Genome doubling
3,13,6,2,0.716194968553459,4,0.710691823899371,0.792238083204176,8,0.716588050314465,6.30290444151855,0.688311688311688,TITAN permutation/FDR screen,TITAN,aneuploidy,OV,Genome doubling
4,13,6,9,0.687893081761006,2,0.682389937106918,0.792238083204176,2,0.710691823899371,0.635281465629281,0.688311688311688,TITAN permutation/FDR screen,TITAN,aneuploidy,OV,Genome doubling
5,13,6,10,0.670990566037736,2,0.68435534591195,0.792238083204176,3,0.729952830188679,2.21651088419371,0.688311688311688,TITAN permutation/FDR screen,TITAN,aneuploidy,OV,Genome doubling
1,8,25,6,0.559311224489796,3,0.60172193877551,-1.11923157587085,1,0.634247448979592,-1.57465870000691,0.246153846153846,TITAN permutation/FDR screen,TITAN,aneuploidy,PAAD,Genome doubling
2,8,25,2,0.626275510204082,2,0.638073979591837,-1.11923157587085,2,0.692283163265306,-2.13113688964459,0.246153846153846,TITAN permutation/FDR screen,TITAN,aneuploidy,PAAD,Genome doubling
3,8,25,14,0.638073979591837,2,0.638392857142857,-1.11923157587085,3,0.675063775510204,-1.33459609296273,0.246153846153846,TITAN permutation/FDR screen,TITAN,aneuploidy,PAAD,Genome doubling
4,8,24,19,0.627840909090909,8,0.639362373737374,-1.12938394733486,16,0.678030303030303,-18.7437287596493,0.244274809160305,TITAN permutation/FDR screen,TITAN,aneuploidy,PAAD,Genome doubling
5,8,24,18,0.597537878787879,4,0.614109848484849,-1.12938394733486,2,0.690498737373737,-2.16554780017688,0.244274809160305,TITAN permutation/FDR screen,TITAN,aneuploidy,PAAD,Genome doubling
1,5,27,19,0.66137040714995,19,0.66137040714995,-1.71900011494563,12,0.683714001986097,-14.065856657104,0.152,TITAN permutation/FDR screen,TITAN,aneuploidy,PCPG,Genome doubling
2,5,27,14,0.649205561072493,8,0.653922542204568,-1.71900011494563,6,0.693892750744787,-5.92971475005178,0.152,TITAN permutation/FDR screen,TITAN,aneuploidy,PCPG,Genome doubling
3,5,27,7,0.653922542204568,7,0.666087388282026,-1.71900011494563,6,0.752482621648461,-4.98129353032033,0.152,TITAN permutation/FDR screen,TITAN,aneuploidy,PCPG,Genome doubling
4,5,26,15,0.688391539596655,4,0.700688637481554,-1.72838985529547,10,0.729955730447614,-5.8777157049538,0.150793650793651,TITAN permutation/FDR screen,TITAN,aneuploidy,PCPG,Genome doubling
5,4,26,9,0.66892523364486,11,0.709579439252337,-1.67709656090792,9,0.806542056074766,-5.12964290348334,0.15748031496063,TITAN permutation/FDR screen,TITAN,aneuploidy,PCPG,Genome doubling
1,6,71,3,0.592738205365403,1,0.692645698427382,-2.50641285500896,1,0.722402096823928,-2.83911990613122,0.0754098360655738,TITAN permutation/FDR screen,TITAN,aneuploidy,PRAD,Genome doubling
2,6,71,14,0.625578168362627,1,0.725485661424607,-2.50641285500896,1,0.740595127967931,-2.75159583895554,0.0754098360655738,TITAN permutation/FDR screen,TITAN,aneuploidy,PRAD,Genome doubling
3,6,71,3,0.587419056429232,1,0.720166512488437,-2.50641285500896,1,0.743216157878508,-2.35032102484407,0.0754098360655738,TITAN permutation/FDR screen,TITAN,aneuploidy,PRAD,Genome doubling
4,6,70,19,0.618605008449839,8,0.65854970041481,-2.50995268171409,16,0.76762943616531,-12.6445284043228,0.0751633986928105,TITAN permutation/FDR screen,TITAN,aneuploidy,PRAD,Genome doubling
5,5,70,8,0.537765017667845,1,0.675058892815077,-2.46739306729529,1,0.691254416961131,-2.80577333387651,0.0781758957654723,TITAN permutation/FDR screen,TITAN,aneuploidy,PRAD,Genome doubling
1,15,15,1,0.575031328320802,1,0.575031328320802,0.0176995770994009,1,0.595081453634085,0.570875105108974,0.504424778761062,TITAN permutation/FDR screen,TITAN,aneuploidy,READ,Genome doubling
2,15,14,3,0.657894736842105,3,0.657894736842105,0,3,0.675438596491228,-0.0189306883257858,0.5,TITAN permutation/FDR screen,TITAN,aneuploidy,READ,Genome doubling
3,14,14,1,0.591046581972172,1,0.591046581972172,0.017391742711869,1,0.599969751966122,0.0605850859992454,0.504347826086957,TITAN permutation/FDR screen,TITAN,aneuploidy,READ,Genome doubling
4,14,14,1,0.616908650937689,1,0.625680580762251,0.017391742711869,1,0.644888082274652,0.508286980952636,0.504347826086957,TITAN permutation/FDR screen,TITAN,aneuploidy,READ,Genome doubling
5,14,14,3,0.651542649727768,3,0.651542649727768,0.017391742711869,3,0.669691470054447,0.286079114962207,0.504347826086957,TITAN permutation/FDR screen,TITAN,aneuploidy,READ,Genome doubling
1,23,26,5,0.693314606741573,5,0.688932584269663,-0.116533816255952,4,0.726966292134831,-0.767352571940405,0.470899470899471,TITAN permutation/FDR screen,TITAN,aneuploidy,SARC,Genome doubling
2,23,25,5,0.711035710312604,5,0.711703192791189,-0.12648414710912,5,0.724941595283124,-0.461167354226489,0.468421052631579,TITAN permutation/FDR screen,TITAN,aneuploidy,SARC,Genome doubling
3,22,25,3,0.707150715071507,3,0.702200220022002,-0.115310846510994,3,0.739163916391639,-0.397827885034346,0.471204188481675,TITAN permutation/FDR screen,TITAN,aneuploidy,SARC,Genome doubling
4,22,25,7,0.686028602860286,7,0.702695269526953,-0.115310846510994,7,0.70946094609461,-0.421230483117697,0.471204188481675,TITAN permutation/FDR screen,TITAN,aneuploidy,SARC,Genome doubling
5,22,25,4,0.681078107810781,2,0.691584158415842,-0.115310846510994,6,0.706930693069307,-1.06666545569699,0.471204188481675,TITAN permutation/FDR screen,TITAN,aneuploidy,SARC,Genome doubling
1,7,13,3,0.64,2,0.643571428571429,-0.579818495252942,3,0.678571428571429,-2.24743320470234,0.358974358974359,TITAN permutation/FDR screen,TITAN,aneuploidy,SKCM,Genome doubling
2,7,13,11,0.739285714285714,11,0.739285714285714,-0.579818495252942,8,0.758571428571429,-9.62194886182284,0.358974358974359,TITAN permutation/FDR screen,TITAN,aneuploidy,SKCM,Genome doubling
3,7,13,4,0.63,5,0.635714285714286,-0.579818495252942,4,0.670714285714286,-2.69274522324325,0.358974358974359,TITAN permutation/FDR screen,TITAN,aneuploidy,SKCM,Genome doubling
4,7,12,5,0.630602240896359,20,0.622549019607843,-0.599621122549122,16,0.654761904761905,-55.7047701579766,0.354430379746835,TITAN permutation/FDR screen,TITAN,aneuploidy,SKCM,Genome doubling
5,7,12,2,0.660014005602241,14,0.656512605042017,-0.599621122549122,4,0.696778711484594,-2.92242272846902,0.354430379746835,TITAN permutation/FDR screen,TITAN,aneuploidy,SKCM,Genome doubling
1,31,42,8,0.715447154471545,6,0.730691056910569,-0.287682072451781,6,0.733739837398374,-0.161867913957977,0.428571428571429,TITAN permutation/FDR screen,TITAN,aneuploidy,STAD,Genome doubling
2,31,41,5,0.682631189948263,5,0.7019955654102,-0.293761118528163,5,0.710125646711013,-0.334874923782193,0.427083333333333,TITAN permutation/FDR screen,TITAN,aneuploidy,STAD,Genome doubling
3,31,41,3,0.731337767923134,4,0.732520325203252,-0.293761118528163,5,0.768144863266815,-0.599945018353768,0.427083333333333,TITAN permutation/FDR screen,TITAN,aneuploidy,STAD,Genome doubling
4,31,41,2,0.695713229859571,3,0.730450849963045,-0.293761118528163,3,0.735550628233555,-0.337067666330232,0.427083333333333,TITAN permutation/FDR screen,TITAN,aneuploidy,STAD,Genome doubling
5,30,41,5,0.703372434017595,5,0.704325513196481,-0.285663908295544,5,0.713391984359726,-0.383560027355815,0.429065743944637,TITAN permutation/FDR screen,TITAN,aneuploidy,STAD,Genome doubling
1,20,76,8,0.733168147641832,4,0.810748462064252,-1.37322227955254,3,0.836551606288449,-1.83333035017333,0.202099737532808,TITAN permutation/FDR screen,TITAN,aneuploidy,UCEC,Genome doubling
2,20,76,2,0.76728041695147,2,0.807458988380041,-1.37322227955254,2,0.815426349965824,-1.56615642191175,0.202099737532808,TITAN permutation/FDR screen,TITAN,aneuploidy,UCEC,Genome doubling
3,19,76,2,0.732709176788124,2,0.762440958164642,-1.36031887471663,2,0.783105600539811,-2.47135503384744,0.204188481675393,TITAN permutation/FDR screen,TITAN,aneuploidy,UCEC,Genome doubling
4,19,76,2,0.729588394062078,2,0.770158569500675,-1.36031887471663,3,0.79069669365722,-1.77723948642668,0.204188481675393,TITAN permutation/FDR screen,TITAN,aneuploidy,UCEC,Genome doubling
5,19,76,12,0.775936234817814,4,0.821778002699055,-1.36031887471663,3,0.835905870445344,-1.98181431745411,0.204188481675393,TITAN permutation/FDR screen,TITAN,aneuploidy,UCEC,Genome doubling
1,20,58,6,0.557186234817814,6,0.612854251012146,-1.07263680226485,5,0.62027665317139,-0.736048436024888,0.254901960784314,TITAN permutation/FDR screen,TITAN,driver_mutation,BLCA,ARID1A
2,20,57,18,0.514248124510133,1,0.527292576419214,-1.07701317686465,19,0.536781995297279,2.96438574983,0.254071661237785,TITAN permutation/FDR screen,TITAN,driver_mutation,BLCA,ARID1A
3,20,57,11,0.609338259993282,2,0.641893404993842,-1.07701317686465,2,0.645980293360206,-1.12162805463739,0.254071661237785,TITAN permutation/FDR screen,TITAN,driver_mutation,BLCA,ARID1A
4,19,57,12,0.575037311370295,11,0.589851307279863,-1.06427415108722,7,0.60115527057653,-2.13924214581456,0.256493506493507,TITAN permutation/FDR screen,TITAN,driver_mutation,BLCA,ARID1A
5,19,57,15,0.525040075175502,6,0.561688132220441,-1.06427415108722,2,0.582610137637499,-1.34627296266015,0.256493506493507,TITAN permutation/FDR screen,TITAN,driver_mutation,BLCA,ARID1A
1,7,70,1,0.5,7,0.462173579109063,-2.29900727164616,2,0.548899129544291,-3.27042569581218,0.0912052117263844,TITAN permutation/FDR screen,TITAN,driver_mutation,BLCA,ASXL2
2,7,70,3,0.512480798771121,5,0.597862263184844,-2.29900727164616,5,0.642665130568356,-1.73530526158759,0.0912052117263844,TITAN permutation/FDR screen,TITAN,driver_mutation,BLCA,ASXL2
3,7,70,4,0.5142089093702,4,0.521057347670251,-2.29900727164616,3,0.597350230414747,-3.73190695464891,0.0912052117263844,TITAN permutation/FDR screen,TITAN,driver_mutation,BLCA,ASXL2
4,7,70,8,0.501664106502816,4,0.535330261136713,-2.29900727164616,2,0.649065540194572,-3.00430111223448,0.0912052117263844,TITAN permutation/FDR screen,TITAN,driver_mutation,BLCA,ASXL2
5,7,69,16,0.533928571428571,7,0.516071428571429,-2.30258509299405,3,0.571428571428571,-3.84722352022407,0.0909090909090909,TITAN permutation/FDR screen,TITAN,driver_mutation,BLCA,ASXL2
1,11,67,5,0.535443722943723,5,0.595508658008658,-1.83827948486295,5,0.613365800865801,-2.51259010718737,0.137254901960784,TITAN permutation/FDR screen,TITAN,driver_mutation,BLCA,ATM
2,11,66,20,0.547933513027853,7,0.561590296495957,-1.84206020770285,19,0.610242587601078,-9.66609371322071,0.136807817589577,TITAN permutation/FDR screen,TITAN,driver_mutation,BLCA,ATM
3,11,66,4,0.570709793351303,2,0.596001796945193,-1.84206020770285,5,0.641194968553459,-3.60654213844908,0.136807817589577,TITAN permutation/FDR screen,TITAN,driver_mutation,BLCA,ATM
4,10,66,4,0.562527424308907,3,0.598903027643703,-1.81852971029266,4,0.62141290039491,-3.78771293623964,0.13961038961039,TITAN permutation/FDR screen,TITAN,driver_mutation,BLCA,ATM
5,10,66,20,0.577270732777534,7,0.592014041246161,-1.81852971029266,11,0.642211496270294,-6.24965935929786,0.13961038961039,TITAN permutation/FDR screen,TITAN,driver_mutation,BLCA,ATM
1,8,70,12,0.51020789244367,20,0.528445163699739,-2.25672167620086,20,0.559317814017179,-2.90040792892272,0.0947712418300654,TITAN permutation/FDR screen,TITAN,driver_mutation,BLCA,CDKN1A
2,8,70,14,0.535665380306237,1,0.581725382795967,-2.25672167620086,1,0.594174032117515,-1.94823731724481,0.0947712418300654,TITAN permutation/FDR screen,TITAN,driver_mutation,BLCA,CDKN1A
3,7,69,19,0.528896882494005,2,0.600719424460432,-2.22642373202848,2,0.615107913669065,-2.13153214689627,0.0974025974025974,TITAN permutation/FDR screen,TITAN,driver_mutation,BLCA,CDKN1A
4,7,69,17,0.538369304556355,1,0.566067146282974,-2.22642373202848,19,0.634172661870504,-15.8435343345488,0.0974025974025974,TITAN permutation/FDR screen,TITAN,driver_mutation,BLCA,CDKN1A
5,7,69,20,0.544244604316547,3,0.581774580335732,-2.22642373202848,3,0.60431654676259,-2.32621808492873,0.0974025974025974,TITAN permutation/FDR screen,TITAN,driver_mutation,BLCA,CDKN1A
1,5,72,5,0.565058479532164,3,0.616502192982456,-2.71852150096951,4,0.740771198830409,-5.70630951309532,0.0618892508143323,TITAN permutation/FDR screen,TITAN,driver_mutation,BLCA,CDKN2A
2,5,72,8,0.554641812865497,1,0.63468567251462,-2.71852150096951,4,0.703764619883041,-4.8854626320044,0.0618892508143323,TITAN permutation/FDR screen,TITAN,driver_mutation,BLCA,CDKN2A
3,5,72,7,0.563322368421053,8,0.541027046783626,-2.71852150096951,2,0.615588450292398,-3.32727453072771,0.0618892508143323,TITAN permutation/FDR screen,TITAN,driver_mutation,BLCA,CDKN2A
4,5,72,18,0.600328947368421,1,0.618786549707602,-2.71852150096951,3,0.731268274853801,-4.04635975186576,0.0618892508143323,TITAN permutation/FDR screen,TITAN,driver_mutation,BLCA,CDKN2A
5,4,72,15,0.565277777777778,16,0.604861111111111,-2.66722820658196,2,0.700694444444444,-3.14439415293327,0.0649350649350649,TITAN permutation/FDR screen,TITAN,driver_mutation,BLCA,CDKN2A
1,10,68,13,0.54939120188531,1,0.533385703063629,-1.95340082078447,4,0.618912018853103,-3.43331696309445,0.124183006535948,TITAN permutation/FDR screen,TITAN,driver_mutation,BLCA,CREBBP
2,10,67,1,0.513157894736842,9,0.538788886714929,-1.95712521987545,5,0.576599491293289,-3.58053561700084,0.123778501628665,TITAN permutation/FDR screen,TITAN,driver_mutation,BLCA,CREBBP
3,10,67,16,0.585257288201917,15,0.566816669927607,-1.95712521987545,16,0.590833496380356,0.342854784149277,0.123778501628665,TITAN permutation/FDR screen,TITAN,driver_mutation,BLCA,CREBBP
4,9,67,15,0.519111619483367,4,0.619054427604613,-1.93114973347219,6,0.657658945763035,-3.65747970630051,0.126623376623377,TITAN permutation/FDR screen,TITAN,driver_mutation,BLCA,CREBBP
5,9,67,2,0.501668096463636,3,0.488418644552474,-1.93114973347219,2,0.563387665618149,-3.53077312028989,0.126623376623377,TITAN permutation/FDR screen,TITAN,driver_mutation,BLCA,CREBBP
