family,tumor_type,endpoint,repeat,sensitivity,specificity,balanced_accuracy,auc,pr_auc,ppv_tcga_prevalence,npv_tcga_prevalence,observed_tcga_prevalence
aneuploidy,BLCA,Genome doubling,1,0.81578947368421,0.560810810810811,0.688300142247511,0.737197724039829,0.770083331460586,0.741035856573705,0.664,0.606382978723404
aneuploidy,BLCA,Genome doubling,2,0.758771929824562,0.527027027027027,0.642899478425794,0.708244428639166,0.760443676830963,0.711934156378601,0.586466165413534,0.606382978723404
aneuploidy,BLCA,Genome doubling,3,0.771929824561403,0.581081081081081,0.676505452821242,0.737434803224277,0.785936962677855,0.739495798319328,0.623188405797102,0.606382978723404
aneuploidy,BLCA,Genome doubling,4,0.789473684210526,0.574324324324324,0.681899004267425,0.748458985301091,0.786901347966915,0.740740740740741,0.639097744360902,0.606382978723404
aneuploidy,BLCA,Genome doubling,5,0.75,0.540540540540541,0.64527027027027,0.706940493124704,0.772073816915134,0.715481171548117,0.583941605839416,0.606382978723404
aneuploidy,BRCA,Genome doubling,1,0.641552511415525,0.766071428571429,0.703811969993477,0.774763535551207,0.713758019548631,0.682038834951456,0.732081911262799,0.438877755511022
aneuploidy,BRCA,Genome doubling,2,0.639269406392694,0.771428571428571,0.705348988910633,0.777433953033268,0.719724240685349,0.686274509803922,0.732203389830509,0.438877755511022
aneuploidy,BRCA,Genome doubling,3,0.643835616438356,0.767857142857143,0.70584637964775,0.778864970645793,0.708196046808239,0.684466019417476,0.733788395904437,0.438877755511022
aneuploidy,BRCA,Genome doubling,4,0.621004566210046,0.7625,0.691752283105023,0.765993966079583,0.701768396559148,0.671604938271605,0.720067453625632,0.438877755511022
aneuploidy,BRCA,Genome doubling,5,0.614155251141553,0.767857142857143,0.691006196999348,0.771465264187867,0.702936816715861,0.674185463659148,0.717863105175292,0.438877755511022
aneuploidy,COAD,Genome doubling,1,0.6,0.773662551440329,0.686831275720165,0.76523257263998,0.663008185289811,0.642857142857143,0.740157480314961,0.404411764705882
aneuploidy,COAD,Genome doubling,2,0.624242424242424,0.748971193415638,0.686606808829031,0.762189799226836,0.678118400521416,0.628048780487805,0.745901639344262,0.404411764705882
aneuploidy,COAD,Genome doubling,3,0.63030303030303,0.761316872427984,0.695809951365507,0.765606684125203,0.69144701842035,0.641975308641975,0.752032520325203,0.404411764705882
aneuploidy,COAD,Genome doubling,4,0.672727272727273,0.740740740740741,0.706734006734007,0.758124454420751,0.680127434301595,0.637931034482759,0.769230769230769,0.404411764705882
aneuploidy,COAD,Genome doubling,5,0.618181818181818,0.753086419753086,0.685634118967452,0.748497318867689,0.67633613731121,0.62962962962963,0.74390243902439,0.404411764705882
aneuploidy,HNSC,Genome doubling,1,0.517045454545455,0.722007722007722,0.619526588276588,0.672406984906985,0.59240059065203,0.558282208588957,0.6875,0.404597701149425
aneuploidy,HNSC,Genome doubling,2,0.5,0.768339768339768,0.634169884169884,0.664355914355914,0.55984644889836,0.594594594594595,0.693379790940767,0.404597701149425
aneuploidy,HNSC,Genome doubling,3,0.534090909090909,0.745173745173745,0.639632327132327,0.675544050544051,0.575350688475104,0.5875,0.701818181818182,0.404597701149425
aneuploidy,HNSC,Genome doubling,4,0.477272727272727,0.745173745173745,0.611223236223236,0.658696033696034,0.578595566946672,0.56,0.67719298245614,0.404597701149425
aneuploidy,HNSC,Genome doubling,5,0.471590909090909,0.733590733590734,0.602590821340821,0.652136714636715,0.55490406081403,0.546052631578947,0.671378091872792,0.404597701149425
aneuploidy,LIHC,Genome doubling,1,0.4,0.842553191489362,0.621276595744681,0.67063829787234,0.510225634073695,0.55421686746988,0.741573033707865,0.328571428571429
aneuploidy,LIHC,Genome doubling,2,0.391304347826087,0.885106382978723,0.638205365402405,0.698390379278446,0.532634540507608,0.625,0.748201438848921,0.328571428571429
aneuploidy,LIHC,Genome doubling,3,0.391304347826087,0.825531914893617,0.608418131359852,0.67004625346901,0.491153673015868,0.523255813953488,0.734848484848485,0.328571428571429
aneuploidy,LIHC,Genome doubling,4,0.373913043478261,0.851063829787234,0.612488436632748,0.663126734505088,0.476714530104074,0.551282051282051,0.735294117647059,0.328571428571429
aneuploidy,LIHC,Genome doubling,5,0.408695652173913,0.821276595744681,0.614986123959297,0.659574468085106,0.510238490648293,0.528089887640449,0.739463601532567,0.328571428571429
aneuploidy,LUAD,Genome doubling,1,0.818181818181818,0.491891891891892,0.655036855036855,0.726003276003276,0.769129725042765,0.696774193548387,0.654676258992806,0.587973273942094
aneuploidy,LUAD,Genome doubling,2,0.75,0.562162162162162,0.656081081081081,0.715540540540541,0.761602835310806,0.709677419354839,0.611764705882353,0.587973273942094
aneuploidy,LUAD,Genome doubling,3,0.765151515151515,0.508108108108108,0.636629811629812,0.703542178542179,0.740418319505211,0.689419795221843,0.602564102564103,0.587973273942094
