tumor_type,block,endpoint,n,metric,pls1,pls2,delta_pls2_minus_pls1,sd_delta,median_ncomp_pls1,median_ncomp_pls2,n_repeats,backend,svd_method,rsvd_oversample,rsvd_power,analysis_fingerprint
ACC,inferred_cell_fractions,Th1 Cells,54,Q2,-0.663406764277201,-0.11715105669736,0.546255707579841,0.0802235435368135,1,1.33333333333333,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
ACC,inferred_cell_fractions,Th17 Cells,54,Q2,-0.00866483998647868,0.00775136387372033,0.016416203860199,0.0110746466582435,1,1.33333333333333,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
ACC,inferred_cell_fractions,Th2 Cells,54,Q2,-0.0793281475381093,0.128326907224291,0.2076550547624,0.160422362232445,1.33333333333333,1.33333333333333,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
ACC,infiltration_signatures,IFN-gamma Response,53,Q2,-0.125662446364707,-0.156929812017731,-0.0312673656530236,0.0885674618800385,1,2,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
ACC,infiltration_signatures,Leukocyte Fraction,53,Q2,0.200167176418431,0.185424666832599,-0.0147425095858321,0.0698213970717755,1,2,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
ACC,infiltration_signatures,Lymphocyte Infiltration Signature Score,53,Q2,0.0891403416129938,0.118248008582678,0.0291076669696843,0.151858941960225,1,2,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
ACC,infiltration_signatures,Macrophage Regulation,53,Q2,0.03693001329563,0.112838862597891,0.0759088493022607,0.130854920660355,1,2,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
ACC,infiltration_signatures,Stromal Fraction,53,Q2,0.033952304365411,0.118677162907725,0.0847248585423143,0.0211398061767081,1,2,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
ACC,infiltration_signatures,TGF-beta Response,53,Q2,0.103972769184135,-0.0596966245954935,-0.163669393779628,0.0328200926390854,1,2,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
ACC,infiltration_signatures,Wound Healing,53,Q2,0.0849155912015313,0.107459157790191,0.0225435665886597,0.0653978593011289,1,2,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
BLCA,immune_repertoire,BCR Evenness,198,Q2,-0.163888722849477,-0.0163958096100458,0.147492913239431,0.035348294338371,1,1,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
BLCA,immune_repertoire,BCR Richness,198,Q2,-0.0523325425723155,-0.0126471459865497,0.0396853965857658,0.0460563422524825,1,1,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
BLCA,immune_repertoire,BCR Shannon,198,Q2,-0.0878203324844329,-0.0334750899460439,0.054345242538389,0.011449256044936,1,1,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
BLCA,immune_repertoire,TCR Evenness,198,Q2,-0.00287360777759493,3.58809959903536e-05,0.00290948877358529,0.0108346066270893,1,1,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
BLCA,immune_repertoire,TCR Richness,198,Q2,0.0030763093298631,0.00118202832791755,-0.00189428100194555,0.0229704282746162,1,1,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
BLCA,immune_repertoire,TCR Shannon,198,Q2,-0.0215323685723995,0.0162390735221363,0.0377714420945358,0.0352554832525278,1,1,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
