foundation_model,q2,rmse,spearman,sensitivity,specificity,balanced_accuracy,auc,pr_auc,ppv,npv,prevalence,no_skill_pr_auc,crossing,selected_components_median,selected_components_min,selected_components_max,selected_components_ceiling_fraction,stability_job_id,stability_repeat,outcome_type,family,subfamily,tumor_type,endpoint,source,n,positive,negative,seed,effect,primary_union_positive,primary_near_threshold,selection_reason,fastPLS_version,fastPLS_remote_sha
ProvGigaPath,,,,0.62962962962963,0.64,0.634814814814815,0.700740740740741,0.724059617481069,0.653846153846154,0.615384615384615,0.519230769230769,0.519230769230769,TRUE,5,1,14,0,1,5,binary,aneuploidy,aneuploidy,ACC,Genome doubling,Taylor2018_TableS2,52,27,25,20810816,0.700740740740741,TRUE,FALSE,union-positive,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN,,,,0.518518518518519,0.52,0.519259259259259,0.546666666666667,0.570332536864605,0.538461538461538,0.5,0.519230769230769,0.519230769230769,FALSE,2,2,8,0,1,5,binary,aneuploidy,aneuploidy,ACC,Genome doubling,Taylor2018_TableS2,52,27,25,20810816,0.546666666666667,TRUE,FALSE,union-positive,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
GigaSSL,,,,0.763157894736842,0.567567567567568,0.665362731152205,0.710852299668089,0.760521819063117,0.73109243697479,0.608695652173913,0.606382978723404,0.606382978723404,TRUE,4,3,7,0,2,1,binary,aneuploidy,aneuploidy,BLCA,Genome doubling,Taylor2018_TableS2,376,228,148,20770817,0.710852299668089,TRUE,FALSE,union-positive,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,,,,0.732456140350877,0.594594594594595,0.663525367472736,0.721876481744903,0.768244318604461,0.73568281938326,0.590604026845638,0.606382978723404,0.606382978723404,TRUE,3,3,4,0,2,1,binary,aneuploidy,aneuploidy,BLCA,Genome doubling,Taylor2018_TableS2,376,228,148,20770817,0.721876481744903,TRUE,FALSE,union-positive,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN,,,,0.785087719298246,0.547297297297297,0.666192508297772,0.710704125177809,0.755328177010997,0.727642276422764,0.623076923076923,0.606382978723404,0.606382978723404,TRUE,4,3,9,0,2,1,binary,aneuploidy,aneuploidy,BLCA,Genome doubling,Taylor2018_TableS2,376,228,148,20770817,0.710704125177809,TRUE,FALSE,union-positive,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
GigaSSL,,,,0.723684210526316,0.554054054054054,0.638869132290185,0.687114746325273,0.736397867548208,0.714285714285714,0.56551724137931,0.606382978723404,0.606382978723404,TRUE,7,3,8,0,2,2,binary,aneuploidy,aneuploidy,BLCA,Genome doubling,Taylor2018_TableS2,376,228,148,20780817,0.687114746325273,TRUE,FALSE,union-positive,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,,,,0.736842105263158,0.581081081081081,0.65896159317212,0.724128733997155,0.767005378460103,0.730434782608696,0.589041095890411,0.606382978723404,0.606382978723404,TRUE,3,3,4,0,2,2,binary,aneuploidy,aneuploidy,BLCA,Genome doubling,Taylor2018_TableS2,376,228,148,20780817,0.724128733997155,TRUE,FALSE,union-positive,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN,,,,0.714912280701754,0.587837837837838,0.651375059269796,0.725254860123281,0.771699569995569,0.727678571428571,0.572368421052632,0.606382978723404,0.606382978723404,TRUE,5,5,7,0,2,2,binary,aneuploidy,aneuploidy,BLCA,Genome doubling,Taylor2018_TableS2,376,228,148,20780817,0.725254860123281,TRUE,FALSE,union-positive,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
GigaSSL,,,,0.671052631578947,0.574324324324324,0.622688477951636,0.682224988146041,0.742070079740814,0.708333333333333,0.53125,0.606382978723404,0.606382978723404,TRUE,5,3,8,0,2,3,binary,aneuploidy,aneuploidy,BLCA,Genome doubling,Taylor2018_TableS2,376,228,148,20790817,0.682224988146041,TRUE,FALSE,union-positive,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,,,,0.714912280701754,0.621621621621622,0.668266951161688,0.746829065908013,0.776086953987783,0.744292237442922,0.585987261146497,0.606382978723404,0.606382978723404,TRUE,3,3,4,0,2,3,binary,aneuploidy,aneuploidy,BLCA,Genome doubling,Taylor2018_TableS2,376,228,148,20790817,0.746829065908013,TRUE,FALSE,union-positive,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
