tumor_type,block,n_endpoints,median_delta,mean_delta,backend,svd_method,rsvd_oversample,rsvd_power,analysis_fingerprint
LGG,infiltration_signatures,7,0.00599246536611261,0.00564484333954923,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
LIHC,immune_repertoire,6,0.0830217775136991,0.108301694768773,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
LIHC,inferred_cell_fractions,25,0.0252511779756598,0.021106808201563,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
LIHC,infiltration_signatures,7,-0.00066394512383916,-0.000355045108931938,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
LUAD,immune_repertoire,6,0.00664441893572826,0.00865222761277291,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
LUAD,inferred_cell_fractions,24,0.00672253763465526,0.00604477382318952,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
LUAD,infiltration_signatures,8,0.010390180516479,0.0092359192629994,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
LUSC,immune_repertoire,6,0.00828394070686228,0.012957484751282,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
LUSC,inferred_cell_fractions,25,0.006265926035853,0.0114222334337877,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
LUSC,infiltration_signatures,8,-0.000584732283652633,-0.00245721348582859,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
MESO,inferred_cell_fractions,24,0.145738589721044,0.143778262890901,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
MESO,infiltration_signatures,7,0.0192945795055238,0.0131925431835096,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
OV,inferred_cell_fractions,24,0.222916044298252,0.251299218706163,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
PAAD,immune_repertoire,6,0.0968569838326998,0.0964705530142009,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
PAAD,inferred_cell_fractions,23,0.0913092988365507,0.0919267424034975,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
PAAD,infiltration_signatures,8,0.0346829272846229,0.0217514987066723,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
PCPG,inferred_cell_fractions,24,0.0739498387429025,0.0798891719236946,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
PCPG,infiltration_signatures,7,0.0102327737064821,0.03535437294589,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
PRAD,immune_repertoire,6,0.054496519308834,0.0875794247544857,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
PRAD,inferred_cell_fractions,24,0.00820839173910981,0.0185684950600815,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
PRAD,infiltration_signatures,8,0.0256572724456849,0.0203908151949923,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
