outcome_type,family,subfamily,tumor_type,endpoint,source,mean_effect,sd_effect,mean_rank_within_outcome_repeat,median_rank_within_outcome_repeat,winner_proportion,foundation_model
binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,TP53,TCGA_MC3_Bailey2018,0.690886866766264,0.0199800654221862,97.8,107,0.8,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,ZFP36L1,TCGA_MC3_Bailey2018,0.523231197771588,0.0396773949257878,312.6,324,0,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,CESC,EP300,TCGA_MC3_Bailey2018,0.687843137254902,0.0273822337091694,105.2,110,1,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,CESC,KMT2C,TCGA_MC3_Bailey2018,0.570171047142261,0.0249988273378819,266.2,284,1,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,CESC,KMT2D,TCGA_MC3_Bailey2018,0.591326908821349,0.0230627662134432,237,232,1,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,CESC,PIK3CA,TCGA_MC3_Bailey2018,0.576053670086819,0.0401322000633073,255.4,250,0.4,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,CESC,TP53,TCGA_MC3_Bailey2018,0.755486542443064,0.0447101916659591,51.6,56,1,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,COAD,ACVR2A,TCGA_MC3_Bailey2018,0.666191795277668,0.0260853619477564,131.2,125,0.2,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,COAD,AMER1,TCGA_MC3_Bailey2018,0.596412064238151,0.0159724022088389,233.4,240,0,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,COAD,APC,TCGA_MC3_Bailey2018,0.847416063199473,0.0194818922412991,17.4,16,0.6,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,COAD,ARID1A,TCGA_MC3_Bailey2018,0.675811359026369,0.02570675221484,121.6,114,1,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,COAD,BRAF,TCGA_MC3_Bailey2018,0.788084991931146,0.0481299479630353,39.2,31,1,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,COAD,CTNNB1,TCGA_MC3_Bailey2018,0.686822318955283,0.0478183571232548,112.4,115,0.4,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,COAD,FBXW7,TCGA_MC3_Bailey2018,0.656596007408932,0.0144169020209482,146.4,139,0.4,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,COAD,KRAS,TCGA_MC3_Bailey2018,0.779036458333333,0.00912558556076344,37.2,38,1,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,COAD,PIK3CA,TCGA_MC3_Bailey2018,0.599742112261756,0.037032178906267,229.8,244,0.2,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,COAD,SMAD4,TCGA_MC3_Bailey2018,0.646917148362235,0.03869637722257,161,137,0.2,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,COAD,SOX9,TCGA_MC3_Bailey2018,0.684649859943978,0.00924573973704836,105.6,113,0.6,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,COAD,TCF7L2,TCGA_MC3_Bailey2018,0.57325,0.0363345469005654,259.8,242,0.6,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,COAD,TP53,TCGA_MC3_Bailey2018,0.86062224220792,0.00429068766440528,13.2,13,1,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,GBM,EGFR,TCGA_MC3_Bailey2018,0.57545,0.0191046869249407,260.4,262,0.4,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,GBM,PIK3CA,TCGA_MC3_Bailey2018,0.525396163469558,0.0639085963317465,305.2,312,0,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,GBM,PTEN,TCGA_MC3_Bailey2018,0.657249520734537,0.0525035671647714,146.4,96,1,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,GBM,TP53,TCGA_MC3_Bailey2018,0.763134206219313,0.0153846629935364,45.2,44,1,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,HNSC,AJUBA,TCGA_MC3_Bailey2018,0.526178660049628,0.0246214750280856,314.8,317,0,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,HNSC,CASP8,TCGA_MC3_Bailey2018,0.740890957446809,0.0178499824753768,55.4,53,0.6,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,HNSC,CDKN2A,TCGA_MC3_Bailey2018,0.575278953443632,0.0382138049771584,259.4,240,0,TITAN
