outcome_type,family,tumor_type,endpoint,highlighted,model_n,high_volume,subgroup_variable,subgroup,subgroup_n,positive,negative,denominator_adequate,reason,q2,rmse,spearman,sensitivity,specificity,balanced_accuracy,auc,pr_auc
continuous,rna_pathway_activity,BLCA,HALLMARK_INTERFERON_ALPHA_RESPONSE,FALSE,382,TRUE,Broad race,Black or African American,21,,,FALSE,fewer than 50 subgroup patients,,,,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_INTERFERON_ALPHA_RESPONSE,FALSE,382,TRUE,Broad race,Missing,16,,,FALSE,demographic field missing,,,,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_INTERFERON_ALPHA_RESPONSE,FALSE,382,TRUE,Broad race,White,301,,,TRUE,performance estimated,0.327520903487336,0.487738824936065,0.575904072517657,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_INTERFERON_ALPHA_RESPONSE,FALSE,382,TRUE,Recorded sex,FEMALE,99,,,TRUE,performance estimated,0.294132606118002,0.530508201649725,0.561038961038961,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_INTERFERON_ALPHA_RESPONSE,FALSE,382,TRUE,Recorded sex,MALE,283,,,TRUE,performance estimated,0.34070515645912,0.49739495213851,0.568688365059918,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_INTERFERON_GAMMA_RESPONSE,FALSE,382,TRUE,Broad race,Asian,44,,,FALSE,fewer than 50 subgroup patients,,,,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_INTERFERON_GAMMA_RESPONSE,FALSE,382,TRUE,Broad race,Black or African American,21,,,FALSE,fewer than 50 subgroup patients,,,,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_INTERFERON_GAMMA_RESPONSE,FALSE,382,TRUE,Broad race,Missing,16,,,FALSE,demographic field missing,,,,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_INTERFERON_GAMMA_RESPONSE,FALSE,382,TRUE,Broad race,White,301,,,TRUE,performance estimated,0.397260240023697,0.395137334135204,0.626993201469715,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_INTERFERON_GAMMA_RESPONSE,FALSE,382,TRUE,Recorded sex,FEMALE,99,,,TRUE,performance estimated,0.381460657342297,0.412465093745126,0.620158317872604,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_INTERFERON_GAMMA_RESPONSE,FALSE,382,TRUE,Recorded sex,MALE,283,,,TRUE,performance estimated,0.401521218650307,0.409188757188836,0.618797697091503,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_KRAS_SIGNALING_UP,FALSE,382,TRUE,Broad race,Asian,44,,,FALSE,fewer than 50 subgroup patients,,,,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_KRAS_SIGNALING_UP,FALSE,382,TRUE,Broad race,Black or African American,21,,,FALSE,fewer than 50 subgroup patients,,,,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_KRAS_SIGNALING_UP,FALSE,382,TRUE,Broad race,Missing,16,,,FALSE,demographic field missing,,,,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_KRAS_SIGNALING_UP,FALSE,382,TRUE,Broad race,White,301,,,TRUE,performance estimated,0.254680705982682,0.261310734449491,0.534201755736948,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_KRAS_SIGNALING_UP,FALSE,382,TRUE,Recorded sex,FEMALE,99,,,TRUE,performance estimated,0.225887106233128,0.270802453345048,0.518270871985158,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_KRAS_SIGNALING_UP,FALSE,382,TRUE,Recorded sex,MALE,283,,,TRUE,performance estimated,0.274424483276361,0.264973101202608,0.567445315453355,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_MTORC1_SIGNALING,FALSE,382,TRUE,Broad race,Asian,44,,,FALSE,fewer than 50 subgroup patients,,,,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_MTORC1_SIGNALING,FALSE,382,TRUE,Broad race,Black or African American,21,,,FALSE,fewer than 50 subgroup patients,,,,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_MTORC1_SIGNALING,FALSE,382,TRUE,Broad race,Missing,16,,,FALSE,demographic field missing,,,,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_MTORC1_SIGNALING,FALSE,382,TRUE,Broad race,White,301,,,TRUE,performance estimated,0.169433084357954,0.241940960362066,0.419537083892544,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_MTORC1_SIGNALING,FALSE,382,TRUE,Recorded sex,FEMALE,99,,,TRUE,performance estimated,0.163258272138015,0.243370804045536,0.424544217687075,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_MTORC1_SIGNALING,FALSE,382,TRUE,Recorded sex,MALE,283,,,TRUE,performance estimated,0.303521745718441,0.248793096899793,0.533548679491429,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_MYC_TARGETS_V1,FALSE,382,TRUE,Broad race,Asian,44,,,FALSE,fewer than 50 subgroup patients,,,,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_MYC_TARGETS_V1,FALSE,382,TRUE,Broad race,Black or African American,21,,,FALSE,fewer than 50 subgroup patients,,,,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_MYC_TARGETS_V1,FALSE,382,TRUE,Broad race,Missing,16,,,FALSE,demographic field missing,,,,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_MYC_TARGETS_V1,FALSE,382,TRUE,Broad race,White,301,,,TRUE,performance estimated,0.291276611838985,0.355958069515461,0.513224175485688,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_MYC_TARGETS_V1,FALSE,382,TRUE,Recorded sex,FEMALE,99,,,TRUE,performance estimated,0.233833055096547,0.352982312076604,0.519678416821274,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_MYC_TARGETS_V1,FALSE,382,TRUE,Recorded sex,MALE,283,,,TRUE,performance estimated,0.31823355465367,0.36200986826815,0.532120427247342,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_MYC_TARGETS_V2,FALSE,382,TRUE,Broad race,Asian,44,,,FALSE,fewer than 50 subgroup patients,,,,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_MYC_TARGETS_V2,FALSE,382,TRUE,Broad race,Black or African American,21,,,FALSE,fewer than 50 subgroup patients,,,,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_MYC_TARGETS_V2,FALSE,382,TRUE,Broad race,Missing,16,,,FALSE,demographic field missing,,,,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_MYC_TARGETS_V2,FALSE,382,TRUE,Broad race,White,301,,,TRUE,performance estimated,0.181985407265465,0.424632721867483,0.420111504697366,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_MYC_TARGETS_V2,FALSE,382,TRUE,Recorded sex,FEMALE,99,,,TRUE,performance estimated,0.122890748822435,0.4189613661772,0.398641929499072,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_MYC_TARGETS_V2,FALSE,382,TRUE,Recorded sex,MALE,283,,,TRUE,performance estimated,0.191121872123149,0.414988796402157,0.430509407849246,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_MYOGENESIS,FALSE,382,TRUE,Broad race,Asian,44,,,FALSE,fewer than 50 subgroup patients,,,,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_MYOGENESIS,FALSE,382,TRUE,Broad race,Black or African American,21,,,FALSE,fewer than 50 subgroup patients,,,,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_MYOGENESIS,FALSE,382,TRUE,Broad race,Missing,16,,,FALSE,demographic field missing,,,,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_MYOGENESIS,FALSE,382,TRUE,Broad race,White,301,,,TRUE,performance estimated,0.225354876688506,0.298726956923903,0.496763019515522,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_MYOGENESIS,FALSE,382,TRUE,Recorded sex,FEMALE,99,,,TRUE,performance estimated,0.0189213206888367,0.307494640684532,0.373442176870748,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_MYOGENESIS,FALSE,382,TRUE,Recorded sex,MALE,283,,,TRUE,performance estimated,0.269868540640939,0.286463732317683,0.54982925142767,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_P53_PATHWAY,FALSE,382,TRUE,Broad race,Asian,44,,,FALSE,fewer than 50 subgroup patients,,,,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_P53_PATHWAY,FALSE,382,TRUE,Broad race,Black or African American,21,,,FALSE,fewer than 50 subgroup patients,,,,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_P53_PATHWAY,FALSE,382,TRUE,Broad race,Missing,16,,,FALSE,demographic field missing,,,,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_P53_PATHWAY,FALSE,382,TRUE,Broad race,White,301,,,TRUE,performance estimated,0.291280670918549,0.17210410378373,0.486051087984863,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_P53_PATHWAY,FALSE,382,TRUE,Recorded sex,FEMALE,99,,,TRUE,performance estimated,0.312363555507051,0.163736124204623,0.462582560296846,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_P53_PATHWAY,FALSE,382,TRUE,Recorded sex,MALE,283,,,TRUE,performance estimated,0.227514208099744,0.183501751664362,0.443919815411528,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_TNFA_SIGNALING_VIA_NFKB,FALSE,382,TRUE,Broad race,Asian,44,,,FALSE,fewer than 50 subgroup patients,,,,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_TNFA_SIGNALING_VIA_NFKB,FALSE,382,TRUE,Broad race,Black or African American,21,,,FALSE,fewer than 50 subgroup patients,,,,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_TNFA_SIGNALING_VIA_NFKB,FALSE,382,TRUE,Broad race,Missing,16,,,FALSE,demographic field missing,,,,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_TNFA_SIGNALING_VIA_NFKB,FALSE,382,TRUE,Broad race,White,301,,,TRUE,performance estimated,0.326331037291539,0.343238129353959,0.552463532155508,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_TNFA_SIGNALING_VIA_NFKB,FALSE,382,TRUE,Recorded sex,FEMALE,99,,,TRUE,performance estimated,0.393670180686509,0.322638664977476,0.591059987631416,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_TNFA_SIGNALING_VIA_NFKB,FALSE,382,TRUE,Recorded sex,MALE,283,,,TRUE,performance estimated,0.28733867881248,0.364993779821937,0.559706937210058,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,FALSE,382,TRUE,Broad race,Asian,44,,,FALSE,fewer than 50 subgroup patients,,,,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,FALSE,382,TRUE,Broad race,Black or African American,21,,,FALSE,fewer than 50 subgroup patients,,,,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,FALSE,382,TRUE,Broad race,Missing,16,,,FALSE,demographic field missing,,,,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,FALSE,382,TRUE,Broad race,White,301,,,TRUE,performance estimated,0.186237486429004,0.197958449837604,0.389470682713252,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,FALSE,382,TRUE,Recorded sex,FEMALE,99,,,TRUE,performance estimated,0.07584243189961,0.203512337991447,0.312442795299938,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,FALSE,382,TRUE,Recorded sex,MALE,283,,,TRUE,performance estimated,0.363215420438991,0.196724957451295,0.548928546090466,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_UV_RESPONSE_DN,FALSE,382,TRUE,Broad race,Asian,44,,,FALSE,fewer than 50 subgroup patients,,,,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_UV_RESPONSE_DN,FALSE,382,TRUE,Broad race,Black or African American,21,,,FALSE,fewer than 50 subgroup patients,,,,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_UV_RESPONSE_DN,FALSE,382,TRUE,Broad race,Missing,16,,,FALSE,demographic field missing,,,,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_UV_RESPONSE_DN,FALSE,382,TRUE,Broad race,White,301,,,TRUE,performance estimated,0.174341207438609,0.276677932142359,0.424493102461992,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_UV_RESPONSE_DN,FALSE,382,TRUE,Recorded sex,FEMALE,99,,,TRUE,performance estimated,0.249232047926615,0.277893707466922,0.481570810142239,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_UV_RESPONSE_DN,FALSE,382,TRUE,Recorded sex,MALE,283,,,TRUE,performance estimated,0.180709590676512,0.274380400182206,0.449095747328116,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_UV_RESPONSE_UP,FALSE,382,TRUE,Broad race,Asian,44,,,FALSE,fewer than 50 subgroup patients,,,,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_UV_RESPONSE_UP,FALSE,382,TRUE,Broad race,Black or African American,21,,,FALSE,fewer than 50 subgroup patients,,,,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_UV_RESPONSE_UP,FALSE,382,TRUE,Broad race,Missing,16,,,FALSE,demographic field missing,,,,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_UV_RESPONSE_UP,FALSE,382,TRUE,Broad race,White,301,,,TRUE,performance estimated,0.150236409566043,0.143925503965851,0.31908217640976,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_UV_RESPONSE_UP,FALSE,382,TRUE,Recorded sex,FEMALE,99,,,TRUE,performance estimated,0.106748409699043,0.155535963755653,0.274122448979592,,,,,
continuous,rna_pathway_activity,BLCA,HALLMARK_UV_RESPONSE_UP,FALSE,382,TRUE,Recorded sex,MALE,283,,,TRUE,performance estimated,0.306450073788632,0.144229286549352,0.491165442394991,,,,,
continuous,rna_pathway_activity,BRCA,GOBP_VITAMIN_B6_METABOLIC_PROCESS,FALSE,1052,TRUE,Broad race,Asian,61,,,TRUE,performance estimated,0.203040512764635,0.489456041200467,0.485742993125331,,,,,
continuous,rna_pathway_activity,BRCA,GOBP_VITAMIN_B6_METABOLIC_PROCESS,FALSE,1052,TRUE,Broad race,Black or African American,167,,,TRUE,performance estimated,0.34915598589052,0.463161310926085,0.625353767508013,,,,,
continuous,rna_pathway_activity,BRCA,GOBP_VITAMIN_B6_METABOLIC_PROCESS,FALSE,1052,TRUE,Broad race,Missing,94,,,FALSE,demographic field missing,,,,,,,,
continuous,rna_pathway_activity,BRCA,GOBP_VITAMIN_B6_METABOLIC_PROCESS,FALSE,1052,TRUE,Broad race,Other recorded race,1,,,FALSE,fewer than 50 subgroup patients,,,,,,,,
continuous,rna_pathway_activity,BRCA,GOBP_VITAMIN_B6_METABOLIC_PROCESS,FALSE,1052,TRUE,Broad race,White,729,,,TRUE,performance estimated,0.303665059362912,0.399323047889645,0.475930510100982,,,,,
continuous,rna_pathway_activity,BRCA,GOBP_VITAMIN_B6_METABOLIC_PROCESS,FALSE,1052,TRUE,Recorded sex,FEMALE,1040,,,TRUE,performance estimated,0.345203346931197,0.413378167187478,0.52842997194965,,,,,
continuous,rna_pathway_activity,BRCA,GOBP_VITAMIN_B6_METABOLIC_PROCESS,FALSE,1052,TRUE,Recorded sex,MALE,12,,,FALSE,fewer than 50 subgroup patients,,,,,,,,
continuous,rna_pathway_activity,BRCA,HALLMARK_ALLOGRAFT_REJECTION,FALSE,1052,TRUE,Broad race,Asian,61,,,TRUE,performance estimated,0.279757012009313,0.452437130991341,0.533495505023797,,,,,
continuous,rna_pathway_activity,BRCA,HALLMARK_ALLOGRAFT_REJECTION,FALSE,1052,TRUE,Broad race,Black or African American,167,,,TRUE,performance estimated,0.493455204577782,0.404724317479043,0.71829696888495,,,,,
continuous,rna_pathway_activity,BRCA,HALLMARK_ALLOGRAFT_REJECTION,FALSE,1052,TRUE,Broad race,Missing,94,,,FALSE,demographic field missing,,,,,,,,
continuous,rna_pathway_activity,BRCA,HALLMARK_ALLOGRAFT_REJECTION,FALSE,1052,TRUE,Broad race,Other recorded race,1,,,FALSE,fewer than 50 subgroup patients,,,,,,,,
continuous,rna_pathway_activity,BRCA,HALLMARK_ALLOGRAFT_REJECTION,FALSE,1052,TRUE,Broad race,White,729,,,TRUE,performance estimated,0.422247300803521,0.388087614753752,0.624001291002813,,,,,
continuous,rna_pathway_activity,BRCA,HALLMARK_ALLOGRAFT_REJECTION,FALSE,1052,TRUE,Recorded sex,FEMALE,1040,,,TRUE,performance estimated,0.4155155304173,0.394983007393123,0.628193923995862,,,,,
continuous,rna_pathway_activity,BRCA,HALLMARK_ALLOGRAFT_REJECTION,FALSE,1052,TRUE,Recorded sex,MALE,12,,,FALSE,fewer than 50 subgroup patients,,,,,,,,
continuous,rna_pathway_activity,BRCA,HALLMARK_ANGIOGENESIS,FALSE,1052,TRUE,Broad race,Asian,61,,,TRUE,performance estimated,0.160718051595359,0.286880159063597,0.494986779481756,,,,,
continuous,rna_pathway_activity,BRCA,HALLMARK_ANGIOGENESIS,FALSE,1052,TRUE,Broad race,Black or African American,167,,,TRUE,performance estimated,0.301491433806572,0.35673965794005,0.509577231080009,,,,,
continuous,rna_pathway_activity,BRCA,HALLMARK_ANGIOGENESIS,FALSE,1052,TRUE,Broad race,Missing,94,,,FALSE,demographic field missing,,,,,,,,
continuous,rna_pathway_activity,BRCA,HALLMARK_ANGIOGENESIS,FALSE,1052,TRUE,Broad race,Other recorded race,1,,,FALSE,fewer than 50 subgroup patients,,,,,,,,
continuous,rna_pathway_activity,BRCA,HALLMARK_ANGIOGENESIS,FALSE,1052,TRUE,Broad race,White,729,,,TRUE,performance estimated,0.218207189136288,0.32322471693737,0.483273931097371,,,,,
continuous,rna_pathway_activity,BRCA,HALLMARK_ANGIOGENESIS,FALSE,1052,TRUE,Recorded sex,FEMALE,1040,,,TRUE,performance estimated,0.247938315598782,0.327726040406174,0.497631711510885,,,,,
continuous,rna_pathway_activity,BRCA,HALLMARK_ANGIOGENESIS,FALSE,1052,TRUE,Recorded sex,MALE,12,,,FALSE,fewer than 50 subgroup patients,,,,,,,,
continuous,rna_pathway_activity,BRCA,HALLMARK_APICAL_JUNCTION,FALSE,1052,TRUE,Broad race,Asian,61,,,TRUE,performance estimated,0.211044035515738,0.226997846702825,0.559746166049709,,,,,
continuous,rna_pathway_activity,BRCA,HALLMARK_APICAL_JUNCTION,FALSE,1052,TRUE,Broad race,Black or African American,167,,,TRUE,performance estimated,0.368001820173983,0.250725123305354,0.612714502148886,,,,,
continuous,rna_pathway_activity,BRCA,HALLMARK_APICAL_JUNCTION,FALSE,1052,TRUE,Broad race,Missing,94,,,FALSE,demographic field missing,,,,,,,,
continuous,rna_pathway_activity,BRCA,HALLMARK_APICAL_JUNCTION,FALSE,1052,TRUE,Broad race,Other recorded race,1,,,FALSE,fewer than 50 subgroup patients,,,,,,,,
continuous,rna_pathway_activity,BRCA,HALLMARK_APICAL_JUNCTION,FALSE,1052,TRUE,Broad race,White,729,,,TRUE,performance estimated,0.326956757831361,0.227152336108762,0.564346609475986,,,,,
continuous,rna_pathway_activity,BRCA,HALLMARK_APICAL_JUNCTION,FALSE,1052,TRUE,Recorded sex,FEMALE,1040,,,TRUE,performance estimated,0.324472896346261,0.23208137934261,0.571813567049981,,,,,
continuous,rna_pathway_activity,BRCA,HALLMARK_APICAL_JUNCTION,FALSE,1052,TRUE,Recorded sex,MALE,12,,,FALSE,fewer than 50 subgroup patients,,,,,,,,
continuous,rna_pathway_activity,BRCA,HALLMARK_APICAL_SURFACE,FALSE,1052,TRUE,Broad race,Asian,61,,,TRUE,performance estimated,0.0996742993454878,0.21427362959784,0.44806980433633,,,,,
continuous,rna_pathway_activity,BRCA,HALLMARK_APICAL_SURFACE,FALSE,1052,TRUE,Broad race,Black or African American,167,,,TRUE,performance estimated,0.268065454902901,0.22276387709988,0.532442516000701,,,,,
continuous,rna_pathway_activity,BRCA,HALLMARK_APICAL_SURFACE,FALSE,1052,TRUE,Broad race,Missing,94,,,FALSE,demographic field missing,,,,,,,,
continuous,rna_pathway_activity,BRCA,HALLMARK_APICAL_SURFACE,FALSE,1052,TRUE,Broad race,Other recorded race,1,,,FALSE,fewer than 50 subgroup patients,,,,,,,,
continuous,rna_pathway_activity,BRCA,HALLMARK_APICAL_SURFACE,FALSE,1052,TRUE,Broad race,White,729,,,TRUE,performance estimated,0.298178181711008,0.203060793221437,0.547193146782188,,,,,
continuous,rna_pathway_activity,BRCA,HALLMARK_APICAL_SURFACE,FALSE,1052,TRUE,Recorded sex,FEMALE,1040,,,TRUE,performance estimated,0.287277028294554,0.207738911937672,0.539813152706175,,,,,
continuous,rna_pathway_activity,BRCA,HALLMARK_APICAL_SURFACE,FALSE,1052,TRUE,Recorded sex,MALE,12,,,FALSE,fewer than 50 subgroup patients,,,,,,,,
continuous,rna_pathway_activity,BRCA,HALLMARK_APOPTOSIS,FALSE,1052,TRUE,Broad race,Asian,61,,,TRUE,performance estimated,0.217074834109097,0.206991381545168,0.500370174510841,,,,,
continuous,rna_pathway_activity,BRCA,HALLMARK_APOPTOSIS,FALSE,1052,TRUE,Broad race,Black or African American,167,,,TRUE,performance estimated,0.33788557081708,0.199610328046977,0.567817205520113,,,,,
continuous,rna_pathway_activity,BRCA,HALLMARK_APOPTOSIS,FALSE,1052,TRUE,Broad race,Missing,94,,,FALSE,demographic field missing,,,,,,,,
continuous,rna_pathway_activity,BRCA,HALLMARK_APOPTOSIS,FALSE,1052,TRUE,Broad race,Other recorded race,1,,,FALSE,fewer than 50 subgroup patients,,,,,,,,
continuous,rna_pathway_activity,BRCA,HALLMARK_APOPTOSIS,FALSE,1052,TRUE,Broad race,White,729,,,TRUE,performance estimated,0.276699634670267,0.195173658124857,0.512347772865277,,,,,
continuous,rna_pathway_activity,BRCA,HALLMARK_APOPTOSIS,FALSE,1052,TRUE,Recorded sex,FEMALE,1040,,,TRUE,performance estimated,0.283900267104912,0.196536457088911,0.521969125199038,,,,,
continuous,rna_pathway_activity,BRCA,HALLMARK_APOPTOSIS,FALSE,1052,TRUE,Recorded sex,MALE,12,,,FALSE,fewer than 50 subgroup patients,,,,,,,,
continuous,rna_pathway_activity,BRCA,HALLMARK_BILE_ACID_METABOLISM,FALSE,1052,TRUE,Broad race,Asian,61,,,TRUE,performance estimated,0.333924635158203,0.146806127452947,0.537292437863564,,,,,
continuous,rna_pathway_activity,BRCA,HALLMARK_BILE_ACID_METABOLISM,FALSE,1052,TRUE,Broad race,Black or African American,167,,,TRUE,performance estimated,0.282533235315202,0.182393089947794,0.547323940758758,,,,,
continuous,rna_pathway_activity,BRCA,HALLMARK_BILE_ACID_METABOLISM,FALSE,1052,TRUE,Broad race,Missing,94,,,FALSE,demographic field missing,,,,,,,,
continuous,rna_pathway_activity,BRCA,HALLMARK_BILE_ACID_METABOLISM,FALSE,1052,TRUE,Broad race,Other recorded race,1,,,FALSE,fewer than 50 subgroup patients,,,,,,,,
continuous,rna_pathway_activity,BRCA,HALLMARK_BILE_ACID_METABOLISM,FALSE,1052,TRUE,Broad race,White,729,,,TRUE,performance estimated,0.276428669807642,0.153452989177491,0.518287736278604,,,,,
continuous,rna_pathway_activity,BRCA,HALLMARK_BILE_ACID_METABOLISM,FALSE,1052,TRUE,Recorded sex,FEMALE,1040,,,TRUE,performance estimated,0.27940823315428,0.159912523929621,0.527769567236884,,,,,
continuous,rna_pathway_activity,BRCA,HALLMARK_BILE_ACID_METABOLISM,FALSE,1052,TRUE,Recorded sex,MALE,12,,,FALSE,fewer than 50 subgroup patients,,,,,,,,
continuous,rna_pathway_activity,BRCA,HALLMARK_CHOLESTEROL_HOMEOSTASIS,FALSE,1052,TRUE,Broad race,Asian,61,,,TRUE,performance estimated,0.225227504746986,0.223797482100384,0.519598096245373,,,,,
continuous,rna_pathway_activity,BRCA,HALLMARK_CHOLESTEROL_HOMEOSTASIS,FALSE,1052,TRUE,Broad race,Black or African American,167,,,TRUE,performance estimated,0.220259194780243,0.222008077568127,0.523133766889629,,,,,
continuous,rna_pathway_activity,BRCA,HALLMARK_CHOLESTEROL_HOMEOSTASIS,FALSE,1052,TRUE,Broad race,Missing,94,,,FALSE,demographic field missing,,,,,,,,
continuous,rna_pathway_activity,BRCA,HALLMARK_CHOLESTEROL_HOMEOSTASIS,FALSE,1052,TRUE,Broad race,Other recorded race,1,,,FALSE,fewer than 50 subgroup patients,,,,,,,,
continuous,rna_pathway_activity,BRCA,HALLMARK_CHOLESTEROL_HOMEOSTASIS,FALSE,1052,TRUE,Broad race,White,729,,,TRUE,performance estimated,0.179510677557342,0.206001752534393,0.41041802720646,,,,,
continuous,rna_pathway_activity,BRCA,HALLMARK_CHOLESTEROL_HOMEOSTASIS,FALSE,1052,TRUE,Recorded sex,FEMALE,1040,,,TRUE,performance estimated,0.209076504107809,0.207946094119189,0.446888009184692,,,,,
continuous,rna_pathway_activity,BRCA,HALLMARK_CHOLESTEROL_HOMEOSTASIS,FALSE,1052,TRUE,Recorded sex,MALE,12,,,FALSE,fewer than 50 subgroup patients,,,,,,,,
continuous,rna_pathway_activity,BRCA,HALLMARK_COAGULATION,FALSE,1052,TRUE,Broad race,Asian,61,,,TRUE,performance estimated,0.354114407686666,0.255620592960696,0.605795875198308,,,,,
continuous,rna_pathway_activity,BRCA,HALLMARK_COAGULATION,FALSE,1052,TRUE,Broad race,Black or African American,167,,,TRUE,performance estimated,0.271515675624183,0.279343028745465,0.507727745885166,,,,,
continuous,rna_pathway_activity,BRCA,HALLMARK_COAGULATION,FALSE,1052,TRUE,Broad race,Missing,94,,,FALSE,demographic field missing,,,,,,,,
continuous,rna_pathway_activity,BRCA,HALLMARK_COAGULATION,FALSE,1052,TRUE,Broad race,Other recorded race,1,,,FALSE,fewer than 50 subgroup patients,,,,,,,,
continuous,rna_pathway_activity,BRCA,HALLMARK_COAGULATION,FALSE,1052,TRUE,Broad race,White,729,,,TRUE,performance estimated,0.268091762469675,0.260910940724176,0.519197633078912,,,,,
continuous,rna_pathway_activity,BRCA,HALLMARK_COAGULATION,FALSE,1052,TRUE,Recorded sex,FEMALE,1040,,,TRUE,performance estimated,0.279150075325,0.262526712437911,0.52648089825982,,,,,
continuous,rna_pathway_activity,BRCA,HALLMARK_COAGULATION,FALSE,1052,TRUE,Recorded sex,MALE,12,,,FALSE,fewer than 50 subgroup patients,,,,,,,,
continuous,rna_pathway_activity,BRCA,HALLMARK_COMPLEMENT,FALSE,1052,TRUE,Broad race,Asian,61,,,TRUE,performance estimated,0.169383162621751,0.291833362027599,0.493178212585933,,,,,
continuous,rna_pathway_activity,BRCA,HALLMARK_COMPLEMENT,FALSE,1052,TRUE,Broad race,Black or African American,167,,,TRUE,performance estimated,0.363021063943569,0.275415436256237,0.647624887917796,,,,,
continuous,rna_pathway_activity,BRCA,HALLMARK_COMPLEMENT,FALSE,1052,TRUE,Broad race,Missing,94,,,FALSE,demographic field missing,,,,,,,,
continuous,rna_pathway_activity,BRCA,HALLMARK_COMPLEMENT,FALSE,1052,TRUE,Broad race,Other recorded race,1,,,FALSE,fewer than 50 subgroup patients,,,,,,,,
continuous,rna_pathway_activity,BRCA,HALLMARK_COMPLEMENT,FALSE,1052,TRUE,Broad race,White,729,,,TRUE,performance estimated,0.31406919260665,0.266842321980054,0.550680019005742,,,,,
