outcome_type,family,tumor_type,endpoint,highlighted,model_n,high_volume,subgroup_variable,subgroup,subgroup_n,positive,negative,denominator_adequate,reason,q2,rmse,spearman,sensitivity,specificity,balanced_accuracy,auc,pr_auc
binary,driver_mutation,READ,APC,TRUE,135,FALSE,Broad race,White,73,58,15,FALSE,model has fewer than 200 outcome-labelled patients,,,,,,,,
binary,driver_mutation,READ,APC,TRUE,135,FALSE,Recorded sex,FEMALE,62,30,32,FALSE,model has fewer than 200 outcome-labelled patients,,,,,,,,
binary,driver_mutation,READ,APC,TRUE,135,FALSE,Recorded sex,MALE,73,35,38,FALSE,model has fewer than 200 outcome-labelled patients,,,,,,,,
binary,driver_mutation,READ,TP53,TRUE,135,FALSE,Broad race,Asian,1,1,0,FALSE,model has fewer than 200 outcome-labelled patients,,,,,,,,
binary,driver_mutation,READ,TP53,TRUE,135,FALSE,Broad race,Black or African American,6,5,1,FALSE,model has fewer than 200 outcome-labelled patients,,,,,,,,
binary,driver_mutation,READ,TP53,TRUE,135,FALSE,Broad race,Missing,55,3,52,FALSE,model has fewer than 200 outcome-labelled patients,,,,,,,,
binary,driver_mutation,READ,TP53,TRUE,135,FALSE,Broad race,White,73,57,16,FALSE,model has fewer than 200 outcome-labelled patients,,,,,,,,
binary,driver_mutation,READ,TP53,TRUE,135,FALSE,Recorded sex,FEMALE,62,30,32,FALSE,model has fewer than 200 outcome-labelled patients,,,,,,,,
binary,driver_mutation,READ,TP53,TRUE,135,FALSE,Recorded sex,MALE,73,36,37,FALSE,model has fewer than 200 outcome-labelled patients,,,,,,,,
binary,driver_mutation,THCA,BRAF,TRUE,490,TRUE,Broad race,Asian,51,31,20,TRUE,performance estimated,,,,0.961290322580645,0.61,0.785645161290323,0.87,0.884786588483771
binary,driver_mutation,THCA,BRAF,TRUE,490,TRUE,Broad race,Black or African American,26,15,11,FALSE,fewer than 20 positive and 20 negative subgroup patients,,,,,,,,
binary,driver_mutation,THCA,BRAF,TRUE,490,TRUE,Broad race,Missing,92,38,54,FALSE,demographic field missing,,,,,,,,
binary,driver_mutation,THCA,BRAF,TRUE,490,TRUE,Broad race,Other recorded race,1,1,0,FALSE,fewer than 20 positive and 20 negative subgroup patients,,,,,,,,
binary,driver_mutation,THCA,BRAF,TRUE,490,TRUE,Broad race,White,320,204,116,TRUE,performance estimated,,,,0.925490196078431,0.698275862068966,0.811883029073698,0.875312711291413,0.900988812919671
binary,driver_mutation,THCA,BRAF,TRUE,490,TRUE,Recorded sex,FEMALE,361,212,149,TRUE,performance estimated,,,,0.921698113207547,0.716778523489933,0.81923831834874,0.881714575155122,0.88678662818579
binary,driver_mutation,THCA,BRAF,TRUE,490,TRUE,Recorded sex,MALE,129,77,52,TRUE,performance estimated,,,,0.932467532467533,0.826923076923077,0.879695304695305,0.927622377622378,0.934686431582293
binary,driver_mutation,THYM,GTF2I,TRUE,120,FALSE,Broad race,Asian,13,7,6,FALSE,model has fewer than 200 outcome-labelled patients,,,,,,,,
binary,driver_mutation,THYM,GTF2I,TRUE,120,FALSE,Broad race,Black or African American,6,3,3,FALSE,model has fewer than 200 outcome-labelled patients,,,,,,,,
binary,driver_mutation,THYM,GTF2I,TRUE,120,FALSE,Broad race,Missing,2,1,1,FALSE,model has fewer than 200 outcome-labelled patients,,,,,,,,
binary,driver_mutation,THYM,GTF2I,TRUE,120,FALSE,Broad race,White,99,48,51,FALSE,model has fewer than 200 outcome-labelled patients,,,,,,,,
binary,driver_mutation,THYM,GTF2I,TRUE,120,FALSE,Recorded sex,FEMALE,59,28,31,FALSE,model has fewer than 200 outcome-labelled patients,,,,,,,,
binary,driver_mutation,THYM,GTF2I,TRUE,120,FALSE,Recorded sex,MALE,61,31,30,FALSE,model has fewer than 200 outcome-labelled patients,,,,,,,,
binary,fusion,UCEC,Any called fusion,TRUE,153,FALSE,Broad race,Asian,1,0,1,FALSE,model has fewer than 200 outcome-labelled patients,,,,,,,,
binary,fusion,UCEC,Any called fusion,TRUE,153,FALSE,Broad race,Black or African American,62,32,30,FALSE,model has fewer than 200 outcome-labelled patients,,,,,,,,
binary,fusion,UCEC,Any called fusion,TRUE,153,FALSE,Broad race,Missing,18,8,10,FALSE,model has fewer than 200 outcome-labelled patients,,,,,,,,
binary,fusion,UCEC,Any called fusion,TRUE,153,FALSE,Broad race,Other recorded race,3,1,2,FALSE,model has fewer than 200 outcome-labelled patients,,,,,,,,
binary,fusion,UCEC,Any called fusion,TRUE,153,FALSE,Broad race,White,69,39,30,FALSE,model has fewer than 200 outcome-labelled patients,,,,,,,,
binary,fusion,UCEC,Any called fusion,TRUE,153,FALSE,Recorded sex,FEMALE,153,80,73,FALSE,model has fewer than 200 outcome-labelled patients,,,,,,,,
binary,microsatellite_instability_sensitivity,COAD,MSI-H strict (MANTIS >0.6),TRUE,374,TRUE,Broad race,Asian,11,1,10,FALSE,fewer than 20 positive and 20 negative subgroup patients,,,,,,,,
