cancer,gene,prior_study,prior_scope,prior_result,prior_evidence_class,source_url,audit_note
SARC,TP53,Arslan2024,exact cancer,mean three-fold AUROC 0.620 [0.566-0.653]; corrected p=0.03226,previously_supported,https://doi.org/10.1038/s43856-024-00471-5,Primary-study supplementary data
SKCM,BRAF,Arslan2024,exact cancer,mean three-fold AUROC 0.579 [0.506-0.617]; corrected p=0.2864,previously_evaluated_not_supported,https://doi.org/10.1038/s43856-024-00471-5,Primary-study supplementary data
STAD,PIK3CA,Arslan2024,exact cancer,mean three-fold AUROC 0.712 [0.667-0.779]; corrected p=0.0008205,previously_supported,https://doi.org/10.1038/s43856-024-00471-5,Primary-study supplementary data
STAD,TP53,Arslan2024,exact cancer,mean three-fold AUROC 0.666 [0.602-0.707]; corrected p=0.0001717,previously_supported,https://doi.org/10.1038/s43856-024-00471-5,Primary-study supplementary data
THCA,BRAF,Arslan2024,exact cancer,mean three-fold AUROC 0.854 [0.850-0.856]; corrected p=5.440e-41,previously_supported,https://doi.org/10.1038/s43856-024-00471-5,Primary-study supplementary data
THCA,NRAS,Arslan2024,exact cancer,mean three-fold AUROC 0.809 [0.686-0.876]; corrected p=1.231e-09,previously_supported,https://doi.org/10.1038/s43856-024-00471-5,Primary-study supplementary data
THYM,GTF2I,None identified,exact cancer,No H&E predictive model identified in the reviewed literature,not_identified_in_reviewed_predictive_literature,https://pubmed.ncbi.nlm.nih.gov/35039450/,A morphology-genotype association is established but this is not a prior predictive-model result
UCEC,ARID1A,Arslan2024,exact cancer,mean three-fold AUROC 0.656 [0.632-0.674]; corrected p=2.281e-06,previously_supported,https://doi.org/10.1038/s43856-024-00471-5,Primary-study supplementary data
UCEC,PTEN,Arslan2024,exact cancer,mean three-fold AUROC 0.753 [0.740-0.775]; corrected p=1.421e-18,previously_supported,https://doi.org/10.1038/s43856-024-00471-5,Primary-study supplementary data
UCEC,TP53,Arslan2024,exact cancer,mean three-fold AUROC 0.771 [0.757-0.788]; corrected p=1.176e-20,previously_supported,https://doi.org/10.1038/s43856-024-00471-5,Primary-study supplementary data
