outcome_type,targets,both_effect_threshold_crossing,TITAN_only_crossing,ProvGigaPath_only_crossing,neither_crossing,TITAN_higher_effect,ProvGigaPath_higher_effect,tied_effect,median_delta_ProvGigaPath_minus_TITAN,cluster_bootstrap_low,cluster_bootstrap_high,spearman_effect,uncertainty_method,scope_note
continuous,2963,391,252,50,2270,2124,839,0,-0.0450893208953363,-0.053988064887291,-0.034558639942591,0.811237265372508,cancer-cluster bootstrap of median paired task effects; descriptive,paired released embedding-pipeline comparison under the specified PLS1/PLS-LDA probe; reported pretraining corpora excluded TCGA; not external validation or isolated model quality
binary,426,152,78,24,172,288,137,1,-0.0256091803316675,-0.033726067746686,-0.0176929059308855,0.717109367875527,cancer-cluster bootstrap of median paired task effects; descriptive,paired released embedding-pipeline comparison under the specified PLS1/PLS-LDA probe; reported pretraining corpora excluded TCGA; not external validation or isolated model quality
